Source Name	Material Type	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Term Source REF	Term Accession Number	Characteristics[age]	Unit[time unit]	Characteristics[genetic modification]	Term Source REF	Term Accession Number	Characteristics[genotype]	Characteristics[ecotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	LabeledExtract Name	Label	Hybridization Name	Array Design REF	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[genotype]	Factor Value[time]	Unit[time unit]	Factor Value[growth condition]
srk2cf-ABA1h-1	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	2	week	knock out	EFO	EFO_0000506	srk2cf double knockout	Col-0	P-MTAB-5481	P-MTAB-5480	P-MTAB-5482	E_srk2cf-ABA1h-1	total_RNA	L_srk2cf-ABA1h-1	biotin	H_srk2cf-ABA1h-1	A-AFFY-2	GDR_090824_cfaba1h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2378/E-MEXP-2378.raw.1.zip	GDR_090824_cfaba1h-1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2378/E-MEXP-2378.processed.1.zip	srk2cf double knockout	1	hour	abscisic acid
srk2cf-ABA1h-2	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	2	week	knock out	EFO	EFO_0000506	srk2cf double knockout	Col-0	P-MTAB-5481	P-MTAB-5480	P-MTAB-5482	E_srk2cf-ABA1h-2	total_RNA	L_srk2cf-ABA1h-2	biotin	H_srk2cf-ABA1h-2	A-AFFY-2	GDR_090824_cfaba1h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2378/E-MEXP-2378.raw.1.zip	GDR_090824_cfaba1h-2.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2378/E-MEXP-2378.processed.1.zip	srk2cf double knockout	1	hour	abscisic acid
srk2cf-ABA1h-3	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	2	week	knock out	EFO	EFO_0000506	srk2cf double knockout	Col-0	P-MTAB-5481	P-MTAB-5480	P-MTAB-5482	E_srk2cf-ABA1h-3	total_RNA	L_srk2cf-ABA1h-3	biotin	H_srk2cf-ABA1h-3	A-AFFY-2	GDR_090824_cfaba1h-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2378/E-MEXP-2378.raw.1.zip	GDR_090824_cfaba1h-3.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2378/E-MEXP-2378.processed.1.zip	srk2cf double knockout	1	hour	abscisic acid
srk2cf-ABA4h-1	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	2	week	knock out	EFO	EFO_0000506	srk2cf double knockout	Col-0	P-MTAB-5481	P-MTAB-5480	P-MTAB-5482	E_srk2cf-ABA4h-1	total_RNA	L_srk2cf-ABA4h-1	biotin	H_srk2cf-ABA4h-1	A-AFFY-2	GDR_090824_cfaba4h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2378/E-MEXP-2378.raw.1.zip	GDR_090824_cfaba4h-1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2378/E-MEXP-2378.processed.1.zip	srk2cf double knockout	4	hour	abscisic acid
srk2cf-ABA4h-2	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	2	week	knock out	EFO	EFO_0000506	srk2cf double knockout	Col-0	P-MTAB-5481	P-MTAB-5480	P-MTAB-5482	E_srk2cf-ABA4h-2	total_RNA	L_srk2cf-ABA4h-2	biotin	H_srk2cf-ABA4h-2	A-AFFY-2	GDR_090824_cfaba4h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2378/E-MEXP-2378.raw.1.zip	GDR_090824_cfaba4h-2.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2378/E-MEXP-2378.processed.1.zip	srk2cf double knockout	4	hour	abscisic acid
srk2cf-ABA4h-3	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	2	week	knock out	EFO	EFO_0000506	srk2cf double knockout	Col-0	P-MTAB-5481	P-MTAB-5480	P-MTAB-5482	E_srk2cf-ABA4h-3	total_RNA	L_srk2cf-ABA4h-3	biotin	H_srk2cf-ABA4h-3	A-AFFY-2	GDR_090824_cfaba4h-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2378/E-MEXP-2378.raw.1.zip	GDR_090824_cfaba4h-3.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2378/E-MEXP-2378.processed.1.zip	srk2cf double knockout	4	hour	abscisic acid
srk2cf-cont1	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	2	week	knock out	EFO	EFO_0000506	srk2cf double knockout	Col-0	P-MTAB-5481	P-MTAB-5480	P-MTAB-5482	E_srk2cf-cont1	total_RNA	L_srk2cf-cont1	biotin	H_srk2cf-cont1	A-AFFY-2	GDR_090824_cfcont1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2378/E-MEXP-2378.raw.1.zip	GDR_090824_cfcont1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2378/E-MEXP-2378.processed.1.zip	srk2cf double knockout	0	hour	none
srk2cf-cont2	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	2	week	knock out	EFO	EFO_0000506	srk2cf double knockout	Col-0	P-MTAB-5481	P-MTAB-5480	P-MTAB-5482	E_srk2cf-cont2	total_RNA	L_srk2cf-cont2	biotin	H_srk2cf-cont2	A-AFFY-2	GDR_090824_cfcont2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2378/E-MEXP-2378.raw.1.zip	GDR_090824_cfcont2.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2378/E-MEXP-2378.processed.1.zip	srk2cf double knockout	0	hour	none
srk2cf-cont3	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	2	week	knock out	EFO	EFO_0000506	srk2cf double knockout	Col-0	P-MTAB-5481	P-MTAB-5480	P-MTAB-5482	E_srk2cf-cont3	total_RNA	L_srk2cf-cont3	biotin	H_srk2cf-cont3	A-AFFY-2	GDR_090824_cfcont3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2378/E-MEXP-2378.raw.1.zip	GDR_090824_cfcont3.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2378/E-MEXP-2378.processed.1.zip	srk2cf double knockout	0	hour	none
Col-ABA1h-1	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	2	week	wild type	  	  	wild type	Col-0	P-MTAB-5481	P-MTAB-5480	P-MTAB-5482	E_Col-ABA1h-1	total_RNA	L_Col-ABA1h-1	biotin	H_Col-ABA1h-1	A-AFFY-2	GDR_090824_Colaba1h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2378/E-MEXP-2378.raw.1.zip	GDR_090824_Colaba1h-1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2378/E-MEXP-2378.processed.1.zip	wild type	1	hour	abscisic acid
Col-ABA1h-2	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	2	week	wild type	  	  	wild type	Col-0	P-MTAB-5481	P-MTAB-5480	P-MTAB-5482	E_Col-ABA1h-2	total_RNA	L_Col-ABA1h-2	biotin	H_Col-ABA1h-2	A-AFFY-2	GDR_090824_Colaba1h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2378/E-MEXP-2378.raw.1.zip	GDR_090824_Colaba1h-2.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2378/E-MEXP-2378.processed.1.zip	wild type	1	hour	abscisic acid
