Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Characteristics[Ecotype]	Characteristics[DevelopmentalStage]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[Genotype]	Characteristics[OrganismPart]	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[COMPOUND]
GSE5696GSM133252	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	de-etiolated:  na. Stock Code: N6159; Developmental stage: 7-day-old seedlings; Tissue: whole plant; Genetic background: Col	Col	seedling	7	days	det2-1	whole organism	P-G5696-1	GSE5696GSM133252 sample	GSE5696GSM133252 extract	total_RNA	GSE5696GSM133252 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-GODA10B-6	A-AFFY-2	P-AFFY-6	RIKEN-GODA10B-6	GSM133252.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.raw.1.zip	E-GEOD-5696-processed-data-1628546415.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.processed.1.zip	typhasterol
GSE5696GSM133251	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	de-etiolated:  na. Stock Code: N6159; Developmental stage: 7-day-old seedlings; Tissue: whole plant; Genetic background: Col	Col	seedling	7	days	det2-1	whole organism	P-G5696-1	GSE5696GSM133251 sample	GSE5696GSM133251 extract	total_RNA	GSE5696GSM133251 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-GODA10A-6	A-AFFY-2	P-AFFY-6	RIKEN-GODA10A-6	GSM133251.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.raw.1.zip	E-GEOD-5696-processed-data-1628546415.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.processed.1.zip	typhasterol
GSE5696GSM133269	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	de-etiolated:  na. Stock Code: N6159; Developmental stage: 7-day-old seedlings; Tissue: whole plant; Genetic background: Col	Col	seedling	7	days	det2-1	whole organism	P-G5696-10	GSE5696GSM133269 sample	GSE5696GSM133269 extract	total_RNA	GSE5696GSM133269 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-GODA6A-6	A-AFFY-2	P-AFFY-6	RIKEN-GODA6A-6	GSM133269.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.raw.1.zip	E-GEOD-5696-processed-data-1628546415.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.processed.1.zip	teasterone
GSE5696GSM133270	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	de-etiolated:  na. Stock Code: N6159; Developmental stage: 7-day-old seedlings; Tissue: whole plant; Genetic background: Col	Col	seedling	7	days	det2-1	whole organism	P-G5696-10	GSE5696GSM133270 sample	GSE5696GSM133270 extract	total_RNA	GSE5696GSM133270 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-GODA6B-6	A-AFFY-2	P-AFFY-6	RIKEN-GODA6B-6	GSM133270.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.raw.1.zip	E-GEOD-5696-processed-data-1628546415.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.processed.1.zip	teasterone
GSE5696GSM133272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	de-etiolated:  na. Stock Code: N6159; Developmental stage: 7-day-old seedlings; Tissue: whole plant; Genetic background: Col	Col	seedling	7	days	det2-1	whole organism	P-G5696-11	GSE5696GSM133272 sample	GSE5696GSM133272 extract	total_RNA	GSE5696GSM133272 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-GODA7B-6	A-AFFY-2	P-AFFY-6	RIKEN-GODA7B-6	GSM133272.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.raw.1.zip	E-GEOD-5696-processed-data-1628546415.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.processed.1.zip	3-dehydro-6-deoxoteasterone
GSE5696GSM133271	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	de-etiolated:  na. Stock Code: N6159; Developmental stage: 7-day-old seedlings; Tissue: whole plant; Genetic background: Col	Col	seedling	7	days	det2-1	whole organism	P-G5696-11	GSE5696GSM133271 sample	GSE5696GSM133271 extract	total_RNA	GSE5696GSM133271 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-GODA7A-6	A-AFFY-2	P-AFFY-6	RIKEN-GODA7A-6	GSM133271.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.raw.1.zip	E-GEOD-5696-processed-data-1628546415.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.processed.1.zip	3-dehydro-6-deoxoteasterone
GSE5696GSM133273	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	de-etiolated:  na. Stock Code: N6159; Developmental stage: 7-day-old seedlings; Tissue: whole plant; Genetic background: Col	Col	seedling	7	days	det2-1	whole organism	P-G5696-12	GSE5696GSM133273 sample	GSE5696GSM133273 extract	total_RNA	GSE5696GSM133273 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-GODA8A-6	A-AFFY-2	P-AFFY-6	RIKEN-GODA8A-6	GSM133273.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.raw.1.zip	E-GEOD-5696-processed-data-1628546415.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.processed.1.zip	3-dehydroteasterone
GSE5696GSM133274	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	de-etiolated:  na. Stock Code: N6159; Developmental stage: 7-day-old seedlings; Tissue: whole plant; Genetic background: Col	Col	seedling	7	days	det2-1	whole organism	P-G5696-12	GSE5696GSM133274 sample	GSE5696GSM133274 extract	total_RNA	GSE5696GSM133274 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-GODA8B-6	A-AFFY-2	P-AFFY-6	RIKEN-GODA8B-6	GSM133274.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.raw.1.zip	E-GEOD-5696-processed-data-1628546415.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.processed.1.zip	3-dehydroteasterone
GSE5696GSM133275	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	de-etiolated:  na. Stock Code: N6159; Developmental stage: 7-day-old seedlings; Tissue: whole plant; Genetic background: Col	Col	seedling	7	days	det2-1	whole organism	P-G5696-13	GSE5696GSM133275 sample	GSE5696GSM133275 extract	total_RNA	GSE5696GSM133275 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-GODA9A-6	A-AFFY-2	P-AFFY-6	RIKEN-GODA9A-6	GSM133275.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.raw.1.zip	E-GEOD-5696-processed-data-1628546415.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.processed.1.zip	6-deoxotyphasterol
GSE5696GSM133276	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	de-etiolated:  na. Stock Code: N6159; Developmental stage: 7-day-old seedlings; Tissue: whole plant; Genetic background: Col	Col	seedling	7	days	det2-1	whole organism	P-G5696-13	GSE5696GSM133276 sample	GSE5696GSM133276 extract	total_RNA	GSE5696GSM133276 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-GODA9B-6	A-AFFY-2	P-AFFY-6	RIKEN-GODA9B-6	GSM133276.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.raw.1.zip	E-GEOD-5696-processed-data-1628546415.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5696/E-GEOD-5696.processed.1.zip	6-deoxotyphasterol
