Source Name	Characteristics [DevelopmentalStage]	Characteristics [OrganismPart]	Characteristics [SampleType]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Genotype]	Characteristics [Ecotype]	Characteristics [BioSourceProvider]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Factor Value [duration]	Factor Value [replicate]	Factor Value [ecotype]	Factor Value [treatment]	Factor Value [genotype]	Factor Value [photoperiod]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]
BioSource:ft-2_7_1	rosett stage	apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	mutant	ft (CS184)	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ft-2_7_1	nucleic_acid	P-AFFY-2	LabeledExtract:ft-2_7_1	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:ft-7-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	7	1	ft (CS184)	7 days long day condition	mutant	long day	ft-7-1	E-AFMX-8-raw-data-365445109.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.1.zip
BioSource:co-2_5_2	rosett stage	apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	mutant	co (CS175)	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:co-2_5_2	nucleic_acid	P-AFFY-2	LabeledExtract:co-2_5_2	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:co-5-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	5	2	co (CS175)	5 days long day condition	mutant	long day	co-5-2	E-AFMX-8-raw-data-365444514.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.1.zip
BioSource:ft-2_0_2	rosett stage	apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	mutant	ft (CS184)	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:ft-2_0_2	nucleic_acid	P-AFFY-2	LabeledExtract:ft-2_0_2	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:ft-0-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	none	2	ft (CS184)	no treatment	mutant	short day	ft-0-2	E-AFMX-8-raw-data-365444934.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.1.zip
BioSource:Col-0_5_2	rosett stage	apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	Col-0 wildtype with an AG::GUS reporter	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:Col-0_5_2	nucleic_acid	P-AFFY-2	LabeledExtract:Col-0_5_2	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:Col-5-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	5	2	Col-0 wildtype with an AG::GUS reporter	5 days long day condition	wild_type	long day	Col-5-2	E-AFMX-8-raw-data-365444794.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.1.zip
BioSource:Col-0_3_1	rosett stage	apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	Col-0 wildtype with an AG::GUS reporter	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:Col-0_3_1	nucleic_acid	P-AFFY-2	LabeledExtract:Col-0_3_1	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:Col-3-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	3	1	Col-0 wildtype with an AG::GUS reporter	3 days long day condition	wild_type	long day	Col-3-1	E-AFMX-8-raw-data-365444689.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.1.zip
BioSource:lfy-12_7_1	 rosett stage	 apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	mutant	lfy-12	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:lfy-12_7_1	nucleic_acid	P-AFFY-2	LabeledExtract:lfy-12_7_1	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:lfy-7-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	7	1	lfy-12	7 days long day condition	mutant	long day	lfy-7-1	E-AFMX-8-raw-data-365445669.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.1.zip
BioSource:co-2_7_1	rosett stage	apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	mutant	co (CS175)	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:co-2_7_1	nucleic_acid	P-AFFY-2	LabeledExtract:co-2_7_1	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:co-7-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	7	1	co (CS175)	7 days long day condition	mutant	long day	co-7-1	E-AFMX-8-raw-data-365444549.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.1.zip
BioSource:Ler_0_2	rosett stage	apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	Ler with an AG::GUS reporter	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:Ler_0_2	nucleic_acid	P-AFFY-2	LabeledExtract:Ler_0_2	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:Ler-0-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	none	2	Ler with an AG::GUS reporter	no treatment	wild_type	short day	Ler-0-2	E-AFMX-8-raw-data-365445214.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.1.zip
BioSource:Ler_5_2	rosett stage	apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	Ler with an AG::GUS reporter	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:Ler_5_2	nucleic_acid	P-AFFY-2	LabeledExtract:Ler_5_2	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:Ler-5-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	5	2	Ler with an AG::GUS reporter	5 days long day condition	wild_type	long day	Ler-5-2	E-AFMX-8-raw-data-365445354.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.1.zip
BioSource:lfy-12_0_2	 rosett stage	 apical region	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	mutant	lfy-12	Department of Molecular Biology, Max Planck Institute for Developmental Biology	P-AFFY-1	Extract:lfy-12_0_2	nucleic_acid	P-AFFY-2	LabeledExtract:lfy-12_0_2	Biotin	labeled_extract	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	E-AFMX-8:lfy-0-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	none	2	lfy-12	no treatment	mutant	short day	lfy-0-2	E-AFMX-8-raw-data-365445494.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/AFMX/E-AFMX-8/E-AFMX-8.raw.1.zip
