Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Provider	Characteristics[BioSourceType]	Characteristics[DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics[OrganismPart]	Term Source REF	Term Accession Number	Characteristics[Genotype]	Characteristics[TargetedCellType]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	LabeledExtract Name	Label	Hybridization Name	Array Design REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[COMPOUND]	Term Source REF	Term Accession Number	Factor Value[DOSE]	Unit[ConcentrationUnit]
1A-wild type- no treatment control	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	IARI, New Delhi-12	frozen_sample	adult	EFO	EFO_0001272	Leaf	EFO	EFO_0000993	wild_type	green leaf	P-MTAB-16438	P-MTAB-16440	P-MTAB-16439	1A-wild type- no treatment control	total_RNA	1A-wild type- no treatment control	biotin	A1 	A-AFFY-2	1-2_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2858/E-MEXP-2858.raw.1.zip	control	EFO	EFO_0001461	control	mM
1B-wild type-no treatment control	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	IARI, New Delhi-12	frozen_sample	adult	EFO	EFO_0001272	Leaf	EFO	EFO_0000993	wild_type	green leaf	P-MTAB-16438	P-MTAB-16440	P-MTAB-16439	1B-wild type-no treatment control	total_RNA	1B-wild type-no treatment control	biotin	A2	A-AFFY-2	1-2_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2858/E-MEXP-2858.raw.1.zip	control	EFO	EFO_0001461	control	mM
2A-wild type-200 mM NaCl treatment	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	IARI, New Delhi-12	frozen_sample	adult	EFO	EFO_0001272	Leaf	EFO	EFO_0000993	wild_type	green leaf	P-MTAB-16438	P-MTAB-16440	P-MTAB-16439	2A-wild type-200 mM NaCl treatment	total_RNA	2A-wild type-200 mM NaCl treatment	biotin	B1	A-AFFY-2	2-2-B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2858/E-MEXP-2858.raw.1.zip	NaCl	  	  	200	mM
2B-wild type- 200 mM NaCl treatment	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	IARI, New Delhi-12	frozen_sample	adult	EFO	EFO_0001272	Leaf	EFO	EFO_0000993	wild_type	green leaf	P-MTAB-16438	P-MTAB-16440	P-MTAB-16439	2B-wild type- 200 mM NaCl treatment	total_RNA	2B-wild type- 200 mM NaCl treatment	biotin	B2	A-AFFY-2	2-2_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2858/E-MEXP-2858.raw.1.zip	NaCl	  	  	200	mM
2C-wild type- 200 mM NaCl treatment	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	IARI, New Delhi-12	frozen_sample	adult	EFO	EFO_0001272	Leaf	EFO	EFO_0000993	wild_type	green leaf	P-MTAB-16438	P-MTAB-16440	P-MTAB-16439	2C-wild type- 200 mM NaCl treatment	total_RNA	2C-wild type- 200 mM NaCl treatment	biotin	B3	A-AFFY-2	2-2_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2858/E-MEXP-2858.raw.1.zip	NaCl	  	  	200	mM
3A-CaMV35S_GSMT-DMT-no treatment	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	IARI, New Delhi-12	frozen_sample	adult	EFO	EFO_0001272	Leaf	EFO	EFO_0000993	CaMV35S:GSMT/DMT	green leaf	P-MTAB-16438	P-MTAB-16440	P-MTAB-16439	3A-CaMV35S_GSMT-DMT-no treatment	total_RNA	3A-CaMV35S_GSMT-DMT-no treatment	biotin	C1	A-AFFY-2	3-1_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2858/E-MEXP-2858.raw.1.zip	control	EFO	EFO_0001461	control	mM
3B-CaMV35S_GSMT-DMT-no treatment	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	IARI, New Delhi-12	frozen_sample	adult	EFO	EFO_0001272	Leaf	EFO	EFO_0000993	CaMV35S:GSMT/DMT	green leaf	P-MTAB-16438	P-MTAB-16440	P-MTAB-16439	3B-CaMV35S_GSMT-DMT-no treatment	total_RNA	3B-CaMV35S_GSMT-DMT-no treatment	biotin	C2	A-AFFY-2	3-1_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2858/E-MEXP-2858.raw.1.zip	control	EFO	EFO_0001461	control	mM
4A-CaMV35S_GSMT-DMT-NaCl treatment	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	IARI, New Delhi-12	frozen_sample	adult	EFO	EFO_0001272	Leaf	EFO	EFO_0000993	CaMV35S:GSMT/DMT	green leaf	P-MTAB-16438	P-MTAB-16440	P-MTAB-16439	4A-CaMV35S_GSMT-DMT-NaCl treatment	total_RNA	4A-CaMV35S_GSMT-DMT-NaCl treatment	biotin	D1	A-AFFY-2	4-1_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2858/E-MEXP-2858.raw.1.zip	NaCl	  	  	200	mM
4B-CaMV35S_GSMT-DMT-NaCl treatment	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	IARI, New Delhi-12	frozen_sample	adult	EFO	EFO_0001272	Leaf	EFO	EFO_0000993	CaMV35S:GSMT/DMT	green leaf	P-MTAB-16438	P-MTAB-16440	P-MTAB-16439	4B-CaMV35S_GSMT-DMT-NaCl treatment	total_RNA	4B-CaMV35S_GSMT-DMT-NaCl treatment	biotin	D2	A-AFFY-2	4-1_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2858/E-MEXP-2858.raw.1.zip	NaCl	  	  	200	mM
4C-CaMV35S_GSMT-DMT-NaCl treatment	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	IARI, New Delhi-12	frozen_sample	adult	EFO	EFO_0001272	Leaf	EFO	EFO_0000993	CaMV35S:GSMT/DMT	green leaf	P-MTAB-16438	P-MTAB-16440	P-MTAB-16439	4C-CaMV35S_GSMT-DMT-NaCl treatment	total_RNA	4C-CaMV35S_GSMT-DMT-NaCl treatment	biotin	D3	A-AFFY-2	4-1_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2858/E-MEXP-2858.raw.1.zip	NaCl	  	  	200	mM
