Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Genotype]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[Ecotype]	Characteristics[growth media]	Characteristics[OrganismPart]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ORGANISM PART]	FactorValue[GENOTYPE]
GSM543967 1	Gene expression data from root elongation zone of 35S::UPB1-3YFP #2/upb1-1 under standard conditions for 6 days	root elongation zone	ATH1_OXUPB1-2_elongation zone_second biological rep	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S::UPB1-3YFP #2/upb1-1	6	days	Columbia-0	Standard media (1xMS, 1% Sucrose, 1% agarose)	root elongation zone	P-GSE21876-2	P-GSE21876-3	P-GSE21876-4	GSM543967 extract 1	total RNA	P-GSE21876-5	GSM543967 LE 1	biotin	P-GSE21876-6	GSM543967	A-AFFY-2	P-GSE21876-7	P-GSE21876-8	GSM543967.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21876/E-GEOD-21876.raw.1.zip	P-GSE21876-1	GSM543967_sample_table.txt norm	GSM543967_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21876/E-GEOD-21876.processed.1.zip	root elongation zone	35S::UPB1-3YFP #2/upb1-1
GSM543966 1	Gene expression data from root meristem zone of 35S::UPB1-3YFP #2/upb1-1 under standard conditions for 6 days	root meristem zone	ATH1_OXUPB1-2_meristematic zone_second biological rep	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S::UPB1-3YFP #2/upb1-1	6	days	Columbia-0	Standard media (1xMS, 1% Sucrose, 1% agarose)	root meristem zone	P-GSE21876-2	P-GSE21876-3	P-GSE21876-4	GSM543966 extract 1	total RNA	P-GSE21876-5	GSM543966 LE 1	biotin	P-GSE21876-6	GSM543966	A-AFFY-2	P-GSE21876-7	P-GSE21876-8	GSM543966.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21876/E-GEOD-21876.raw.1.zip	P-GSE21876-1	GSM543966_sample_table.txt norm	GSM543966_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21876/E-GEOD-21876.processed.1.zip	root meristem zone	35S::UPB1-3YFP #2/upb1-1
GSM543965 1	Gene expression data from root elongation zone of 35S::UPB1-3YFP #2/upb1-1 under standard conditions for 6 days	root elongation zone	ATH1_OXUPB1-2_elongation zone_first biological rep	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S::UPB1-3YFP #2/upb1-1	6	days	Columbia-0	Standard media (1xMS, 1% Sucrose, 1% agarose)	root elongation zone	P-GSE21876-2	P-GSE21876-3	P-GSE21876-4	GSM543965 extract 1	total RNA	P-GSE21876-5	GSM543965 LE 1	biotin	P-GSE21876-6	GSM543965	A-AFFY-2	P-GSE21876-7	P-GSE21876-8	GSM543965.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21876/E-GEOD-21876.raw.1.zip	P-GSE21876-1	GSM543965_sample_table.txt norm	GSM543965_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21876/E-GEOD-21876.processed.1.zip	root elongation zone	35S::UPB1-3YFP #2/upb1-1
GSM543964 1	Gene expression data from root meristem zone of 35S::UPB1-3YFP #2/upb1-1 under standard conditions for 6 days	root meristem zone	ATH1_OXUPB1-2_meristematic zone_first biological rep	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S::UPB1-3YFP #2/upb1-1	6	days	Columbia-0	Standard media (1xMS, 1% Sucrose, 1% agarose)	root meristem zone	P-GSE21876-2	P-GSE21876-3	P-GSE21876-4	GSM543964 extract 1	total RNA	P-GSE21876-5	GSM543964 LE 1	biotin	P-GSE21876-6	GSM543964	A-AFFY-2	P-GSE21876-7	P-GSE21876-8	GSM543964.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21876/E-GEOD-21876.raw.1.zip	P-GSE21876-1	GSM543964_sample_table.txt norm	GSM543964_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21876/E-GEOD-21876.processed.1.zip	root meristem zone	35S::UPB1-3YFP #2/upb1-1
GSM543963 1	Gene expression data from root elongation zone of upb1-1 under standard conditions for 6 days	root elongation zone	ATH1_upb1-1_elongation zone_second biological rep	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	upb1-1	6	days	Columbia-0	Standard media (1xMS, 1% Sucrose, 1% agarose)	root elongation zone	P-GSE21876-2	P-GSE21876-3	P-GSE21876-4	GSM543963 extract 1	total RNA	P-GSE21876-5	GSM543963 LE 1	biotin	P-GSE21876-6	GSM543963	A-AFFY-2	P-GSE21876-7	P-GSE21876-8	GSM543963.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21876/E-GEOD-21876.raw.1.zip	P-GSE21876-1	GSM543963_sample_table.txt norm	GSM543963_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21876/E-GEOD-21876.processed.1.zip	root elongation zone	upb1-1
GSM543962 1	Gene expression data from root meristem zone of upb1-1 under standard conditions for 6 days	root meristem zone	ATH1_upb1-1_meristematic zone_second biological rep	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	upb1-1	6	days	Columbia-0	Standard media (1xMS, 1% Sucrose, 1% agarose)	root meristem zone	P-GSE21876-2	P-GSE21876-3	P-GSE21876-4	GSM543962 extract 1	total RNA	P-GSE21876-5	GSM543962 LE 1	biotin	P-GSE21876-6	GSM543962	A-AFFY-2	P-GSE21876-7	P-GSE21876-8	GSM543962.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21876/E-GEOD-21876.raw.1.zip	P-GSE21876-1	GSM543962_sample_table.txt norm	GSM543962_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21876/E-GEOD-21876.processed.1.zip	root meristem zone	upb1-1
GSM543961 1	Gene expression data from root elongation zone of upb1-1 under standard conditions for 6 days	root elongation zone	ATH1_upb1-1_elongation zone_first biological rep	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	upb1-1	6	days	Columbia-0	Standard media (1xMS, 1% Sucrose, 1% agarose)	root elongation zone	P-GSE21876-2	P-GSE21876-3	P-GSE21876-4	GSM543961 extract 1	total RNA	P-GSE21876-5	GSM543961 LE 1	biotin	P-GSE21876-6	GSM543961	A-AFFY-2	P-GSE21876-7	P-GSE21876-8	GSM543961.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21876/E-GEOD-21876.raw.1.zip	P-GSE21876-1	GSM543961_sample_table.txt norm	GSM543961_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21876/E-GEOD-21876.processed.1.zip	root elongation zone	upb1-1
GSM543960 1	Gene expression data from root meristem zone of upb1-1 under standard conditions for 6 days	root meristem zone	ATH1_upb1-1_meristematic zone_first biological rep	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	upb1-1	6	days	Columbia-0	Standard media (1xMS, 1% Sucrose, 1% agarose)	root meristem zone	P-GSE21876-2	P-GSE21876-3	P-GSE21876-4	GSM543960 extract 1	total RNA	P-GSE21876-5	GSM543960 LE 1	biotin	P-GSE21876-6	GSM543960	A-AFFY-2	P-GSE21876-7	P-GSE21876-8	GSM543960.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21876/E-GEOD-21876.raw.1.zip	P-GSE21876-1	GSM543960_sample_table.txt norm	GSM543960_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21876/E-GEOD-21876.processed.1.zip	root meristem zone	upb1-1
GSM543959 1	Gene expression data from root elongation zone of Col-0 under standard conditions for 6 days	root elongation zone	ATH1_Col-0_elongation zone_second biological rep	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	6	days	Columbia-0	Standard media (1xMS, 1% Sucrose, 1% agarose)	root elongation zone	P-GSE21876-2	P-GSE21876-3	P-GSE21876-4	GSM543959 extract 1	total RNA	P-GSE21876-5	GSM543959 LE 1	biotin	P-GSE21876-6	GSM543959	A-AFFY-2	P-GSE21876-7	P-GSE21876-8	GSM543959.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21876/E-GEOD-21876.raw.1.zip	P-GSE21876-1	GSM543959_sample_table.txt norm	GSM543959_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21876/E-GEOD-21876.processed.1.zip	root elongation zone	wild_type
GSM543958 1	Gene expression data from root meristem zone of Col-0 under standard conditions for 6 days	root meristem zone	ATH1_Col-0_meristematic zone_second biological rep	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	6	days	Columbia-0	Standard media (1xMS, 1% Sucrose, 1% agarose)	root meristem zone	P-GSE21876-2	P-GSE21876-3	P-GSE21876-4	GSM543958 extract 1	total RNA	P-GSE21876-5	GSM543958 LE 1	biotin	P-GSE21876-6	GSM543958	A-AFFY-2	P-GSE21876-7	P-GSE21876-8	GSM543958.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21876/E-GEOD-21876.raw.1.zip	P-GSE21876-1	GSM543958_sample_table.txt norm	GSM543958_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21876/E-GEOD-21876.processed.1.zip	root meristem zone	wild_type
