Source Name	Material Type	Characteristics[Organism]	Characteristics[DevelopmentalStage]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[Genotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Term Source REF	LabeledExtract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[GENOTYPE]	Factor Value[COMPOUND]	Factor Value[DOSE]	Unit[ConcentrationUnit]
tETR1_HG2_Air_1	whole_organism	Arabidopsis thaliana	seedling	4	day	etr1-9;ers1-3 mutant with transgene tETR1-H/G2	P-MTAB-25631	P-MTAB-25632	P-MTAB-25630	tETR1_HG2_Air_1	total_RNA	P-AFFY-2	ArrayExpress	tETR1_HG2_Air_1	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	tETR1_HG2_Air_1	A-AFFY-2	P-AFFY-6	ArrayExpress	7_HG3_C1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3574/E-MEXP-3574.raw.1.zip	etr1-9;ers1-3 mutant with transgene tETR1-H/G2	none	0	microliter per liter
tETR1_HG2_Air_2	whole_organism	Arabidopsis thaliana	seedling	4	day	etr1-9;ers1-3 mutant with transgene tETR1-H/G2	P-MTAB-25631	P-MTAB-25632	P-MTAB-25630	tETR1_HG2_Air_2	total_RNA	P-AFFY-2	ArrayExpress	tETR1_HG2_Air_2	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	tETR1_HG2_Air_2	A-AFFY-2	P-AFFY-6	ArrayExpress	8_HG3_C2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3574/E-MEXP-3574.raw.1.zip	etr1-9;ers1-3 mutant with transgene tETR1-H/G2	none	0	microliter per liter
tETR1_HG2_Air_3	whole_organism	Arabidopsis thaliana	seedling	4	day	etr1-9;ers1-3 mutant with transgene tETR1-H/G2	P-MTAB-25631	P-MTAB-25632	P-MTAB-25630	tETR1_HG2_Air_3	total_RNA	P-AFFY-2	ArrayExpress	tETR1_HG2_Air_3	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	tETR1_HG2_Air_3	A-AFFY-2	P-AFFY-6	ArrayExpress	9_HG3_C3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3574/E-MEXP-3574.raw.1.zip	etr1-9;ers1-3 mutant with transgene tETR1-H/G2	none	0	microliter per liter
tETR1_HG2_Ethylene_1	whole_organism	Arabidopsis thaliana	seedling	4	day	etr1-9;ers1-3 mutant with transgene tETR1-H/G2	P-MTAB-25631	P-MTAB-25632	P-MTAB-25630	tETR1_HG2_Ethylene_1	total_RNA	P-AFFY-2	ArrayExpress	tETR1_HG2_Ethylene_1	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	tETR1_HG2_Ethylene_1	A-AFFY-2	P-AFFY-6	ArrayExpress	10_HG3_E1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3574/E-MEXP-3574.raw.1.zip	etr1-9;ers1-3 mutant with transgene tETR1-H/G2	ethylene	1	microliter per liter
tETR1_HG2_Ethylene_2	whole_organism	Arabidopsis thaliana	seedling	4	day	etr1-9;ers1-3 mutant with transgene tETR1-H/G2	P-MTAB-25631	P-MTAB-25632	P-MTAB-25630	tETR1_HG2_Ethylene_2	total_RNA	P-AFFY-2	ArrayExpress	tETR1_HG2_Ethylene_2	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	tETR1_HG2_Ethylene_2	A-AFFY-2	P-AFFY-6	ArrayExpress	12_HG3_E2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3574/E-MEXP-3574.raw.1.zip	etr1-9;ers1-3 mutant with transgene tETR1-H/G2	ethylene	1	microliter per liter
tETR1_HG2_Ethylene_3	whole_organism	Arabidopsis thaliana	seedling	4	day	etr1-9;ers1-3 mutant with transgene tETR1-H/G2	P-MTAB-25631	P-MTAB-25632	P-MTAB-25630	tETR1_HG2_Ethylene_3	total_RNA	P-AFFY-2	ArrayExpress	tETR1_HG2_Ethylene_3	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	tETR1_HG2_Ethylene_3	A-AFFY-2	P-AFFY-6	ArrayExpress	11_HG3-E3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3574/E-MEXP-3574.raw.1.zip	etr1-9;ers1-3 mutant with transgene tETR1-H/G2	ethylene	1	microliter per liter
tETR1_wt_Air_1	whole_organism	Arabidopsis thaliana	seedling	4	day	etr1-9;ers1-3 mutant with transgene tETR1-wt	P-MTAB-25631	P-MTAB-25632	P-MTAB-25630	tETR1_wt_Air_1	total_RNA	P-AFFY-2	ArrayExpress	tETR1_wt_Air_1	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	tETR1_wt_Air_1	A-AFFY-2	P-AFFY-6	ArrayExpress	1_FL2_C1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3574/E-MEXP-3574.raw.1.zip	etr1-9;ers1-3 mutant with transgene tETR1-wt	none	0	microliter per liter
tETR1_wt_Air_2	whole_organism	Arabidopsis thaliana	seedling	4	day	etr1-9;ers1-3 mutant with transgene tETR1-wt	P-MTAB-25631	P-MTAB-25632	P-MTAB-25630	tETR1_wt_Air_2	total_RNA	P-AFFY-2	ArrayExpress	tETR1_wt_Air_2	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	tETR1_wt_Air_2	A-AFFY-2	P-AFFY-6	ArrayExpress	2_FL2_C2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3574/E-MEXP-3574.raw.1.zip	etr1-9;ers1-3 mutant with transgene tETR1-wt	none	0	microliter per liter
tETR1_wt_Air_3	whole_organism	Arabidopsis thaliana	seedling	4	day	etr1-9;ers1-3 mutant with transgene tETR1-wt	P-MTAB-25631	P-MTAB-25632	P-MTAB-25630	tETR1_wt_Air_3	total_RNA	P-AFFY-2	ArrayExpress	tETR1_wt_Air_3	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	tETR1_wt_Air_3	A-AFFY-2	P-AFFY-6	ArrayExpress	3_FL2_C3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3574/E-MEXP-3574.raw.1.zip	etr1-9;ers1-3 mutant with transgene tETR1-wt	none	0	microliter per liter
tETR1_wt_Ethylene_1	whole_organism	Arabidopsis thaliana	seedling	4	day	etr1-9;ers1-3 mutant with transgene tETR1-wt	P-MTAB-25631	P-MTAB-25632	P-MTAB-25630	tETR1_wt_Ethylene_1	total_RNA	P-AFFY-2	ArrayExpress	tETR1_wt_Ethylene_1	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	tETR1_wt_Ethylene_1	A-AFFY-2	P-AFFY-6	ArrayExpress	4_FL2_E1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3574/E-MEXP-3574.raw.1.zip	etr1-9;ers1-3 mutant with transgene tETR1-wt	ethylene	1	microliter per liter
