Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Scan Name	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [Dose]	Unit [ConcentrationUnit]	Factor Value [Time]	Unit [TimeUnit]	Factor Value [GrowthCondition]	Term Source REF	Term Accession Number	Factor Value [Compound]	Term Source REF	Term Accession Number
GSE3709GSM85656	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-11	GSE3709GSM85656 sample	GSE3709GSM85656 extract	total_RNA	P-G3709-15	GSE3709GSM85656 LE.biotin	biotin	synthetic_RNA	rotenone treated, 12 h, replicate 2	A-AFFY-2	rotenone treated, 12 h, replicate 2	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	40	micromolar	12	hour	normal	EFO	EFO_0000761	rotenone	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:28201
GSE3709GSM85654	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	GSE3709GSM85654 sample	GSE3709GSM85654 extract	total_RNA	P-G3709-15	GSE3709GSM85654 LE.biotin	biotin	synthetic_RNA	untreated 12 h replicate 2	A-AFFY-2	untreated 12 h replicate 2	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	  	  	12	hour	normal	EFO	EFO_0000761	none	  	  
GSE3709GSM85660	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-13	GSE3709GSM85660 sample	GSE3709GSM85660 extract	total_RNA	P-G3709-15	GSE3709GSM85660 LE.biotin	biotin	synthetic_RNA	chloramphenicol treated, 12 h, replicate 2	A-AFFY-2	chloramphenicol treated, 12 h, replicate 2	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	200	micromolar	12	hour	normal	EFO	EFO_0000761	chloramphenicol	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:17698
GSE3709GSM85643	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-7	GSE3709GSM85643 sample	GSE3709GSM85643 extract	total_RNA	P-G3709-15	GSE3709GSM85643 LE.biotin	biotin	synthetic_RNA	flagellen treated, 3 h, replicate 1	A-AFFY-2	flagellen treated, 3 h, replicate 1	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	  	  	3	hour	normal	EFO	EFO_0000761	flagellen	  	  
GSE3709GSM85626	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-1	GSE3709GSM85626 sample	GSE3709GSM85626 extract	total_RNA	P-G3709-15	GSE3709GSM85626 LE.biotin	biotin	synthetic_RNA	hydrogen peroxide treated, 3 h, replicate 1	A-AFFY-2	hydrogen peroxide treated, 3 h, replicate 1	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	10000	micromolar	3	hour	normal	EFO	EFO_0000761	hydrogen peroxide	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16240
GSE3709GSM85638	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-6	GSE3709GSM85638 sample	GSE3709GSM85638 extract	total_RNA	P-G3709-15	GSE3709GSM85638 LE.biotin	biotin	synthetic_RNA	cold treated, 3 h, replicate 2	A-AFFY-2	cold treated, 3 h, replicate 2	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	  	  	3	hour	cold-treated	  	  	none	  	  
GSE3709GSM85662	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-14	GSE3709GSM85662 sample	GSE3709GSM85662 extract	total_RNA	P-G3709-15	GSE3709GSM85662 LE.biotin	biotin	synthetic_RNA	cysteine treated, 12 h, replicate 2	A-AFFY-2	cysteine treated, 12 h, replicate 2	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	1000	micromolar	12	hour	normal	EFO	EFO_0000761	cysteine	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:17561
GSE3709GSM85628	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	GSE3709GSM85628 sample	GSE3709GSM85628 extract	total_RNA	P-G3709-15	GSE3709GSM85628 LE.biotin	biotin	synthetic_RNA	mannitol treated, 3 h, replicate 1	A-AFFY-2	mannitol treated, 3 h, replicate 1	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	  	  	3	hour	normal	EFO	EFO_0000761	mannitol	  	  
GSE3709GSM85637	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-6	GSE3709GSM85637 sample	GSE3709GSM85637 extract	total_RNA	P-G3709-15	GSE3709GSM85637 LE.biotin	biotin	synthetic_RNA	cold treated, 3 h, replicate 1	A-AFFY-2	cold treated, 3 h, replicate 1	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	  	  	3	hour	cold-treated	  	  	none	  	  
GSE3709GSM85629	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-G3709-2	GSE3709GSM85629 sample	GSE3709GSM85629 extract	total_RNA	P-G3709-15	GSE3709GSM85629 LE.biotin	biotin	synthetic_RNA	0.125 uM oligomycin treated, 3 h, replicate 1	A-AFFY-2	0.125 uM oligomycin treated, 3 h, replicate 1	E-GEOD-3709-processed-data-1442081154.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3709/E-GEOD-3709.processed.1.zip	0.125	micromolar	3	hour	normal	EFO	EFO_0000761	oligomycin	  	  
