Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [cell type]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [gfp-reporter]	Characteristics [growth media]	Characteristics [organism]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [CELL TYPE]	Term Source REF	Term Accession Number	FactorValue [GFP-REPORTER]	FactorValue [GROWTH MEDIA]
GSM1126325 1	Gene expression data from isolated stele cells after roots were treated with 140 mM NaCl for 48 hour	Protoplasted and FACS sorted root cells	Arabidopsis, root cells, stele, 140mM NaCl for 48 hours, replicate 3	Seedling roots, 5-7 days after germination	stele	EFO	EFO_0005099	Columbia	WOL::GFP	Standard media for 5 days, transferred to media supplemented with 140mM NaCl for 48 hour before protoplasting	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE46205-2	ArrayExpress	P-GSE46205-3	ArrayExpress	P-GSE46205-4	ArrayExpress	GSM1126325 extract 1	total RNA	P-GSE46205-5	ArrayExpress	GSM1126325 LE 1	biotin	P-GSE46205-6	ArrayExpress	GSM1126325	A-AFFY-2	ArrayExpress	array assay	P-GSE46205-7	ArrayExpress	GSM1126325_STE-NaCl-48hr-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46205/E-GEOD-46205.raw.1.zip	P-GSE46205-1	ArrayExpress	GSM1126325_sample_table.txt norm	GSM1126325_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46205/E-GEOD-46205.processed.1.zip	stele	EFO	EFO_0005099	WOL::GFP	Standard media for 5 days, transferred to media supplemented with 140mM NaCl for 48 hour before protoplasting
GSM1126324 1	Gene expression data from isolated stele cells after roots were treated with 140 mM NaCl for 48 hour	Protoplasted and FACS sorted root cells	Arabidopsis, root cells, stele, 140mM NaCl for 48 hours, replicate 2	Seedling roots, 5-7 days after germination	stele	EFO	EFO_0005099	Columbia	WOL::GFP	Standard media for 5 days, transferred to media supplemented with 140mM NaCl for 48 hour before protoplasting	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE46205-2	ArrayExpress	P-GSE46205-3	ArrayExpress	P-GSE46205-4	ArrayExpress	GSM1126324 extract 1	total RNA	P-GSE46205-5	ArrayExpress	GSM1126324 LE 1	biotin	P-GSE46205-6	ArrayExpress	GSM1126324	A-AFFY-2	ArrayExpress	array assay	P-GSE46205-7	ArrayExpress	GSM1126324_STE-NaCl-48hr-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46205/E-GEOD-46205.raw.1.zip	P-GSE46205-1	ArrayExpress	GSM1126324_sample_table.txt norm	GSM1126324_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46205/E-GEOD-46205.processed.1.zip	stele	EFO	EFO_0005099	WOL::GFP	Standard media for 5 days, transferred to media supplemented with 140mM NaCl for 48 hour before protoplasting
GSM1126323 1	Gene expression data from isolated stele cells after roots were treated with 140 mM NaCl for 48 hour	Protoplasted and FACS sorted root cells	Arabidopsis, root cells, stele, 140mM NaCl for 48 hours, replicate 1	Seedling roots, 5-7 days after germination	stele	EFO	EFO_0005099	Columbia	WOL::GFP	Standard media for 5 days, transferred to media supplemented with 140mM NaCl for 48 hour before protoplasting	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE46205-2	ArrayExpress	P-GSE46205-3	ArrayExpress	P-GSE46205-4	ArrayExpress	GSM1126323 extract 1	total RNA	P-GSE46205-5	ArrayExpress	GSM1126323 LE 1	biotin	P-GSE46205-6	ArrayExpress	GSM1126323	A-AFFY-2	ArrayExpress	array assay	P-GSE46205-7	ArrayExpress	GSM1126323_STE-NaCl-48hr-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46205/E-GEOD-46205.raw.1.zip	P-GSE46205-1	ArrayExpress	GSM1126323_sample_table.txt norm	GSM1126323_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46205/E-GEOD-46205.processed.1.zip	stele	EFO	EFO_0005099	WOL::GFP	Standard media for 5 days, transferred to media supplemented with 140mM NaCl for 48 hour before protoplasting
GSM1126322 1	Gene expression data from isolated stele cells after roots were treated with 140 mM NaCl for 32 hour	Protoplasted and FACS sorted root cells	Arabidopsis, root cells, stele, 140mM NaCl for 32 hours, replicate 3	Seedling roots, 5-7 days after germination	stele	EFO	EFO_0005099	Columbia	WOL::GFP	Standard media for 5 days, transferred to media supplemented with 140mM NaCl for 32 hour before protoplasting	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE46205-2	ArrayExpress	P-GSE46205-3	ArrayExpress	P-GSE46205-4	ArrayExpress	GSM1126322 extract 1	total RNA	P-GSE46205-5	ArrayExpress	GSM1126322 LE 1	biotin	P-GSE46205-6	ArrayExpress	GSM1126322	A-AFFY-2	ArrayExpress	array assay	P-GSE46205-7	ArrayExpress	GSM1126322_STE-NaCl-32hr-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46205/E-GEOD-46205.raw.1.zip	P-GSE46205-1	ArrayExpress	GSM1126322_sample_table.txt norm	GSM1126322_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46205/E-GEOD-46205.processed.1.zip	stele	EFO	EFO_0005099	WOL::GFP	Standard media for 5 days, transferred to media supplemented with 140mM NaCl for 32 hour before protoplasting
GSM1126321 1	Gene expression data from isolated stele cells after roots were treated with 140 mM NaCl for 32 hour	Protoplasted and FACS sorted root cells	Arabidopsis, root cells, stele, 140mM NaCl for 32 hours, replicate 2	Seedling roots, 5-7 days after germination	stele	EFO	EFO_0005099	Columbia	WOL::GFP	Standard media for 5 days, transferred to media supplemented with 140mM NaCl for 32 hour before protoplasting	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE46205-2	ArrayExpress	P-GSE46205-3	ArrayExpress	P-GSE46205-4	ArrayExpress	GSM1126321 extract 1	total RNA	P-GSE46205-5	ArrayExpress	GSM1126321 LE 1	biotin	P-GSE46205-6	ArrayExpress	GSM1126321	A-AFFY-2	ArrayExpress	array assay	P-GSE46205-7	ArrayExpress	GSM1126321_STE-NaCl-32hr-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46205/E-GEOD-46205.raw.1.zip	P-GSE46205-1	ArrayExpress	GSM1126321_sample_table.txt norm	GSM1126321_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46205/E-GEOD-46205.processed.1.zip	stele	EFO	EFO_0005099	WOL::GFP	Standard media for 5 days, transferred to media supplemented with 140mM NaCl for 32 hour before protoplasting
GSM1126320 1	Gene expression data from isolated stele cells after roots were treated with 140 mM NaCl for 32 hour	Protoplasted and FACS sorted root cells	Arabidopsis, root cells, stele, 140mM NaCl for 32 hours, replicate 1	Seedling roots, 5-7 days after germination	stele	EFO	EFO_0005099	Columbia	WOL::GFP	Standard media for 5 days, transferred to media supplemented with 140mM NaCl for 32 hour before protoplasting	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE46205-2	ArrayExpress	P-GSE46205-3	ArrayExpress	P-GSE46205-4	ArrayExpress	GSM1126320 extract 1	total RNA	P-GSE46205-5	ArrayExpress	GSM1126320 LE 1	biotin	P-GSE46205-6	ArrayExpress	GSM1126320	A-AFFY-2	ArrayExpress	array assay	P-GSE46205-7	ArrayExpress	GSM1126320_STE-NaCl-32hr-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46205/E-GEOD-46205.raw.1.zip	P-GSE46205-1	ArrayExpress	GSM1126320_sample_table.txt norm	GSM1126320_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46205/E-GEOD-46205.processed.1.zip	stele	EFO	EFO_0005099	WOL::GFP	Standard media for 5 days, transferred to media supplemented with 140mM NaCl for 32 hour before protoplasting
GSM1126319 1	Gene expression data from isolated stele cells after roots were treated with 140 mM NaCl for 20 hour	Protoplasted and FACS sorted root cells	Arabidopsis, root cells, stele, 140mM NaCl for 20 hours, replicate 3	Seedling roots, 5-7 days after germination	stele	EFO	EFO_0005099	Columbia	WOL::GFP	Standard media for 5 days, transferred to media supplemented with 140mM NaCl for 20 hour before protoplasting	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE46205-2	ArrayExpress	P-GSE46205-3	ArrayExpress	P-GSE46205-4	ArrayExpress	GSM1126319 extract 1	total RNA	P-GSE46205-5	ArrayExpress	GSM1126319 LE 1	biotin	P-GSE46205-6	ArrayExpress	GSM1126319	A-AFFY-2	ArrayExpress	array assay	P-GSE46205-7	ArrayExpress	GSM1126319_STE-NaCl-20hr-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46205/E-GEOD-46205.raw.1.zip	P-GSE46205-1	ArrayExpress	GSM1126319_sample_table.txt norm	GSM1126319_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46205/E-GEOD-46205.processed.1.zip	stele	EFO	EFO_0005099	WOL::GFP	Standard media for 5 days, transferred to media supplemented with 140mM NaCl for 20 hour before protoplasting
GSM1126318 1	Gene expression data from isolated stele cells after roots were treated with 140 mM NaCl for 20 hour	Protoplasted and FACS sorted root cells	Arabidopsis, root cells, stele, 140mM NaCl for 20 hours, replicate 2	Seedling roots, 5-7 days after germination	stele	EFO	EFO_0005099	Columbia	WOL::GFP	Standard media for 5 days, transferred to media supplemented with 140mM NaCl for 20 hour before protoplasting	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE46205-2	ArrayExpress	P-GSE46205-3	ArrayExpress	P-GSE46205-4	ArrayExpress	GSM1126318 extract 1	total RNA	P-GSE46205-5	ArrayExpress	GSM1126318 LE 1	biotin	P-GSE46205-6	ArrayExpress	GSM1126318	A-AFFY-2	ArrayExpress	array assay	P-GSE46205-7	ArrayExpress	GSM1126318_STE-NaCl-20hr-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46205/E-GEOD-46205.raw.1.zip	P-GSE46205-1	ArrayExpress	GSM1126318_sample_table.txt norm	GSM1126318_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46205/E-GEOD-46205.processed.1.zip	stele	EFO	EFO_0005099	WOL::GFP	Standard media for 5 days, transferred to media supplemented with 140mM NaCl for 20 hour before protoplasting
GSM1126317 1	Gene expression data from isolated stele cells after roots were treated with 140 mM NaCl for 20 hour	Protoplasted and FACS sorted root cells	Arabidopsis, root cells, stele, 140mM NaCl for 20 hours, replicate 1	Seedling roots, 5-7 days after germination	stele	EFO	EFO_0005099	Columbia	WOL::GFP	Standard media for 5 days, transferred to media supplemented with 140mM NaCl for 20 hour before protoplasting	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE46205-2	ArrayExpress	P-GSE46205-3	ArrayExpress	P-GSE46205-4	ArrayExpress	GSM1126317 extract 1	total RNA	P-GSE46205-5	ArrayExpress	GSM1126317 LE 1	biotin	P-GSE46205-6	ArrayExpress	GSM1126317	A-AFFY-2	ArrayExpress	array assay	P-GSE46205-7	ArrayExpress	GSM1126317_STE-NaCl-20hr-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46205/E-GEOD-46205.raw.1.zip	P-GSE46205-1	ArrayExpress	GSM1126317_sample_table.txt norm	GSM1126317_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46205/E-GEOD-46205.processed.1.zip	stele	EFO	EFO_0005099	WOL::GFP	Standard media for 5 days, transferred to media supplemented with 140mM NaCl for 20 hour before protoplasting
GSM1126316 1	Gene expression data from isolated stele cells after roots were treated with 140 mM NaCl for 8 hour	Protoplasted and FACS sorted root cells	Arabidopsis, root cells, stele, 140mM NaCl for 8 hours, replicate 3	Seedling roots, 5-7 days after germination	stele	EFO	EFO_0005099	Columbia	WOL::GFP	Standard media for 5 days, transferred to media supplemented with 140mM NaCl for 8 hour before protoplasting	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE46205-2	ArrayExpress	P-GSE46205-3	ArrayExpress	P-GSE46205-4	ArrayExpress	GSM1126316 extract 1	total RNA	P-GSE46205-5	ArrayExpress	GSM1126316 LE 1	biotin	P-GSE46205-6	ArrayExpress	GSM1126316	A-AFFY-2	ArrayExpress	array assay	P-GSE46205-7	ArrayExpress	GSM1126316_STE-NaCl-8hr-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46205/E-GEOD-46205.raw.1.zip	P-GSE46205-1	ArrayExpress	GSM1126316_sample_table.txt norm	GSM1126316_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46205/E-GEOD-46205.processed.1.zip	stele	EFO	EFO_0005099	WOL::GFP	Standard media for 5 days, transferred to media supplemented with 140mM NaCl for 8 hour before protoplasting
