Source Name	Material Type	Characteristics [organism]	Comment [germplasm name]	Characteristics [strain]	Characteristics[organism part]	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Term Source REF	Assay Name	Technology Type	Array Design REF	Protocol REF	Term Source REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [time]	Unit [time unit]
ABRC-CS57924 2	organism part	Arabidopsis thaliana	CS57924	Sha	rosette leaf	P-TABM-hans15	ABRC-CS57924 2	P-TABM-103	ABRC-CS57924 2	total RNA	P-TABM-hans16	ABRC-CS57924 2 biotin	biotin	synthetic DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	497	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	497	497.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-61/E-TABM-61.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-TABM-61-processed-data-1343522508.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-61/E-TABM-61.processed.1.zip	52	hour
ABRC-CS57924 1	organism part	Arabidopsis thaliana	CS57924	Sha	rosette leaf	P-TABM-hans15	ABRC-CS57924 1	P-TABM-103	ABRC-CS57924 1	total RNA	P-TABM-hans16	ABRC-CS57924 1 biotin	biotin	synthetic DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	470	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	470	470.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-61/E-TABM-61.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-TABM-61-processed-data-1343522508.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-61/E-TABM-61.processed.1.zip	4	hour
ABRC-CS57923 1	organism part	Arabidopsis thaliana	CS57923	Bay-0	rosette leaf	P-TABM-hans15	ABRC-CS57923 1	P-TABM-103	ABRC-CS57923 1	total RNA	P-TABM-hans16	ABRC-CS57923 1 biotin	biotin	synthetic DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	483	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	483	483.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-61/E-TABM-61.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-TABM-61-processed-data-1343522508.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-61/E-TABM-61.processed.1.zip	28	hour
ABRC-CS57923 2	organism part	Arabidopsis thaliana	CS57923	Bay-0	rosette leaf	P-TABM-hans15	ABRC-CS57923 2	P-TABM-103	ABRC-CS57923 2	total RNA	P-TABM-hans16	ABRC-CS57923 2 biotin	biotin	synthetic DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	486	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	486	486.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-61/E-TABM-61.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-TABM-61-processed-data-1343522508.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-61/E-TABM-61.processed.1.zip	28	hour
ABRC-CS57924 2	organism part	Arabidopsis thaliana	CS57924	Sha	rosette leaf	P-TABM-hans15	ABRC-CS57924 2	P-TABM-103	ABRC-CS57924 2	total RNA	P-TABM-hans16	ABRC-CS57924 2 biotin	biotin	synthetic DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	473	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	473	473.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-61/E-TABM-61.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-TABM-61-processed-data-1343522508.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-61/E-TABM-61.processed.1.zip	4	hour
ABRC-CS57924 2	organism part	Arabidopsis thaliana	CS57924	Sha	rosette leaf	P-TABM-hans15	ABRC-CS57924 2	P-TABM-103	ABRC-CS57924 2	total RNA	P-TABM-hans16	ABRC-CS57924 2 biotin	biotin	synthetic DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	485	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	485	485.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-61/E-TABM-61.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-TABM-61-processed-data-1343522508.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-61/E-TABM-61.processed.1.zip	28	hour
ABRC-CS57923 1	organism part	Arabidopsis thaliana	CS57923	Bay-0	rosette leaf	P-TABM-hans15	ABRC-CS57923 1	P-TABM-103	ABRC-CS57923 1	total RNA	P-TABM-hans16	ABRC-CS57923 1 biotin	biotin	synthetic DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	471	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	471	471.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-61/E-TABM-61.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-TABM-61-processed-data-1343522508.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-61/E-TABM-61.processed.1.zip	4	hour
ABRC-CS57923 2	organism part	Arabidopsis thaliana	CS57923	Bay-0	rosette leaf	P-TABM-hans15	ABRC-CS57923 2	P-TABM-103	ABRC-CS57923 2	total RNA	P-TABM-hans16	ABRC-CS57923 2 biotin	biotin	synthetic DNA	Affymetrix:Protocol:Hybridization-FlexGE-WS2v4	ArrayExpress	498	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	498	498.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-61/E-TABM-61.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-TABM-61-processed-data-1343522508.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-61/E-TABM-61.processed.1.zip	52	hour
ABRC-CS57923 1	organism part	Arabidopsis thaliana	CS57923	Bay-0	rosette leaf	P-TABM-hans15	ABRC-CS57923 1	P-TABM-103	ABRC-CS57923 1	total RNA	P-TABM-hans16	ABRC-CS57923 1 biotin	biotin	synthetic DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	495	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	495	495.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-61/E-TABM-61.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-TABM-61-processed-data-1343522508.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-61/E-TABM-61.processed.1.zip	52	hour
ABRC-CS57923 2	organism part	Arabidopsis thaliana	CS57923	Bay-0	rosette leaf	P-TABM-hans15	ABRC-CS57923 2	P-TABM-103	ABRC-CS57923 2	total RNA	P-TABM-hans16	ABRC-CS57923 2 biotin	biotin	synthetic DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	474	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	474	474.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-61/E-TABM-61.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-TABM-61-processed-data-1343522508.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-61/E-TABM-61.processed.1.zip	4	hour
ABRC-CS57924 1	organism part	Arabidopsis thaliana	CS57924	Sha	rosette leaf	P-TABM-hans15	ABRC-CS57924 1	P-TABM-103	ABRC-CS57924 1	total RNA	P-TABM-hans16	ABRC-CS57924 1 biotin	biotin	synthetic DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	494	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	494	494.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-61/E-TABM-61.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-TABM-61-processed-data-1343522508.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-61/E-TABM-61.processed.1.zip	52	hour
ABRC-CS57924 1	organism part	Arabidopsis thaliana	CS57924	Sha	rosette leaf	P-TABM-hans15	ABRC-CS57924 1	P-TABM-103	ABRC-CS57924 1	total RNA	P-TABM-hans16	ABRC-CS57924 1 biotin	biotin	synthetic DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	482	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	482	482.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-61/E-TABM-61.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-TABM-61-processed-data-1343522508.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-61/E-TABM-61.processed.1.zip	28	hour
