Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Unit [time unit]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [treatment]	FactorValue [compound]
GSM873580 1	101346-10_2_2.CEL	Arabidopsis petioles, 2h low R/FR + JA treatment	low R/FR, JA spray, biological rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	petiole	P-GSE35700-3	P-GSE35700-2	P-GSE35700-4	GSM873580 extract 1	total RNA	P-GSE35700-5	GSM873580 LE 1	biotin	P-GSE35700-6	GSM873580	A-AFFY-2	  	P-GSE35700-7	P-GSE35700-8	GSM873580.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35700/E-GEOD-35700.raw.1.zip	P-GSE35700-1	GSM873580_sample_table.txt norm	GSM873580_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35700/E-GEOD-35700.processed.1.zip	low red/far-red ratio	jasmonic acid
GSM873579 1	101346-07_2_2.CEL	Arabidopsis petioles, 2h low R/FR + JA treatment	low R/FR, JA spray, biological rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	petiole	P-GSE35700-3	P-GSE35700-2	P-GSE35700-4	GSM873579 extract 1	total RNA	P-GSE35700-5	GSM873579 LE 1	biotin	P-GSE35700-6	GSM873579	A-AFFY-2	  	P-GSE35700-7	P-GSE35700-8	GSM873579.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35700/E-GEOD-35700.raw.1.zip	P-GSE35700-1	GSM873579_sample_table.txt norm	GSM873579_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35700/E-GEOD-35700.processed.1.zip	low red/far-red ratio	jasmonic acid
GSM873578 1	101346-04_2_2.CEL	Arabidopsis petioles, 2h low R/FR + JA treatment	low R/FR, JA spray, biological rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	petiole	P-GSE35700-3	P-GSE35700-2	P-GSE35700-4	GSM873578 extract 1	total RNA	P-GSE35700-5	GSM873578 LE 1	biotin	P-GSE35700-6	GSM873578	A-AFFY-2	  	P-GSE35700-7	P-GSE35700-8	GSM873578.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35700/E-GEOD-35700.raw.1.zip	P-GSE35700-1	GSM873578_sample_table.txt norm	GSM873578_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35700/E-GEOD-35700.processed.1.zip	low red/far-red ratio	jasmonic acid
GSM873577 1	101346-09_2_2.CEL	Arabidopsis petioles, 2h low R/FR treatment	low R/FR, mock spray, biological rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	petiole	P-GSE35700-3	P-GSE35700-2	P-GSE35700-4	GSM873577 extract 1	total RNA	P-GSE35700-5	GSM873577 LE 1	biotin	P-GSE35700-6	GSM873577	A-AFFY-2	  	P-GSE35700-7	P-GSE35700-8	GSM873577.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35700/E-GEOD-35700.raw.1.zip	P-GSE35700-1	GSM873577_sample_table.txt norm	GSM873577_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35700/E-GEOD-35700.processed.1.zip	low red/far-red ratio	mock
GSM873576 1	101346-06_2_2.CEL	Arabidopsis petioles, 2h low R/FR treatment	low R/FR, mock spray, biological rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	petiole	P-GSE35700-3	P-GSE35700-2	P-GSE35700-4	GSM873576 extract 1	total RNA	P-GSE35700-5	GSM873576 LE 1	biotin	P-GSE35700-6	GSM873576	A-AFFY-2	  	P-GSE35700-7	P-GSE35700-8	GSM873576.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35700/E-GEOD-35700.raw.1.zip	P-GSE35700-1	GSM873576_sample_table.txt norm	GSM873576_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35700/E-GEOD-35700.processed.1.zip	low red/far-red ratio	mock
GSM873575 1	101346-03_2_2.CEL	Arabidopsis petioles, 2h low R/FR treatment	low R/FR, mock spray, biological rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	petiole	P-GSE35700-3	P-GSE35700-2	P-GSE35700-4	GSM873575 extract 1	total RNA	P-GSE35700-5	GSM873575 LE 1	biotin	P-GSE35700-6	GSM873575	A-AFFY-2	  	P-GSE35700-7	P-GSE35700-8	GSM873575.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35700/E-GEOD-35700.raw.1.zip	P-GSE35700-1	GSM873575_sample_table.txt norm	GSM873575_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35700/E-GEOD-35700.processed.1.zip	low red/far-red ratio	mock
GSM873574 1	101346-12_2_2.CEL	Arabidopsis petioles, 2h JA treatment	high R/FR, JA spray, biological rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	petiole	P-GSE35700-3	P-GSE35700-2	P-GSE35700-4	GSM873574 extract 1	total RNA	P-GSE35700-5	GSM873574 LE 1	biotin	P-GSE35700-6	GSM873574	A-AFFY-2	  	P-GSE35700-7	P-GSE35700-8	GSM873574.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35700/E-GEOD-35700.raw.1.zip	P-GSE35700-1	GSM873574_sample_table.txt norm	GSM873574_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35700/E-GEOD-35700.processed.1.zip	high red/far-red ratio	jasmonic acid
GSM873573 1	101346-05_2_2.CEL	Arabidopsis petioles, 2h JA treatment	high R/FR, JA spray, biological rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	petiole	P-GSE35700-3	P-GSE35700-2	P-GSE35700-4	GSM873573 extract 1	total RNA	P-GSE35700-5	GSM873573 LE 1	biotin	P-GSE35700-6	GSM873573	A-AFFY-2	  	P-GSE35700-7	P-GSE35700-8	GSM873573.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35700/E-GEOD-35700.raw.1.zip	P-GSE35700-1	GSM873573_sample_table.txt norm	GSM873573_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35700/E-GEOD-35700.processed.1.zip	high red/far-red ratio	jasmonic acid
GSM873572 1	101346-02_2_2.CEL	Arabidopsis petioles, 2h JA treatment	high R/FR, JA spray, biological rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	petiole	P-GSE35700-3	P-GSE35700-2	P-GSE35700-4	GSM873572 extract 1	total RNA	P-GSE35700-5	GSM873572 LE 1	biotin	P-GSE35700-6	GSM873572	A-AFFY-2	  	P-GSE35700-7	P-GSE35700-8	GSM873572.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35700/E-GEOD-35700.raw.1.zip	P-GSE35700-1	GSM873572_sample_table.txt norm	GSM873572_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35700/E-GEOD-35700.processed.1.zip	high red/far-red ratio	jasmonic acid
GSM873571 1	101346-11_2_2.CEL	Arabidopsis petioles, 2h control treatment	high R/FR, mock spray, biological rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	week	petiole	P-GSE35700-3	P-GSE35700-2	P-GSE35700-4	GSM873571 extract 1	total RNA	P-GSE35700-5	GSM873571 LE 1	biotin	P-GSE35700-6	GSM873571	A-AFFY-2	  	P-GSE35700-7	P-GSE35700-8	GSM873571.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35700/E-GEOD-35700.raw.1.zip	P-GSE35700-1	GSM873571_sample_table.txt norm	GSM873571_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35700/E-GEOD-35700.processed.1.zip	high red/far-red ratio	mock
