Source Name	Comment [Sample_description_1]	Comment [Sample_source_name]	Comment [Sample_description_2]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[age]	Unit[time unit]	Characteristics[genotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]
GSM572646 1	Gene expression data from rosette of abi4 vtc2.	Rosette of abi4 vtc2, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	42	day	abi4 vtc2	rosette	P-GSE23329-2	P-GSE23329-3	P-GSE23329-4	GSM572646 extract 1	total RNA	P-GSE23329-5	GSM572646 LE 1	Biotin	P-GSE23329-6	GSM572646	A-AFFY-2	P-GSE23329-7	P-GSE23329-8	P-GSE23329-9	GSM572646.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23329/E-GEOD-23329.raw.1.zip	P-GSE23329-1	GSM572646_sample_table.txt norm	GSM572646_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23329/E-GEOD-23329.processed.1.zip	abi4 vtc2
GSM572645 1	Gene expression data from rosette of abi4 vtc2.	Rosette of abi4 vtc2, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	42	day	abi4 vtc2	rosette	P-GSE23329-2	P-GSE23329-3	P-GSE23329-4	GSM572645 extract 1	total RNA	P-GSE23329-5	GSM572645 LE 1	Biotin	P-GSE23329-6	GSM572645	A-AFFY-2	P-GSE23329-7	P-GSE23329-8	P-GSE23329-9	GSM572645.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23329/E-GEOD-23329.raw.1.zip	P-GSE23329-1	GSM572645_sample_table.txt norm	GSM572645_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23329/E-GEOD-23329.processed.1.zip	abi4 vtc2
GSM572644 1	Gene expression data from rosette of abi4 vtc2.	Rosette of abi4 vtc2, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	42	day	abi4 vtc2	rosette	P-GSE23329-2	P-GSE23329-3	P-GSE23329-4	GSM572644 extract 1	total RNA	P-GSE23329-5	GSM572644 LE 1	Biotin	P-GSE23329-6	GSM572644	A-AFFY-2	P-GSE23329-7	P-GSE23329-8	P-GSE23329-9	GSM572644.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23329/E-GEOD-23329.raw.1.zip	P-GSE23329-1	GSM572644_sample_table.txt norm	GSM572644_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23329/E-GEOD-23329.processed.1.zip	abi4 vtc2
GSM572643 1	Gene expression data from rosette of abi4 vtc2.	Rosette of abi4 vtc2, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	42	day	abi4 vtc2	rosette	P-GSE23329-2	P-GSE23329-3	P-GSE23329-4	GSM572643 extract 1	total RNA	P-GSE23329-5	GSM572643 LE 1	Biotin	P-GSE23329-6	GSM572643	A-AFFY-2	P-GSE23329-7	P-GSE23329-8	P-GSE23329-9	GSM572643.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23329/E-GEOD-23329.raw.1.zip	P-GSE23329-1	GSM572643_sample_table.txt norm	GSM572643_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23329/E-GEOD-23329.processed.1.zip	abi4 vtc2
GSM572642 1	Gene expression data from rosette of abi4 vtc2.	Rosette of abi4 vtc2, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	42	day	abi4 vtc2	rosette	P-GSE23329-2	P-GSE23329-3	P-GSE23329-4	GSM572642 extract 1	total RNA	P-GSE23329-5	GSM572642 LE 1	Biotin	P-GSE23329-6	GSM572642	A-AFFY-2	P-GSE23329-7	P-GSE23329-8	P-GSE23329-9	GSM572642.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23329/E-GEOD-23329.raw.1.zip	P-GSE23329-1	GSM572642_sample_table.txt norm	GSM572642_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23329/E-GEOD-23329.processed.1.zip	abi4 vtc2
GSM572641 1	Gene expression data from rosette of abi4 vtc2.	Rosette of abi4 vtc2, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	42	day	abi4 vtc2	rosette	P-GSE23329-2	P-GSE23329-3	P-GSE23329-4	GSM572641 extract 1	total RNA	P-GSE23329-5	GSM572641 LE 1	Biotin	P-GSE23329-6	GSM572641	A-AFFY-2	P-GSE23329-7	P-GSE23329-8	P-GSE23329-9	GSM572641.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23329/E-GEOD-23329.raw.1.zip	P-GSE23329-1	GSM572641_sample_table.txt norm	GSM572641_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23329/E-GEOD-23329.processed.1.zip	abi4 vtc2
GSM572640 1	Gene expression data from rosette of vtc2.	Rosette of vtc2, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	42	day	vtc2	rosette	P-GSE23329-2	P-GSE23329-3	P-GSE23329-4	GSM572640 extract 1	total RNA	P-GSE23329-5	GSM572640 LE 1	Biotin	P-GSE23329-6	GSM572640	A-AFFY-2	P-GSE23329-7	P-GSE23329-8	P-GSE23329-9	GSM572640.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23329/E-GEOD-23329.raw.1.zip	P-GSE23329-1	GSM572640_sample_table.txt norm	GSM572640_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23329/E-GEOD-23329.processed.1.zip	vtc2
GSM572639 1	Gene expression data from rosette of vtc2.	Rosette of vtc2, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	42	day	vtc2	rosette	P-GSE23329-2	P-GSE23329-3	P-GSE23329-4	GSM572639 extract 1	total RNA	P-GSE23329-5	GSM572639 LE 1	Biotin	P-GSE23329-6	GSM572639	A-AFFY-2	P-GSE23329-7	P-GSE23329-8	P-GSE23329-9	GSM572639.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23329/E-GEOD-23329.raw.1.zip	P-GSE23329-1	GSM572639_sample_table.txt norm	GSM572639_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23329/E-GEOD-23329.processed.1.zip	vtc2
GSM572638 1	Gene expression data from rosette of vtc2.	Rosette of vtc2, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	42	day	vtc2	rosette	P-GSE23329-2	P-GSE23329-3	P-GSE23329-4	GSM572638 extract 1	total RNA	P-GSE23329-5	GSM572638 LE 1	Biotin	P-GSE23329-6	GSM572638	A-AFFY-2	P-GSE23329-7	P-GSE23329-8	P-GSE23329-9	GSM572638.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23329/E-GEOD-23329.raw.1.zip	P-GSE23329-1	GSM572638_sample_table.txt norm	GSM572638_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23329/E-GEOD-23329.processed.1.zip	vtc2
GSM572637 1	Gene expression data from rosette of vtc2.	Rosette of vtc2, 42 days old	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	42	day	vtc2	rosette	P-GSE23329-2	P-GSE23329-3	P-GSE23329-4	GSM572637 extract 1	total RNA	P-GSE23329-5	GSM572637 LE 1	Biotin	P-GSE23329-6	GSM572637	A-AFFY-2	P-GSE23329-7	P-GSE23329-8	P-GSE23329-9	GSM572637.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23329/E-GEOD-23329.raw.1.zip	P-GSE23329-1	GSM572637_sample_table.txt norm	GSM572637_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-23329/E-GEOD-23329.processed.1.zip	vtc2
