Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Characteristics[Ecotype]	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[COMPOUND]
GSE5754GSM134382	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Est:  Treatment: 0.02% silwet. na	Est	GSE5754GSM134382 sample	GSE5754GSM134382 extract	total_RNA	GSE5754GSM134382 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-43_275b_Est_0.02%-silwet_Rep1_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-43_275b_Est_0.02%-silwet_Rep1_ATH1	GSM134382.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5754/E-GEOD-5754.raw.1.zip	E-GEOD-5754-processed-data-1628607363.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5754/E-GEOD-5754.processed.1.zip	none
GSE5754GSM134383	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Est:  Treatment: 0.02% silwet. na	Est	GSE5754GSM134383 sample	GSE5754GSM134383 extract	total_RNA	GSE5754GSM134383 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-44_310_Est_0.02%-silwet_Rep2_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-44_310_Est_0.02%-silwet_Rep2_ATH1	GSM134383.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5754/E-GEOD-5754.raw.1.zip	E-GEOD-5754-processed-data-1628607363.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5754/E-GEOD-5754.processed.1.zip	none
GSE5754GSM134376	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Est:  Treatment: 0.02% silwet. na	Est	GSE5754GSM134376 sample	GSE5754GSM134376 extract	total_RNA	GSE5754GSM134376 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-37_290_Est_0.02%-silwet_Rep1_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-37_290_Est_0.02%-silwet_Rep1_ATH1	GSM134376.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5754/E-GEOD-5754.raw.1.zip	E-GEOD-5754-processed-data-1628607363.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5754/E-GEOD-5754.processed.1.zip	none
GSE5754GSM134387	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Est:  Treatment: 0.30 mM SA in 0.02% silwet. na	Est	GSE5754GSM134387 sample	GSE5754GSM134387 extract	total_RNA	GSE5754GSM134387 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-48_397_Est_0.30mM-SA-in-0.02%-silwet_Rep3_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-48_397_Est_0.30mM-SA-in-0.02%-silwet_Rep3_ATH1	GSM134387.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5754/E-GEOD-5754.raw.1.zip	E-GEOD-5754-processed-data-1628607363.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5754/E-GEOD-5754.processed.1.zip	salicylic acid
GSE5754GSM134385	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Est:  Treatment: 0.30 mM SA in 0.02% silwet. na	Est	GSE5754GSM134385 sample	GSE5754GSM134385 extract	total_RNA	GSE5754GSM134385 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-46_293_Est_0.30mM-SA-in-0.02%-silwet_Rep1_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-46_293_Est_0.30mM-SA-in-0.02%-silwet_Rep1_ATH1	GSM134385.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5754/E-GEOD-5754.raw.1.zip	E-GEOD-5754-processed-data-1628607363.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5754/E-GEOD-5754.processed.1.zip	salicylic acid
GSE5754GSM134389	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Est:  Treatment: 0.30 mM SA in 0.02% silwet. na	Est	GSE5754GSM134389 sample	GSE5754GSM134389 extract	total_RNA	GSE5754GSM134389 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-50_329_Est_0.30mM-SA-in-0.02%-silwet_Rep2_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-50_329_Est_0.30mM-SA-in-0.02%-silwet_Rep2_ATH1	GSM134389.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5754/E-GEOD-5754.raw.1.zip	E-GEOD-5754-processed-data-1628607363.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5754/E-GEOD-5754.processed.1.zip	salicylic acid
GSE5754GSM134393	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Est:  Treatment: 0.30 mM SA in 0.02% silwet. na	Est	GSE5754GSM134393 sample	GSE5754GSM134393 extract	total_RNA	GSE5754GSM134393 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-54_391_Est_0.30mM-SA-in-0.02%-silwet_Rep3_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-54_391_Est_0.30mM-SA-in-0.02%-silwet_Rep3_ATH1	GSM134393.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5754/E-GEOD-5754.raw.1.zip	E-GEOD-5754-processed-data-1628607363.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5754/E-GEOD-5754.processed.1.zip	salicylic acid
GSE5754GSM134392	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Est:  Treatment: 0.30 mM SA in 0.02% silwet. na	Est	GSE5754GSM134392 sample	GSE5754GSM134392 extract	total_RNA	GSE5754GSM134392 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-53_316_Est_0.30mM-SA-in-0.02%-silwet_Rep2_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-53_316_Est_0.30mM-SA-in-0.02%-silwet_Rep2_ATH1	GSM134392.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5754/E-GEOD-5754.raw.1.zip	E-GEOD-5754-processed-data-1628607363.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5754/E-GEOD-5754.processed.1.zip	salicylic acid
GSE5754GSM134386	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Est:  Treatment: 0.30 mM SA in 0.02% silwet. na	Est	GSE5754GSM134386 sample	GSE5754GSM134386 extract	total_RNA	GSE5754GSM134386 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-47_334_Est_0.30mM-SA-in-0.02%-silwet_Rep2_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-47_334_Est_0.30mM-SA-in-0.02%-silwet_Rep2_ATH1	GSM134386.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5754/E-GEOD-5754.raw.1.zip	E-GEOD-5754-processed-data-1628607363.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5754/E-GEOD-5754.processed.1.zip	salicylic acid
GSE5754GSM134380	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Est:  Treatment: 0.02% silwet. na	Est	GSE5754GSM134380 sample	GSE5754GSM134380 extract	total_RNA	GSE5754GSM134380 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-41_326b_Est_0.02%-silwet_Rep2_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-41_326b_Est_0.02%-silwet_Rep2_ATH1	GSM134380.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5754/E-GEOD-5754.raw.1.zip	E-GEOD-5754-processed-data-1628607363.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5754/E-GEOD-5754.processed.1.zip	none
