Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [developmental stage]	Characteristics [ecotype/cultivar]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [DEVELOPMENTAL STAGE]	FactorValue [GENOTYPE]
GSM1186761 1	gene expression data from mature somatic embryos in a vtc2 mutant	vtc2 mutant mature somatic embryos at day 14	vtc2 mature somatic embryo, bio rep2	mature somatic embryo	Col-0	EFO	EFO_0005148	vtc2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE48915-2	ArrayExpress	P-GSE48915-3	ArrayExpress	P-GSE48915-4	ArrayExpress	GSM1186761 extract 1	total RNA	P-GSE48915-5	ArrayExpress	GSM1186761 LE 1	biotin	P-GSE48915-6	ArrayExpress	GSM1186761	A-AFFY-2	ArrayExpress	array assay	P-GSE48915-7	ArrayExpress	GSM1186761_vtc2D14M2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-48915/E-GEOD-48915.raw.1.zip	P-GSE48915-1	ArrayExpress	GSM1186761_sample_table.txt norm	GSM1186761_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-48915/E-GEOD-48915.processed.1.zip	mature somatic embryo	vtc2
GSM1186760 1	gene expression data from mature somatic embryos in a vtc2 mutant	vtc2 mutant mature somatic embryos at day 14	vtc2 mature somatic embryo, bio rep1	mature somatic embryo	Col-0	EFO	EFO_0005148	vtc2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE48915-2	ArrayExpress	P-GSE48915-3	ArrayExpress	P-GSE48915-4	ArrayExpress	GSM1186760 extract 1	total RNA	P-GSE48915-5	ArrayExpress	GSM1186760 LE 1	biotin	P-GSE48915-6	ArrayExpress	GSM1186760	A-AFFY-2	ArrayExpress	array assay	P-GSE48915-7	ArrayExpress	GSM1186760_vtc2D14M1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-48915/E-GEOD-48915.raw.1.zip	P-GSE48915-1	ArrayExpress	GSM1186760_sample_table.txt norm	GSM1186760_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-48915/E-GEOD-48915.processed.1.zip	mature somatic embryo	vtc2
GSM1186759 1	gene expression data from late induction phase in vtc2 mutant of somatic embryogenesis	vtc2 mutant day 14 induction +2,4-D	vtc2 day 14 induction, bio rep2	day 14 induction	Col-0	EFO	EFO_0005148	vtc2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE48915-2	ArrayExpress	P-GSE48915-3	ArrayExpress	P-GSE48915-4	ArrayExpress	GSM1186759 extract 1	total RNA	P-GSE48915-5	ArrayExpress	GSM1186759 LE 1	biotin	P-GSE48915-6	ArrayExpress	GSM1186759	A-AFFY-2	ArrayExpress	array assay	P-GSE48915-7	ArrayExpress	GSM1186759_vtc2D14I2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-48915/E-GEOD-48915.raw.1.zip	P-GSE48915-1	ArrayExpress	GSM1186759_sample_table.txt norm	GSM1186759_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-48915/E-GEOD-48915.processed.1.zip	day 14 induction	vtc2
GSM1186758 1	gene expression data from late induction phase in vtc2 mutant of somatic embryogenesis	vtc2 mutant day 14 induction +2,4-D	vtc2 day 14 induction, bio rep1	day 14 induction	Col-0	EFO	EFO_0005148	vtc2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE48915-2	ArrayExpress	P-GSE48915-3	ArrayExpress	P-GSE48915-4	ArrayExpress	GSM1186758 extract 1	total RNA	P-GSE48915-5	ArrayExpress	GSM1186758 LE 1	biotin	P-GSE48915-6	ArrayExpress	GSM1186758	A-AFFY-2	ArrayExpress	array assay	P-GSE48915-7	ArrayExpress	GSM1186758_vtc2D14I1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-48915/E-GEOD-48915.raw.1.zip	P-GSE48915-1	ArrayExpress	GSM1186758_sample_table.txt norm	GSM1186758_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-48915/E-GEOD-48915.processed.1.zip	day 14 induction	vtc2
GSM1186757 1	gene expression data from early induction phase in vtc2 mutants of somatic embryogenesis	vtc2 mutant day 7 induction +2,4-D	vtc2 day 7 induction, bio rep2	day 7 induction	Col-0	EFO	EFO_0005148	vtc2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE48915-2	ArrayExpress	P-GSE48915-3	ArrayExpress	P-GSE48915-4	ArrayExpress	GSM1186757 extract 1	total RNA	P-GSE48915-5	ArrayExpress	GSM1186757 LE 1	biotin	P-GSE48915-6	ArrayExpress	GSM1186757	A-AFFY-2	ArrayExpress	array assay	P-GSE48915-7	ArrayExpress	GSM1186757_vtc2D7I2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-48915/E-GEOD-48915.raw.1.zip	P-GSE48915-1	ArrayExpress	GSM1186757_sample_table.txt norm	GSM1186757_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-48915/E-GEOD-48915.processed.1.zip	day 7 induction	vtc2
GSM1186756 1	gene expression data from early induction phase in vtc2 mutants of somatic embryogenesis	vtc2 mutant day 7 induction +2,4-D	vtc2 day 7 induction, bio rep1	day 7 induction	Col-0	EFO	EFO_0005148	vtc2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE48915-2	ArrayExpress	P-GSE48915-3	ArrayExpress	P-GSE48915-4	ArrayExpress	GSM1186756 extract 1	total RNA	P-GSE48915-5	ArrayExpress	GSM1186756 LE 1	biotin	P-GSE48915-6	ArrayExpress	GSM1186756	A-AFFY-2	ArrayExpress	array assay	P-GSE48915-7	ArrayExpress	GSM1186756_vtc2D7I1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-48915/E-GEOD-48915.raw.1.zip	P-GSE48915-1	ArrayExpress	GSM1186756_sample_table.txt norm	GSM1186756_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-48915/E-GEOD-48915.processed.1.zip	day 7 induction	vtc2
GSM1186755 1	gene expression data from vtc2 mutant zygotic embryos	vtc2 mutant bent cotyledon zygotic embryo	vtc2 zygotic embryo, bio rep2	bent cotyledon zygotic embryo	Col-0	EFO	EFO_0005148	vtc2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE48915-2	ArrayExpress	P-GSE48915-3	ArrayExpress	P-GSE48915-4	ArrayExpress	GSM1186755 extract 1	total RNA	P-GSE48915-5	ArrayExpress	GSM1186755 LE 1	biotin	P-GSE48915-6	ArrayExpress	GSM1186755	A-AFFY-2	ArrayExpress	array assay	P-GSE48915-7	ArrayExpress	GSM1186755_vtc2ZYG2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-48915/E-GEOD-48915.raw.1.zip	P-GSE48915-1	ArrayExpress	GSM1186755_sample_table.txt norm	GSM1186755_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-48915/E-GEOD-48915.processed.1.zip	bent cotyledon zygotic embryo	vtc2
GSM1186754 1	gene expression data from vtc2 mutant zygotic embryos	vtc2 mutant bent cotyledon zygotic embryo	vtc2 zygotic embryo, bio rep1	bent cotyledon zygotic embryo	Col-0	EFO	EFO_0005148	vtc2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE48915-2	ArrayExpress	P-GSE48915-3	ArrayExpress	P-GSE48915-4	ArrayExpress	GSM1186754 extract 1	total RNA	P-GSE48915-5	ArrayExpress	GSM1186754 LE 1	biotin	P-GSE48915-6	ArrayExpress	GSM1186754	A-AFFY-2	ArrayExpress	array assay	P-GSE48915-7	ArrayExpress	GSM1186754_vtc2ZYG1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-48915/E-GEOD-48915.raw.1.zip	P-GSE48915-1	ArrayExpress	GSM1186754_sample_table.txt norm	GSM1186754_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-48915/E-GEOD-48915.processed.1.zip	bent cotyledon zygotic embryo	vtc2
GSM1186753 1	gene expression data from mature somatic embryos	wild type mature somatic embryos at day 14	wild type mature somatic embryo, bio rep2	mature somatic embryo	Col-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE48915-2	ArrayExpress	P-GSE48915-3	ArrayExpress	P-GSE48915-4	ArrayExpress	GSM1186753 extract 1	total RNA	P-GSE48915-5	ArrayExpress	GSM1186753 LE 1	biotin	P-GSE48915-6	ArrayExpress	GSM1186753	A-AFFY-2	ArrayExpress	array assay	P-GSE48915-7	ArrayExpress	GSM1186753_WTD14M2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-48915/E-GEOD-48915.raw.1.zip	P-GSE48915-1	ArrayExpress	GSM1186753_sample_table.txt norm	GSM1186753_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-48915/E-GEOD-48915.processed.1.zip	mature somatic embryo	wild type
GSM1186752 1	gene expression data from mature somatic embryos	wild type mature somatic embryos at day 14	wild type mature somatic embryo, bio rep1	mature somatic embryo	Col-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE48915-2	ArrayExpress	P-GSE48915-3	ArrayExpress	P-GSE48915-4	ArrayExpress	GSM1186752 extract 1	total RNA	P-GSE48915-5	ArrayExpress	GSM1186752 LE 1	biotin	P-GSE48915-6	ArrayExpress	GSM1186752	A-AFFY-2	ArrayExpress	array assay	P-GSE48915-7	ArrayExpress	GSM1186752_WTD14M1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-48915/E-GEOD-48915.raw.1.zip	P-GSE48915-1	ArrayExpress	GSM1186752_sample_table.txt norm	GSM1186752_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-48915/E-GEOD-48915.processed.1.zip	mature somatic embryo	wild type
