Source Name	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Characteristics [Genotype]	Description	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [Genotype]	Factor Value [Time]	Unit [TimeUnit]	Factor Value [Compound]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE3350GSM75515	lateral root	EFO	EFO_0001960	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild_type	lateral root inducible segment (between root meristem and hypocotyl)	GSE3350GSM75515 sample	P-G3350-4	GSE3350GSM75515 extract	total_RNA	P-G3350-8	GSE3350GSM75515 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-0 6h MOCK replicate 2	A-AFFY-2	P-AFFY-6	wild_type	6	h	none	Col-0 6h MOCK replicate 2	GSM75515.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3350/E-GEOD-3350.raw.1.zip	E-GEOD-3350-processed-data-1447307374.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3350/E-GEOD-3350.processed.1.zip
GSE3350GSM75510	lateral root	EFO	EFO_0001960	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild_type	lateral root inducible segment (between root meristem and hypocotyl)	GSE3350GSM75510 sample	P-G3350-3	GSE3350GSM75510 extract	total_RNA	P-G3350-8	GSE3350GSM75510 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-0 6h NAA replicate 1	A-AFFY-2	P-AFFY-6	wild_type	6	h	naphthalene-1-acetic acid	Col-0 6h NAA replicate 1	GSM75510.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3350/E-GEOD-3350.raw.1.zip	E-GEOD-3350-processed-data-1447307374.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3350/E-GEOD-3350.processed.1.zip
GSE3350GSM75521	lateral root	EFO	EFO_0001960	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	slr1 mutant	lateral root inducible segment (between root meristem and hypocotyl)	GSE3350GSM75521 sample	P-G3350-7	GSE3350GSM75521 extract	total_RNA	P-G3350-8	GSE3350GSM75521 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	slr-1 6h NAA replicate 2	A-AFFY-2	P-AFFY-6	slr1 mutant	6	h	naphthalene-1-acetic acid	slr-1 6h NAA replicate 2	GSM75521.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3350/E-GEOD-3350.raw.1.zip	E-GEOD-3350-processed-data-1447307374.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3350/E-GEOD-3350.processed.1.zip
GSE3350GSM75513	lateral root	EFO	EFO_0001960	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild_type	lateral root inducible segment (between root meristem and hypocotyl)	GSE3350GSM75513 sample	P-G3350-2	GSE3350GSM75513 extract	total_RNA	P-G3350-8	GSE3350GSM75513 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-0 2h NAA replicate 2	A-AFFY-2	P-AFFY-6	wild_type	2	h	naphthalene-1-acetic acid	Col-0 2h NAA replicate 2	GSM75513.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3350/E-GEOD-3350.raw.1.zip	E-GEOD-3350-processed-data-1447307374.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3350/E-GEOD-3350.processed.1.zip
GSE3350GSM75509	lateral root	EFO	EFO_0001960	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild_type	lateral root inducible segment (between root meristem and hypocotyl)	GSE3350GSM75509 sample	P-G3350-2	GSE3350GSM75509 extract	total_RNA	P-G3350-8	GSE3350GSM75509 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-0 2h NAA replicate 1	A-AFFY-2	P-AFFY-6	wild_type	2	h	naphthalene-1-acetic acid	Col-0 2h NAA replicate 1	GSM75509.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3350/E-GEOD-3350.raw.1.zip	E-GEOD-3350-processed-data-1447307374.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3350/E-GEOD-3350.processed.1.zip
GSE3350GSM75519	lateral root	EFO	EFO_0001960	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	slr1 mutant	lateral root inducible segment (between root meristem and hypocotyl)	GSE3350GSM75519 sample	P-G3350-5	GSE3350GSM75519 extract	total_RNA	P-G3350-8	GSE3350GSM75519 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	slr-1 0h NAA replicate 2	A-AFFY-2	P-AFFY-6	slr1 mutant	0	h	naphthalene-1-acetic acid	slr-1 0h NAA replicate 2	GSM75519.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3350/E-GEOD-3350.raw.1.zip	E-GEOD-3350-processed-data-1447307374.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3350/E-GEOD-3350.processed.1.zip
GSE3350GSM75517	lateral root	EFO	EFO_0001960	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	slr1 mutant	lateral root inducible segment (between root meristem and hypocotyl)	GSE3350GSM75517 sample	P-G3350-6	GSE3350GSM75517 extract	total_RNA	P-G3350-8	GSE3350GSM75517 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	slr-1 2h NAA replicate 1	A-AFFY-2	P-AFFY-6	slr1 mutant	2	h	naphthalene-1-acetic acid	slr-1 2h NAA replicate 1	GSM75517.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3350/E-GEOD-3350.raw.1.zip	E-GEOD-3350-processed-data-1447307374.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3350/E-GEOD-3350.processed.1.zip
GSE3350GSM75514	lateral root	EFO	EFO_0001960	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild_type	lateral root inducible segment (between root meristem and hypocotyl)	GSE3350GSM75514 sample	P-G3350-3	GSE3350GSM75514 extract	total_RNA	P-G3350-8	GSE3350GSM75514 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-0 6h NAA replicate 2	A-AFFY-2	P-AFFY-6	wild_type	6	h	naphthalene-1-acetic acid	Col-0 6h NAA replicate 2	GSM75514.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3350/E-GEOD-3350.raw.1.zip	E-GEOD-3350-processed-data-1447307374.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3350/E-GEOD-3350.processed.1.zip
GSE3350GSM75511	lateral root	EFO	EFO_0001960	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild_type	lateral root inducible segment (between root meristem and hypocotyl)	GSE3350GSM75511 sample	P-G3350-4	GSE3350GSM75511 extract	total_RNA	P-G3350-8	GSE3350GSM75511 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-0 6h MOCK replicate 1	A-AFFY-2	P-AFFY-6	wild_type	6	h	none	Col-0 6h MOCK replicate 1	GSM75511.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3350/E-GEOD-3350.raw.1.zip	E-GEOD-3350-processed-data-1447307374.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3350/E-GEOD-3350.processed.1.zip
GSE3350GSM75518	lateral root	EFO	EFO_0001960	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	slr1 mutant	lateral root inducible segment (between root meristem and hypocotyl)	GSE3350GSM75518 sample	P-G3350-7	GSE3350GSM75518 extract	total_RNA	P-G3350-8	GSE3350GSM75518 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	slr-1 6h NAA replicate 1	A-AFFY-2	P-AFFY-6	slr1 mutant	6	h	naphthalene-1-acetic acid	slr-1 6h NAA replicate 1	GSM75518.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3350/E-GEOD-3350.raw.1.zip	E-GEOD-3350-processed-data-1447307374.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3350/E-GEOD-3350.processed.1.zip
