Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [sampling time]	Characteristics [time after treatment]	Characteristics [treated with]	Characteristics [treatment duration]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [AGE]	FactorValue [GENOTYPE]	FactorValue [SAMPLING TIME]	FactorValue [TIME AFTER TREATMENT]	FactorValue [TREATED WITH]	FactorValue [TREATMENT DURATION]
GSM1506057 1	UA.day.2.rep.2	seedling_day 2_unirradiated control_atm-1	seedling,day_2_unirradiated,atm-1 rep2	6 days old	atm-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	9:15 am on Day #2	  	none (unirradiated control)	  	P-GSE61484-2	ArrayExpress	P-GSE61484-3	ArrayExpress	P-GSE61484-4	ArrayExpress	GSM1506057 extract 1	total RNA	P-GSE61484-5	ArrayExpress	GSM1506057 LE 1	biotin	P-GSE61484-6	ArrayExpress	GSM1506057	A-AFFY-2	ArrayExpress	array assay	P-GSE61484-7	ArrayExpress	GSM1506057_0706A-10_L2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.raw.1.zip	P-GSE61484-1	ArrayExpress	GSM1506057_sample_table.txt norm	GSM1506057_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.processed.1.zip	6 days old	atm-1	9:15 am on Day #2	not specified	none (unirradiated control)	not specified
GSM1506056 1	UA.day.2.rep.1	seedling_day 2_unirradiated control_atm-1	seedling,day_2_unirradiated,atm-1 rep1	6 days old	atm-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	9:15 am on Day #2	  	none (unirradiated control)	  	P-GSE61484-2	ArrayExpress	P-GSE61484-3	ArrayExpress	P-GSE61484-4	ArrayExpress	GSM1506056 extract 1	total RNA	P-GSE61484-5	ArrayExpress	GSM1506056 LE 1	biotin	P-GSE61484-6	ArrayExpress	GSM1506056	A-AFFY-2	ArrayExpress	array assay	P-GSE61484-7	ArrayExpress	GSM1506056_0706A-10_L1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.raw.1.zip	P-GSE61484-1	ArrayExpress	GSM1506056_sample_table.txt norm	GSM1506056_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.processed.1.zip	6 days old	atm-1	9:15 am on Day #2	not specified	none (unirradiated control)	not specified
GSM1506055 1	UA.day.1.rep.2	seedling_day 1_unirradiated control_atm-1	seedling,day_1_unirradiated,atm-1 rep2	5 days old	atm-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	10:45 am on Day #1	  	none (unirradiated control)	  	P-GSE61484-2	ArrayExpress	P-GSE61484-3	ArrayExpress	P-GSE61484-4	ArrayExpress	GSM1506055 extract 1	total RNA	P-GSE61484-5	ArrayExpress	GSM1506055 LE 1	biotin	P-GSE61484-6	ArrayExpress	GSM1506055	A-AFFY-2	ArrayExpress	array assay	P-GSE61484-7	ArrayExpress	GSM1506055_0806A-10_B2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.raw.1.zip	P-GSE61484-1	ArrayExpress	GSM1506055_sample_table.txt norm	GSM1506055_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.processed.1.zip	5 days old	atm-1	10:45 am on Day #1	not specified	none (unirradiated control)	not specified
GSM1506054 1	UA.day.1.rep.1	seedling_day 1_unirradiated control_atm-1	seedling,day_1_unirradiated,atm-1 rep1	5 days old	atm-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	10:45 am on Day #1	  	none (unirradiated control)	  	P-GSE61484-2	ArrayExpress	P-GSE61484-3	ArrayExpress	P-GSE61484-4	ArrayExpress	GSM1506054 extract 1	total RNA	P-GSE61484-5	ArrayExpress	GSM1506054 LE 1	biotin	P-GSE61484-6	ArrayExpress	GSM1506054	A-AFFY-2	ArrayExpress	array assay	P-GSE61484-7	ArrayExpress	GSM1506054_0806A-10_B1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.raw.1.zip	P-GSE61484-1	ArrayExpress	GSM1506054_sample_table.txt norm	GSM1506054_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.processed.1.zip	5 days old	atm-1	10:45 am on Day #1	not specified	none (unirradiated control)	not specified
GSM1506053 1	UW.day.2.rep.2	seedling_day 2_unirradiated control_WT	seedling,day_2_unirradiated,WT rep2	6 days old	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	9:15 am on Day #2	  	none (unirradiated control)	  	P-GSE61484-2	ArrayExpress	P-GSE61484-3	ArrayExpress	P-GSE61484-4	ArrayExpress	GSM1506053 extract 1	total RNA	P-GSE61484-5	ArrayExpress	GSM1506053 LE 1	biotin	P-GSE61484-6	ArrayExpress	GSM1506053	A-AFFY-2	ArrayExpress	array assay	P-GSE61484-7	ArrayExpress	GSM1506053_0706A-10_K2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.raw.1.zip	P-GSE61484-1	ArrayExpress	GSM1506053_sample_table.txt norm	GSM1506053_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.processed.1.zip	6 days old	wild type	9:15 am on Day #2	not specified	none (unirradiated control)	not specified
GSM1506052 1	UW.day.2.rep.1	seedling_day 2_unirradiated control_WT	seedling,day_2_unirradiated,WT rep1	6 days old	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	9:15 am on Day #2	  	none (unirradiated control)	  	P-GSE61484-2	ArrayExpress	P-GSE61484-3	ArrayExpress	P-GSE61484-4	ArrayExpress	GSM1506052 extract 1	total RNA	P-GSE61484-5	ArrayExpress	GSM1506052 LE 1	biotin	P-GSE61484-6	ArrayExpress	GSM1506052	A-AFFY-2	ArrayExpress	array assay	P-GSE61484-7	ArrayExpress	GSM1506052_0706A-10_K1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.raw.1.zip	P-GSE61484-1	ArrayExpress	GSM1506052_sample_table.txt norm	GSM1506052_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.processed.1.zip	6 days old	wild type	9:15 am on Day #2	not specified	none (unirradiated control)	not specified
GSM1506051 1	UW.day.1.rep.2	seedling_day 1_unirradiated control_WT	seedling,day_1_unirradiated,WT rep2	5 days old	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	10:45 am on Day #1	  	none (unirradiated control)	  	P-GSE61484-2	ArrayExpress	P-GSE61484-3	ArrayExpress	P-GSE61484-4	ArrayExpress	GSM1506051 extract 1	total RNA	P-GSE61484-5	ArrayExpress	GSM1506051 LE 1	biotin	P-GSE61484-6	ArrayExpress	GSM1506051	A-AFFY-2	ArrayExpress	array assay	P-GSE61484-7	ArrayExpress	GSM1506051_0806A-10_A2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.raw.1.zip	P-GSE61484-1	ArrayExpress	GSM1506051_sample_table.txt norm	GSM1506051_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.processed.1.zip	5 days old	wild type	10:45 am on Day #1	not specified	none (unirradiated control)	not specified
GSM1506050 1	UW.day.1.rep.1	seedling_day 1_unirradiated control_WT	seedling,day_1_unirradiated,WT rep1	5 days old	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	10:45 am on Day #1	  	none (unirradiated control)	  	P-GSE61484-2	ArrayExpress	P-GSE61484-3	ArrayExpress	P-GSE61484-4	ArrayExpress	GSM1506050 extract 1	total RNA	P-GSE61484-5	ArrayExpress	GSM1506050 LE 1	biotin	P-GSE61484-6	ArrayExpress	GSM1506050	A-AFFY-2	ArrayExpress	array assay	P-GSE61484-7	ArrayExpress	GSM1506050_0806A-10_A1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.raw.1.zip	P-GSE61484-1	ArrayExpress	GSM1506050_sample_table.txt norm	GSM1506050_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.processed.1.zip	5 days old	wild type	10:45 am on Day #1	not specified	none (unirradiated control)	not specified
GSM1506049 1	HA24.0.rep.2	seedling_24h after HZE irradiation_atm-1	seedling,24h_after_HZE,atm-1 rep2	6 days old	atm-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	1:09 pm on Day #2	24h	30 Gy of HZE	approx. 12 minutes	P-GSE61484-2	ArrayExpress	P-GSE61484-3	ArrayExpress	P-GSE61484-4	ArrayExpress	GSM1506049 extract 1	total RNA	P-GSE61484-5	ArrayExpress	GSM1506049 LE 1	biotin	P-GSE61484-6	ArrayExpress	GSM1506049	A-AFFY-2	ArrayExpress	array assay	P-GSE61484-7	ArrayExpress	GSM1506049_0806A-10_J2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.raw.1.zip	P-GSE61484-1	ArrayExpress	GSM1506049_sample_table.txt norm	GSM1506049_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.processed.1.zip	6 days old	atm-1	1:09 pm on Day #2	24h	30 Gy of HZE	approx. 12 minutes
GSM1506048 1	HA24.0.rep.1	seedling_24h after HZE irradiation_atm-1	seedling,24h_after_HZE,atm-1 rep1	6 days old	atm-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	1:09 pm on Day #2	24h	30 Gy of HZE	approx. 12 minutes	P-GSE61484-2	ArrayExpress	P-GSE61484-3	ArrayExpress	P-GSE61484-4	ArrayExpress	GSM1506048 extract 1	total RNA	P-GSE61484-5	ArrayExpress	GSM1506048 LE 1	biotin	P-GSE61484-6	ArrayExpress	GSM1506048	A-AFFY-2	ArrayExpress	array assay	P-GSE61484-7	ArrayExpress	GSM1506048_0806A-10_J1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.raw.1.zip	P-GSE61484-1	ArrayExpress	GSM1506048_sample_table.txt norm	GSM1506048_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.processed.1.zip	6 days old	atm-1	1:09 pm on Day #2	24h	30 Gy of HZE	approx. 12 minutes
GSM1506047 1	HA12.0.rep.2	seedling_12h after HZE irradiation_atm-1	seedling,12h_after_HZE,atm-1 rep2	5 days old	atm-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	1:09 am on Day #2	12h	30 Gy of HZE	approx. 12 minutes	P-GSE61484-2	ArrayExpress	P-GSE61484-3	ArrayExpress	P-GSE61484-4	ArrayExpress	GSM1506047 extract 1	total RNA	P-GSE61484-5	ArrayExpress	GSM1506047 LE 1	biotin	P-GSE61484-6	ArrayExpress	GSM1506047	A-AFFY-2	ArrayExpress	array assay	P-GSE61484-7	ArrayExpress	GSM1506047_1006A-03_HA12-24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.raw.1.zip	P-GSE61484-1	ArrayExpress	GSM1506047_sample_table.txt norm	GSM1506047_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.processed.1.zip	5 days old	atm-1	1:09 am on Day #2	12h	30 Gy of HZE	approx. 12 minutes
GSM1506046 1	HA12.0.rep.1	seedling_12h after HZE irradiation_atm-1	seedling,12h_after_HZE,atm-1 rep1	5 days old	atm-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	1:09 am on Day #2	12h	30 Gy of HZE	approx. 12 minutes	P-GSE61484-2	ArrayExpress	P-GSE61484-3	ArrayExpress	P-GSE61484-4	ArrayExpress	GSM1506046 extract 1	total RNA	P-GSE61484-5	ArrayExpress	GSM1506046 LE 1	biotin	P-GSE61484-6	ArrayExpress	GSM1506046	A-AFFY-2	ArrayExpress	array assay	P-GSE61484-7	ArrayExpress	GSM1506046_1006A-03_HA12-23.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.raw.1.zip	P-GSE61484-1	ArrayExpress	GSM1506046_sample_table.txt norm	GSM1506046_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.processed.1.zip	5 days old	atm-1	1:09 am on Day #2	12h	30 Gy of HZE	approx. 12 minutes
GSM1506045 1	HA6.0.rep.2	seedling_6h after HZE irradiation_atm-1	seedling,6h_after_HZE,atm-1 rep2	5 days old	atm-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	7:24 pm on Day #1	6h	30 Gy of HZE	approx. 12 minutes	P-GSE61484-2	ArrayExpress	P-GSE61484-3	ArrayExpress	P-GSE61484-4	ArrayExpress	GSM1506045 extract 1	total RNA	P-GSE61484-5	ArrayExpress	GSM1506045 LE 1	biotin	P-GSE61484-6	ArrayExpress	GSM1506045	A-AFFY-2	ArrayExpress	array assay	P-GSE61484-7	ArrayExpress	GSM1506045_1006A-03_HA6-20_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.raw.1.zip	P-GSE61484-1	ArrayExpress	GSM1506045_sample_table.txt norm	GSM1506045_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61484/E-GEOD-61484.processed.1.zip	5 days old	atm-1	7:24 pm on Day #1	6h	30 Gy of HZE	approx. 12 minutes
