Source Name	Characteristics [age]	Unit[time unit]	Characteristics [ecotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Parameter Value [growth humidity]	Parameter Value [growth temperature]	Unit [temperature unit]	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Parameter Value [Percentile]	Parameter Value [Outlier low]	Parameter Value [Outlier high]	Parameter Value [Cell margin]	Protocol REF	Parameter Value [scanner]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Comment [Derived ArrayExpress FTP file]	Factor Value [time]	Unit[time unit]	Factor Value [organism part]	Term Source REF	Term Accession Number	Factor Value [ecotype]
CS1092_118	21+	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 15 flower	  	  	flower	P-TABM-42	65%	23	degree celsius	Col-0_flow15_carp1	P-TABM-51	Col-0_flow15_carp1	total_RNA	P-TABM-52	Col-0_flow15_carp1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_45_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_45_A	ATGE_45_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	21+	day	flower	  	  	Columbia-0
AP1-15_4	21+	day	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 12 flower	  	  	flower	P-TABM-42	65%	23	degree celsius	ap1-15_flow121	P-TABM-51	ap1-15_flow121	total_RNA	P-TABM-52	ap1-15_flow121 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_55_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_55_A	ATGE_55_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	21+	day	flower	  	  	AP1-15
AP3-6_2	21+	day	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 1 flower	  	  	flower + shoot apex	P-TABM-42	65%	23	degree celsius	ap3-6_inflor2	P-TABM-51	ap3-6_inflor2	total_RNA	P-TABM-52	ap3-6_inflor2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_50_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_50_B	ATGE_50_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	21+	day	flower + shoot apex	  	  	AP3-6
CS1092_37	17	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1.12 Boyes key	  	  	rosette leaf	P-TABM-42	65%	23	degree celsius	Col-0_roset61	P-TABM-51	Col-0_roset61	total_RNA	P-TABM-52	Col-0_roset61 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_14_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_14_A	ATGE_14_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	17	day	rosette leaf	EFO	EFO_0001984	Columbia-0
CS1092_156	21	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	late rosette growth	  	  	rosette leaf	P-TABM-42	none	22	degree celsius	Col-0_roset213	P-TABM-51	Col-0_roset213	total_RNA	P-TABM-52	Col-0_roset213 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_90_D	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_90_D	ATGE_90_D.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	21	day	rosette leaf	EFO	EFO_0001984	Columbia-0
CS1092_95	21+	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 12 flower	  	  	flower	P-TABM-42	65%	23	degree celsius	Col-0_flow12_petal2	P-TABM-51	Col-0_flow12_petal2	total_RNA	P-TABM-52	Col-0_flow12_petal2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_35_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_35_B	ATGE_35_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	21+	day	flower	  	  	Columbia-0
CS1092_98	21+	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stage 12 flower	  	  	flower	P-TABM-42	65%	23	degree celsius	Col-0_flow12_stam2	P-TABM-51	Col-0_flow12_stam2	total_RNA	P-TABM-52	Col-0_flow12_stam2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_36_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_36_B	ATGE_36_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	21+	day	flower	  	  	Columbia-0
CS1092_31	17	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1.12 Boyes key	  	  	rosette leaf	P-TABM-42	65%	23	degree celsius	Col-0_roset21	P-TABM-51	Col-0_roset21	total_RNA	P-TABM-52	Col-0_roset21 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_12_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_12_A	ATGE_12_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	17	day	rosette leaf	EFO	EFO_0001984	Columbia-0
CS1092_4	7	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	hypocotyl	P-TABM-42	65%	23	degree celsius	Col-0_hyp1	P-TABM-51	Col-0_hyp1	total_RNA	P-TABM-52	Col-0_hyp1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_2_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_2_A	ATGE_2_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	7	day	hypocotyl	EFO	EFO_0001931	Columbia-0
CS1092_73	21+	day	Columbia-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	early reproductive	  	  	internode	P-TABM-42	65%	23	degree celsius	Col-0_stem_2nd1	P-TABM-51	Col-0_stem_2nd1	total_RNA	P-TABM-52	Col-0_stem_2nd1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	PBA: ATGE_27_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-TABM-54	75	1.004	1.5	2	P-TABM-53	Affymetrix GeneChip Scanner 3000	MBA: ATGE_27_A	ATGE_27_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.raw.1.zip	P-TABM-50	E-TABM-17-processed-data-1343490029.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-17/E-TABM-17.processed.1.zip	21+	day	internode	  	  	Columbia-0
