Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_characteristics]	Comment [Sample_source_name]	Characteristics[Genotype]	Characteristics[Ecotype]	Characteristics[DevelopmentalStage]	Characteristics[OrganismPart]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GENOTYPE]	FactorValue[ECOTYPE]	FactorValue[DEVELOPMENTAL STAGE]	FactorValue[GROWTH CONDITION]
GSE14420GSM360239	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis whole seeds:  Seeds were sown on 0.6% agarose in water. Seeds were treated for six days in the light. extraction_method: Hot Borate extraction of total RNA was performed as described in  Cadman et al., Plant J 46: 805-822,  2006. Col-0 ecotype bearing a T-DNA insertion in the second exon of the ANAC102 gene	Col-0 ecotype bearing a T-DNA insertion in the second exon of the ANAC102 gene	Arabidopsis whole seeds	ANAC102 mutant	Col-0	seed	whole organism	P-G14420-1	P-G14420-2	GSE14420GSM360239 sample	P-G14420-4	GSE14420GSM360239 extract	total_RNA	P-G14420-3	GSE14420GSM360239 LE biotin	biotin	synthetic_RNA	ANAC102 knock-out seeds low oxygen treated biological rep 3	A-AFFY-2	P-AFFY-6	GSM360239.CEL	GSM360239.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14420/E-GEOD-14420.raw.1.zip	E-GEOD-14420-processed-data-1719220038.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14420/E-GEOD-14420.processed.1.zip	ANAC102 mutant	Col-0	seed	hypoxia
GSE14420GSM360238	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis whole seeds:  Seeds were sown on 0.6% agarose in water. Seeds were treated for six days in the light. extraction_method: Hot Borate extraction of total RNA was performed as described in  Cadman et al., Plant J 46: 805-822,  2006. Col-0 ecotype bearing a T-DNA insertion in the second exon of the ANAC102 gene	Col-0 ecotype bearing a T-DNA insertion in the second exon of the ANAC102 gene	Arabidopsis whole seeds	ANAC102 mutant	Col-0	seed	whole organism	P-G14420-1	P-G14420-2	GSE14420GSM360238 sample	P-G14420-4	GSE14420GSM360238 extract	total_RNA	P-G14420-3	GSE14420GSM360238 LE biotin	biotin	synthetic_RNA	ANAC102 knock-out seeds low oxygen treated biological rep 2	A-AFFY-2	P-AFFY-6	GSM360238.CEL	GSM360238.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14420/E-GEOD-14420.raw.1.zip	E-GEOD-14420-processed-data-1719220038.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14420/E-GEOD-14420.processed.1.zip	ANAC102 mutant	Col-0	seed	hypoxia
GSE14420GSM360235	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Whole three week old Arabidopsis plants:  plants were grown on MS media with 3% sucrose and 0.8% agar and transferred to liquid MS media containign 3% sucrose one day prior to treatment. Low oxygen treatment was performed for four hours in darkened chambers. extraction_method: Trizol extraction of total RNA was performed according to the manufacturer's instructions.. Col-0 ecotype	Col-0 ecotype	Whole three week old Arabidopsis plants	wild_type	Col-0	seedling	whole organism	P-G14420-1	P-G14420-2	GSE14420GSM360235 sample	P-G14420-4	GSE14420GSM360235 extract	total_RNA	P-G14420-3	GSE14420GSM360235 LE biotin	biotin	synthetic_RNA	Col-0 low oxygen treated biological rep 1	A-AFFY-2	P-AFFY-6	GSM360235.CEL	GSM360235.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14420/E-GEOD-14420.raw.1.zip	E-GEOD-14420-processed-data-1719220038.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14420/E-GEOD-14420.processed.1.zip	wild_type	Col-0	seedling	hypoxia
GSE14420GSM360233	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Whole three week old Arabidopsis plants:  plants were grown on MS media with 3% sucrose and 0.8% agar and transferred to liquid MS media containign 3% sucrose one day prior to treatment. Low oxygen treatment was performed for four hours in darkened chambers. extraction_method: Trizol extraction of total RNA was performed according to the manufacturer's instructions.. Col-0 ecotype bearing a T-DNA insertion in the second exon of the ANAC102 gene	Col-0 ecotype bearing a T-DNA insertion in the second exon of the ANAC102 gene	Whole three week old Arabidopsis plants	ANAC102 mutant	Col-0	seedling	whole organism	P-G14420-1	P-G14420-2	GSE14420GSM360233 sample	P-G14420-4	GSE14420GSM360233 extract	total_RNA	P-G14420-3	GSE14420GSM360233 LE biotin	biotin	synthetic_RNA	ANAC102 knock-out low oxygen treated biological rep 1	A-AFFY-2	P-AFFY-6	GSM360233.CEL	GSM360233.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14420/E-GEOD-14420.raw.1.zip	E-GEOD-14420-processed-data-1719220038.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14420/E-GEOD-14420.processed.1.zip	ANAC102 mutant	Col-0	seedling	hypoxia
GSE14420GSM360226	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Whole three week old Arabidopsis plants:  plants were grown on MS media with 3% sucrose and 0.8% agar and transferred to liquid MS media containign 3% sucrose one day prior to sampling extraction_method: Trizol extraction of total RNA was performed according to the manufacturer's instructions.. C24 ecotype bearing an ANAC102 overexpression construct	C24 ecotype bearing an ANAC102 overexpression construct	Whole three week old Arabidopsis plants	35S::ANAC102	C24	seedling	whole organism	P-G14420-1	P-G14420-2	GSE14420GSM360226 sample	P-G14420-4	GSE14420GSM360226 extract	total_RNA	P-G14420-3	GSE14420GSM360226 LE biotin	biotin	synthetic_RNA	ANAC102 over-expressor biological rep 2	A-AFFY-2	P-AFFY-6	GSM360226.CEL	GSM360226.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14420/E-GEOD-14420.raw.1.zip	E-GEOD-14420-processed-data-1719220038.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14420/E-GEOD-14420.processed.1.zip	35S::ANAC102	C24	seedling	control
GSE14420GSM360227	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Whole three week old Arabidopsis plants:  plants were grown on MS media with 3% sucrose and 0.8% agar and transferred to liquid MS media containign 3% sucrose one day prior to sampling extraction_method: Trizol extraction of total RNA was performed according to the manufacturer's instructions.. C24 ecotype	C24 ecotype	Whole three week old Arabidopsis plants	wild_type	C24	seedling	whole organism	P-G14420-1	P-G14420-2	GSE14420GSM360227 sample	P-G14420-4	GSE14420GSM360227 extract	total_RNA	P-G14420-3	GSE14420GSM360227 LE biotin	biotin	synthetic_RNA	C24 biological rep 1	A-AFFY-2	P-AFFY-6	GSM360227.CEL	GSM360227.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14420/E-GEOD-14420.raw.1.zip	E-GEOD-14420-processed-data-1719220038.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14420/E-GEOD-14420.processed.1.zip	wild_type	C24	seedling	control
GSE14420GSM360232	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Whole three week old Arabidopsis plants:  plants were grown on MS media with 3% sucrose and 0.8% agar and transferred to liquid MS media containign 3% sucrose one day prior to sampling extraction_method: Trizol extraction of total RNA was performed according to the manufacturer's instructions.. Col-0 ecotype	Col-0 ecotype	Whole three week old Arabidopsis plants	wild_type	Col-0	seedling	whole organism	P-G14420-1	P-G14420-2	GSE14420GSM360232 sample	P-G14420-4	GSE14420GSM360232 extract	total_RNA	P-G14420-3	GSE14420GSM360232 LE biotin	biotin	synthetic_RNA	Col-0 biological rep 2	A-AFFY-2	P-AFFY-6	GSM360232.CEL	GSM360232.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14420/E-GEOD-14420.raw.1.zip	E-GEOD-14420-processed-data-1719220038.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14420/E-GEOD-14420.processed.1.zip	wild_type	Col-0	seedling	control
GSE14420GSM360234	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Whole three week old Arabidopsis plants:  plants were grown on MS media with 3% sucrose and 0.8% agar and transferred to liquid MS media containign 3% sucrose one day prior to treatment. Low oxygen treatment was performed for four hours in darkened chambers. extraction_method: Trizol extraction of total RNA was performed according to the manufacturer's instructions.. Col-0 ecotype bearing a T-DNA insertion in the second exon of the ANAC102 gene	Col-0 ecotype bearing a T-DNA insertion in the second exon of the ANAC102 gene	Whole three week old Arabidopsis plants	ANAC102 mutant	Col-0	seedling	whole organism	P-G14420-1	P-G14420-2	GSE14420GSM360234 sample	P-G14420-4	GSE14420GSM360234 extract	total_RNA	P-G14420-3	GSE14420GSM360234 LE biotin	biotin	synthetic_RNA	ANAC102 knock-out low oxygen treated biological rep 2	A-AFFY-2	P-AFFY-6	GSM360234.CEL	GSM360234.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14420/E-GEOD-14420.raw.1.zip	E-GEOD-14420-processed-data-1719220038.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14420/E-GEOD-14420.processed.1.zip	ANAC102 mutant	Col-0	seedling	hypoxia
GSE14420GSM360225	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Whole three week old Arabidopsis plants:  plants were grown on MS media with 3% sucrose and 0.8% agar and transferred to liquid MS media containign 3% sucrose one day prior to sampling extraction_method: Trizol extraction of total RNA was performed according to the manufacturer's instructions.. C24 ecotype bearing an ANAC102 overexpression construct	C24 ecotype bearing an ANAC102 overexpression construct	Whole three week old Arabidopsis plants	35S::ANAC102	C24	seedling	whole organism	P-G14420-1	P-G14420-2	GSE14420GSM360225 sample	P-G14420-4	GSE14420GSM360225 extract	total_RNA	P-G14420-3	GSE14420GSM360225 LE biotin	biotin	synthetic_RNA	ANAC102 over-expressor biological rep 1	A-AFFY-2	P-AFFY-6	GSM360225.CEL	GSM360225.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14420/E-GEOD-14420.raw.1.zip	E-GEOD-14420-processed-data-1719220038.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14420/E-GEOD-14420.processed.1.zip	35S::ANAC102	C24	seedling	control
GSE14420GSM360242	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis whole seeds:  Seeds were sown on 0.6% agarose in water. Seeds were treated for six days in the light. extraction_method: Hot Borate extraction of total RNA was performed as described in  Cadman et al., Plant J 46: 805-822,  2006. Col-0 ecotype	Col-0 ecotype	Arabidopsis whole seeds	wild_type	Col-0	seed	whole organism	P-G14420-1	P-G14420-2	GSE14420GSM360242 sample	P-G14420-4	GSE14420GSM360242 extract	total_RNA	P-G14420-3	GSE14420GSM360242 LE biotin	biotin	synthetic_RNA	Col-0 seeds low oxygen treated biological rep 3	A-AFFY-2	P-AFFY-6	GSM360242.CEL	GSM360242.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14420/E-GEOD-14420.raw.1.zip	E-GEOD-14420-processed-data-1719220038.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14420/E-GEOD-14420.processed.1.zip	wild_type	Col-0	seed	hypoxia
