Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [organism part]	Characteristics[sampling site]	Characteristics[sampling time point]	Comment [stock code]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [sampling site]	FactorValue [light]
GSM1039630 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	axillary bud	third from topmost bud (bud n-2)	3 days post anthesis	CS60000	Plants were grown individually in 26 by 60 mm tubes and watered and fertilized optimally. Plants were grown in a split growth chamber (providing uniform temperature and PPFD but allowing for differential R:FR) with 18 h photoperiods (185 microMoles m-2 s-1 PPFD provided by T12 VHO CW fluorescent lamps) and 24C/18C day/night temperatures. 3 days at 4C. 22.5 C average, 24 C day, 18 C night 50% average, 50% day, 50% night Hoagland ampapos;s No.2 basal salt mixture.	Col-8, bud n-2, high R:FR	561-12_high-R:FR-bud-n-2_Rep3_ATH1	P-GSE42415-2	ArrayExpress	GSM1039630 extract 1	total RNA	P-GSE42415-3	ArrayExpress	GSM1039630 LE 1	biotin	P-GSE42415-4	ArrayExpress	GSM1039630	A-AFFY-2	ArrayExpress	array assay	P-GSE42415-5	ArrayExpress	P-GSE42415-6	ArrayExpress	GSM1039630_sample12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42415/E-GEOD-42415.raw.1.zip	P-GSE42415-1	ArrayExpress	GSM1039630_sample_table.txt norm	GSM1039630_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42415/E-GEOD-42415.processed.1.zip	third from topmost bud (bud n-2)	high red light:far-red light ratio
GSM1039629 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	axillary bud	third from topmost bud (bud n-2)	3 days post anthesis	CS60000	Plants were grown individually in 26 by 60 mm tubes and watered and fertilized optimally. Plants were grown in a split growth chamber (providing uniform temperature and PPFD but allowing for differential R:FR) with 18 h photoperiods (185 microMoles m-2 s-1 PPFD provided by T12 VHO CW fluorescent lamps) and 24oC/18oC day/night temperatures. 3 days at 4oC. 22.5 C average, 24 C day, 18 C night 50% average, 50% day, 50% night Hoagland ampapos;s No.2 basal salt mixture.	Col-8, bud n-2, high R:FR	561-11_high-R:FR-bud-n-2_Rep2_ATH1	P-GSE42415-2	ArrayExpress	GSM1039629 extract 1	total RNA	P-GSE42415-3	ArrayExpress	GSM1039629 LE 1	biotin	P-GSE42415-4	ArrayExpress	GSM1039629	A-AFFY-2	ArrayExpress	array assay	P-GSE42415-5	ArrayExpress	P-GSE42415-6	ArrayExpress	GSM1039629_sample11.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42415/E-GEOD-42415.raw.1.zip	P-GSE42415-1	ArrayExpress	GSM1039629_sample_table.txt norm	GSM1039629_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42415/E-GEOD-42415.processed.1.zip	third from topmost bud (bud n-2)	high red light:far-red light ratio
GSM1039619 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	axillary bud	third from topmost bud (bud n-2)	3 days post anthesis	CS60000	Plants were grown individually in 26 by 60 mm tubes and watered and fertilized optimally. Plants were grown in a split growth chamber (providing uniform temperature and PPFD but allowing for differential R:FR) with 18 h photoperiods (185 microMoles m-2 s-1 PPFD provided by T12 VHO CW fluorescent lamps) and 24oC/18oC day/night temperatures. 3 days at 4oC. 22.5 C average, 24 C day, 18 C night 50% average, 50% day, 50% night Hoagland ampapos;s No.2 basal salt mixture.	Col-8, bud n-2, high R:FR	561-10_high-R:FR-bud-n-2_Rep1_ATH1	P-GSE42415-2	ArrayExpress	GSM1039619 extract 1	total RNA	P-GSE42415-3	ArrayExpress	GSM1039619 LE 1	biotin	P-GSE42415-4	ArrayExpress	GSM1039619	A-AFFY-2	ArrayExpress	array assay	P-GSE42415-5	ArrayExpress	P-GSE42415-6	ArrayExpress	GSM1039619_sample1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42415/E-GEOD-42415.raw.1.zip	P-GSE42415-1	ArrayExpress	GSM1039619_sample_table.txt norm	GSM1039619_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42415/E-GEOD-42415.processed.1.zip	third from topmost bud (bud n-2)	high red light:far-red light ratio
GSM1039622 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	axillary bud	third from topmost bud (bud n-2)	3 days post anthesis	CS60000	Plants were grown individually in 26 by 60 mm tubes and watered and fertilized optimally. Plants were grown in a split growth chamber (providing uniform temperature and PPFD but allowing for differential R:FR) with 18 h photoperiods (185 microMoles m-2 s-1 PPFD provided by T12 VHO CW fluorescent lamps) and 24oC/18oC day/night temperatures. 3 days at 4oC. 22.5 C average, 24 C day, 18 C night 50% average, 50% day, 50% night Hoagland ampapos;s No.2 basal salt mixture.	Col-8, bud n-2, low R:FR	561-7_low-R:FR-bud-n-2_Rep1_ATH1	P-GSE42415-2	ArrayExpress	GSM1039622 extract 1	total RNA	P-GSE42415-3	ArrayExpress	GSM1039622 LE 1	biotin	P-GSE42415-4	ArrayExpress	GSM1039622	A-AFFY-2	ArrayExpress	array assay	P-GSE42415-5	ArrayExpress	P-GSE42415-6	ArrayExpress	GSM1039622_sample4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42415/E-GEOD-42415.raw.1.zip	P-GSE42415-1	ArrayExpress	GSM1039622_sample_table.txt norm	GSM1039622_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42415/E-GEOD-42415.processed.1.zip	third from topmost bud (bud n-2)	low red light:far-red light ratio
GSM1039621 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	axillary bud	third from topmost bud (bud n-2)	3 days post anthesis	CS60000	Plants were grown individually in 26 by 60 mm tubes and watered and fertilized optimally. Plants were grown in a split growth chamber (providing uniform temperature and PPFD but allowing for differential R:FR) with 18 h photoperiods (185 microMoles m-2 s-1 PPFD provided by T12 VHO CW fluorescent lamps) and 24oC/18oC day/night temperatures. 3 days at 4oC. 22.5 C average, 24 C day, 18 C night 50% average, 50% day, 50% night Hoagland ampapos;s No.2 basal salt mixture.	Col-8, bud n-2, low R:FR	561-8_low-R:FR-bud-n-2_Rep2_ATH1	P-GSE42415-2	ArrayExpress	GSM1039621 extract 1	total RNA	P-GSE42415-3	ArrayExpress	GSM1039621 LE 1	biotin	P-GSE42415-4	ArrayExpress	GSM1039621	A-AFFY-2	ArrayExpress	array assay	P-GSE42415-5	ArrayExpress	P-GSE42415-6	ArrayExpress	GSM1039621_sample3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42415/E-GEOD-42415.raw.1.zip	P-GSE42415-1	ArrayExpress	GSM1039621_sample_table.txt norm	GSM1039621_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42415/E-GEOD-42415.processed.1.zip	third from topmost bud (bud n-2)	low red light:far-red light ratio
GSM1039620 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	axillary bud	third from topmost bud (bud n-2)	3 days post anthesis	CS60000	Plants were grown individually in 26 by 60 mm tubes and watered and fertilized optimally. Plants were grown in a split growth chamber (providing uniform temperature and PPFD but allowing for differential R:FR) with 18 h photoperiods (185 microMoles m-2 s-1 PPFD provided by T12 VHO CW fluorescent lamps) and 24oC/18oC day/night temperatures. 3 days at 4oC. 22.5 C average, 24 C day, 18 C night 50% average, 50% day, 50% night Hoagland ampapos;s No.2 basal salt mixture.	Col-8, bud n-2, low R:FR	561-9_low-R:FR-bud-n-2_Rep3_ATH1	P-GSE42415-2	ArrayExpress	GSM1039620 extract 1	total RNA	P-GSE42415-3	ArrayExpress	GSM1039620 LE 1	biotin	P-GSE42415-4	ArrayExpress	GSM1039620	A-AFFY-2	ArrayExpress	array assay	P-GSE42415-5	ArrayExpress	P-GSE42415-6	ArrayExpress	GSM1039620_sample2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42415/E-GEOD-42415.raw.1.zip	P-GSE42415-1	ArrayExpress	GSM1039620_sample_table.txt norm	GSM1039620_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42415/E-GEOD-42415.processed.1.zip	third from topmost bud (bud n-2)	low red light:far-red light ratio
GSM1039625 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	axillary bud	topmost bud (bud n)	0 days post anthesis	CS60000	Plants were grown individually in 26 by 60 mm tubes and watered and fertilized optimally. Plants were grown in a split growth chamber (providing uniform temperature and PPFD but allowing for differential R:FR) with 18 h photoperiods (185 microMoles m-2 s-1 PPFD provided by T12 VHO CW fluorescent lamps) and 24oC/18oC day/night temperatures. 3 days at 4oC. 22.5 C average, 24 C day, 18 C night 50% average, 50% day, 50% night Hoagland ampapos;s No.2 basal salt mixture.	Col-8, bud n, high R:FR	561-4_high-R:FR-bud-n_Rep1_ATH1	P-GSE42415-2	ArrayExpress	GSM1039625 extract 1	total RNA	P-GSE42415-3	ArrayExpress	GSM1039625 LE 1	biotin	P-GSE42415-4	ArrayExpress	GSM1039625	A-AFFY-2	ArrayExpress	array assay	P-GSE42415-5	ArrayExpress	P-GSE42415-6	ArrayExpress	GSM1039625_sample7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42415/E-GEOD-42415.raw.1.zip	P-GSE42415-1	ArrayExpress	GSM1039625_sample_table.txt norm	GSM1039625_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42415/E-GEOD-42415.processed.1.zip	topmost bud (bud n)	high red light:far-red light ratio
GSM1039624 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	axillary bud	topmost bud (bud n)	0 days post anthesis	CS60000	Plants were grown individually in 26 by 60 mm tubes and watered and fertilized optimally. Plants were grown in a split growth chamber (providing uniform temperature and PPFD but allowing for differential R:FR) with 18 h photoperiods (185 microMoles m-2 s-1 PPFD provided by T12 VHO CW fluorescent lamps) and 24oC/18oC day/night temperatures. 3 days at 4oC. 22.5 C average, 24 C day, 18 C night 50% average, 50% day, 50% night Hoagland ampapos;s No.2 basal salt mixture.	Col-8, bud n, high R:FR	561-5_high-R:FR-bud-n_Rep2_ATH1	P-GSE42415-2	ArrayExpress	GSM1039624 extract 1	total RNA	P-GSE42415-3	ArrayExpress	GSM1039624 LE 1	biotin	P-GSE42415-4	ArrayExpress	GSM1039624	A-AFFY-2	ArrayExpress	array assay	P-GSE42415-5	ArrayExpress	P-GSE42415-6	ArrayExpress	GSM1039624_sample6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42415/E-GEOD-42415.raw.1.zip	P-GSE42415-1	ArrayExpress	GSM1039624_sample_table.txt norm	GSM1039624_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42415/E-GEOD-42415.processed.1.zip	topmost bud (bud n)	high red light:far-red light ratio
GSM1039623 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	axillary bud	topmost bud (bud n)	0 days post anthesis	CS60000	Plants were grown individually in 26 by 60 mm tubes and watered and fertilized optimally. Plants were grown in a split growth chamber (providing uniform temperature and PPFD but allowing for differential R:FR) with 18 h photoperiods (185 microMoles m-2 s-1 PPFD provided by T12 VHO CW fluorescent lamps) and 24oC/18oC day/night temperatures. 3 days at 4oC. 22.5 C average, 24 C day, 18 C night 50% average, 50% day, 50% night Hoagland ampapos;s No.2 basal salt mixture.	Col-8, bud n, high R:FR	561-6_high-R:FR-bud-n_Rep3_ATH1	P-GSE42415-2	ArrayExpress	GSM1039623 extract 1	total RNA	P-GSE42415-3	ArrayExpress	GSM1039623 LE 1	biotin	P-GSE42415-4	ArrayExpress	GSM1039623	A-AFFY-2	ArrayExpress	array assay	P-GSE42415-5	ArrayExpress	P-GSE42415-6	ArrayExpress	GSM1039623_sample5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42415/E-GEOD-42415.raw.1.zip	P-GSE42415-1	ArrayExpress	GSM1039623_sample_table.txt norm	GSM1039623_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42415/E-GEOD-42415.processed.1.zip	topmost bud (bud n)	high red light:far-red light ratio
GSM1039628 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	axillary bud	topmost bud (bud n)	0 days post anthesis	CS60000	Plants were grown individually in 26 by 60 mm tubes and watered and fertilized optimally. Plants were grown in a split growth chamber (providing uniform temperature and PPFD but allowing for differential R:FR) with 18 h photoperiods (185 microMoles m-2 s-1 PPFD provided by T12 VHO CW fluorescent lamps) and 24oC/18oC day/night temperatures. 3 days at 4oC. 22.5 C average, 24 C day, 18 C night 50% average, 50% day, 50% night Hoagland ampapos;s No.2 basal salt mixture.	Col-8, bud n, low R:FR	561-1_low-R:FR-bud-n_Rep1_ATH1	P-GSE42415-2	ArrayExpress	GSM1039628 extract 1	total RNA	P-GSE42415-3	ArrayExpress	GSM1039628 LE 1	biotin	P-GSE42415-4	ArrayExpress	GSM1039628	A-AFFY-2	ArrayExpress	array assay	P-GSE42415-5	ArrayExpress	P-GSE42415-6	ArrayExpress	GSM1039628_sample10.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42415/E-GEOD-42415.raw.1.zip	P-GSE42415-1	ArrayExpress	GSM1039628_sample_table.txt norm	GSM1039628_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42415/E-GEOD-42415.processed.1.zip	topmost bud (bud n)	low red light:far-red light ratio
