Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [age]	Unit [time unit]	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [organism part]	Characteristics [phenotype]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [compound]	FactorValue [phenotype]
GSM1026945 1	Gene expression data from Arabidosis seedlings A504_12_CHLM	green tissue of 3 weeks old Arabidopsis seedlings	CHLM estr biol rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	3	week	seedling	EFO	EFO_0001992	Col-0	aerial part	CHLM overexpression	  	  	P-GSE41884-2	ArrayExpress	P-GSE41884-3	ArrayExpress	P-GSE41884-4	ArrayExpress	GSM1026945 extract 1	total RNA	P-GSE41884-5	ArrayExpress	GSM1026945 LE 1	biotin	P-GSE41884-6	ArrayExpress	GSM1026945	A-AFFY-2	ArrayExpress	array assay	P-GSE41884-7	ArrayExpress	P-GSE41884-8	ArrayExpress	GSM1026945_A504_12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41884/E-GEOD-41884.raw.1.zip	P-GSE41884-1	ArrayExpress	GSM1026945_sample_table.txt norm	GSM1026945_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41884/E-GEOD-41884.processed.1.zip	beta-estradiol	CHLM overexpression
GSM1026944 1	Gene expression data from Arabidosis seedlings A504_11_CHLM	green tissue of 3 weeks old Arabidopsis seedlings	CHLM estr biol rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	3	week	seedling	EFO	EFO_0001992	Col-0	aerial part	CHLM overexpression	  	  	P-GSE41884-2	ArrayExpress	P-GSE41884-3	ArrayExpress	P-GSE41884-4	ArrayExpress	GSM1026944 extract 1	total RNA	P-GSE41884-5	ArrayExpress	GSM1026944 LE 1	biotin	P-GSE41884-6	ArrayExpress	GSM1026944	A-AFFY-2	ArrayExpress	array assay	P-GSE41884-7	ArrayExpress	P-GSE41884-8	ArrayExpress	GSM1026944_A504_11.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41884/E-GEOD-41884.raw.1.zip	P-GSE41884-1	ArrayExpress	GSM1026944_sample_table.txt norm	GSM1026944_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41884/E-GEOD-41884.processed.1.zip	beta-estradiol	CHLM overexpression
GSM1026943 1	Gene expression data from Arabidosis seedlings A504_10_CHLM	green tissue of 3 weeks old Arabidopsis seedlings	CHLM estr biol rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	3	week	seedling	EFO	EFO_0001992	Col-0	aerial part	CHLM overexpression	  	  	P-GSE41884-2	ArrayExpress	P-GSE41884-3	ArrayExpress	P-GSE41884-4	ArrayExpress	GSM1026943 extract 1	total RNA	P-GSE41884-5	ArrayExpress	GSM1026943 LE 1	biotin	P-GSE41884-6	ArrayExpress	GSM1026943	A-AFFY-2	ArrayExpress	array assay	P-GSE41884-7	ArrayExpress	P-GSE41884-8	ArrayExpress	GSM1026943_A504_10.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41884/E-GEOD-41884.raw.1.zip	P-GSE41884-1	ArrayExpress	GSM1026943_sample_table.txt norm	GSM1026943_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41884/E-GEOD-41884.processed.1.zip	beta-estradiol	CHLM overexpression
GSM1026942 1	Gene expression data from Arabidosis seedlings A504_09_Col	green tissue of 3 weeks old Arabidopsis seedlings	Col-0 estr biol rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	3	week	seedling	EFO	EFO_0001992	Col-0	aerial part	control	EFO	EFO_0001461	P-GSE41884-2	ArrayExpress	P-GSE41884-3	ArrayExpress	P-GSE41884-4	ArrayExpress	GSM1026942 extract 1	total RNA	P-GSE41884-5	ArrayExpress	GSM1026942 LE 1	biotin	P-GSE41884-6	ArrayExpress	GSM1026942	A-AFFY-2	ArrayExpress	array assay	P-GSE41884-7	ArrayExpress	P-GSE41884-8	ArrayExpress	GSM1026942_A504_09.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41884/E-GEOD-41884.raw.1.zip	P-GSE41884-1	ArrayExpress	GSM1026942_sample_table.txt norm	GSM1026942_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41884/E-GEOD-41884.processed.1.zip	beta-estradiol	control for overexpression
GSM1026941 1	Gene expression data from Arabidosis seedlings A504_08_Col	green tissue of 3 weeks old Arabidopsis seedlings	Col-0 estr biol rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	3	week	seedling	EFO	EFO_0001992	Col-0	aerial part	control	EFO	EFO_0001461	P-GSE41884-2	ArrayExpress	P-GSE41884-3	ArrayExpress	P-GSE41884-4	ArrayExpress	GSM1026941 extract 1	total RNA	P-GSE41884-5	ArrayExpress	GSM1026941 LE 1	biotin	P-GSE41884-6	ArrayExpress	GSM1026941	A-AFFY-2	ArrayExpress	array assay	P-GSE41884-7	ArrayExpress	P-GSE41884-8	ArrayExpress	GSM1026941_A504_08.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41884/E-GEOD-41884.raw.1.zip	P-GSE41884-1	ArrayExpress	GSM1026941_sample_table.txt norm	GSM1026941_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41884/E-GEOD-41884.processed.1.zip	beta-estradiol	control for overexpression
GSM1026940 1	Gene expression data from Arabidosis seedlings A504_07_Col	green tissue of 3 weeks old Arabidopsis seedlings	Col-0 estr biol rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	3	week	seedling	EFO	EFO_0001992	Col-0	aerial part	control	EFO	EFO_0001461	P-GSE41884-2	ArrayExpress	P-GSE41884-3	ArrayExpress	P-GSE41884-4	ArrayExpress	GSM1026940 extract 1	total RNA	P-GSE41884-5	ArrayExpress	GSM1026940 LE 1	biotin	P-GSE41884-6	ArrayExpress	GSM1026940	A-AFFY-2	ArrayExpress	array assay	P-GSE41884-7	ArrayExpress	P-GSE41884-8	ArrayExpress	GSM1026940_A504_07.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41884/E-GEOD-41884.raw.1.zip	P-GSE41884-1	ArrayExpress	GSM1026940_sample_table.txt norm	GSM1026940_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41884/E-GEOD-41884.processed.1.zip	beta-estradiol	control for overexpression
GSM1026939 1	Gene expression data from Arabidosis seedlings A504_06_CHLD	green tissue of 3 weeks old Arabidopsis seedlings	CHLD dex biol rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	3	week	seedling	EFO	EFO_0001992	Col-0	aerial part	CHLD reduction	  	  	P-GSE41884-2	ArrayExpress	P-GSE41884-3	ArrayExpress	P-GSE41884-4	ArrayExpress	GSM1026939 extract 1	total RNA	P-GSE41884-5	ArrayExpress	GSM1026939 LE 1	biotin	P-GSE41884-6	ArrayExpress	GSM1026939	A-AFFY-2	ArrayExpress	array assay	P-GSE41884-7	ArrayExpress	P-GSE41884-8	ArrayExpress	GSM1026939_A504_06.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41884/E-GEOD-41884.raw.1.zip	P-GSE41884-1	ArrayExpress	GSM1026939_sample_table.txt norm	GSM1026939_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41884/E-GEOD-41884.processed.1.zip	dexamethasone	CHLD reduction
GSM1026938 1	Gene expression data from Arabidosis seedlings A504_05_CHLD	green tissue of 3 weeks old Arabidopsis seedlings	CHLD dex biol rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	3	week	seedling	EFO	EFO_0001992	Col-0	aerial part	CHLD reduction	  	  	P-GSE41884-2	ArrayExpress	P-GSE41884-3	ArrayExpress	P-GSE41884-4	ArrayExpress	GSM1026938 extract 1	total RNA	P-GSE41884-5	ArrayExpress	GSM1026938 LE 1	biotin	P-GSE41884-6	ArrayExpress	GSM1026938	A-AFFY-2	ArrayExpress	array assay	P-GSE41884-7	ArrayExpress	P-GSE41884-8	ArrayExpress	GSM1026938_A504_05.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41884/E-GEOD-41884.raw.1.zip	P-GSE41884-1	ArrayExpress	GSM1026938_sample_table.txt norm	GSM1026938_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41884/E-GEOD-41884.processed.1.zip	dexamethasone	CHLD reduction
GSM1026937 1	Gene expression data from Arabidosis seedlings A504_04_CHLD	green tissue of 3 weeks old Arabidopsis seedlings	CHLD dex biol rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	3	week	seedling	EFO	EFO_0001992	Col-0	aerial part	CHLD reduction	  	  	P-GSE41884-2	ArrayExpress	P-GSE41884-3	ArrayExpress	P-GSE41884-4	ArrayExpress	GSM1026937 extract 1	total RNA	P-GSE41884-5	ArrayExpress	GSM1026937 LE 1	biotin	P-GSE41884-6	ArrayExpress	GSM1026937	A-AFFY-2	ArrayExpress	array assay	P-GSE41884-7	ArrayExpress	P-GSE41884-8	ArrayExpress	GSM1026937_A504_04.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41884/E-GEOD-41884.raw.1.zip	P-GSE41884-1	ArrayExpress	GSM1026937_sample_table.txt norm	GSM1026937_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41884/E-GEOD-41884.processed.1.zip	dexamethasone	CHLD reduction
GSM1026936 1	Gene expression data from Arabidosis seedlings A504_03_Col	green tissue of 3 weeks old Arabidopsis seedlings	Col-0 dex biol rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	3	week	seedling	EFO	EFO_0001992	Col-0	aerial part	control	EFO	EFO_0001461	P-GSE41884-2	ArrayExpress	P-GSE41884-3	ArrayExpress	P-GSE41884-4	ArrayExpress	GSM1026936 extract 1	total RNA	P-GSE41884-5	ArrayExpress	GSM1026936 LE 1	biotin	P-GSE41884-6	ArrayExpress	GSM1026936	A-AFFY-2	ArrayExpress	array assay	P-GSE41884-7	ArrayExpress	P-GSE41884-8	ArrayExpress	GSM1026936_A504_03.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41884/E-GEOD-41884.raw.1.zip	P-GSE41884-1	ArrayExpress	GSM1026936_sample_table.txt norm	GSM1026936_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41884/E-GEOD-41884.processed.1.zip	dexamethasone	control for reduction
