Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_characteristics]	Comment [Sample_source_name]	Characteristics[Genotype]	Characteristics[Phenotype]	Characteristics[OrganismPart]	Characteristics[OrganismPart]	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[TREATMENT]	FactorValue[PHENOTYPE]
GSE13596GSM342148	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	WUSp cells:  Gene expression. WUSp cells from ap1-1cal1-1 shoot apical meristem	WUSp cells from ap1-1cal1-1 shoot apical meristem	WUSp cells	ap1-1;cal1-1	pWUS::mGFP5-ER positive	shoot apical meristem	shoot apical meristem	P-G13596-1	GSE13596GSM342148 sample	P-G13596-3	GSE13596GSM342148 extract	total_RNA	P-G13596-2	GSE13596GSM342148 LE biotin	biotin	synthetic_RNA	WUSp cells rep1	A-AFFY-2	P-AFFY-6	GSM342148.CEL	GSM342148.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13596/E-GEOD-13596.raw.1.zip	E-GEOD-13596-processed-data-1754145681.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13596/E-GEOD-13596.processed.1.zip	protoplasting	pWUS::mGFP5-ER positive
GSE13596GSM342146	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Uninduced:  Gene expression. ap1-1;cal1-1 meristem only	ap1-1;cal1-1 meristem only	Uninduced	ap1-1;cal1-1	GFP negative	shoot apical meristem	shoot apical meristem	P-G13596-1	GSE13596GSM342146 sample	P-G13596-3	GSE13596GSM342146 extract	total_RNA	P-G13596-2	GSE13596GSM342146 LE biotin	biotin	synthetic_RNA	Uninduced rep1	A-AFFY-2	P-AFFY-6	GSM342146.CEL	GSM342146.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13596/E-GEOD-13596.raw.1.zip	E-GEOD-13596-processed-data-1754145681.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13596/E-GEOD-13596.processed.1.zip	none	GFP negative
GSE13596GSM342136	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CLV3n cells:  Gene expression. CLV3n cells from ap1-1;cal1-1 shoot apical meristem, CLV3n cells types lacks the CLV3p cells	CLV3n cells from ap1-1;cal1-1 shoot apical meristem, CLV3n cells types lacks the CLV3p cells	CLV3n cells	ap1-1;cal1-1	pCLV3::mGFP5-ER negative	shoot apical meristem	shoot apical meristem	P-G13596-1	GSE13596GSM342136 sample	P-G13596-3	GSE13596GSM342136 extract	total_RNA	P-G13596-2	GSE13596GSM342136 LE biotin	biotin	synthetic_RNA	CLV3n cells rep2	A-AFFY-2	P-AFFY-6	GSM342136.CEL	GSM342136.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13596/E-GEOD-13596.raw.1.zip	E-GEOD-13596-processed-data-1754145681.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13596/E-GEOD-13596.processed.1.zip	protoplasting	pCLV3::mGFP5-ER negative
GSE13596GSM342138	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CLV3p cells:  Gene expression. CLV3p cells from ap1-1;cal1-1 shoot apical meristem	CLV3p cells from ap1-1;cal1-1 shoot apical meristem	CLV3p cells	ap1-1;cal1-1	pCLV3::mGFP5-ER positive	shoot apical meristem	shoot apical meristem	P-G13596-1	GSE13596GSM342138 sample	P-G13596-3	GSE13596GSM342138 extract	total_RNA	P-G13596-2	GSE13596GSM342138 LE biotin	biotin	synthetic_RNA	CLV3p cells rep1	A-AFFY-2	P-AFFY-6	GSM342138.CEL	GSM342138.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13596/E-GEOD-13596.raw.1.zip	E-GEOD-13596-processed-data-1754145681.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13596/E-GEOD-13596.processed.1.zip	protoplasting	pCLV3::mGFP5-ER positive
GSE13596GSM342144	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Protoplast Indcued:  Gene expression. ap1-1;cal1-1 meristem tissue treated with protoplasting enzymes	ap1-1;cal1-1 meristem tissue treated with protoplasting enzymes	Protoplast Indcued	ap1-1;cal1-1	GFP negative	shoot apical meristem	shoot apical meristem	P-G13596-1	GSE13596GSM342144 sample	P-G13596-3	GSE13596GSM342144 extract	total_RNA	P-G13596-2	GSE13596GSM342144 LE biotin	biotin	synthetic_RNA	Protoplast Induced rep1	A-AFFY-2	P-AFFY-6	GSM342144.CEL	GSM342144.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13596/E-GEOD-13596.raw.1.zip	E-GEOD-13596-processed-data-1754145681.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13596/E-GEOD-13596.processed.1.zip	protoplasting	GFP negative
GSE13596GSM342147	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Uninduced:  Gene expression. ap1-1;cal1-1 meristem only	ap1-1;cal1-1 meristem only	Uninduced	ap1-1;cal1-1	GFP negative	shoot apical meristem	shoot apical meristem	P-G13596-1	GSE13596GSM342147 sample	P-G13596-3	GSE13596GSM342147 extract	total_RNA	P-G13596-2	GSE13596GSM342147 LE biotin	biotin	synthetic_RNA	Uninduced rep2	A-AFFY-2	P-AFFY-6	GSM342147.CEL	GSM342147.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13596/E-GEOD-13596.raw.1.zip	E-GEOD-13596-processed-data-1754145681.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13596/E-GEOD-13596.processed.1.zip	none	GFP negative
GSE13596GSM342135	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CLV3n cells:  Gene expression. CLV3n cells from ap1-1;cal1-1 shoot apical meristem, CLV3n cells types lacks the CLV3p cells	CLV3n cells from ap1-1;cal1-1 shoot apical meristem, CLV3n cells types lacks the CLV3p cells	CLV3n cells	ap1-1;cal1-1	pCLV3::mGFP5-ER negative	shoot apical meristem	shoot apical meristem	P-G13596-1	GSE13596GSM342135 sample	P-G13596-3	GSE13596GSM342135 extract	total_RNA	P-G13596-2	GSE13596GSM342135 LE biotin	biotin	synthetic_RNA	CLV3n cells rep1	A-AFFY-2	P-AFFY-6	GSM342135.CEL	GSM342135.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13596/E-GEOD-13596.raw.1.zip	E-GEOD-13596-processed-data-1754145681.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13596/E-GEOD-13596.processed.1.zip	protoplasting	pCLV3::mGFP5-ER negative
GSE13596GSM342143	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	FILp cells:  Gene expression. FILp cells from ap1-1;cal1-1 shoot apical meristem	FILp cells from ap1-1;cal1-1 shoot apical meristem	FILp cells	ap1-1;cal1-1	pFIL::dsRED-N7 positive	shoot apical meristem	shoot apical meristem	P-G13596-1	GSE13596GSM342143 sample	P-G13596-3	GSE13596GSM342143 extract	total_RNA	P-G13596-2	GSE13596GSM342143 LE biotin	biotin	synthetic_RNA	FILp cells rep3	A-AFFY-2	P-AFFY-6	GSM342143.CEL	GSM342143.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13596/E-GEOD-13596.raw.1.zip	E-GEOD-13596-processed-data-1754145681.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13596/E-GEOD-13596.processed.1.zip	protoplasting	pFIL::dsRED-N7 positive
GSE13596GSM342140	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CLV3p cells:  Gene expression. CLV3p cells from ap1-1;cal1-1 shoot apical meristem	CLV3p cells from ap1-1;cal1-1 shoot apical meristem	CLV3p cells	ap1-1;cal1-1	pCLV3::mGFP5-ER positive	shoot apical meristem	shoot apical meristem	P-G13596-1	GSE13596GSM342140 sample	P-G13596-3	GSE13596GSM342140 extract	total_RNA	P-G13596-2	GSE13596GSM342140 LE biotin	biotin	synthetic_RNA	CLV3p cells rep3	A-AFFY-2	P-AFFY-6	GSM342140.CEL	GSM342140.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13596/E-GEOD-13596.raw.1.zip	E-GEOD-13596-processed-data-1754145681.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13596/E-GEOD-13596.processed.1.zip	protoplasting	pCLV3::mGFP5-ER positive
GSE13596GSM342149	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	WUSp cells:  Gene expression. WUSp cells from ap1-1cal1-1 shoot apical meristem	WUSp cells from ap1-1cal1-1 shoot apical meristem	WUSp cells	ap1-1;cal1-1	pWUS::mGFP5-ER positive	shoot apical meristem	shoot apical meristem	P-G13596-1	GSE13596GSM342149 sample	P-G13596-3	GSE13596GSM342149 extract	total_RNA	P-G13596-2	GSE13596GSM342149 LE biotin	biotin	synthetic_RNA	WUSp cells rep2	A-AFFY-2	P-AFFY-6	GSM342149.CEL	GSM342149.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13596/E-GEOD-13596.raw.1.zip	E-GEOD-13596-processed-data-1754145681.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13596/E-GEOD-13596.processed.1.zip	protoplasting	pWUS::mGFP5-ER positive
