Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Characteristics[Genotype]	Characteristics[DevelopmentalStage]	Characteristics[OrganismPart]	Characteristics[Ecotype]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[TIME IN WHITE LIGHT]	Unit[TimeUnit]
GSE8365GSM207287	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis seedlings after 28 h in constant white light:  NA. Genotype: Wild-type with CCR2::LUCIFERASE; Ecotype: Col-0; Tissue: whole seedling; Time in entraining conditions: 7 d; Time in constant white light: 28 h	CCR2::LUCIFERASE	seedling	whole organism	Col-0	P-G8365-1	P-G8365-2	GSE8365GSM207287 sample	P-G8365-4	GSE8365GSM207287 extract	total_RNA	P-G8365-3	GSE8365GSM207287 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2	Seedling_ConstantWhiteLight_28hr	A-AFFY-2	P-AFFY-6	Seedling_ConstantWhiteLight_28hr	GSM207287.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8365/E-GEOD-8365.raw.1.zip	E-GEOD-8365-processed-data-1633769456.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8365/E-GEOD-8365.processed.1.zip	28	hours
GSE8365GSM207291	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis seedlings after 44 h in constant white light:  NA. Genotype: Wild-type with CCR2::LUCIFERASE; Ecotype: Col-0; Tissue: whole seedling; Time in entraining conditions: 7 d; Time in constant white light: 44 h	CCR2::LUCIFERASE	seedling	whole organism	Col-0	P-G8365-1	P-G8365-2	GSE8365GSM207291 sample	P-G8365-4	GSE8365GSM207291 extract	total_RNA	P-G8365-3	GSE8365GSM207291 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2	Seedling_ConstantWhiteLight_44hr	A-AFFY-2	P-AFFY-6	Seedling_ConstantWhiteLight_44hr	GSM207291.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8365/E-GEOD-8365.raw.1.zip	E-GEOD-8365-processed-data-1633769456.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8365/E-GEOD-8365.processed.1.zip	44	hours
GSE8365GSM207292	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis seedlings after 48 h in constant white light:  NA. Genotype: Wild-type with CCR2::LUCIFERASE; Ecotype: Col-0; Tissue: whole seedling; Time in entraining conditions: 7 d; Time in constant white light: 48 h	CCR2::LUCIFERASE	seedling	whole organism	Col-0	P-G8365-1	P-G8365-2	GSE8365GSM207292 sample	P-G8365-4	GSE8365GSM207292 extract	total_RNA	P-G8365-3	GSE8365GSM207292 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2	Seedling_ConstantWhiteLight_48hr	A-AFFY-2	P-AFFY-6	Seedling_ConstantWhiteLight_48hr	GSM207292.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8365/E-GEOD-8365.raw.1.zip	E-GEOD-8365-processed-data-1633769456.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8365/E-GEOD-8365.processed.1.zip	48	hours
GSE8365GSM207290	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis seedlings after 40 h in constant white light:  NA. Genotype: Wild-type with CCR2::LUCIFERASE; Ecotype: Col-0; Tissue: whole seedling; Time in entraining conditions: 7 d; Time in constant white light: 40 h	CCR2::LUCIFERASE	seedling	whole organism	Col-0	P-G8365-1	P-G8365-2	GSE8365GSM207290 sample	P-G8365-4	GSE8365GSM207290 extract	total_RNA	P-G8365-3	GSE8365GSM207290 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2	Seedling_ConstantWhiteLight_40hr	A-AFFY-2	P-AFFY-6	Seedling_ConstantWhiteLight_40hr	GSM207290.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8365/E-GEOD-8365.raw.1.zip	E-GEOD-8365-processed-data-1633769456.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8365/E-GEOD-8365.processed.1.zip	40	hours
GSE8365GSM207288	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis seedlings after 32 h in constant white light:  NA. Genotype: Wild-type with CCR2::LUCIFERASE; Ecotype: Col-0; Tissue: whole seedling; Time in entraining conditions: 7 d; Time in constant white light: 32 h	CCR2::LUCIFERASE	seedling	whole organism	Col-0	P-G8365-1	P-G8365-2	GSE8365GSM207288 sample	P-G8365-4	GSE8365GSM207288 extract	total_RNA	P-G8365-3	GSE8365GSM207288 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2	Seedling_ConstantWhiteLight_32hr	A-AFFY-2	P-AFFY-6	Seedling_ConstantWhiteLight_32hr	GSM207288.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8365/E-GEOD-8365.raw.1.zip	E-GEOD-8365-processed-data-1633769456.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8365/E-GEOD-8365.processed.1.zip	32	hours
GSE8365GSM207295	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis seedlings after 60 h in constant white light:  NA. Genotype: Wild-type with CCR2::LUCIFERASE; Ecotype: Col-0; Tissue: whole seedling; Time in entraining conditions: 7 d; Time in constant white light: 60 h	CCR2::LUCIFERASE	seedling	whole organism	Col-0	P-G8365-1	P-G8365-2	GSE8365GSM207295 sample	P-G8365-4	GSE8365GSM207295 extract	total_RNA	P-G8365-3	GSE8365GSM207295 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2	Seedling_ConstantWhiteLight_60hr	A-AFFY-2	P-AFFY-6	Seedling_ConstantWhiteLight_60hr	GSM207295.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8365/E-GEOD-8365.raw.1.zip	E-GEOD-8365-processed-data-1633769456.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8365/E-GEOD-8365.processed.1.zip	60	hours
GSE8365GSM207297	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis seedlings after 68 h in constant white light:  NA. Genotype: Wild-type with CCR2::LUCIFERASE; Ecotype: Col-0; Tissue: whole seedling; Time in entraining conditions: 7 d; Time in constant white light: 68 h	CCR2::LUCIFERASE	seedling	whole organism	Col-0	P-G8365-1	P-G8365-2	GSE8365GSM207297 sample	P-G8365-4	GSE8365GSM207297 extract	total_RNA	P-G8365-3	GSE8365GSM207297 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2	Seedling_ConstantWhiteLight_68hr	A-AFFY-2	P-AFFY-6	Seedling_ConstantWhiteLight_68hr	GSM207297.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8365/E-GEOD-8365.raw.1.zip	E-GEOD-8365-processed-data-1633769456.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8365/E-GEOD-8365.processed.1.zip	68	hours
GSE8365GSM207296	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis seedlings after 64 h in constant white light:  NA. Genotype: Wild-type with CCR2::LUCIFERASE; Ecotype: Col-0; Tissue: whole seedling; Time in entraining conditions: 7 d; Time in constant white light: 64 h	CCR2::LUCIFERASE	seedling	whole organism	Col-0	P-G8365-1	P-G8365-2	GSE8365GSM207296 sample	P-G8365-4	GSE8365GSM207296 extract	total_RNA	P-G8365-3	GSE8365GSM207296 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2	Seedling_ConstantWhiteLight_64hr	A-AFFY-2	P-AFFY-6	Seedling_ConstantWhiteLight_64hr	GSM207296.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8365/E-GEOD-8365.raw.1.zip	E-GEOD-8365-processed-data-1633769456.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8365/E-GEOD-8365.processed.1.zip	64	hours
GSE8365GSM207286	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis seedlings after 24 h in constant white light:  NA. Genotype: Wild-type with CCR2::LUCIFERASE; Ecotype: Col-0; Tissue: whole seedling; Time in entraining conditions: 7 d; Time in constant white light: 24 h	CCR2::LUCIFERASE	seedling	whole organism	Col-0	P-G8365-1	P-G8365-2	GSE8365GSM207286 sample	P-G8365-4	GSE8365GSM207286 extract	total_RNA	P-G8365-3	GSE8365GSM207286 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2	Seedling_ConstantWhiteLight_24hr	A-AFFY-2	P-AFFY-6	Seedling_ConstantWhiteLight_24hr	GSM207286.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8365/E-GEOD-8365.raw.1.zip	E-GEOD-8365-processed-data-1633769456.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8365/E-GEOD-8365.processed.1.zip	24	hours
GSE8365GSM207289	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis seedlings after 36 h in constant white light:  NA. Genotype: Wild-type with CCR2::LUCIFERASE; Ecotype: Col-0; Tissue: whole seedling; Time in entraining conditions: 7 d; Time in constant white light: 36 h	CCR2::LUCIFERASE	seedling	whole organism	Col-0	P-G8365-1	P-G8365-2	GSE8365GSM207289 sample	P-G8365-4	GSE8365GSM207289 extract	total_RNA	P-G8365-3	GSE8365GSM207289 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2	Seedling_ConstantWhiteLight_36hr	A-AFFY-2	P-AFFY-6	Seedling_ConstantWhiteLight_36hr	GSM207289.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8365/E-GEOD-8365.raw.1.zip	E-GEOD-8365-processed-data-1633769456.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8365/E-GEOD-8365.processed.1.zip	36	hours
