Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_characteristics]	Comment [Sample_source_name]	Characteristics[DiseaseState]	Characteristics[Ecotype]	Characteristics[OrganismPart]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[INFECTION]	FactorValue[DISEASE STATE]
GSE14106GSM426497	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wounded inflorescence stalk, Gene expression data of reference tissue were compared with those of inoculated tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: mock	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: mock	wounded inflorescence stalk	wounded	Ws-2	inflorescence stalk	P-G14106-8	P-G14106-1	GSE14106GSM426497 sample	P-G14106-5	GSE14106GSM426497 extract	total_RNA	P-G14106-3	GSE14106GSM426497 LE biotin	biotin	synthetic_RNA	Reference 3hpi 4	A-AFFY-2	P-AFFY-6	GSM426497.CEL	GSM426497.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.raw.1.zip	P-G14106-4	E-GEOD-14106-processed-data-1833583201.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.processed.1.zip	none	none
GSE14106GSM350801	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wounded inflorescence stalk, Gene expression data of reference tissue were compared with those of 35-day-old mature crown gall tissue.. ecotype: Ws-2; inoculant: mock; tissue: wounded inflorescence stalk segments	ecotype: Ws-2; inoculant: mock; tissue: wounded inflorescence stalk segments	wounded inflorescence stalk	wounded	Ws-2	inflorescence stalk	P-G14106-2	P-G14106-1	GSE14106GSM350801 sample	P-G14106-5	GSE14106GSM350801 extract	total_RNA	P-G14106-3	GSE14106GSM350801 LE biotin	biotin	synthetic_RNA	Reference 35dpi 3	A-AFFY-2	P-AFFY-6	GSM350801.CEL	GSM350801.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.raw.1.zip	P-G14106-4	E-GEOD-14106-processed-data-1833583201.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.processed.1.zip	none	none
GSE14106GSM426504	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wounded inflorescence stalk inoculated with GV3101, Gene expression data of reference tissue were compared with those of inoculated tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain GV3101, lacking the T-DNA but not virulence factors	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain GV3101, lacking the T-DNA but not virulence factors	wounded inflorescence stalk inoculated with GV3101	wounded	Ws-2	inflorescence stalk	P-G14106-15	P-G14106-9	GSE14106GSM426504 sample	P-G14106-5	GSE14106GSM426504 extract	total_RNA	P-G14106-3	GSE14106GSM426504 LE biotin	biotin	synthetic_RNA	GV3101 3hpi 2	A-AFFY-2	P-AFFY-6	GSM426504.CEL	GSM426504.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.raw.1.zip	P-G14106-4	E-GEOD-14106-processed-data-1833583201.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.processed.1.zip	Agrobacterium tumefaciens GV3101	none
GSE14106GSM350855	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wounded inflorescence stalk, Gene expression data of reference tissue were compared with those of inoculated tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: mock	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: mock	wounded inflorescence stalk	wounded	Ws-2	inflorescence stalk	P-G14106-8	P-G14106-1	GSE14106GSM350855 sample	P-G14106-5	GSE14106GSM350855 extract	total_RNA	P-G14106-3	GSE14106GSM350855 LE biotin	biotin	synthetic_RNA	Reference 3hpi 1	A-AFFY-2	P-AFFY-6	GSM350855.CEL	GSM350855.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.raw.1.zip	P-G14106-4	E-GEOD-14106-processed-data-1833583201.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.processed.1.zip	none	none
GSE14106GSM426500	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wounded inflorescence stalk inoculated with C58, Gene expression data of reference tissue were compared with those of inoculated tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58	wounded inflorescence stalk inoculated with C58	wounded	Ws-2	inflorescence stalk	P-G14106-10	P-G14106-14	GSE14106GSM426500 sample	P-G14106-5	GSE14106GSM426500 extract	total_RNA	P-G14106-3	GSE14106GSM426500 LE biotin	biotin	synthetic_RNA	C58 3hpi 4	A-AFFY-2	P-AFFY-6	GSM426500.CEL	GSM426500.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.raw.1.zip	P-G14106-4	E-GEOD-14106-processed-data-1833583201.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.processed.1.zip	Agrobacterium tumefaciens C58	none
GSE14106GSM350806	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wounded inflorescence stalk inoculated with C58 (Tumor), Gene expression data of reference tissue were compared with those of 35-day-old mature crown gall tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58	wounded inflorescence stalk inoculated with C58 (Tumor)	wounded; tumour	Ws-2	inflorescence stalk	P-G14106-7	P-G14106-6	GSE14106GSM350806 sample	P-G14106-5	GSE14106GSM350806 extract	total_RNA	P-G14106-3	GSE14106GSM350806 LE biotin	biotin	synthetic_RNA	C58 35dpi 4	A-AFFY-2	P-AFFY-6	GSM350806.CEL	GSM350806.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.raw.1.zip	P-G14106-4	E-GEOD-14106-processed-data-1833583201.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.processed.1.zip	Agrobacterium tumefaciens C58	tumour
GSE14106GSM426499	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wounded inflorescence stalk, Gene expression data of reference tissue were compared with those of inoculated tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: mock	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: mock	wounded inflorescence stalk	wounded	Ws-2	inflorescence stalk	P-G14106-8	P-G14106-1	GSE14106GSM426499 sample	P-G14106-5	GSE14106GSM426499 extract	total_RNA	P-G14106-3	GSE14106GSM426499 LE biotin	biotin	synthetic_RNA	Reference 3hpi 6	A-AFFY-2	P-AFFY-6	GSM426499.CEL	GSM426499.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.raw.1.zip	P-G14106-4	E-GEOD-14106-processed-data-1833583201.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.processed.1.zip	none	none
GSE14106GSM350799	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wounded inflorescence stalk, Gene expression data of reference tissue were compared with those of 35-day-old mature crown gall tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: mock	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: mock	wounded inflorescence stalk	wounded	Ws-2	inflorescence stalk	P-G14106-2	P-G14106-1	GSE14106GSM350799 sample	P-G14106-5	GSE14106GSM350799 extract	total_RNA	P-G14106-3	GSE14106GSM350799 LE biotin	biotin	synthetic_RNA	Reference 35dpi 1	A-AFFY-2	P-AFFY-6	GSM350799.CEL	GSM350799.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.raw.1.zip	P-G14106-4	E-GEOD-14106-processed-data-1833583201.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.processed.1.zip	none	none
GSE14106GSM350869	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wounded inflorescence stalk inoculated with GV3101, Gene expression data of reference tissue were compared with those of inoculated tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain GV3101, lacking the T-DNA but not virulence factors	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain GV3101, lacking the T-DNA but not virulence factors	wounded inflorescence stalk inoculated with GV3101	wounded	Ws-2	inflorescence stalk	P-G14106-13	P-G14106-6	GSE14106GSM350869 sample	P-G14106-5	GSE14106GSM350869 extract	total_RNA	P-G14106-3	GSE14106GSM350869 LE biotin	biotin	synthetic_RNA	GV3101 6dpi 3	A-AFFY-2	P-AFFY-6	GSM350869.CEL	GSM350869.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.raw.1.zip	P-G14106-4	E-GEOD-14106-processed-data-1833583201.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.processed.1.zip	Agrobacterium tumefaciens GV3101	none
GSE14106GSM426502	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wounded inflorescence stalk inoculated with C58, Gene expression data of reference tissue were compared with those of inoculated tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58	wounded inflorescence stalk inoculated with C58	wounded	Ws-2	inflorescence stalk	P-G14106-10	P-G14106-14	GSE14106GSM426502 sample	P-G14106-5	GSE14106GSM426502 extract	total_RNA	P-G14106-3	GSE14106GSM426502 LE biotin	biotin	synthetic_RNA	C58 3hpi 6	A-AFFY-2	P-AFFY-6	GSM426502.CEL	GSM426502.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.raw.1.zip	P-G14106-4	E-GEOD-14106-processed-data-1833583201.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14106/E-GEOD-14106.processed.1.zip	Agrobacterium tumefaciens C58	none
