Comment[ArrayExpressAccession]	E-GEOD-29771
Public Release Date	2011-12-31									
Investigation Title	Synergistic Repression of Embryonic Program by SET DOMAIN GROUP 8 and EMBRYONIC FLOWER 2 in Arabidopsis Seedlings									
Comment[Submitted Name]	Synergistic Repression of Embryonic Program by SET DOMAIN GROUP 8 and EMBRYONIC FLOWER 2 in Arabidopsis Seedlings
Experiment Description	The seed maturation program occurs only during late phase of embryo development and repression of the maturation genes is pivotal for seedling development. However, mechanisms that repress the expression of this program in vegetative tissues are not well understood. A genetic screen was performed for mutants that express maturation genes in leaves. Here, it is shown that mutations affecting SDG8 (SET DOMAIN GROUP 8), a putative histone methyltransferase, cause ectopic expression of a subset of maturation genes in leaves. Further, to investigate the relationship between SDG8 and the Polycomb Group (PcG) proteins, which are known to repress many developmentally important genes including seed maturation genes, double mutants was made and formation of somatic embryos was observed on mutant seedlings with mutations in both SDG8 and EMF2 (EMBRYONIC FLOWER 2). Interestingly, double mutant of sdg8 and mutations in VRN2 (VERNALIZATION 2), a paralog of EMF2, grow and develop normally to maturity. Analysis of histone methylation status at chromatins of a number of maturation loci revealed synergistic effect of emf2 and sdg8 on the deposition of the active histone mark, trimethylation of lysine 4 on histone 3 (H3K4me3), which is consistent with high expression of these genes (formation of somatic embryos) in emf2 sdg8 double mutants. These observations demonstrate a functional cooperative interplay between SDG8 and an EMF2-containing PcG complex in maintaining vegetative cell identity by repressing seed genes to promote seedling development. The work also indicates the functional specificities of PcG complexes in Arabidopsis. Total RNA was isolated from three independent biological replicates of Wild type (ProβCG:GUS) and two independent biological replicates of sdg8-2 and essp4/sdg8-5, respectively. Four ATH1 chips were used for the two mutants and three for the wild type.  Matrices comprising the signal intensity value of each gene per replicate hybridization and the averaged data of each gene generated from three replicate hybridizations of the wild type and two replicate hybridizations of mutant samples, respectively, are linked below as supplementary files.									
Date of Experiment										
Term Source Name	EFO
Term Source Version										
Term Source File	http://www.ebi.ac.uk/efo/efo.owl									
Person Last Name	Tang	Tang	Pelletier	Tang	Nguyen	Keller	Wang	Rothstein	Harada	Cui
Person First Name	Xurong	Xurong	Julie	Mingjuan	Vi	Wilfred	Aiming	Steven	John	Yuhai
Person Mid Initials						A		J	J	
Person Email	xurong.tang@uoit.ca									
Person Affiliation	Agriculture and Agri-Food Canada									
Person Phone										
Person Fax										
Person Address	Agriculture and Agri-Food Canada, 1391 Sandford Street, London, Canada									
Person Roles	submitter									
Person Roles Term Source REF										
Person Roles Term Accession Number										
Normalization Type										
Normalization Term Accession Number										
Normalization Term Source REF										
Replicate Type										
Replicate Term Accession Number										
Replicate Term Source REF										
Experimental Design										
Experimental Design Term Accession Number										
Experimental Design Term Source REF										
Quality Control Type										
Quality Control Term Accession Number										
Quality Control Term Source REF										
Protocol Name	P-GSE29771-1	P-GSE29771-6	P-GSE29771-3	P-GSE29771-8	P-GSE29771-7	P-GSE29771-2	P-GSE29771-4	P-GSE29771-5		
