Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Characteristics [strain or line]	Characteristics [variation]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [VARIATION]
GSM889584 1	The expression estimates of CHP file is calculated using the Affymetrix® “Statistical Algorithm” for absolute analysis.	PRR5-VP expressing plants harvested at ZT18 (18 hr after light on)	PRR5-VP_ZT18_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole plant	Col-0	PRR5-VP expressing	P-GSE36360-2	ArrayExpress	P-GSE36360-3	ArrayExpress	GSM889584 extract 1	total RNA	P-GSE36360-4	ArrayExpress	GSM889584 LE 1	biotin	P-GSE36360-5	ArrayExpress	GSM889584	A-AFFY-2	ArrayExpress	P-GSE36360-6	ArrayExpress	P-GSE36360-7	ArrayExpress	GSM889584_HS327.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36360/E-GEOD-36360.raw.1.zip	P-GSE36360-1	ArrayExpress	GSM889584_sample_table.txt norm	GSM889584_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36360/E-GEOD-36360.processed.1.zip	PRR5-VP expressing
GSM889583 1	The expression estimates of CHP file is calculated using the Affymetrix® “Statistical Algorithm” for absolute analysis.	PRR5-VP expressing plants harvested at ZT18 (18 hr after light on)	PRR5-VP_ZT18_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole plant	Col-0	PRR5-VP expressing	P-GSE36360-2	ArrayExpress	P-GSE36360-3	ArrayExpress	GSM889583 extract 1	total RNA	P-GSE36360-4	ArrayExpress	GSM889583 LE 1	biotin	P-GSE36360-5	ArrayExpress	GSM889583	A-AFFY-2	ArrayExpress	P-GSE36360-6	ArrayExpress	P-GSE36360-7	ArrayExpress	GSM889583_HS326.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36360/E-GEOD-36360.raw.1.zip	P-GSE36360-1	ArrayExpress	GSM889583_sample_table.txt norm	GSM889583_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36360/E-GEOD-36360.processed.1.zip	PRR5-VP expressing
GSM889582 1	The expression estimates of CHP file is calculated using the Affymetrix® “Statistical Algorithm” for absolute analysis.	PRR5-VP expressing plants harvested at ZT18 (18 hr after light on)	PRR5-VP_ZT18_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole plant	Col-0	PRR5-VP expressing	P-GSE36360-2	ArrayExpress	P-GSE36360-3	ArrayExpress	GSM889582 extract 1	total RNA	P-GSE36360-4	ArrayExpress	GSM889582 LE 1	biotin	P-GSE36360-5	ArrayExpress	GSM889582	A-AFFY-2	ArrayExpress	P-GSE36360-6	ArrayExpress	P-GSE36360-7	ArrayExpress	GSM889582_HS325.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36360/E-GEOD-36360.raw.1.zip	P-GSE36360-1	ArrayExpress	GSM889582_sample_table.txt norm	GSM889582_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36360/E-GEOD-36360.processed.1.zip	PRR5-VP expressing
GSM889581 1	The expression estimates of CHP file is calculated using the Affymetrix® “Statistical Algorithm” for absolute analysis.	PRR5-VP expressing plants harvested at ZT12 (12 hr after light on)	PRR5-VP_ZT12_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole plant	Col-0	PRR5-VP expressing	P-GSE36360-2	ArrayExpress	P-GSE36360-3	ArrayExpress	GSM889581 extract 1	total RNA	P-GSE36360-4	ArrayExpress	GSM889581 LE 1	biotin	P-GSE36360-5	ArrayExpress	GSM889581	A-AFFY-2	ArrayExpress	P-GSE36360-6	ArrayExpress	P-GSE36360-7	ArrayExpress	GSM889581_HS324.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36360/E-GEOD-36360.raw.1.zip	P-GSE36360-1	ArrayExpress	GSM889581_sample_table.txt norm	GSM889581_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36360/E-GEOD-36360.processed.1.zip	PRR5-VP expressing
GSM889580 1	The expression estimates of CHP file is calculated using the Affymetrix® “Statistical Algorithm” for absolute analysis.	PRR5-VP expressing plants harvested at ZT12 (12 hr after light on)	PRR5-VP_ZT12_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole plant	Col-0	PRR5-VP expressing	P-GSE36360-2	ArrayExpress	P-GSE36360-3	ArrayExpress	GSM889580 extract 1	total RNA	P-GSE36360-4	ArrayExpress	GSM889580 LE 1	biotin	P-GSE36360-5	ArrayExpress	GSM889580	A-AFFY-2	ArrayExpress	P-GSE36360-6	ArrayExpress	P-GSE36360-7	ArrayExpress	GSM889580_HS323.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36360/E-GEOD-36360.raw.1.zip	P-GSE36360-1	ArrayExpress	GSM889580_sample_table.txt norm	GSM889580_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36360/E-GEOD-36360.processed.1.zip	PRR5-VP expressing
GSM889579 1	The expression estimates of CHP file is calculated using the Affymetrix® “Statistical Algorithm” for absolute analysis.	PRR5-VP expressing plants harvested at ZT12 (12 hr after light on)	PRR5-VP_ZT12_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole plant	Col-0	PRR5-VP expressing	P-GSE36360-2	ArrayExpress	P-GSE36360-3	ArrayExpress	GSM889579 extract 1	total RNA	P-GSE36360-4	ArrayExpress	GSM889579 LE 1	biotin	P-GSE36360-5	ArrayExpress	GSM889579	A-AFFY-2	ArrayExpress	P-GSE36360-6	ArrayExpress	P-GSE36360-7	ArrayExpress	GSM889579_HS322.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36360/E-GEOD-36360.raw.1.zip	P-GSE36360-1	ArrayExpress	GSM889579_sample_table.txt norm	GSM889579_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36360/E-GEOD-36360.processed.1.zip	PRR5-VP expressing
GSM889578 1	The expression estimates of CHP file is calculated using the Affymetrix® “Statistical Algorithm” for absolute analysis.	PRR5-VP expressing plants harvested at ZT6 (6 hr after light on)	PRR5-VP_ZT6_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole plant	Col-0	PRR5-VP expressing	P-GSE36360-2	ArrayExpress	P-GSE36360-3	ArrayExpress	GSM889578 extract 1	total RNA	P-GSE36360-4	ArrayExpress	GSM889578 LE 1	biotin	P-GSE36360-5	ArrayExpress	GSM889578	A-AFFY-2	ArrayExpress	P-GSE36360-6	ArrayExpress	P-GSE36360-7	ArrayExpress	GSM889578_HS321.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36360/E-GEOD-36360.raw.1.zip	P-GSE36360-1	ArrayExpress	GSM889578_sample_table.txt norm	GSM889578_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36360/E-GEOD-36360.processed.1.zip	PRR5-VP expressing
GSM889577 1	The expression estimates of CHP file is calculated using the Affymetrix® “Statistical Algorithm” for absolute analysis.	PRR5-VP expressing plants harvested at ZT6 (6 hr after light on)	PRR5-VP_ZT6_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole plant	Col-0	PRR5-VP expressing	P-GSE36360-2	ArrayExpress	P-GSE36360-3	ArrayExpress	GSM889577 extract 1	total RNA	P-GSE36360-4	ArrayExpress	GSM889577 LE 1	biotin	P-GSE36360-5	ArrayExpress	GSM889577	A-AFFY-2	ArrayExpress	P-GSE36360-6	ArrayExpress	P-GSE36360-7	ArrayExpress	GSM889577_HS320.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36360/E-GEOD-36360.raw.1.zip	P-GSE36360-1	ArrayExpress	GSM889577_sample_table.txt norm	GSM889577_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36360/E-GEOD-36360.processed.1.zip	PRR5-VP expressing
GSM889576 1	The expression estimates of CHP file is calculated using the Affymetrix® “Statistical Algorithm” for absolute analysis.	PRR5-VP expressing plants harvested at ZT6 (6 hr after light on)	PRR5-VP_ZT6_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole plant	Col-0	PRR5-VP expressing	P-GSE36360-2	ArrayExpress	P-GSE36360-3	ArrayExpress	GSM889576 extract 1	total RNA	P-GSE36360-4	ArrayExpress	GSM889576 LE 1	biotin	P-GSE36360-5	ArrayExpress	GSM889576	A-AFFY-2	ArrayExpress	P-GSE36360-6	ArrayExpress	P-GSE36360-7	ArrayExpress	GSM889576_HS319.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36360/E-GEOD-36360.raw.1.zip	P-GSE36360-1	ArrayExpress	GSM889576_sample_table.txt norm	GSM889576_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36360/E-GEOD-36360.processed.1.zip	PRR5-VP expressing
GSM889575 1	The expression estimates of CHP file is calculated using the Affymetrix® “Statistical Algorithm” for absolute analysis.	Wild-type plants harvested at ZT18 (18 hr after light on)	Wild_ZT18_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole plant	Col-0	wild type	P-GSE36360-2	ArrayExpress	P-GSE36360-3	ArrayExpress	GSM889575 extract 1	total RNA	P-GSE36360-4	ArrayExpress	GSM889575 LE 1	biotin	P-GSE36360-5	ArrayExpress	GSM889575	A-AFFY-2	ArrayExpress	P-GSE36360-6	ArrayExpress	P-GSE36360-7	ArrayExpress	GSM889575_HS318.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36360/E-GEOD-36360.raw.1.zip	P-GSE36360-1	ArrayExpress	GSM889575_sample_table.txt norm	GSM889575_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36360/E-GEOD-36360.processed.1.zip	wild type
