Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [developmental stage]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [DEVELOPMENTAL STAGE]
GSM1074839 1	Arabidopsis (WT) leaves - control (5 d)	control leaf (WT 5d), biological rep2	33d after seeds were sown	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf only	P-GSE43947-2	ArrayExpress	P-GSE43947-3	ArrayExpress	P-GSE43947-4	ArrayExpress	GSM1074839 extract 1	total RNA	P-GSE43947-5	ArrayExpress	GSM1074839 LE 1	biotin	P-GSE43947-6	ArrayExpress	GSM1074839	A-AFFY-2	ArrayExpress	array assay	P-GSE43947-7	ArrayExpress	GSM1074839_2nd-WT-C-5d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43947/E-GEOD-43947.raw.1.zip	P-GSE43947-1	ArrayExpress	GSM1074839_sample_table.txt norm	GSM1074839_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43947/E-GEOD-43947.processed.1.zip	33d after seeds were sown
GSM1074838 1	Arabidopsis (WT) leaves - control (1 d)	control leaf (WT 1d), biological rep2	29d after seeds were sown	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf only	P-GSE43947-2	ArrayExpress	P-GSE43947-3	ArrayExpress	P-GSE43947-4	ArrayExpress	GSM1074838 extract 1	total RNA	P-GSE43947-5	ArrayExpress	GSM1074838 LE 1	biotin	P-GSE43947-6	ArrayExpress	GSM1074838	A-AFFY-2	ArrayExpress	array assay	P-GSE43947-7	ArrayExpress	GSM1074838_2nd-WT-C-1d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43947/E-GEOD-43947.raw.1.zip	P-GSE43947-1	ArrayExpress	GSM1074838_sample_table.txt norm	GSM1074838_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43947/E-GEOD-43947.processed.1.zip	29d after seeds were sown
GSM1074837 1	Arabidopsis (WT) leaves 5 d after gamma irradiation	irradiated leaf (WT 5d), biological rep2	33d after seeds were sown	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf only	P-GSE43947-2	ArrayExpress	P-GSE43947-3	ArrayExpress	P-GSE43947-4	ArrayExpress	GSM1074837 extract 1	total RNA	P-GSE43947-5	ArrayExpress	GSM1074837 LE 1	biotin	P-GSE43947-6	ArrayExpress	GSM1074837	A-AFFY-2	ArrayExpress	array assay	P-GSE43947-7	ArrayExpress	GSM1074837_2nd-WT-200-5d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43947/E-GEOD-43947.raw.1.zip	P-GSE43947-1	ArrayExpress	GSM1074837_sample_table.txt norm	GSM1074837_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43947/E-GEOD-43947.processed.1.zip	33d after seeds were sown
GSM1074836 1	Arabidopsis (WT) leaves 1 d after gamma irradiation	irradiated leaf (WT 1d), biological rep2	29d after seeds were sown	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf only	P-GSE43947-2	ArrayExpress	P-GSE43947-3	ArrayExpress	P-GSE43947-4	ArrayExpress	GSM1074836 extract 1	total RNA	P-GSE43947-5	ArrayExpress	GSM1074836 LE 1	biotin	P-GSE43947-6	ArrayExpress	GSM1074836	A-AFFY-2	ArrayExpress	array assay	P-GSE43947-7	ArrayExpress	GSM1074836_2nd-WT-200-1d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43947/E-GEOD-43947.raw.1.zip	P-GSE43947-1	ArrayExpress	GSM1074836_sample_table.txt norm	GSM1074836_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43947/E-GEOD-43947.processed.1.zip	29d after seeds were sown
GSM1074835 1	Arabidopsis (cmt) leaves - control (5 d)	control leaf (cmt 5d), biological rep2	33d after seeds were sown	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf only	P-GSE43947-2	ArrayExpress	P-GSE43947-3	ArrayExpress	P-GSE43947-4	ArrayExpress	GSM1074835 extract 1	total RNA	P-GSE43947-5	ArrayExpress	GSM1074835 LE 1	biotin	P-GSE43947-6	ArrayExpress	GSM1074835	A-AFFY-2	ArrayExpress	array assay	P-GSE43947-7	ArrayExpress	GSM1074835_2nd-cmt-C-5d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43947/E-GEOD-43947.raw.1.zip	P-GSE43947-1	ArrayExpress	GSM1074835_sample_table.txt norm	GSM1074835_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43947/E-GEOD-43947.processed.1.zip	33d after seeds were sown
GSM1074834 1	Arabidopsis (cmt) leaves - control (1 d)	control leaf (cmt 1d), biological rep2	29d after seeds were sown	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf only	P-GSE43947-2	ArrayExpress	P-GSE43947-3	ArrayExpress	P-GSE43947-4	ArrayExpress	GSM1074834 extract 1	total RNA	P-GSE43947-5	ArrayExpress	GSM1074834 LE 1	biotin	P-GSE43947-6	ArrayExpress	GSM1074834	A-AFFY-2	ArrayExpress	array assay	P-GSE43947-7	ArrayExpress	GSM1074834_2nd-cmt-C-1d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43947/E-GEOD-43947.raw.1.zip	P-GSE43947-1	ArrayExpress	GSM1074834_sample_table.txt norm	GSM1074834_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43947/E-GEOD-43947.processed.1.zip	29d after seeds were sown
GSM1074833 1	Arabidopsis (cmt) leaves 5 d after gamma irradiation	irradiated leaf (cmt 5d), biological rep2	33d after seeds were sown	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf only	P-GSE43947-2	ArrayExpress	P-GSE43947-3	ArrayExpress	P-GSE43947-4	ArrayExpress	GSM1074833 extract 1	total RNA	P-GSE43947-5	ArrayExpress	GSM1074833 LE 1	biotin	P-GSE43947-6	ArrayExpress	GSM1074833	A-AFFY-2	ArrayExpress	array assay	P-GSE43947-7	ArrayExpress	GSM1074833_2nd-cmt-200-5d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43947/E-GEOD-43947.raw.1.zip	P-GSE43947-1	ArrayExpress	GSM1074833_sample_table.txt norm	GSM1074833_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43947/E-GEOD-43947.processed.1.zip	33d after seeds were sown
GSM1074832 1	Arabidopsis (cmt) leaves 1 d after gamma irradiation	irradiated leaf (cmt 1d), biological rep2	29d after seeds were sown	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf only	P-GSE43947-2	ArrayExpress	P-GSE43947-3	ArrayExpress	P-GSE43947-4	ArrayExpress	GSM1074832 extract 1	total RNA	P-GSE43947-5	ArrayExpress	GSM1074832 LE 1	biotin	P-GSE43947-6	ArrayExpress	GSM1074832	A-AFFY-2	ArrayExpress	array assay	P-GSE43947-7	ArrayExpress	GSM1074832_2nd-cmt-200-1d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43947/E-GEOD-43947.raw.1.zip	P-GSE43947-1	ArrayExpress	GSM1074832_sample_table.txt norm	GSM1074832_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43947/E-GEOD-43947.processed.1.zip	29d after seeds were sown
GSM1074831 1	Arabidopsis (WT) leaves - control (5 d)	control leaf (WT 5d), biological rep1	33d after seeds were sown	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf only	P-GSE43947-2	ArrayExpress	P-GSE43947-3	ArrayExpress	P-GSE43947-4	ArrayExpress	GSM1074831 extract 1	total RNA	P-GSE43947-5	ArrayExpress	GSM1074831 LE 1	biotin	P-GSE43947-6	ArrayExpress	GSM1074831	A-AFFY-2	ArrayExpress	array assay	P-GSE43947-7	ArrayExpress	GSM1074831_1st-WT-C-5d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43947/E-GEOD-43947.raw.1.zip	P-GSE43947-1	ArrayExpress	GSM1074831_sample_table.txt norm	GSM1074831_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43947/E-GEOD-43947.processed.1.zip	33d after seeds were sown
GSM1074830 1	Arabidopsis (WT) leaves - control (1 d)	control leaf (WT 1d), biological rep1	29d after seeds were sown	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf only	P-GSE43947-2	ArrayExpress	P-GSE43947-3	ArrayExpress	P-GSE43947-4	ArrayExpress	GSM1074830 extract 1	total RNA	P-GSE43947-5	ArrayExpress	GSM1074830 LE 1	biotin	P-GSE43947-6	ArrayExpress	GSM1074830	A-AFFY-2	ArrayExpress	array assay	P-GSE43947-7	ArrayExpress	GSM1074830_1st-WT-C-1d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43947/E-GEOD-43947.raw.1.zip	P-GSE43947-1	ArrayExpress	GSM1074830_sample_table.txt norm	GSM1074830_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43947/E-GEOD-43947.processed.1.zip	29d after seeds were sown
