Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[DevelopmentalStage]	Characteristics[Ecotype]	Characteristics[OrganismPart]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[ORGANISM PART]	FactorValue [GROWTH CONDITION]	FactorValue[TREATMENT TIME]	Unit[TimeUnit]
GSM592105 1	Shoot tissues at 9-10 leaf developmental stage, 24 h submergence in darkness	Shoot_submergence_24h_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage with 9-10 leaves	Col-0	shoot	P-GSE24077-2	P-GSE24077-3	P-GSE24077-4	GSM592105 extract 1	total RNA	P-GSE24077-5	GSM592105 LE 1	Biotin	P-GSE24077-6	GSM592105	A-AFFY-2	P-GSE24077-7	P-GSE24077-8	GSM592105.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.raw.1.zip	P-GSE24077-1	GSM592105_sample_table.txt norm	GSM592105_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.processed.1.zip	shoot	submerged in darkness	24	hours
GSM592104 1	Shoot tissues at 9-10 leaf developmental stage, 24 h submergence in darkness	Shoot_submergence_24h_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage with 9-10 leaves	Col-0	shoot	P-GSE24077-2	P-GSE24077-3	P-GSE24077-4	GSM592104 extract 1	total RNA	P-GSE24077-5	GSM592104 LE 1	Biotin	P-GSE24077-6	GSM592104	A-AFFY-2	P-GSE24077-7	P-GSE24077-8	GSM592104.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.raw.1.zip	P-GSE24077-1	GSM592104_sample_table.txt norm	GSM592104_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.processed.1.zip	shoot	submerged in darkness	24	hours
GSM592103 1	Shoot tissues at 9-10 leaf developmental stage, 7 h submergence in darkness	Shoot_submergence_7h_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage with 9-10 leaves	Col-0	shoot	P-GSE24077-2	P-GSE24077-3	P-GSE24077-4	GSM592103 extract 1	total RNA	P-GSE24077-5	GSM592103 LE 1	Biotin	P-GSE24077-6	GSM592103	A-AFFY-2	P-GSE24077-7	P-GSE24077-8	GSM592103.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.raw.1.zip	P-GSE24077-1	GSM592103_sample_table.txt norm	GSM592103_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.processed.1.zip	shoot	submerged in darkness	7	hours
GSM592102 1	Shoot tissues at 9-10 leaf developmental stage, 7 h submergence in darkness	Shoot_submergence_7h_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage with 9-10 leaves	Col-0	shoot	P-GSE24077-2	P-GSE24077-3	P-GSE24077-4	GSM592102 extract 1	total RNA	P-GSE24077-5	GSM592102 LE 1	Biotin	P-GSE24077-6	GSM592102	A-AFFY-2	P-GSE24077-7	P-GSE24077-8	GSM592102.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.raw.1.zip	P-GSE24077-1	GSM592102_sample_table.txt norm	GSM592102_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.processed.1.zip	shoot	submerged in darkness	7	hours
GSM592101 1	Shoot tissues at 9-10 leaf developmental stage, non-submerged light condition	Shoot_light_control_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage with 9-10 leaves	Col-0	shoot	P-GSE24077-2	P-GSE24077-3	P-GSE24077-4	GSM592101 extract 1	total RNA	P-GSE24077-5	GSM592101 LE 1	Biotin	P-GSE24077-6	GSM592101	A-AFFY-2	P-GSE24077-7	P-GSE24077-8	GSM592101.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.raw.1.zip	P-GSE24077-1	GSM592101_sample_table.txt norm	GSM592101_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.processed.1.zip	shoot	not submerged in light	0	hours
GSM592100 1	Shoot tissues at 9-10 leaf developmental stage, non-submerged light condition	Shoot_light_control_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage with 9-10 leaves	Col-0	shoot	P-GSE24077-2	P-GSE24077-3	P-GSE24077-4	GSM592100 extract 1	total RNA	P-GSE24077-5	GSM592100 LE 1	Biotin	P-GSE24077-6	GSM592100	A-AFFY-2	P-GSE24077-7	P-GSE24077-8	GSM592100.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.raw.1.zip	P-GSE24077-1	GSM592100_sample_table.txt norm	GSM592100_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.processed.1.zip	shoot	not submerged in light	0	hours
GSM592099 1	Shoot tissues at 9-10 leaf developmental stage, 24 h non-submerged dark condition	Shoot_dark_control_24h_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage with 9-10 leaves	Col-0	shoot	P-GSE24077-2	P-GSE24077-3	P-GSE24077-4	GSM592099 extract 1	total RNA	P-GSE24077-5	GSM592099 LE 1	Biotin	P-GSE24077-6	GSM592099	A-AFFY-2	P-GSE24077-7	P-GSE24077-8	GSM592099.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.raw.1.zip	P-GSE24077-1	GSM592099_sample_table.txt norm	GSM592099_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.processed.1.zip	shoot	not submerged in darkness	24	hours
GSM592098 1	Shoot tissues at 9-10 leaf developmental stage, 24 h non-submerged dark condition	Shoot_dark_control_24h_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage with 9-10 leaves	Col-0	shoot	P-GSE24077-2	P-GSE24077-3	P-GSE24077-4	GSM592098 extract 1	total RNA	P-GSE24077-5	GSM592098 LE 1	Biotin	P-GSE24077-6	GSM592098	A-AFFY-2	P-GSE24077-7	P-GSE24077-8	GSM592098.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.raw.1.zip	P-GSE24077-1	GSM592098_sample_table.txt norm	GSM592098_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.processed.1.zip	shoot	not submerged in darkness	24	hours
GSM592097 1	Shoot tissues at 9-10 leaf developmental stage, 7 h non-submerged dark condition	Shoot_dark_control_7h_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage with 9-10 leaves	Col-0	shoot	P-GSE24077-2	P-GSE24077-3	P-GSE24077-4	GSM592097 extract 1	total RNA	P-GSE24077-5	GSM592097 LE 1	Biotin	P-GSE24077-6	GSM592097	A-AFFY-2	P-GSE24077-7	P-GSE24077-8	GSM592097.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.raw.1.zip	P-GSE24077-1	GSM592097_sample_table.txt norm	GSM592097_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.processed.1.zip	shoot	not submerged in darkness	7	hours
GSM592096 1	Shoot tissues at 9-10 leaf developmental stage, 7 h non-submerged dark condition	Shoot_dark_control_7h_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage with 9-10 leaves	Col-0	shoot	P-GSE24077-2	P-GSE24077-3	P-GSE24077-4	GSM592096 extract 1	total RNA	P-GSE24077-5	GSM592096 LE 1	Biotin	P-GSE24077-6	GSM592096	A-AFFY-2	P-GSE24077-7	P-GSE24077-8	GSM592096.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.raw.1.zip	P-GSE24077-1	GSM592096_sample_table.txt norm	GSM592096_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24077/E-GEOD-24077.processed.1.zip	shoot	not submerged in darkness	7	hours
