Source Name	Characteristics[organism]	Characteristics[ecotype]	Characteristics[age]	Unit[time unit]	Characteristics[genotype]	Material Type	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[genotype]	Factor Value[compound]	Factor Value[dose]	Unit[concentration unit]
atpao5-3 0h rep1	Arabidopsis thaliana	Col-0	4	week	atpao5-3 mutant	organism part	P-MTAB-46078	P-MTAB-46079	atpao5-3 0h rep1	P-MTAB-46080	atpao5-3 0h rep1:Biotin	Biotin	P-MTAB-46081	APO1_2	array assay	A-AFFY-2	ArrayExpress	APO1_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3817/E-MTAB-3817.raw.1.zip	atpao5-3 mutant	none	  	        
atpao5-3 0h rep2	Arabidopsis thaliana	Col-0	4	week	atpao5-3 mutant	organism part	P-MTAB-46078	P-MTAB-46079	atpao5-3 0h rep2	P-MTAB-46080	atpao5-3 0h rep2:Biotin	Biotin	P-MTAB-46081	APO2	array assay	A-AFFY-2	ArrayExpress	APO2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3817/E-MTAB-3817.raw.1.zip	atpao5-3 mutant	none	  	        
atpao5-3 0h rep3	Arabidopsis thaliana	Col-0	4	week	atpao5-3 mutant	organism part	P-MTAB-46078	P-MTAB-46079	atpao5-3 0h rep3	P-MTAB-46080	atpao5-3 0h rep3:Biotin	Biotin	P-MTAB-46081	APO3	array assay	A-AFFY-2	ArrayExpress	APO3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3817/E-MTAB-3817.raw.1.zip	atpao5-3 mutant	none	  	        
atpao5-3 3h rep1	Arabidopsis thaliana	Col-0	4	week	atpao5-3 mutant	organism part	P-MTAB-46078	P-MTAB-46079	atpao5-3 3h rep1	P-MTAB-46080	atpao5-3 3h rep1:Biotin	Biotin	P-MTAB-46081	AP2-1	array assay	A-AFFY-2	ArrayExpress	AP2-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3817/E-MTAB-3817.raw.1.zip	atpao5-3 mutant	sodium chloride	50	millimolar
atpao5-3 3h rep2	Arabidopsis thaliana	Col-0	4	week	atpao5-3 mutant	organism part	P-MTAB-46078	P-MTAB-46079	atpao5-3 3h rep2	P-MTAB-46080	atpao5-3 3h rep2:Biotin	Biotin	P-MTAB-46081	AP2-2	array assay	A-AFFY-2	ArrayExpress	AP2-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3817/E-MTAB-3817.raw.1.zip	atpao5-3 mutant	sodium chloride	50	millimolar
atpao5-3 3h rep3	Arabidopsis thaliana	Col-0	4	week	atpao5-3 mutant	organism part	P-MTAB-46078	P-MTAB-46079	atpao5-3 3h rep3	P-MTAB-46080	atpao5-3 3h rep3:Biotin	Biotin	P-MTAB-46081	AP2-3	array assay	A-AFFY-2	ArrayExpress	AP2-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3817/E-MTAB-3817.raw.1.zip	atpao5-3 mutant	sodium chloride	50	millimolar
WT 0h rep1	Arabidopsis thaliana	Col-0	4	week	wild type genotype	organism part	P-MTAB-46078	P-MTAB-46079	WT 0h rep1	P-MTAB-46080	WT 0h rep1:Biotin	Biotin	P-MTAB-46081	AWO1	array assay	A-AFFY-2	ArrayExpress	AWO1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3817/E-MTAB-3817.raw.1.zip	wild type genotype	none	  	        
WT 0h rep2	Arabidopsis thaliana	Col-0	4	week	wild type genotype	organism part	P-MTAB-46078	P-MTAB-46079	WT 0h rep2	P-MTAB-46080	WT 0h rep2:Biotin	Biotin	P-MTAB-46081	AWO2	array assay	A-AFFY-2	ArrayExpress	AWO2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3817/E-MTAB-3817.raw.1.zip	wild type genotype	none	  	        
WT 0h rep3	Arabidopsis thaliana	Col-0	4	week	wild type genotype	organism part	P-MTAB-46078	P-MTAB-46079	WT 0h rep3	P-MTAB-46080	WT 0h rep3:Biotin	Biotin	P-MTAB-46081	AWO3	array assay	A-AFFY-2	ArrayExpress	AWO3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3817/E-MTAB-3817.raw.1.zip	wild type genotype	none	  	        
WT 3h rep1	Arabidopsis thaliana	Col-0	4	week	wild type genotype	organism part	P-MTAB-46078	P-MTAB-46079	WT 3h rep1	P-MTAB-46080	WT 3h rep1:Biotin	Biotin	P-MTAB-46081	AW2-1	array assay	A-AFFY-2	ArrayExpress	AW2-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3817/E-MTAB-3817.raw.1.zip	wild type genotype	sodium chloride	50	millimolar
WT 3h rep2	Arabidopsis thaliana	Col-0	4	week	wild type genotype	organism part	P-MTAB-46078	P-MTAB-46079	WT 3h rep2	P-MTAB-46080	WT 3h rep2:Biotin	Biotin	P-MTAB-46081	AW2-2	array assay	A-AFFY-2	ArrayExpress	AW2-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3817/E-MTAB-3817.raw.1.zip	wild type genotype	sodium chloride	50	millimolar
WT 3h rep3	Arabidopsis thaliana	Col-0	4	week	wild type genotype	organism part	P-MTAB-46078	P-MTAB-46079	WT 3h rep3	P-MTAB-46080	WT 3h rep3:Biotin	Biotin	P-MTAB-46081	AW2-3	array assay	A-AFFY-2	ArrayExpress	AW2-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3817/E-MTAB-3817.raw.1.zip	wild type genotype	sodium chloride	50	millimolar
