Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Characteristics [age]	Unit[time unit]	Characteristics [initial time point]	Characteristics [biosource type]	Provider	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [growth condition]	Factor Value [time]	Unit [time unit]
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181028	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	8	day	planting	fresh_sample	Genome Laboratory	P-MEXP-10342	P-MEXP-10341	2hGlucose2	P-MEXP-10346	2hGlucose2	total_RNA	P-MEXP-8187	2hGlucose2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	2hGlucose2	A-AFFY-2	P-AFFY-6	2hGlucose2	2hGlucose2.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-475-processed-data-1343522518.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.processed.1.zip	3% glucose	2	hour
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181027	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	8	day	planting	fresh_sample	Genome Laboratory	P-MEXP-10342	P-MEXP-10341	2hGlucose1	P-MEXP-10346	2hGlucose1	total_RNA	P-MEXP-8187	2hGlucose1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	2hGlucose1	A-AFFY-2	P-AFFY-6	2hGlucose1	2hGlucose1.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-475-processed-data-1343522518.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.processed.1.zip	3% glucose	2	hour
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181029	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	8	day	planting	fresh_sample	Genome Laboratory	P-MEXP-10342	P-MEXP-10341	2hGlucose3	P-MEXP-10346	2hGlucose3	total_RNA	P-MEXP-8187	2hGlucose3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	2hGlucose3	A-AFFY-2	P-AFFY-6	2hGlucose3	2hGlucose3.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-475-processed-data-1343522518.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.processed.1.zip	3% glucose	2	hour
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181036	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	8	day	planting	fresh_sample	Genome Laboratory	P-MEXP-10342	P-MEXP-10341	4hGlucose2	P-MEXP-10346	4hGlucose2	total_RNA	P-MEXP-8187	4hGlucose2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	4hGlucose2	A-AFFY-2	P-AFFY-6	4hGlucose2	4hGlucose2.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-475-processed-data-1343522518.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.processed.1.zip	3% glucose	4	hour
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181035	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	8	day	planting	fresh_sample	Genome Laboratory	P-MEXP-10342	P-MEXP-10341	4hGlucose1	P-MEXP-10346	4hGlucose1	total_RNA	P-MEXP-8187	4hGlucose1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	4hGlucose1	A-AFFY-2	P-AFFY-6	4hGlucose1	4hGlucose1.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-475-processed-data-1343522518.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.processed.1.zip	3% glucose	4	hour
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181037	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	8	day	planting	fresh_sample	Genome Laboratory	P-MEXP-10342	P-MEXP-10341	4hGlucose3	P-MEXP-10346	4hGlucose3	total_RNA	P-MEXP-8187	4hGlucose3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	4hGlucose3	A-AFFY-2	P-AFFY-6	4hGlucose3	4hGlucose3.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-475-processed-data-1343522518.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.processed.1.zip	3% glucose	4	hour
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181043	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	8	day	planting	fresh_sample	Genome Laboratory	P-MEXP-10342	P-MEXP-10341	6hGlucose	P-MEXP-10346	6hGlucose	total_RNA	P-MEXP-8187	6hGlucose	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	6hGlucose	A-AFFY-2	P-AFFY-6	6hGlucose	6hGlucose.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-475-processed-data-1343522518.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.processed.1.zip	3% glucose	6	hour
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181030	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	8	day	planting	fresh_sample	Genome Laboratory	P-MEXP-10342	P-MEXP-10341	2hglucoseABA	P-MEXP-10346	2hGlucoseABA	total_RNA	P-MEXP-8187	2hGlucoseABA	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	2hGlucoseABA	A-AFFY-2	P-AFFY-6	2hGlucoseABA	2hGlucoseABA.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-475-processed-data-1343522518.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.processed.1.zip	3% glucose and 10 micromolar abscisic acid	2	hour
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181038	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	8	day	planting	fresh_sample	Genome Laboratory	P-MEXP-10342	P-MEXP-10341	4hGlucoseABA	P-MEXP-10346	4hGlucoseABA	total_RNA	P-MEXP-8187	4hGlucoseABA	biotin	total_RNA	Affymetrix:Protocol:Hybridization-FlexGE-WS2v4	4hGlucoseABA	A-AFFY-2	P-AFFY-6	4hGlucoseABA	4hGlucoseABA.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-475-processed-data-1343522518.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.processed.1.zip	3% glucose and 10 micromolar abscisic acid	4	hour
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181044	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	8	day	planting	fresh_sample	Genome Laboratory	P-MEXP-10342	P-MEXP-10341	6hGlucoseABA	P-MEXP-10346	6hGlucoseABA	total_RNA	P-MEXP-8187	6hGlucoseABA	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	6hGlucoseABA	A-AFFY-2	P-AFFY-6	6hGlucoseABA	6hGlucoseABA.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-475-processed-data-1343522518.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-475/E-MEXP-475.processed.1.zip	3% glucose and 10 micromolar abscisic acid	6	hour
