Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[compound]	FactorValue[dose]	Unit[concentration unit]	FactorValue[time]	Unit[time unit]
GSM702590 1	Wildtype arabidopsis thaliana Col-0 root cultures were grown in the dark at 25oC in Gamborg's B5 medium and used 14 days after initiation.	CMP_4hr	Arabidopsis thaliana	Col-0	root	P-GSE28431-2	GSM702590 extract 1	total RNA	P-GSE28431-3	GSM702590 LE 1	biotin	P-GSE28431-4	GSM702590	A-AFFY-2	P-GSE28431-5	P-GSE28431-6	GSM702590.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28431/E-GEOD-28431.raw.1.zip	P-GSE28431-1	GSM702590_sample_table.txt norm	GSM702590_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28431/E-GEOD-28431.processed.1.zip	4-chloro-6-methyl-2-phenylpyrimidine	100	micromolar	4	hour
GSM702589 1	Wildtype arabidopsis thaliana Col-0 root cultures were grown in the dark at 25oC in Gamborg's B5 medium and used 14 days after initiation.	CMP_4hr	Arabidopsis thaliana	Col-0	root	P-GSE28431-2	GSM702589 extract 1	total RNA	P-GSE28431-3	GSM702589 LE 1	biotin	P-GSE28431-4	GSM702589	A-AFFY-2	P-GSE28431-5	P-GSE28431-6	GSM702589.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28431/E-GEOD-28431.raw.1.zip	P-GSE28431-1	GSM702589_sample_table.txt norm	GSM702589_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28431/E-GEOD-28431.processed.1.zip	4-chloro-6-methyl-2-phenylpyrimidine	100	micromolar	4	hour
GSM702588 1	Wildtype arabidopsis thaliana Col-0 root cultures were grown in the dark at 25oC in Gamborg's B5 medium and used 14 days after initiation.	CMP_4hr	Arabidopsis thaliana	Col-0	root	P-GSE28431-2	GSM702588 extract 1	total RNA	P-GSE28431-3	GSM702588 LE 1	biotin	P-GSE28431-4	GSM702588	A-AFFY-2	P-GSE28431-5	P-GSE28431-6	GSM702588.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28431/E-GEOD-28431.raw.1.zip	P-GSE28431-1	GSM702588_sample_table.txt norm	GSM702588_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28431/E-GEOD-28431.processed.1.zip	4-chloro-6-methyl-2-phenylpyrimidine	100	micromolar	4	hour
GSM702593 1	Wildtype arabidopsis thaliana Col-0 root cultures were grown in the dark at 25oC in Gamborg's B5 medium and used 14 days after initiation.	CMP_24hr	Arabidopsis thaliana	Col-0	root	P-GSE28431-2	GSM702593 extract 1	total RNA	P-GSE28431-3	GSM702593 LE 1	biotin	P-GSE28431-4	GSM702593	A-AFFY-2	P-GSE28431-5	P-GSE28431-6	GSM702593.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28431/E-GEOD-28431.raw.1.zip	P-GSE28431-1	GSM702593_sample_table.txt norm	GSM702593_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28431/E-GEOD-28431.processed.1.zip	4-chloro-6-methyl-2-phenylpyrimidine	100	micromolar	24	hour
GSM702592 1	Wildtype arabidopsis thaliana Col-0 root cultures were grown in the dark at 25oC in Gamborg's B5 medium and used 14 days after initiation.	CMP_24hr	Arabidopsis thaliana	Col-0	root	P-GSE28431-2	GSM702592 extract 1	total RNA	P-GSE28431-3	GSM702592 LE 1	biotin	P-GSE28431-4	GSM702592	A-AFFY-2	P-GSE28431-5	P-GSE28431-6	GSM702592.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28431/E-GEOD-28431.raw.1.zip	P-GSE28431-1	GSM702592_sample_table.txt norm	GSM702592_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28431/E-GEOD-28431.processed.1.zip	4-chloro-6-methyl-2-phenylpyrimidine	100	micromolar	24	hour
GSM702591 1	Wildtype arabidopsis thaliana Col-0 root cultures were grown in the dark at 25oC in Gamborg's B5 medium and used 14 days after initiation.	CMP_24hr	Arabidopsis thaliana	Col-0	root	P-GSE28431-2	GSM702591 extract 1	total RNA	P-GSE28431-3	GSM702591 LE 1	biotin	P-GSE28431-4	GSM702591	A-AFFY-2	P-GSE28431-5	P-GSE28431-6	GSM702591.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28431/E-GEOD-28431.raw.1.zip	P-GSE28431-1	GSM702591_sample_table.txt norm	GSM702591_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28431/E-GEOD-28431.processed.1.zip	4-chloro-6-methyl-2-phenylpyrimidine	100	micromolar	24	hour
GSM702584 1	Wildtype arabidopsis thaliana Col-0 root cultures were grown in the dark at 25oC in Gamborg's B5 medium and used 14 days after initiation.	Fenclorim_4hr	Arabidopsis thaliana	Col-0	root	P-GSE28431-2	GSM702584 extract 1	total RNA	P-GSE28431-3	GSM702584 LE 1	biotin	P-GSE28431-4	GSM702584	A-AFFY-2	P-GSE28431-5	P-GSE28431-6	GSM702584.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28431/E-GEOD-28431.raw.1.zip	P-GSE28431-1	GSM702584_sample_table.txt norm	GSM702584_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28431/E-GEOD-28431.processed.1.zip	fenclorim	100	micromolar	4	hour
GSM702577 1	Wildtype arabidopsis thaliana Col-0 root cultures were grown in the dark at 25oC in Gamborg's B5 medium and used 14 days after initiation.	Fenclorim_4hr	Arabidopsis thaliana	Col-0	root	P-GSE28431-2	GSM702577 extract 1	total RNA	P-GSE28431-3	GSM702577 LE 1	biotin	P-GSE28431-4	GSM702577	A-AFFY-2	P-GSE28431-5	P-GSE28431-6	GSM702577.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28431/E-GEOD-28431.raw.1.zip	P-GSE28431-1	GSM702577_sample_table.txt norm	GSM702577_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28431/E-GEOD-28431.processed.1.zip	fenclorim	100	micromolar	4	hour
GSM702576 1	Wildtype arabidopsis thaliana Col-0 root cultures were grown in the dark at 25oC in Gamborg's B5 medium and used 14 days after initiation.	Fenclorim_4hr	Arabidopsis thaliana	Col-0	root	P-GSE28431-2	GSM702576 extract 1	total RNA	P-GSE28431-3	GSM702576 LE 1	biotin	P-GSE28431-4	GSM702576	A-AFFY-2	P-GSE28431-5	P-GSE28431-6	GSM702576.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28431/E-GEOD-28431.raw.1.zip	P-GSE28431-1	GSM702576_sample_table.txt norm	GSM702576_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28431/E-GEOD-28431.processed.1.zip	fenclorim	100	micromolar	4	hour
GSM702587 1	Wildtype arabidopsis thaliana Col-0 root cultures were grown in the dark at 25oC in Gamborg's B5 medium and used 14 days after initiation.	Fenclorim_24hr	Arabidopsis thaliana	Col-0	root	P-GSE28431-2	GSM702587 extract 1	total RNA	P-GSE28431-3	GSM702587 LE 1	biotin	P-GSE28431-4	GSM702587	A-AFFY-2	P-GSE28431-5	P-GSE28431-6	GSM702587.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28431/E-GEOD-28431.raw.1.zip	P-GSE28431-1	GSM702587_sample_table.txt norm	GSM702587_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28431/E-GEOD-28431.processed.1.zip	fenclorim	100	micromolar	24	hour
