Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Term Source REF	Characteristics [IndividualGeneticCharacteristics]	Characteristics [OrganismPart]	Characteristics [Individual]	Characteristics [DevelopmentalStage]	Characteristics [Organism]	Term Source REF	Characteristics [Genotype]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Comment [Array Design URI]	Protocol REF	Factor Value [genotype]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
Arabidopsis thaliana	11 To 18	days	mo	mutant elo2	apex of young plants : shoot apical meristem and primordia of leaves 1 and 2 (petiole-less stage)	elo2_rep3	  	Arabidopsis thaliana	ncbitax	  	P-MEXP-7779	P-MEXP-7780	elo2_rep3	P-MEXP-7781	P-MEXP-7782	elo2_rep3	total_RNA	P-MEXP-8074	elo2_rep3	biotin	total_RNA	P-MEXP-7784	HYB:MEXP:9441	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	  	elo2	E-MEXP-300-raw-cel-460514926.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-300/E-MEXP-300.raw.1.zip	P-MEXP-7785	E-MEXP-300-processed-data-1342581219.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-300/E-MEXP-300.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:176104	11 To 18	days	mo	mutant ang4	apex of young plants : shoot apical meristem and primordia of leaves 1 and 2 (petiole-less stage)	ang4_rep2	  	Arabidopsis thaliana	ncbitax	  	P-MEXP-7779	P-MEXP-7780	ang4_rep2	P-MEXP-7781	P-MEXP-7782	ang4_rep2	total_RNA	P-MEXP-8074	ang4_rep2	biotin	total_RNA	P-MEXP-7784	 EukGE-WS2v4	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	elo3	ang4	E-MEXP-300-raw-cel-460515445.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-300/E-MEXP-300.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-300-processed-data-1342581219.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-300/E-MEXP-300.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:176104	11 To 18	days	mo	mutant ang4	apex of young plants : shoot apical meristem and primordia of leaves 1 and 2 (petiole-less stage)	ang4_rep2	  	Arabidopsis thaliana	ncbitax	  	P-MEXP-7779	P-MEXP-7780	ang4_rep2	P-MEXP-7781	P-MEXP-7782	ang4_rep2	total_RNA	P-MEXP-8074	ang4_rep2	biotin	total_RNA	P-MEXP-7784	 EukGE-WS2v4	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	  	ang4	E-MEXP-300-raw-cel-460515445.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-300/E-MEXP-300.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-300-processed-data-1342581219.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-300/E-MEXP-300.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:176097	11 To 18	days	mo	mutant ang4	apex of young plants : shoot apical meristem and primordia of leaves 1 and 2 (petiole-less stage)	ang4_rep1	  	Arabidopsis thaliana	ncbitax	  	P-MEXP-7779	P-MEXP-7780	ang4_rep1	P-MEXP-7781	P-MEXP-7782	ang4_rep1	total_RNA	P-MEXP-8074	ang4_rep1	biotin	total_RNA	P-MEXP-7784	HYB:MEXP:9443	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	ang4	ang4	E-MEXP-300-raw-cel-460515081.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-300/E-MEXP-300.raw.1.zip	P-MEXP-7785	E-MEXP-300-processed-data-1342581219.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-300/E-MEXP-300.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:176101	11 To 18	days	mo	mutant elo2	apex of young plants : shoot apical meristem and primordia of leaves 1 and 2 (petiole-less stage)	elo2_rep2	  	Arabidopsis thaliana	ncbitax	  	P-MEXP-7779	P-MEXP-7780	elo2_rep2	P-MEXP-7781	P-MEXP-7782	elo2_rep2	total_RNA	P-MEXP-8074	elo2_rep2	biotin	total_RNA	P-MEXP-7784	HYB:MEXP:9447	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	elo2	elo2	E-MEXP-300-raw-cel-460515313.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-300/E-MEXP-300.raw.1.zip	P-MEXP-7785	E-MEXP-300-processed-data-1342581219.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-300/E-MEXP-300.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:176105	11 To 18	days	mo	mutant ang4	apex of young plants : shoot apical meristem and primordia of leaves 1 and 2 (petiole-less stage)	ang4_rep3	  	Arabidopsis thaliana	ncbitax	  	P-MEXP-7779	P-MEXP-7780	ang4_rep3	P-MEXP-7781	P-MEXP-7782	ang4_rep3	total_RNA	P-MEXP-8074	ang4_rep3	biotin	total_RNA	P-MEXP-7784	 EukGE-WS2v4	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	ang4	ang4	E-MEXP-300-raw-cel-460515489.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-300/E-MEXP-300.raw.1.zip	P-MEXP-7785	E-MEXP-300-processed-data-1342581219.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-300/E-MEXP-300.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:176096	11 To 18	days	mo	mutant drl1-2	apex of young plants : shoot apical meristem and primordia of leaves 1 and 2 (petiole-less stage)	drl1-2_rep2	  	Arabidopsis thaliana	ncbitax	  	P-MEXP-7779	P-MEXP-7780	drl1-2_rep2	P-MEXP-7781	P-MEXP-7782	drl1-2_rep2	total_RNA	P-MEXP-8074	drl1-2_rep2	biotin	total_RNA	P-MEXP-7784	HYB:MEXP:9442	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	drl1-2	drl1-2	E-MEXP-300-raw-cel-460515037.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-300/E-MEXP-300.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-300-processed-data-1342581219.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-300/E-MEXP-300.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:176096	11 To 18	days	mo	mutant drl1-2	apex of young plants : shoot apical meristem and primordia of leaves 1 and 2 (petiole-less stage)	drl1-2_rep2	  	Arabidopsis thaliana	ncbitax	  	P-MEXP-7779	P-MEXP-7780	drl1-2_rep2	P-MEXP-7781	P-MEXP-7782	drl1-2_rep2	total_RNA	P-MEXP-8074	drl1-2_rep2	biotin	total_RNA	P-MEXP-7784	HYB:MEXP:9442	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	drl1-2	drl1-2	E-MEXP-300-raw-cel-460515037.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-300/E-MEXP-300.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-300-processed-data-1342581219.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-300/E-MEXP-300.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:176100	11 To 18	days	mo	mutant elo2	apex of young plants : shoot apical meristem and primordia of leaves 1 and 2 (petiole-less stage)	elo2_rep1	  	Arabidopsis thaliana	ncbitax	  	P-MEXP-7779	P-MEXP-7780	elo2_rep1	P-MEXP-7781	P-MEXP-7782	elo2_rep1	total_RNA	P-MEXP-8074	elo2_rep1	biotin	total_RNA	P-MEXP-7784	HYB:MEXP:9446	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	elo2	alo2	E-MEXP-300-raw-cel-460515255.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-300/E-MEXP-300.raw.1.zip	P-MEXP-7785	E-MEXP-300-processed-data-1342581219.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-300/E-MEXP-300.processed.1.zip
Arabidopsis thaliana__S:BioSource:MEXP:176102	11 To 18	days	mo	mutant drl1-2	apex of young plants : shoot apical meristem and primordia of leaves 1 and 2 (petiole-less stage)	drl1-2_rep1	  	Arabidopsis thaliana	ncbitax	  	P-MEXP-7779	P-MEXP-7780	drl1-2_rep1	P-MEXP-7781	P-MEXP-7782	drl1-2_rep1	total_RNA	P-MEXP-8074	drl1-2_rep1	biotin	total_RNA	P-MEXP-7784	HYB:MEXP:9448	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	drl1-2	drl1-2	E-MEXP-300-raw-cel-460515357.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-300/E-MEXP-300.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-300-processed-data-1342581219.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-300/E-MEXP-300.processed.1.zip
