Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[growth condition]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [growth condition]	FactorValue [compound]	FactorValue[dose]	Unit [concentration unit]
GSM857282 1	ALC_Toc1_LD_3_EtOH_Seedlings	seedlings, 13 days old, Col-0 ecotype	ALC_Toc1_LD_3_EtOH	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ethanol-inducible TOC1 transgenic line 	13 days in 12 h light/12 h dark (LD)	P-GSE34897-2	GSM857282 extract 1	total RNA	P-GSE34897-3	GSM857282 LE 1	Biotin	P-GSE34897-4	GSM857282	A-AFFY-2	P-GSE34897-5	P-GSE34897-6	GSM857282_11541.Kay.24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.raw.1.zip	P-GSE34897-1	GSM857282_sample_table.txt norm	GSM857282_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.processed.1.zip	ethanol-inducible TOC1 transgenic line 	13 days in 12 h light/12 h dark (LD)	ethanol	2.5	percent
GSM857281 1	ALC_Toc1_LD_2_EtOH_Seedlings	seedlings, 13 days old, Col-0 ecotype	ALC_Toc1_LD_2_EtOH	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ethanol-inducible TOC1 transgenic line 	13 days in 12 h light/12 h dark (LD)	P-GSE34897-2	GSM857281 extract 1	total RNA	P-GSE34897-3	GSM857281 LE 1	Biotin	P-GSE34897-4	GSM857281	A-AFFY-2	P-GSE34897-5	P-GSE34897-6	GSM857281_11540.Kay.23.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.raw.1.zip	P-GSE34897-1	GSM857281_sample_table.txt norm	GSM857281_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.processed.1.zip	ethanol-inducible TOC1 transgenic line 	13 days in 12 h light/12 h dark (LD)	ethanol	2.5	percent
GSM857280 1	ALC_Toc1_LD_1_EtOH_Seedlings	seedlings, 13 days old, Col-0 ecotype	ALC_Toc1_LD_1_EtOH	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ethanol-inducible TOC1 transgenic line 	13 days in 12 h light/12 h dark (LD)	P-GSE34897-2	GSM857280 extract 1	total RNA	P-GSE34897-3	GSM857280 LE 1	Biotin	P-GSE34897-4	GSM857280	A-AFFY-2	P-GSE34897-5	P-GSE34897-6	GSM857280_11539.Kay.22.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.raw.1.zip	P-GSE34897-1	GSM857280_sample_table.txt norm	GSM857280_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.processed.1.zip	ethanol-inducible TOC1 transgenic line 	13 days in 12 h light/12 h dark (LD)	ethanol	2.5	percent
GSM857279 1	Col_LD_3_EtOH_Seedlings	seedlings, 13 days old, Col-0 ecotype	Col_LD_3_EtOH	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	13 days in 12 h light/12 h dark (LD)	P-GSE34897-2	GSM857279 extract 1	total RNA	P-GSE34897-3	GSM857279 LE 1	Biotin	P-GSE34897-4	GSM857279	A-AFFY-2	P-GSE34897-5	P-GSE34897-6	GSM857279_11538.Kay.21.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.raw.1.zip	P-GSE34897-1	GSM857279_sample_table.txt norm	GSM857279_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.processed.1.zip	wild type	13 days in 12 h light/12 h dark (LD)	ethanol	2.5	percent
GSM857278 1	Col_LD_2_EtOH_Seedlings	seedlings, 13 days old, Col-0 ecotype	Col_LD_2_EtOH	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	13 days in 12 h light/12 h dark (LD)	P-GSE34897-2	GSM857278 extract 1	total RNA	P-GSE34897-3	GSM857278 LE 1	Biotin	P-GSE34897-4	GSM857278	A-AFFY-2	P-GSE34897-5	P-GSE34897-6	GSM857278_11537.Kay.20.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.raw.1.zip	P-GSE34897-1	GSM857278_sample_table.txt norm	GSM857278_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.processed.1.zip	wild type	13 days in 12 h light/12 h dark (LD)	ethanol	2.5	percent
GSM857277 1	Col_LD_1_EtOH_Seedlings	seedlings, 13 days old, Col-0 ecotype	Col_LD_1_EtOH	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	13 days in 12 h light/12 h dark (LD)	P-GSE34897-2	GSM857277 extract 1	total RNA	P-GSE34897-3	GSM857277 LE 1	Biotin	P-GSE34897-4	GSM857277	A-AFFY-2	P-GSE34897-5	P-GSE34897-6	GSM857277_11536.Kay.19.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.raw.1.zip	P-GSE34897-1	GSM857277_sample_table.txt norm	GSM857277_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.processed.1.zip	wild type	13 days in 12 h light/12 h dark (LD)	ethanol	2.5	percent
GSM857276 1	ALC_Toc1_LD_3_Mock_Seedlings	seedlings, 13 days old, Col-0 ecotype	ALC_Toc1_LD_3_Mock	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ethanol-inducible TOC1 transgenic line 	13 days in 12 h light/12 h dark (LD)	P-GSE34897-2	GSM857276 extract 1	total RNA	P-GSE34897-3	GSM857276 LE 1	Biotin	P-GSE34897-4	GSM857276	A-AFFY-2	P-GSE34897-5	P-GSE34897-6	GSM857276_11535.Kay.18.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.raw.1.zip	P-GSE34897-1	GSM857276_sample_table.txt norm	GSM857276_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.processed.1.zip	ethanol-inducible TOC1 transgenic line 	13 days in 12 h light/12 h dark (LD)	control	  	        
GSM857275 1	ALC_Toc1_LD_2_Mock_Seedlings	seedlings, 13 days old, Col-0 ecotype	ALC_Toc1_LD_2_Mock	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ethanol-inducible TOC1 transgenic line 	13 days in 12 h light/12 h dark (LD)	P-GSE34897-2	GSM857275 extract 1	total RNA	P-GSE34897-3	GSM857275 LE 1	Biotin	P-GSE34897-4	GSM857275	A-AFFY-2	P-GSE34897-5	P-GSE34897-6	GSM857275_11534.Kay.17.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.raw.1.zip	P-GSE34897-1	GSM857275_sample_table.txt norm	GSM857275_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.processed.1.zip	ethanol-inducible TOC1 transgenic line 	13 days in 12 h light/12 h dark (LD)	control	  	        
GSM857274 1	ALC_Toc1_LD_1_Mock_Seedlings	seedlings, 13 days old, Col-0 ecotype	ALC_Toc1_LD_1_Mock	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ethanol-inducible TOC1 transgenic line 	13 days in 12 h light/12 h dark (LD)	P-GSE34897-2	GSM857274 extract 1	total RNA	P-GSE34897-3	GSM857274 LE 1	Biotin	P-GSE34897-4	GSM857274	A-AFFY-2	P-GSE34897-5	P-GSE34897-6	GSM857274_11533.Kay.16.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.raw.1.zip	P-GSE34897-1	GSM857274_sample_table.txt norm	GSM857274_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.processed.1.zip	ethanol-inducible TOC1 transgenic line 	13 days in 12 h light/12 h dark (LD)	control	  	        
GSM857273 1	Col_LD_3_Mock_Seedlings	seedlings, 13 days old, Col-0 ecotype	Col_LD_3_Mock	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	13 days in 12 h light/12 h dark (LD)	P-GSE34897-2	GSM857273 extract 1	total RNA	P-GSE34897-3	GSM857273 LE 1	Biotin	P-GSE34897-4	GSM857273	A-AFFY-2	P-GSE34897-5	P-GSE34897-6	GSM857273_11532.Kay.15.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.raw.1.zip	P-GSE34897-1	GSM857273_sample_table.txt norm	GSM857273_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34897/E-GEOD-34897.processed.1.zip	wild type	13 days in 12 h light/12 h dark (LD)	control	  	        
