Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [genetic variation]	Characteristics [genotype]	Term Source REF	Term Accession Number	Characteristics [growth stage source - paradigm genetics]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENETIC VARIATION]	FactorValue [GENOTYPE]	Term Source REF	Term Accession Number	FactorValue [ORGANISM PART]	FactorValue [TREATMENT]
GSM1219236 1	Growth Room 20 oC 16h on  8 h off MS 4 days in fridge after sowing	fad3/fad7/fad8	Evans_2-12_FAD3-7-8-mut-aeq-cold_Rep1_ATH1	single mutants created by EMS mutagenesis. Triple mutant by crossing double mutants together.	fad3/fad7/fad8	  	  	1.02	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE50435-2	ArrayExpress	GSM1219236 extract 1	total RNA	P-GSE50435-3	ArrayExpress	GSM1219236 LE 1	biotin	P-GSE50435-4	ArrayExpress	GSM1219236	A-AFFY-2	ArrayExpress	array assay	P-GSE50435-5	ArrayExpress	GSM1219236_sample12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50435/E-GEOD-50435.raw.1.zip	P-GSE50435-1	ArrayExpress	GSM1219236_sample_table.txt norm	GSM1219236_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50435/E-GEOD-50435.processed.1.zip	single mutants created by EMS mutagenesis. Triple mutant by crossing double mutants together.	fad3/fad7/fad8	  	  	whole seedling	cold temperature
GSM1219235 1	Growth Room 20 oC 16h on  8 h off MS 4 days in fridge after sowing	fad3/fad7/fad8	Evans_2-11_FAD3-7-8-mut-aeq-ambient_Rep1_ATH1	single mutants created by EMS mutagenesis. Triple mutant by crossing double mutants together.	fad3/fad7/fad8	  	  	1.02	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE50435-2	ArrayExpress	GSM1219235 extract 1	total RNA	P-GSE50435-3	ArrayExpress	GSM1219235 LE 1	biotin	P-GSE50435-4	ArrayExpress	GSM1219235	A-AFFY-2	ArrayExpress	array assay	P-GSE50435-5	ArrayExpress	GSM1219235_sample11.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50435/E-GEOD-50435.raw.1.zip	P-GSE50435-1	ArrayExpress	GSM1219235_sample_table.txt norm	GSM1219235_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50435/E-GEOD-50435.processed.1.zip	single mutants created by EMS mutagenesis. Triple mutant by crossing double mutants together.	fad3/fad7/fad8	  	  	whole seedling	ambient temperature
GSM1219234 1	Growth Room 20 oC 16h on  8 h off MS 4 days in fridge after sowing	Col-0	Evans_2-2_col-WT-cold_Rep1_ATH1	  	Col-0	EFO	EFO_0005148	1.02	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling Stock code: N1092	P-GSE50435-2	ArrayExpress	GSM1219234 extract 1	total RNA	P-GSE50435-3	ArrayExpress	GSM1219234 LE 1	biotin	P-GSE50435-4	ArrayExpress	GSM1219234	A-AFFY-2	ArrayExpress	array assay	P-GSE50435-5	ArrayExpress	GSM1219234_sample10.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50435/E-GEOD-50435.raw.1.zip	P-GSE50435-1	ArrayExpress	GSM1219234_sample_table.txt norm	GSM1219234_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50435/E-GEOD-50435.processed.1.zip	not specified	Col-0	EFO	EFO_0005148	whole seedling Stock code: N1092	cold temperature
GSM1219233 1	Growth Room 20 oC 16h on  8 h off MS 4 days in fridge after sowing	Col-0	Evans_2-1_col-WT-ambient_Rep1_ATH1	  	Col-0	EFO	EFO_0005148	1.02	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling Stock code: N1092	P-GSE50435-2	ArrayExpress	GSM1219233 extract 1	total RNA	P-GSE50435-3	ArrayExpress	GSM1219233 LE 1	biotin	P-GSE50435-4	ArrayExpress	GSM1219233	A-AFFY-2	ArrayExpress	array assay	P-GSE50435-5	ArrayExpress	GSM1219233_sample9.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50435/E-GEOD-50435.raw.1.zip	P-GSE50435-1	ArrayExpress	GSM1219233_sample_table.txt norm	GSM1219233_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50435/E-GEOD-50435.processed.1.zip	not specified	Col-0	EFO	EFO_0005148	whole seedling Stock code: N1092	ambient temperature
GSM1219232 1	Growth Room 20 oC 16h on  8 h off MS 4 days in fridge after sowing	Col-aeq	Evans_2-10_col-aeq-cold_Rep1_ATH1	  	Col-aeq	  	  	1.02	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE50435-2	ArrayExpress	GSM1219232 extract 1	total RNA	P-GSE50435-3	ArrayExpress	GSM1219232 LE 1	biotin	P-GSE50435-4	ArrayExpress	GSM1219232	A-AFFY-2	ArrayExpress	array assay	P-GSE50435-5	ArrayExpress	GSM1219232_sample8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50435/E-GEOD-50435.raw.1.zip	P-GSE50435-1	ArrayExpress	GSM1219232_sample_table.txt norm	GSM1219232_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50435/E-GEOD-50435.processed.1.zip	not specified	Col-aeq	  	  	whole seedling	cold temperature
GSM1219231 1	Growth Room 20 oC 16h on  8 h off MS 4 days in fridge after sowing	Col-aeq	Evans_2-9_col-aeq-ambient_Rep1_ATH1	  	Col-aeq	  	  	1.02	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE50435-2	ArrayExpress	GSM1219231 extract 1	total RNA	P-GSE50435-3	ArrayExpress	GSM1219231 LE 1	biotin	P-GSE50435-4	ArrayExpress	GSM1219231	A-AFFY-2	ArrayExpress	array assay	P-GSE50435-5	ArrayExpress	GSM1219231_sample7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50435/E-GEOD-50435.raw.1.zip	P-GSE50435-1	ArrayExpress	GSM1219231_sample_table.txt norm	GSM1219231_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50435/E-GEOD-50435.processed.1.zip	not specified	Col-aeq	  	  	whole seedling	ambient temperature
GSM1219230 1	Growth Room 20 oC 16h on  8 h off MS 4 days in fridge after sowing	35S::apoaequorin	Evans_2-8_35s-FAD3-cold_Rep1_ATH1	  	35S::apoaequorin	  	  	1.02	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE50435-2	ArrayExpress	GSM1219230 extract 1	total RNA	P-GSE50435-3	ArrayExpress	GSM1219230 LE 1	biotin	P-GSE50435-4	ArrayExpress	GSM1219230	A-AFFY-2	ArrayExpress	array assay	P-GSE50435-5	ArrayExpress	GSM1219230_sample6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50435/E-GEOD-50435.raw.1.zip	P-GSE50435-1	ArrayExpress	GSM1219230_sample_table.txt norm	GSM1219230_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50435/E-GEOD-50435.processed.1.zip	not specified	35S::apoaequorin	  	  	whole seedling	cold temperature
GSM1219229 1	Growth Room 20 oC 16h on  8 h off MS 4 days in fridge after sowing	35S::apoaequorin	Evans_2-7_35s-FAD3-ambient_Rep1_ATH1	  	35S::apoaequorin	  	  	1.02	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE50435-2	ArrayExpress	GSM1219229 extract 1	total RNA	P-GSE50435-3	ArrayExpress	GSM1219229 LE 1	biotin	P-GSE50435-4	ArrayExpress	GSM1219229	A-AFFY-2	ArrayExpress	array assay	P-GSE50435-5	ArrayExpress	GSM1219229_sample5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50435/E-GEOD-50435.raw.1.zip	P-GSE50435-1	ArrayExpress	GSM1219229_sample_table.txt norm	GSM1219229_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50435/E-GEOD-50435.processed.1.zip	not specified	35S::apoaequorin	  	  	whole seedling	ambient temperature
GSM1219228 1	Growth Room 20 oC 16h on  8 h off MS 4 days in fridge after sowing	fad2	Evans_2-6_fad2-mut-cold_Rep1_ATH1	EMS mutant	fad2	  	  	1.02	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE50435-2	ArrayExpress	GSM1219228 extract 1	total RNA	P-GSE50435-3	ArrayExpress	GSM1219228 LE 1	biotin	P-GSE50435-4	ArrayExpress	GSM1219228	A-AFFY-2	ArrayExpress	array assay	P-GSE50435-5	ArrayExpress	GSM1219228_sample4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50435/E-GEOD-50435.raw.1.zip	P-GSE50435-1	ArrayExpress	GSM1219228_sample_table.txt norm	GSM1219228_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50435/E-GEOD-50435.processed.1.zip	EMS mutant	fad2	  	  	whole seedling	cold temperature
GSM1219227 1	Growth Room 20 oC 16h on  8 h off MS 4 days in fridge after sowing	fad2	Evans_2-5_fad2-mut-ambient_Rep1_ATH1	EMS mutant	fad2	  	  	1.02	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole seedling	P-GSE50435-2	ArrayExpress	GSM1219227 extract 1	total RNA	P-GSE50435-3	ArrayExpress	GSM1219227 LE 1	biotin	P-GSE50435-4	ArrayExpress	GSM1219227	A-AFFY-2	ArrayExpress	array assay	P-GSE50435-5	ArrayExpress	GSM1219227_sample3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50435/E-GEOD-50435.raw.1.zip	P-GSE50435-1	ArrayExpress	GSM1219227_sample_table.txt norm	GSM1219227_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50435/E-GEOD-50435.processed.1.zip	EMS mutant	fad2	  	  	whole seedling	ambient temperature
