Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[age]	Unit[time unit]	Characteristics[genotype]	Characteristics[ecotype]	Description	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]	FactorValue[ecotype]
GSE6826GSM157340	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	LP.02 two leaves visible stage	whole organism	7	day	ara-1/2 mutant	Col-3	ara-1/2:  location: Growth Room Temperature: 24oC Lighting: 16h day/8h night Medium: 0.5 x Murashige and Skoog 1% agar Stratification: sterilise seed 15 min parozone  rinse 3x distilled water  2 days at 4oC before germination. Developmental stage: between 1.0 and 1.02 (7 days); Tissue: whole seedling; Genetic background: Col-3	GSE6826GSM157340 sample	P-G6826-2	GSE6826GSM157340 extract	total_RNA	P-G6826-1	GSE6826GSM157340 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Coates_1-12_ara1/2mut_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Coates_1-12_ara1/2mut_Rep3_ATH1	GSM157340.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6826/E-GEOD-6826.raw.1.zip	E-GEOD-6826-processed-data-1629599941.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6826/E-GEOD-6826.processed.1.zip	ara-1/2 mutant	Col-3
GSE6826GSM157333	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	LP.02 two leaves visible stage	whole organism	7	day	wild type	Col-0	Col-0:  location: Growth Room Temperature: 24oC Lighting: 16h day/8h night Medium: 0.5 x Murashige and Skoog 1% agar Stratification: sterilise seed 15 min parozone  rinse 3x distilled water  2 days at 4oC before germination. Developmental stage: between 1.0 and 1.02 (7 days); Tissue: whole seedling	GSE6826GSM157333 sample	P-G6826-2	GSE6826GSM157333 extract	total_RNA	P-G6826-1	GSE6826GSM157333 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Coates_1-5_Col-0_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Coates_1-5_Col-0_Rep2_ATH1	GSM157333.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6826/E-GEOD-6826.raw.1.zip	E-GEOD-6826-processed-data-1629599941.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6826/E-GEOD-6826.processed.1.zip	wild type	Col-0
GSE6826GSM157329	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	LP.02 two leaves visible stage	whole organism	7	day	wild type	Col-0	Col-0:  location: Growth Room Temperature: 24oC Lighting: 16h day/8h night Medium: 0.5 x Murashige and Skoog 1% agar Stratification: sterilise seed 15 min parozone  rinse 3x distilled water  2 days at 4oC before germination. Developmental stage: between 1.0 and 1.02 (7 days); Tissue: whole seedling	GSE6826GSM157329 sample	P-G6826-2	GSE6826GSM157329 extract	total_RNA	P-G6826-1	GSE6826GSM157329 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Coates_1-1_Col-0_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Coates_1-1_Col-0_Rep1_ATH1	GSM157329.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6826/E-GEOD-6826.raw.1.zip	E-GEOD-6826-processed-data-1629599941.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6826/E-GEOD-6826.processed.1.zip	wild type	Col-0
GSE6826GSM157332	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	LP.02 two leaves visible stage	whole organism	7	day	ara-1/2 mutant	Col-3	ara-1/2:  location: Growth Room Temperature: 24oC Lighting: 16h day/8h night Medium: 0.5 x Murashige and Skoog 1% agar Stratification: sterilise seed 15 min parozone  rinse 3x distilled water  2 days at 4oC before germination. Developmental stage: between 1.0 and 1.02 (7 days); Tissue: whole seedling; Genetic background: Col-3	GSE6826GSM157332 sample	P-G6826-2	GSE6826GSM157332 extract	total_RNA	P-G6826-1	GSE6826GSM157332 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Coates_1-4_ara1/2mut_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Coates_1-4_ara1/2mut_Rep1_ATH1	GSM157332.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6826/E-GEOD-6826.raw.1.zip	E-GEOD-6826-processed-data-1629599941.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6826/E-GEOD-6826.processed.1.zip	ara-1/2 mutant	Col-3
GSE6826GSM157338	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	LP.02 two leaves visible stage	whole organism	7	day	35S:Ara1YFP overexpressing line	Col-0	35S:Ara1YFP:  location: Growth Room Temperature: 24oC Lighting: 16h day/8h night Medium: 0.5 x Murashige and Skoog 1% agar Stratification: sterilise seed 15 min parozone  rinse 3x distilled water  2 days at 4oC before germination. Developmental stage: between 1.0 and 1.02 (7 days); Tissue: whole seedling; Genetic background: Col-0	GSE6826GSM157338 sample	P-G6826-2	GSE6826GSM157338 extract	total_RNA	P-G6826-1	GSE6826GSM157338 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Coates_1-10_ara1OX_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Coates_1-10_ara1OX_Rep3_ATH1	GSM157338.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6826/E-GEOD-6826.raw.1.zip	E-GEOD-6826-processed-data-1629599941.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6826/E-GEOD-6826.processed.1.zip	35S:Ara1YFP overexpressing line	Col-0
GSE6826GSM157334	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	LP.02 two leaves visible stage	whole organism	7	day	35S:Ara1YFP overexpressing line	Col-0	35S:Ara1YFP:  location: Growth Room Temperature: 24oC Lighting: 16h day/8h night Medium: 0.5 x Murashige and Skoog 1% agar Stratification: sterilise seed 15 min parozone  rinse 3x distilled water  2 days at 4oC before germination. Developmental stage: between 1.0 and 1.02 (7 days); Tissue: whole seedling; Genetic background: Col-0	GSE6826GSM157334 sample	P-G6826-2	GSE6826GSM157334 extract	total_RNA	P-G6826-1	GSE6826GSM157334 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Coates_1-6_ara1OX_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Coates_1-6_ara1OX_Rep2_ATH1	GSM157334.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6826/E-GEOD-6826.raw.1.zip	E-GEOD-6826-processed-data-1629599941.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6826/E-GEOD-6826.processed.1.zip	35S:Ara1YFP overexpressing line	Col-0
GSE6826GSM157336	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	LP.02 two leaves visible stage	whole organism	7	day	ara-1/2 mutant	Col-3	ara-1/2:  location: Growth Room Temperature: 24oC Lighting: 16h day/8h night Medium: 0.5 x Murashige and Skoog 1% agar Stratification: sterilise seed 15 min parozone  rinse 3x distilled water  2 days at 4oC before germination. Developmental stage: between 1.0 and 1.02 (7 days); Tissue: whole seedling; Genetic background: Col-3	GSE6826GSM157336 sample	P-G6826-2	GSE6826GSM157336 extract	total_RNA	P-G6826-1	GSE6826GSM157336 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Coates_1-8_ara1/2mut_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Coates_1-8_ara1/2mut_Rep2_ATH1	GSM157336.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6826/E-GEOD-6826.raw.1.zip	E-GEOD-6826-processed-data-1629599941.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6826/E-GEOD-6826.processed.1.zip	ara-1/2 mutant	Col-3
GSE6826GSM157339	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	LP.02 two leaves visible stage	whole organism	7	day	wild type	Col-3	Col-3:  location: Growth Room Temperature: 24oC Lighting: 16h day/8h night Medium: 0.5 x Murashige and Skoog 1% agar Stratification: sterilise seed 15 min parozone  rinse 3x distilled water  2 days at 4oC before germination. Stock Code: N908; Developmental stage: between 1.0 and 1.02 (7 days); Tissue: whole seedling	GSE6826GSM157339 sample	P-G6826-2	GSE6826GSM157339 extract	total_RNA	P-G6826-1	GSE6826GSM157339 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Coates_1-11_Col-3_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Coates_1-11_Col-3_Rep3_ATH1	GSM157339.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6826/E-GEOD-6826.raw.1.zip	E-GEOD-6826-processed-data-1629599941.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6826/E-GEOD-6826.processed.1.zip	wild type	Col-3
GSE6826GSM157335	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	LP.02 two leaves visible stage	whole organism	7	day	wild type	Col-3	Col-3:  location: Growth Room Temperature: 24oC Lighting: 16h day/8h night Medium: 0.5 x Murashige and Skoog 1% agar Stratification: sterilise seed 15 min parozone  rinse 3x distilled water  2 days at 4oC before germination. Stock Code: N908; Developmental stage: between 1.0 and 1.02 (7 days); Tissue: whole seedling	GSE6826GSM157335 sample	P-G6826-2	GSE6826GSM157335 extract	total_RNA	P-G6826-1	GSE6826GSM157335 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Coates_1-7_Col-3_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Coates_1-7_Col-3_Rep2_ATH1	GSM157335.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6826/E-GEOD-6826.raw.1.zip	E-GEOD-6826-processed-data-1629599941.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6826/E-GEOD-6826.processed.1.zip	wild type	Col-3
GSE6826GSM157330	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	LP.02 two leaves visible stage	whole organism	7	day	35S:Ara1YFP overexpressing line	Col-0	35S:Ara1YFP:  location: Growth Room Temperature: 24oC Lighting: 16h day/8h night Medium: 0.5 x Murashige and Skoog 1% agar Stratification: sterilise seed 15 min parozone  rinse 3x distilled water  2 days at 4oC before germination. Developmental stage: between 1.0 and 1.02 (7 days); Tissue: whole seedling; Genetic background: Col-0	GSE6826GSM157330 sample	P-G6826-2	GSE6826GSM157330 extract	total_RNA	P-G6826-1	GSE6826GSM157330 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Coates_1-2_ara1OX_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Coates_1-2_ara1OX_Rep1_ATH1	GSM157330.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6826/E-GEOD-6826.raw.1.zip	E-GEOD-6826-processed-data-1629599941.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6826/E-GEOD-6826.processed.1.zip	35S:Ara1YFP overexpressing line	Col-0
GSE6826GSM157331	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	LP.02 two leaves visible stage	whole organism	7	day	wild type	Col-3	Col-3:  location: Growth Room Temperature: 24oC Lighting: 16h day/8h night Medium: 0.5 x Murashige and Skoog 1% agar Stratification: sterilise seed 15 min parozone  rinse 3x distilled water  2 days at 4oC before germination. Stock Code: N908; Developmental stage: between 1.0 and 1.02 (7 days); Tissue: whole seedling	GSE6826GSM157331 sample	P-G6826-2	GSE6826GSM157331 extract	total_RNA	P-G6826-1	GSE6826GSM157331 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Coates_1-3_Col-3_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Coates_1-3_Col-3_Rep1_ATH1	GSM157331.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6826/E-GEOD-6826.raw.1.zip	E-GEOD-6826-processed-data-1629599941.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6826/E-GEOD-6826.processed.1.zip	wild type	Col-3
GSE6826GSM157337	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	LP.02 two leaves visible stage	whole organism	7	day	wild type	Col-0	Col-0:  location: Growth Room Temperature: 24oC Lighting: 16h day/8h night Medium: 0.5 x Murashige and Skoog 1% agar Stratification: sterilise seed 15 min parozone  rinse 3x distilled water  2 days at 4oC before germination. Developmental stage: between 1.0 and 1.02 (7 days); Tissue: whole seedling	GSE6826GSM157337 sample	P-G6826-2	GSE6826GSM157337 extract	total_RNA	P-G6826-1	GSE6826GSM157337 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Coates_1-9_Col-0_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Coates_1-9_Col-0_Rep3_ATH1	GSM157337.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6826/E-GEOD-6826.raw.1.zip	E-GEOD-6826-processed-data-1629599941.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6826/E-GEOD-6826.processed.1.zip	wild type	Col-0
