Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Characteristics[organism part]	Characteristics[ecotype]	Characteristics[genotype]	Comment[harvest date]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[genotype]	FactorValue[growth condition]
GSM545374 1	- Pseudomonas syringae is a plant pathogenic bacterium that relies on a type III secretion system (T3SS) to cause disease in susceptible hosts and to trigger defence in resistant plants. The T3SS translocates effector proteins directly inside the plant cell. Some P. syringae pathovars translocate the effector HopZ1a, which is recognized in Arabidopsis, triggering the hypersensitive response (HR). This resistance does not depend on the usual defence pathways involved in resistance against other avirulence effectors, so it would be very helpful to know the transcriptomic events that take place in the context of a hypersensitive response triggered by HopZ1a. ULP genes codifies for plant SUMO-proteases. Recent studies by our group revealed that they could be involved in plant defense against microorganisms.	ulpmock_2	Arabidopsis thaliana	rosette leaf	Col-0	ulp1c/ulp1d double mutant	  	P-GSE21920-18	P-GSE21920-12	P-GSE21920-24	GSM545374 extract 1	total RNA	P-GSE21920-5	GSM545374 LE 1	Biotin	P-GSE21920-6	GSM545374	A-AFFY-2	P-GSE21920-7	P-GSE21920-8	GSM545374.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21920/E-GEOD-21920.raw.1.zip	P-GSE21920-1	GSM545374_sample_table.txt norm	GSM545374_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21920/E-GEOD-21920.processed.1.zip	ulp1c/ulp1d double mutant	MgCl2
GSM545373 1	- Pseudomonas syringae is a plant pathogenic bacterium that relies on a type III secretion system (T3SS) to cause disease in susceptible hosts and to trigger defence in resistant plants. The T3SS translocates effector proteins directly inside the plant cell. Some P. syringae pathovars translocate the effector HopZ1a, which is recognized in Arabidopsis, triggering the hypersensitive response (HR). This resistance does not depend on the usual defence pathways involved in resistance against other avirulence effectors, so it would be very helpful to know the transcriptomic events that take place in the context of a hypersensitive response triggered by HopZ1a. ULP genes codifies for plant SUMO-proteases. Recent studies by our group revealed that they could be involved in plant defense against microorganisms.	ulpmock_1	Arabidopsis thaliana	rosette leaf	Col-0	ulp1c/ulp1d double mutant	  	P-GSE21920-18	P-GSE21920-12	P-GSE21920-23	GSM545373 extract 1	total RNA	P-GSE21920-5	GSM545373 LE 1	Biotin	P-GSE21920-6	GSM545373	A-AFFY-2	P-GSE21920-7	P-GSE21920-8	GSM545373.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21920/E-GEOD-21920.raw.1.zip	P-GSE21920-1	GSM545373_sample_table.txt norm	GSM545373_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21920/E-GEOD-21920.processed.1.zip	ulp1c/ulp1d double mutant	MgCl2
GSM545369 1	- Pseudomonas syringae is a plant pathogenic bacterium that relies on a type III secretion system (T3SS) to cause disease in susceptible hosts and to trigger defence in resistant plants. The T3SS translocates effector proteins directly inside the plant cell. Some P. syringae pathovars translocate the effector HopZ1a, which is recognized in Arabidopsis, triggering the hypersensitive response (HR). This resistance does not depend on the usual defence pathways involved in resistance against other avirulence effectors, so it would be very helpful to know the transcriptomic events that take place in the context of a hypersensitive response triggered by HopZ1a. ULP genes codifies for plant SUMO-proteases. Recent studies by our group revealed that they could be involved in plant defense against microorganisms.	ulpmock_3	Arabidopsis thaliana	rosette leaf	Col-0	ulp1c/ulp1d double mutant	  	P-GSE21920-18	P-GSE21920-12	P-GSE21920-19	GSM545369 extract 1	total RNA	P-GSE21920-5	GSM545369 LE 1	Biotin	P-GSE21920-6	GSM545369	A-AFFY-2	P-GSE21920-7	P-GSE21920-8	GSM545369.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21920/E-GEOD-21920.raw.1.zip	P-GSE21920-1	GSM545369_sample_table.txt norm	GSM545369_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21920/E-GEOD-21920.processed.1.zip	ulp1c/ulp1d double mutant	MgCl2
GSM545371 1	- Pseudomonas syringae is a plant pathogenic bacterium that relies on a type III secretion system (T3SS) to cause disease in susceptible hosts and to trigger defence in resistant plants. The T3SS translocates effector proteins directly inside the plant cell. Some P. syringae pathovars translocate the effector HopZ1a, which is recognized in Arabidopsis, triggering the hypersensitive response (HR). This resistance does not depend on the usual defence pathways involved in resistance against other avirulence effectors, so it would be very helpful to know the transcriptomic events that take place in the context of a hypersensitive response triggered by HopZ1a. ULP genes codifies for plant SUMO-proteases. Recent studies by our group revealed that they could be involved in plant defense against microorganisms.	ulp_3	Arabidopsis thaliana	rosette leaf	Col-0	ulp1c/ulp1d double mutant	  	P-GSE21920-11	P-GSE21920-12	P-GSE21920-21	GSM545371 extract 1	total RNA	P-GSE21920-5	GSM545371 LE 1	Biotin	P-GSE21920-6	GSM545371	A-AFFY-2	P-GSE21920-7	P-GSE21920-8	GSM545371.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21920/E-GEOD-21920.raw.1.zip	P-GSE21920-1	GSM545371_sample_table.txt norm	GSM545371_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21920/E-GEOD-21920.processed.1.zip	ulp1c/ulp1d double mutant	none
GSM545370 1	- Pseudomonas syringae is a plant pathogenic bacterium that relies on a type III secretion system (T3SS) to cause disease in susceptible hosts and to trigger defence in resistant plants. The T3SS translocates effector proteins directly inside the plant cell. Some P. syringae pathovars translocate the effector HopZ1a, which is recognized in Arabidopsis, triggering the hypersensitive response (HR). This resistance does not depend on the usual defence pathways involved in resistance against other avirulence effectors, so it would be very helpful to know the transcriptomic events that take place in the context of a hypersensitive response triggered by HopZ1a. ULP genes codifies for plant SUMO-proteases. Recent studies by our group revealed that they could be involved in plant defense against microorganisms.	ulp_2	Arabidopsis thaliana	rosette leaf	Col-0	ulp1c/ulp1d double mutant	  	P-GSE21920-11	P-GSE21920-12	P-GSE21920-20	GSM545370 extract 1	total RNA	P-GSE21920-5	GSM545370 LE 1	Biotin	P-GSE21920-6	GSM545370	A-AFFY-2	P-GSE21920-7	P-GSE21920-8	GSM545370.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21920/E-GEOD-21920.raw.1.zip	P-GSE21920-1	GSM545370_sample_table.txt norm	GSM545370_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21920/E-GEOD-21920.processed.1.zip	ulp1c/ulp1d double mutant	none
GSM545365 1	- Pseudomonas syringae is a plant pathogenic bacterium that relies on a type III secretion system (T3SS) to cause disease in susceptible hosts and to trigger defence in resistant plants. The T3SS translocates effector proteins directly inside the plant cell. Some P. syringae pathovars translocate the effector HopZ1a, which is recognized in Arabidopsis, triggering the hypersensitive response (HR). This resistance does not depend on the usual defence pathways involved in resistance against other avirulence effectors, so it would be very helpful to know the transcriptomic events that take place in the context of a hypersensitive response triggered by HopZ1a. ULP genes codifies for plant SUMO-proteases. Recent studies by our group revealed that they could be involved in plant defense against microorganisms.	ulp_1	Arabidopsis thaliana	rosette leaf	Col-0	ulp1c/ulp1d double mutant	  	P-GSE21920-11	P-GSE21920-12	P-GSE21920-13	GSM545365 extract 1	total RNA	P-GSE21920-5	GSM545365 LE 1	Biotin	P-GSE21920-6	GSM545365	A-AFFY-2	P-GSE21920-7	P-GSE21920-8	GSM545365.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21920/E-GEOD-21920.raw.1.zip	P-GSE21920-1	GSM545365_sample_table.txt norm	GSM545365_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21920/E-GEOD-21920.processed.1.zip	ulp1c/ulp1d double mutant	none
GSM545383 1	- Pseudomonas syringae is a plant pathogenic bacterium that relies on a type III secretion system (T3SS) to cause disease in susceptible hosts and to trigger defence in resistant plants. The T3SS translocates effector proteins directly inside the plant cell. Some P. syringae pathovars translocate the effector HopZ1a, which is recognized in Arabidopsis, triggering the hypersensitive response (HR). This resistance does not depend on the usual defence pathways involved in resistance against other avirulence effectors, so it would be very helpful to know the transcriptomic events that take place in the context of a hypersensitive response triggered by HopZ1a. ULP genes codifies for plant SUMO-proteases. Recent studies by our group revealed that they could be involved in plant defense against microorganisms.	ulppto_3	Arabidopsis thaliana	rosette leaf	Col-0	ulp1c/ulp1d double mutant	  	P-GSE21920-31	P-GSE21920-12	P-GSE21920-34	GSM545383 extract 1	total RNA	P-GSE21920-5	GSM545383 LE 1	Biotin	P-GSE21920-6	GSM545383	A-AFFY-2	P-GSE21920-7	P-GSE21920-8	GSM545383.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21920/E-GEOD-21920.raw.1.zip	P-GSE21920-1	GSM545383_sample_table.txt norm	GSM545383_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21920/E-GEOD-21920.processed.1.zip	ulp1c/ulp1d double mutant	Pseudomonas syringae pv. tomato
GSM545382 1	- Pseudomonas syringae is a plant pathogenic bacterium that relies on a type III secretion system (T3SS) to cause disease in susceptible hosts and to trigger defence in resistant plants. The T3SS translocates effector proteins directly inside the plant cell. Some P. syringae pathovars translocate the effector HopZ1a, which is recognized in Arabidopsis, triggering the hypersensitive response (HR). This resistance does not depend on the usual defence pathways involved in resistance against other avirulence effectors, so it would be very helpful to know the transcriptomic events that take place in the context of a hypersensitive response triggered by HopZ1a. ULP genes codifies for plant SUMO-proteases. Recent studies by our group revealed that they could be involved in plant defense against microorganisms.	ulppto_2	Arabidopsis thaliana	rosette leaf	Col-0	ulp1c/ulp1d double mutant	  	P-GSE21920-31	P-GSE21920-12	P-GSE21920-33	GSM545382 extract 1	total RNA	P-GSE21920-5	GSM545382 LE 1	Biotin	P-GSE21920-6	GSM545382	A-AFFY-2	P-GSE21920-7	P-GSE21920-8	GSM545382.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21920/E-GEOD-21920.raw.1.zip	P-GSE21920-1	GSM545382_sample_table.txt norm	GSM545382_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21920/E-GEOD-21920.processed.1.zip	ulp1c/ulp1d double mutant	Pseudomonas syringae pv. tomato
GSM545381 1	- Pseudomonas syringae is a plant pathogenic bacterium that relies on a type III secretion system (T3SS) to cause disease in susceptible hosts and to trigger defence in resistant plants. The T3SS translocates effector proteins directly inside the plant cell. Some P. syringae pathovars translocate the effector HopZ1a, which is recognized in Arabidopsis, triggering the hypersensitive response (HR). This resistance does not depend on the usual defence pathways involved in resistance against other avirulence effectors, so it would be very helpful to know the transcriptomic events that take place in the context of a hypersensitive response triggered by HopZ1a. ULP genes codifies for plant SUMO-proteases. Recent studies by our group revealed that they could be involved in plant defense against microorganisms.	ulppto_1	Arabidopsis thaliana	rosette leaf	Col-0	ulp1c/ulp1d double mutant	  	P-GSE21920-31	P-GSE21920-12	P-GSE21920-32	GSM545381 extract 1	total RNA	P-GSE21920-5	GSM545381 LE 1	Biotin	P-GSE21920-6	GSM545381	A-AFFY-2	P-GSE21920-7	P-GSE21920-8	GSM545381.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21920/E-GEOD-21920.raw.1.zip	P-GSE21920-1	GSM545381_sample_table.txt norm	GSM545381_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21920/E-GEOD-21920.processed.1.zip	ulp1c/ulp1d double mutant	Pseudomonas syringae pv. tomato
GSM545380 1	- Pseudomonas syringae is a plant pathogenic bacterium that relies on a type III secretion system (T3SS) to cause disease in susceptible hosts and to trigger defence in resistant plants. The T3SS translocates effector proteins directly inside the plant cell. Some P. syringae pathovars translocate the effector HopZ1a, which is recognized in Arabidopsis, triggering the hypersensitive response (HR). This resistance does not depend on the usual defence pathways involved in resistance against other avirulence effectors, so it would be very helpful to know the transcriptomic events that take place in the context of a hypersensitive response triggered by HopZ1a. ULP genes codifies for plant SUMO-proteases. Recent studies by our group revealed that they could be involved in plant defense against microorganisms.	colmock_2	Arabidopsis thaliana	rosette leaf	Col-0	wild type	  	P-GSE21920-14	P-GSE21920-3	P-GSE21920-30	GSM545380 extract 1	total RNA	P-GSE21920-5	GSM545380 LE 1	Biotin	P-GSE21920-6	GSM545380	A-AFFY-2	P-GSE21920-7	P-GSE21920-8	GSM545380.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21920/E-GEOD-21920.raw.1.zip	P-GSE21920-1	GSM545380_sample_table.txt norm	GSM545380_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21920/E-GEOD-21920.processed.1.zip	wild type	MgCl2
