Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[developmental stage]	Comment[time in continuous light]	Comment[time in fr light]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	Factor Value [light]	FactorValue [time]	Unit [time unit]
GSM768267 1	pifq_WL24_3	pifq 2d seedling, 3d continuous white light (WL)	piffq 3d WL, biological rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	pif1pif3pif4pif5 (pifq) mutant	whole organism	seedling	3 days	0 hr	P-GSE28297-3	P-GSE28297-2	P-GSE28297-4	GSM768267 extract 1	total RNA	P-GSE28297-5	GSM768267 LE 1	biotin	P-GSE28297-6	GSM768267	A-AFFY-2	  	P-GSE28297-7	P-GSE28297-8	GSM768267.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.raw.1.zip	P-GSE28297-1	GSM768267_sample_table.txt norm	GSM768267_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.processed.1.zip	pif1pif3pif4pif5 (pifq) mutant	3 days in continuous light plus Red/Far-Red ratio 0.006	0	hour
GSM768266 1	pifq_WL24_2	pifq 2d seedling, 3d continuous white light (WL)	piffq 3d WL, biological rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	pif1pif3pif4pif5 (pifq) mutant	whole organism	seedling	3 days	0 hr	P-GSE28297-3	P-GSE28297-2	P-GSE28297-4	GSM768266 extract 1	total RNA	P-GSE28297-5	GSM768266 LE 1	biotin	P-GSE28297-6	GSM768266	A-AFFY-2	  	P-GSE28297-7	P-GSE28297-8	GSM768266.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.raw.1.zip	P-GSE28297-1	GSM768266_sample_table.txt norm	GSM768266_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.processed.1.zip	pif1pif3pif4pif5 (pifq) mutant	3 days in continuous light plus Red/Far-Red ratio 0.006	0	hour
GSM768265 1	pifq_WL24_1	pifq 2d seedling, 3d continuous white light (WL)	piffq 3d WL, biological rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	pif1pif3pif4pif5 (pifq) mutant	whole organism	seedling	3 days	0 hr	P-GSE28297-3	P-GSE28297-2	P-GSE28297-4	GSM768265 extract 1	total RNA	P-GSE28297-5	GSM768265 LE 1	biotin	P-GSE28297-6	GSM768265	A-AFFY-2	  	P-GSE28297-7	P-GSE28297-8	GSM768265.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.raw.1.zip	P-GSE28297-1	GSM768265_sample_table.txt norm	GSM768265_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.processed.1.zip	pif1pif3pif4pif5 (pifq) mutant	3 days in continuous light plus Red/Far-Red ratio 0.006	0	hour
GSM768264 1	pifq_FR24_3	pifq 2d seedling, 2d continuous white light (WL) + 24h FR light	piffq FR 24h, biological rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	pif1pif3pif4pif5 (pifq) mutant	whole organism	seedling	2 days	24 hr	P-GSE28297-3	P-GSE28297-2	P-GSE28297-4	GSM768264 extract 1	total RNA	P-GSE28297-5	GSM768264 LE 1	biotin	P-GSE28297-6	GSM768264	A-AFFY-2	  	P-GSE28297-7	P-GSE28297-8	GSM768264.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.raw.1.zip	P-GSE28297-1	GSM768264_sample_table.txt norm	GSM768264_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.processed.1.zip	pif1pif3pif4pif5 (pifq) mutant	2 days in continuous light plus Red/Far-Red ratio 0.006	24	hour
GSM768263 1	pifq_FR24_2	pifq 2d seedling, 2d continuous white light (WL) + 24h FR light	piffq FR 24h, biological rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	pif1pif3pif4pif5 (pifq) mutant	whole organism	seedling	2 days	24 hr	P-GSE28297-3	P-GSE28297-2	P-GSE28297-4	GSM768263 extract 1	total RNA	P-GSE28297-5	GSM768263 LE 1	biotin	P-GSE28297-6	GSM768263	A-AFFY-2	  	P-GSE28297-7	P-GSE28297-8	GSM768263.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.raw.1.zip	P-GSE28297-1	GSM768263_sample_table.txt norm	GSM768263_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.processed.1.zip	pif1pif3pif4pif5 (pifq) mutant	2 days in continuous light plus Red/Far-Red ratio 0.006	24	hour
GSM768262 1	pifq_FR24_1	pifq 2d seedling, 2d continuous white light (WL) + 24h FR light	piffq FR 24h, biological rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	pif1pif3pif4pif5 (pifq) mutant	whole organism	seedling	2 days	24 hr	P-GSE28297-3	P-GSE28297-2	P-GSE28297-4	GSM768262 extract 1	total RNA	P-GSE28297-5	GSM768262 LE 1	biotin	P-GSE28297-6	GSM768262	A-AFFY-2	  	P-GSE28297-7	P-GSE28297-8	GSM768262.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.raw.1.zip	P-GSE28297-1	GSM768262_sample_table.txt norm	GSM768262_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.processed.1.zip	pif1pif3pif4pif5 (pifq) mutant	2 days in continuous light plus Red/Far-Red ratio 0.006	24	hour
GSM768261 1	pifq_FR3_3	pifq 2d seedling, 2d continuous white light (WL) + 3h FR light	piffq FR 3h, biological rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	pif1pif3pif4pif5 (pifq) mutant	whole organism	seedling	2 days	3 hr	P-GSE28297-3	P-GSE28297-2	P-GSE28297-4	GSM768261 extract 1	total RNA	P-GSE28297-5	GSM768261 LE 1	biotin	P-GSE28297-6	GSM768261	A-AFFY-2	  	P-GSE28297-7	P-GSE28297-8	GSM768261.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.raw.1.zip	P-GSE28297-1	GSM768261_sample_table.txt norm	GSM768261_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.processed.1.zip	pif1pif3pif4pif5 (pifq) mutant	2 days in continuous light plus Red/Far-Red ratio 0.006	3	hour
GSM768260 1	pifq_FR3_2	pifq 2d seedling, 2d continuous white light (WL) + 3h FR light	piffq FR 3h, biological rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	pif1pif3pif4pif5 (pifq) mutant	whole organism	seedling	2 days	3 hr	P-GSE28297-3	P-GSE28297-2	P-GSE28297-4	GSM768260 extract 1	total RNA	P-GSE28297-5	GSM768260 LE 1	biotin	P-GSE28297-6	GSM768260	A-AFFY-2	  	P-GSE28297-7	P-GSE28297-8	GSM768260.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.raw.1.zip	P-GSE28297-1	GSM768260_sample_table.txt norm	GSM768260_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.processed.1.zip	pif1pif3pif4pif5 (pifq) mutant	2 days in continuous light plus Red/Far-Red ratio 0.006	3	hour
GSM768259 1	pifq_FR3_1	pifq 2d seedling, 2d continuous white light (WL) + 3h FR light	piffq FR 3h, biological rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	pif1pif3pif4pif5 (pifq) mutant	whole organism	seedling	2 days	3 hr	P-GSE28297-3	P-GSE28297-2	P-GSE28297-4	GSM768259 extract 1	total RNA	P-GSE28297-5	GSM768259 LE 1	biotin	P-GSE28297-6	GSM768259	A-AFFY-2	  	P-GSE28297-7	P-GSE28297-8	GSM768259.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.raw.1.zip	P-GSE28297-1	GSM768259_sample_table.txt norm	GSM768259_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.processed.1.zip	pif1pif3pif4pif5 (pifq) mutant	2 days in continuous light plus Red/Far-Red ratio 0.006	3	hour
GSM768258 1	pifq_FR1_3	pifq 2d seedling, 2d continuous white light (WL) + 1h FR light	piffq FR 1h, biological rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	pif1pif3pif4pif5 (pifq) mutant	whole organism	seedling	2 days	1 hr	P-GSE28297-3	P-GSE28297-2	P-GSE28297-4	GSM768258 extract 1	total RNA	P-GSE28297-5	GSM768258 LE 1	biotin	P-GSE28297-6	GSM768258	A-AFFY-2	  	P-GSE28297-7	P-GSE28297-8	GSM768258.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.raw.1.zip	P-GSE28297-1	GSM768258_sample_table.txt norm	GSM768258_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-28297/E-GEOD-28297.processed.1.zip	pif1pif3pif4pif5 (pifq) mutant	2 days in continuous light plus Red/Far-Red ratio 0.006	1	hour
