Source Name	Characteristics [Age]	Characteristics [InitialTimePoint]	Characteristics [GeneticModification]	Term Source REF	Term Accession Number	Characteristics [OrganismPart]	Characteristics [Genotype]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics [BioSourceType]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [GENOTYPE]	Factor Value [TIME]	Unit [TimeUnit]	Factor Value [STIMULUS]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
smz-D flc-3_day1_A	15 days	sowing	gene_knock_out	EFO	EFO_0000506	leaves	smz-D flc-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage	EFO	EFO_0002685	frozen_sample	P-MTAB-3209	P-MTAB-3210	P-MTAB-3211	smz-D flc-3_day1_A	total_RNA	P-AFFY-2	smz-D flc-3_day1_A	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	smz-D flc-3_day1_A	A-AFFY-2	P-AFFY-6	smz-D flc-3	1	days	photoperiod induction	CHIP_651_A.CEL	CHIP_651_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2040/E-MEXP-2040.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2040-processed-data-1725076432.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2040/E-MEXP-2040.processed.1.zip
flc-3_day4_A	18 days	sowing	gene_knock_out	EFO	EFO_0000506	leaves	flc-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage	EFO	EFO_0002685	frozen_sample	P-MTAB-3209	P-MTAB-3210	P-MTAB-3211	flc-3_day4_A	total_RNA	P-AFFY-2	flc-3_day4_A	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	flc-3_day4_A	A-AFFY-2	P-AFFY-6	flc-3	4	days	photoperiod induction	CHIP_649_A.CEL	CHIP_649_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2040/E-MEXP-2040.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2040-processed-data-1725076432.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2040/E-MEXP-2040.processed.1.zip
smz-D flc-3_day0_A	15 days	sowing	gene_knock_out	EFO	EFO_0000506	leaves	smz-D flc-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage	EFO	EFO_0002685	frozen_sample	P-MTAB-3209	P-MTAB-3210	P-MTAB-3211	smz-D flc-3_day0_A	total_RNA	P-AFFY-2	smz-D flc-3_day0_A	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	smz-D flc-3_day0_A	A-AFFY-2	P-AFFY-6	smz-D flc-3	0	days	  	CHIP_650_A.CEL	CHIP_650_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2040/E-MEXP-2040.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2040-processed-data-1725076432.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2040/E-MEXP-2040.processed.1.zip
smz-D flc-3_day4_A	18 days	sowing	gene_knock_out	EFO	EFO_0000506	leaves	smz-D flc-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage	EFO	EFO_0002685	frozen_sample	P-MTAB-3209	P-MTAB-3210	P-MTAB-3211	smz-D flc-3_day4_A	total_RNA	P-AFFY-2	smz-D flc-3_day4_A	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	smz-D flc-3_day4_A	A-AFFY-2	P-AFFY-6	smz-D flc-3	4	days	photoperiod induction	CHIP_652_A.CEL	CHIP_652_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2040/E-MEXP-2040.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2040-processed-data-1725076432.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2040/E-MEXP-2040.processed.1.zip
smz-D flc-3_day1_B	15 days	sowing	gene_knock_out	EFO	EFO_0000506	leaves	smz-D flc-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage	EFO	EFO_0002685	frozen_sample	P-MTAB-3209	P-MTAB-3210	P-MTAB-3211	smz-D flc-3_day1_B	total_RNA	P-AFFY-2	smz-D flc-3_day1_B	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	smz-D flc-3_day1_B	A-AFFY-2	P-AFFY-6	smz-D flc-3	1	days	photoperiod induction	CHIP_651_B.CEL	CHIP_651_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2040/E-MEXP-2040.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2040-processed-data-1725076432.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2040/E-MEXP-2040.processed.1.zip
smz-D flc-3_day0_B	15 days	sowing	gene_knock_out	EFO	EFO_0000506	leaves	smz-D flc-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage	EFO	EFO_0002685	frozen_sample	P-MTAB-3209	P-MTAB-3210	P-MTAB-3211	smz-D flc-3_day0_B	total_RNA	P-AFFY-2	smz-D flc-3_day0_B	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	smz-D flc-3_day0_B	A-AFFY-2	P-AFFY-6	smz-D flc-3	0	days	  	CHIP_650_B.CEL	CHIP_650_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2040/E-MEXP-2040.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2040-processed-data-1725076432.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2040/E-MEXP-2040.processed.1.zip
flc-3_day0_A	15 days	sowing	gene_knock_out	EFO	EFO_0000506	leaves	flc-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage	EFO	EFO_0002685	frozen_sample	P-MTAB-3209	P-MTAB-3210	P-MTAB-3211	flc-3_day0_A	total_RNA	P-AFFY-2	flc-3_day0_A	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	flc-3_day0_A	A-AFFY-2	P-AFFY-6	flc-3	0	days	  	CHIP_647_A.CEL	CHIP_647_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2040/E-MEXP-2040.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2040-processed-data-1725076432.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2040/E-MEXP-2040.processed.1.zip
flc-3_day4_B	18 days	sowing	gene_knock_out	EFO	EFO_0000506	leaves	flc-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage	EFO	EFO_0002685	frozen_sample	P-MTAB-3209	P-MTAB-3210	P-MTAB-3211	flc-3_day4_B	total_RNA	P-AFFY-2	flc-3_day4_B	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	flc-3_day4_B	A-AFFY-2	P-AFFY-6	flc-3	4	days	photoperiod induction	CHIP_649_B.CEL	CHIP_649_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2040/E-MEXP-2040.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2040-processed-data-1725076432.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2040/E-MEXP-2040.processed.1.zip
flc-3_day0_B	15 days	sowing	gene_knock_out	EFO	EFO_0000506	leaves	flc-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage	EFO	EFO_0002685	frozen_sample	P-MTAB-3209	P-MTAB-3210	P-MTAB-3211	flc-3_day0_B	total_RNA	P-AFFY-2	flc-3_day0_B	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	flc-3_day0_B	A-AFFY-2	P-AFFY-6	flc-3	0	days	  	CHIP_647_B.CEL	CHIP_647_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2040/E-MEXP-2040.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2040-processed-data-1725076432.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2040/E-MEXP-2040.processed.1.zip
smz-D flc-3_day4_B	18 days	sowing	gene_knock_out	EFO	EFO_0000506	leaves	smz-D flc-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette stage	EFO	EFO_0002685	frozen_sample	P-MTAB-3209	P-MTAB-3210	P-MTAB-3211	smz-D flc-3_day4_B	total_RNA	P-AFFY-2	smz-D flc-3_day4_B	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	smz-D flc-3_day4_B	A-AFFY-2	P-AFFY-6	smz-D flc-3	4	days	photoperiod induction	CHIP_652_B.CEL	CHIP_652_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2040/E-MEXP-2040.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2040-processed-data-1725076432.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2040/E-MEXP-2040.processed.1.zip
