Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Genotype]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[OrganismPart]	Characteristics[DevelopmentalStage]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENOTYPE]	FactorValue[INFECTION]	FactorValue [SAMPLING TIME POINT]	Unit[TimeUnit]
GSM554320 1	2-week-old soil grown plants with no treatment used as 0 day reference.	rpp4_EMWA1_6dpi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rpp4 mutant	2	weeks	whole organism	seedling	EFO	EFO_0001992	P-GSE22274-11	P-GSE22274-12	P-GSE22274-13	GSM554320 extract 1	total RNA	P-GSE22274-14	GSM554320 LE 1	biotin	P-GSE22274-15	GSM554320_1	A-AFFY-2	P-GSE22274-16	P-GSE22274-17	P-GSE22274-18	P-GSE22274-19	GSM554320_rpp4_Emwa1_6dpi_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.raw.1.zip	P-GSE22274-10	GSM554320_sample_table.txt norm	GSM554320_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.processed.1.zip	rpp4 mutant	Hyaloperonospora arabidopsidis Emwa1	6	days
GSM554320 1	2-week-old soil grown plants with no treatment used as 0 day reference.	rpp4_EMWA1_6dpi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rpp4 mutant	2	weeks	whole organism	seedling	EFO	EFO_0001992	P-GSE22274-11	P-GSE22274-12	P-GSE22274-13	GSM554320 extract 1	total RNA	P-GSE22274-14	GSM554320 LE 1	biotin	P-GSE22274-15	GSM554320_2	A-AFFY-2	P-GSE22274-16	P-GSE22274-17	P-GSE22274-18	P-GSE22274-19	GSM554320_rpp4_Emwa1_6dpi_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.raw.1.zip	P-GSE22274-10	GSM554320_sample_table.txt norm	GSM554320_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.processed.1.zip	rpp4 mutant	Hyaloperonospora arabidopsidis Emwa1	6	days
GSM554319 1	2-week-old soil grown plants with no treatment used as 0 day reference.	rpp4_EMWA1_4dpi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rpp4 mutant	2	weeks	whole organism	seedling	EFO	EFO_0001992	P-GSE22274-11	P-GSE22274-12	P-GSE22274-13	GSM554319 extract 1	total RNA	P-GSE22274-14	GSM554319 LE 1	biotin	P-GSE22274-15	GSM554319_1	A-AFFY-2	P-GSE22274-16	P-GSE22274-17	P-GSE22274-18	P-GSE22274-19	GSM554319_rpp4_Emwa1_4dpi_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.raw.1.zip	P-GSE22274-9	GSM554319_sample_table.txt norm	GSM554319_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.processed.1.zip	rpp4 mutant	Hyaloperonospora arabidopsidis Emwa1	4	days
GSM554319 1	2-week-old soil grown plants with no treatment used as 0 day reference.	rpp4_EMWA1_4dpi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rpp4 mutant	2	weeks	whole organism	seedling	EFO	EFO_0001992	P-GSE22274-11	P-GSE22274-12	P-GSE22274-13	GSM554319 extract 1	total RNA	P-GSE22274-14	GSM554319 LE 1	biotin	P-GSE22274-15	GSM554319_2	A-AFFY-2	P-GSE22274-16	P-GSE22274-17	P-GSE22274-18	P-GSE22274-19	GSM554319_rpp4_Emwa1_4dpi_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.raw.1.zip	P-GSE22274-9	GSM554319_sample_table.txt norm	GSM554319_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.processed.1.zip	rpp4 mutant	Hyaloperonospora arabidopsidis Emwa1	4	days
GSM554318 1	2-week-old soil grown plants with no treatment used as 0 day reference.	rpp4_EMWA1_2dpi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rpp4 mutant	2	weeks	whole organism	seedling	EFO	EFO_0001992	P-GSE22274-11	P-GSE22274-12	P-GSE22274-13	GSM554318 extract 1	total RNA	P-GSE22274-14	GSM554318 LE 1	biotin	P-GSE22274-15	GSM554318_1	A-AFFY-2	P-GSE22274-16	P-GSE22274-17	P-GSE22274-18	P-GSE22274-19	GSM554318_rpp4_Emwa1_2dpi_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.raw.1.zip	P-GSE22274-8	GSM554318_sample_table.txt norm	GSM554318_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.processed.1.zip	rpp4 mutant	Hyaloperonospora arabidopsidis Emwa1	2	days
GSM554318 1	2-week-old soil grown plants with no treatment used as 0 day reference.	rpp4_EMWA1_2dpi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rpp4 mutant	2	weeks	whole organism	seedling	EFO	EFO_0001992	P-GSE22274-11	P-GSE22274-12	P-GSE22274-13	GSM554318 extract 1	total RNA	P-GSE22274-14	GSM554318 LE 1	biotin	P-GSE22274-15	GSM554318_2	A-AFFY-2	P-GSE22274-16	P-GSE22274-17	P-GSE22274-18	P-GSE22274-19	GSM554318_rpp4_Emwa1_2dpi_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.raw.1.zip	P-GSE22274-8	GSM554318_sample_table.txt norm	GSM554318_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.processed.1.zip	rpp4 mutant	Hyaloperonospora arabidopsidis Emwa1	2	days
GSM554317 1	2-week-old soil grown plants with no treatment used as 0 day reference.	rpp4_EMWA1_0.5dpi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rpp4 mutant	2	weeks	whole organism	seedling	EFO	EFO_0001992	P-GSE22274-11	P-GSE22274-12	P-GSE22274-13	GSM554317 extract 1	total RNA	P-GSE22274-14	GSM554317 LE 1	biotin	P-GSE22274-15	GSM554317_1	A-AFFY-2	P-GSE22274-16	P-GSE22274-17	P-GSE22274-18	P-GSE22274-19	GSM554317_rpp4_Emwa1_0.5dpi_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.raw.1.zip	P-GSE22274-7	GSM554317_sample_table.txt norm	GSM554317_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.processed.1.zip	rpp4 mutant	Hyaloperonospora arabidopsidis Emwa1	0.5	days
GSM554317 1	2-week-old soil grown plants with no treatment used as 0 day reference.	rpp4_EMWA1_0.5dpi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rpp4 mutant	2	weeks	whole organism	seedling	EFO	EFO_0001992	P-GSE22274-11	P-GSE22274-12	P-GSE22274-13	GSM554317 extract 1	total RNA	P-GSE22274-14	GSM554317 LE 1	biotin	P-GSE22274-15	GSM554317_2	A-AFFY-2	P-GSE22274-16	P-GSE22274-17	P-GSE22274-18	P-GSE22274-19	GSM554317_rpp4_Emwa1_0.5dpi_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.raw.1.zip	P-GSE22274-7	GSM554317_sample_table.txt norm	GSM554317_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.processed.1.zip	rpp4 mutant	Hyaloperonospora arabidopsidis Emwa1	0.5	days
GSM554316 1	2-week-old soil grown plants with no treatment used as 0 day reference.	rpp4_EMWA1_0dpi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rpp4 mutant	2	weeks	whole organism	seedling	EFO	EFO_0001992	P-GSE22274-11	P-GSE22274-12	P-GSE22274-13	GSM554316 extract 1	total RNA	P-GSE22274-14	GSM554316 LE 1	biotin	P-GSE22274-15	GSM554316_1	A-AFFY-2	P-GSE22274-16	P-GSE22274-17	P-GSE22274-18	P-GSE22274-19	GSM554316_rpp4_Emwa1_0dpi_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.raw.1.zip	P-GSE22274-6	GSM554316_sample_table.txt norm	GSM554316_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.processed.1.zip	rpp4 mutant	none	0	days
GSM554316 1	2-week-old soil grown plants with no treatment used as 0 day reference.	rpp4_EMWA1_0dpi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rpp4 mutant	2	weeks	whole organism	seedling	EFO	EFO_0001992	P-GSE22274-11	P-GSE22274-12	P-GSE22274-13	GSM554316 extract 1	total RNA	P-GSE22274-14	GSM554316 LE 1	biotin	P-GSE22274-15	GSM554316_2	A-AFFY-2	P-GSE22274-16	P-GSE22274-17	P-GSE22274-18	P-GSE22274-19	GSM554316_rpp4_Emwa1_0dpi_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.raw.1.zip	P-GSE22274-6	GSM554316_sample_table.txt norm	GSM554316_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22274/E-GEOD-22274.processed.1.zip	rpp4 mutant	none	0	days
