Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Material Type	Characteristics [age]	Unit[time unit]	Characteristics[ecotype]	Characteristics [genotype]	Characteristics[growth condition]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value [phenotype]	Factor Value [time]	Unit[time unit]
GSM1212492 1	Gene expression data at 24h in the rrs1 mutant background	rrs1_24h-3	35S:RPS4 rrs1-11, 24h, rep3	organism part	3.5	week	Col-0	35S:RPS4-HS rrs1-11	28 deg C for 3.5 weeks then 19 deg C for 24 hours to induce transgene	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE50019-2	ArrayExpress	P-GSE50019-3	ArrayExpress	P-GSE50019-4	ArrayExpress	GSM1212492 extract 1	total RNA	P-GSE50019-5	ArrayExpress	GSM1212492 LE 1	biotin	P-GSE50019-6	ArrayExpress	GSM1212492	A-AFFY-2	ArrayExpress	array assay	P-GSE50019-7	ArrayExpress	GSM1212492_36_080211.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.raw.1.zip	P-GSE50019-1	ArrayExpress	GSM1212492_sample_table.txt norm	GSM1212492_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.processed.1.zip	RPS4 over-expression on rrs1 mutant background	24	hour
GSM1212491 1	Gene expression data at 24h in the rrs1 mutant background	rrs1_24h-2	35S:RPS4 rrs1-11, 24h, rep2	organism part	3.5	week	Col-0	35S:RPS4-HS rrs1-11	28 deg C for 3.5 weeks then 19 deg C for 24 hours to induce transgene	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE50019-2	ArrayExpress	P-GSE50019-3	ArrayExpress	P-GSE50019-4	ArrayExpress	GSM1212491 extract 1	total RNA	P-GSE50019-5	ArrayExpress	GSM1212491 LE 1	biotin	P-GSE50019-6	ArrayExpress	GSM1212491	A-AFFY-2	ArrayExpress	array assay	P-GSE50019-7	ArrayExpress	GSM1212491_24_030211.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.raw.1.zip	P-GSE50019-1	ArrayExpress	GSM1212491_sample_table.txt norm	GSM1212491_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.processed.1.zip	RPS4 over-expression on rrs1 mutant background	24	hour
GSM1212490 1	Gene expression data at 24h in the rrs1 mutant background	rrs1_24h-1	35S:RPS4 rrs1-11, 24h, rep1	organism part	3.5	week	Col-0	35S:RPS4-HS rrs1-11	28 deg C for 3.5 weeks then 19 deg C for 24 hours to induce transgene	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE50019-2	ArrayExpress	P-GSE50019-3	ArrayExpress	P-GSE50019-4	ArrayExpress	GSM1212490 extract 1	total RNA	P-GSE50019-5	ArrayExpress	GSM1212490 LE 1	biotin	P-GSE50019-6	ArrayExpress	GSM1212490	A-AFFY-2	ArrayExpress	array assay	P-GSE50019-7	ArrayExpress	GSM1212490_12_110111.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.raw.1.zip	P-GSE50019-1	ArrayExpress	GSM1212490_sample_table.txt norm	GSM1212490_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.processed.1.zip	RPS4 over-expression on rrs1 mutant background	24	hour
GSM1212489 1	Gene expression data at 8h in the rrs1 mutant background	rrs1_8h-3	35S:RPS4 rrs1-11, 8h, rep3	organism part	3.5	week	Col-0	35S:RPS4-HS rrs1-11	28 deg C for 3.5 weeks then 19 deg C for 8 hours to induce transgene	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE50019-2	ArrayExpress	P-GSE50019-3	ArrayExpress	P-GSE50019-4	ArrayExpress	GSM1212489 extract 1	total RNA	P-GSE50019-5	ArrayExpress	GSM1212489 LE 1	biotin	P-GSE50019-6	ArrayExpress	GSM1212489	A-AFFY-2	ArrayExpress	array assay	P-GSE50019-7	ArrayExpress	GSM1212489_33_080211.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.raw.1.zip	P-GSE50019-1	ArrayExpress	GSM1212489_sample_table.txt norm	GSM1212489_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.processed.1.zip	RPS4 over-expression on rrs1 mutant background	8	hour
GSM1212488 1	Gene expression data at 8h in the rrs1 mutant background	rrs1_8h-2	35S:RPS4 rrs1-11, 8h, rep2	organism part	3.5	week	Col-0	35S:RPS4-HS rrs1-11	28 deg C for 3.5 weeks then 19 deg C for 8 hours to induce transgene	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE50019-2	ArrayExpress	P-GSE50019-3	ArrayExpress	P-GSE50019-4	ArrayExpress	GSM1212488 extract 1	total RNA	P-GSE50019-5	ArrayExpress	GSM1212488 LE 1	biotin	P-GSE50019-6	ArrayExpress	GSM1212488	A-AFFY-2	ArrayExpress	array assay	P-GSE50019-7	ArrayExpress	GSM1212488_21_030211.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.raw.1.zip	P-GSE50019-1	ArrayExpress	GSM1212488_sample_table.txt norm	GSM1212488_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.processed.1.zip	RPS4 over-expression on rrs1 mutant background	8	hour
GSM1212487 1	Gene expression data at 8h in the rrs1 mutant background	rrs1_8h-1	35S:RPS4 rrs1-11, 8h, rep1	organism part	3.5	week	Col-0	35S:RPS4-HS rrs1-11	28 deg C for 3.5 weeks then 19 deg C for 8 hours to induce transgene	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE50019-2	ArrayExpress	P-GSE50019-3	ArrayExpress	P-GSE50019-4	ArrayExpress	GSM1212487 extract 1	total RNA	P-GSE50019-5	ArrayExpress	GSM1212487 LE 1	biotin	P-GSE50019-6	ArrayExpress	GSM1212487	A-AFFY-2	ArrayExpress	array assay	P-GSE50019-7	ArrayExpress	GSM1212487_09_110111.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.raw.1.zip	P-GSE50019-1	ArrayExpress	GSM1212487_sample_table.txt norm	GSM1212487_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.processed.1.zip	RPS4 over-expression on rrs1 mutant background	8	hour
GSM1212486 1	Gene expression data at 2h in the rrs1 mutant background	rrs1_2h-3	35S:RPS4 rrs1-11, 2h, rep3	organism part	3.5	week	Col-0	35S:RPS4-HS rrs1-11	28 deg C for 3.5 weeks then 19 deg C for 2 hours to induce transgene	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE50019-2	ArrayExpress	P-GSE50019-3	ArrayExpress	P-GSE50019-4	ArrayExpress	GSM1212486 extract 1	total RNA	P-GSE50019-5	ArrayExpress	GSM1212486 LE 1	biotin	P-GSE50019-6	ArrayExpress	GSM1212486	A-AFFY-2	ArrayExpress	array assay	P-GSE50019-7	ArrayExpress	GSM1212486_30_080211.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.raw.1.zip	P-GSE50019-1	ArrayExpress	GSM1212486_sample_table.txt norm	GSM1212486_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.processed.1.zip	RPS4 over-expression on rrs1 mutant background	2	hour
GSM1212485 1	Gene expression data at 2h in the rrs1 mutant background	rrs1_2h-2	35S:RPS4 rrs1-11, 2h, rep2	organism part	3.5	week	Col-0	35S:RPS4-HS rrs1-11	28 deg C for 3.5 weeks then 19 deg C for 2 hours to induce transgene	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE50019-2	ArrayExpress	P-GSE50019-3	ArrayExpress	P-GSE50019-4	ArrayExpress	GSM1212485 extract 1	total RNA	P-GSE50019-5	ArrayExpress	GSM1212485 LE 1	biotin	P-GSE50019-6	ArrayExpress	GSM1212485	A-AFFY-2	ArrayExpress	array assay	P-GSE50019-7	ArrayExpress	GSM1212485_18_030211.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.raw.1.zip	P-GSE50019-1	ArrayExpress	GSM1212485_sample_table.txt norm	GSM1212485_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.processed.1.zip	RPS4 over-expression on rrs1 mutant background	2	hour
GSM1212484 1	Gene expression data at 2h in the rrs1 mutant background	rrs1_2h-1	35S:RPS4 rrs1-11, 2h, rep1	organism part	3.5	week	Col-0	35S:RPS4-HS rrs1-11	28 deg C for 3.5 weeks then 19 deg C for 2 hours to induce transgene	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE50019-2	ArrayExpress	P-GSE50019-3	ArrayExpress	P-GSE50019-4	ArrayExpress	GSM1212484 extract 1	total RNA	P-GSE50019-5	ArrayExpress	GSM1212484 LE 1	biotin	P-GSE50019-6	ArrayExpress	GSM1212484	A-AFFY-2	ArrayExpress	array assay	P-GSE50019-7	ArrayExpress	GSM1212484_06_110111.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.raw.1.zip	P-GSE50019-1	ArrayExpress	GSM1212484_sample_table.txt norm	GSM1212484_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.processed.1.zip	RPS4 over-expression on rrs1 mutant background	2	hour
GSM1212483 1	Gene expression data at TO in the rrs1 mutant background	rrs1_0h-3	35S:RPS4 rrs1-11, T0, rep3	organism part	3.5	week	Col-0	35S:RPS4-HS rrs1-11	28 deg C for 3.5 weeks with no temperature switch	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	P-GSE50019-2	ArrayExpress	P-GSE50019-3	ArrayExpress	P-GSE50019-4	ArrayExpress	GSM1212483 extract 1	total RNA	P-GSE50019-5	ArrayExpress	GSM1212483 LE 1	biotin	P-GSE50019-6	ArrayExpress	GSM1212483	A-AFFY-2	ArrayExpress	array assay	P-GSE50019-7	ArrayExpress	GSM1212483_27_080211.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.raw.1.zip	P-GSE50019-1	ArrayExpress	GSM1212483_sample_table.txt norm	GSM1212483_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50019/E-GEOD-50019.processed.1.zip	RPS4 over-expression on rrs1 mutant background	0	hour
