Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_source_name]	Comment [Sample_characteristics]	Characteristics[DevelopmentalStage]	Characteristics[Ecotype]	Characteristics[OrganismPart]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[ORGANISM PART]
GSE15165GSM378746	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis mature green whole seeds captured by LCM:  Serial sections of whole seeds collected from seeds containing a mature green embryo proper as dermined by a medial embryo section showing cotyledons that have extended fully to the chalazal pole and possessing full and visible seed coat layers showing no collapse or senescence, when examined using the LEICA LMD6000 system for microdissection.. development stage: mature green stage; tissue: whole seeds captured by LCM; genotype: Ws-0	Arabidopsis mature green whole seeds captured by LCM	development stage: mature green stage; tissue: whole seeds captured by LCM; genotype: Ws-0	mature green stage	Ws-0	seed	P-G15165-1	P-G15165-2	GSE15165GSM378746 sample	P-G15165-4	GSE15165GSM378746 extract	total_RNA	P-G15165-3	GSE15165GSM378746 LE biotin	biotin	synthetic_RNA	Laser capture microdissected (LCM) whole seeds at the mature green stage, biological replicate 2	A-AFFY-2	P-AFFY-6	GSM378746.CEL	GSM378746.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15165/E-GEOD-15165.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-15165-processed-data-1746258829.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15165/E-GEOD-15165.processed.1.zip	seed
GSE15165GSM378733	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis mature green stage embryo proper captured by LCM:  Embryo proper collected from seeds containing a mature green embryo proper as dermined by a medial embryo section showing cotyledons that have extended fully to the chalazal pole and possessing full and visible seed coat layers showing no collapse or senescence, when examined using the LEICA LMD6000 system for microdissection.. development stage: mature green stage; tissue: embryo proper captured by LCM; genotype: Ws-0	Arabidopsis mature green stage embryo proper captured by LCM	development stage: mature green stage; tissue: embryo proper captured by LCM; genotype: Ws-0	mature green stage	Ws-0	embryo proper	P-G15165-1	P-G15165-2	GSE15165GSM378733 sample	P-G15165-4	GSE15165GSM378733 extract	total_RNA	P-G15165-3	GSE15165GSM378733 LE biotin	biotin	synthetic_RNA	Laser capture microdissected (LCM) embryo proper at the mature green stage, biological replicate 1	A-AFFY-2	P-AFFY-6	GSM378733.CEL	GSM378733.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15165/E-GEOD-15165.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-15165-processed-data-1746258829.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15165/E-GEOD-15165.processed.1.zip	embryo proper
GSE15165GSM378736	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis mature green stage micropylar endosperm captured by LCM:  Micropylar endosperm collected from seeds containing a mature green embryo proper as dermined by a medial embryo section showing cotyledons that have extended fully to the chalazal pole and possessing full and visible seed coat layers showing no collapse or senescence, when examined using the LEICA LMD6000 system for microdissection.. development stage: mature green stage; tissue: micropylar endosperm captured by LCM; genotype: Ws-0	Arabidopsis mature green stage micropylar endosperm captured by LCM	development stage: mature green stage; tissue: micropylar endosperm captured by LCM; genotype: Ws-0	mature green stage	Ws-0	micropylar endosperm	P-G15165-1	P-G15165-2	GSE15165GSM378736 sample	P-G15165-4	GSE15165GSM378736 extract	total_RNA	P-G15165-3	GSE15165GSM378736 LE biotin	biotin	synthetic_RNA	Laser capture microdissected (LCM) micropylar endosperm at the mature green stage, biological replicate 2	A-AFFY-2	P-AFFY-6	GSM378736.CEL	GSM378736.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15165/E-GEOD-15165.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-15165-processed-data-1746258829.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15165/E-GEOD-15165.processed.1.zip	micropylar endosperm
GSE15165GSM378739	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis mature green stage chalazal endosperm captured by LCM:  Chalazal endosperm collected from seeds containing a mature green embryo proper as dermined by a medial embryo section showing cotyledons that have extended fully to the chalazal pole and possessing full and visible seed coat layers showing no collapse or senescence, when examined using the LEICA LMD6000 system for microdissection.. development stage: mature green stage; tissue: chalazal endosperm captured by LCM; genotype: Ws-0	Arabidopsis mature green stage chalazal endosperm captured by LCM	development stage: mature green stage; tissue: chalazal endosperm captured by LCM; genotype: Ws-0	mature green stage	Ws-0	chalazal endosperm	P-G15165-1	P-G15165-2	GSE15165GSM378739 sample	P-G15165-4	GSE15165GSM378739 extract	total_RNA	P-G15165-3	GSE15165GSM378739 LE biotin	biotin	synthetic_RNA	Laser capture microdissected (LCM) chalazal endosperm at the mature green stage, biological replicate 1	A-AFFY-2	P-AFFY-6	GSM378739.CEL	GSM378739.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15165/E-GEOD-15165.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-15165-processed-data-1746258829.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15165/E-GEOD-15165.processed.1.zip	chalazal endosperm
GSE15165GSM378742	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis mature green stage chalazal seed coat captured by LCM:  Chalazal seed coat collected from seeds containing a mature green embryo proper as dermined by a medial embryo section showing cotyledons that have extended fully to the chalazal pole and possessing full and visible seed coat layers showing no collapse or senescence, when examined using the LEICA LMD6000 system for microdissection.. development stage: mature green stage; tissue: chalazal seed coat captured by LCM; genotype: Ws-0	Arabidopsis mature green stage chalazal seed coat captured by LCM	development stage: mature green stage; tissue: chalazal seed coat captured by LCM; genotype: Ws-0	mature green stage	Ws-0	chalazal seed coat	P-G15165-1	P-G15165-2	GSE15165GSM378742 sample	P-G15165-4	GSE15165GSM378742 extract	total_RNA	P-G15165-3	GSE15165GSM378742 LE biotin	biotin	synthetic_RNA	Laser capture microdissected (LCM) chalazal seed coat at the mature green stage, biological replicate 2	A-AFFY-2	P-AFFY-6	GSM378742.CEL	GSM378742.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15165/E-GEOD-15165.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-15165-processed-data-1746258829.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15165/E-GEOD-15165.processed.1.zip	chalazal seed coat
GSE15165GSM378737	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis mature green stage peripherial endosperm captured by LCM:  Peripherial endosperm collected from seeds containing a mature green embryo proper as dermined by a medial embryo section showing cotyledons that have extended fully to the chalazal pole and possessing full and visible seed coat layers showing no collapse or senescence, when examined using the LEICA LMD6000 system for microdissection.. development stage: mature green stage; tissue: peripherial endosperm captured by LCM; genotype: Ws-0	Arabidopsis mature green stage peripherial endosperm captured by LCM	development stage: mature green stage; tissue: peripherial endosperm captured by LCM; genotype: Ws-0	mature green stage	Ws-0	peripheral endosperm	P-G15165-1	P-G15165-2	GSE15165GSM378737 sample	P-G15165-4	GSE15165GSM378737 extract	total_RNA	P-G15165-3	GSE15165GSM378737 LE biotin	biotin	synthetic_RNA	Laser capture microdissected (LCM) peripherial endosperm at the mature green stage, biological replicate 1	A-AFFY-2	P-AFFY-6	GSM378737.CEL	GSM378737.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15165/E-GEOD-15165.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-15165-processed-data-1746258829.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15165/E-GEOD-15165.processed.1.zip	peripheral endosperm
GSE15165GSM378743	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis mature green stage seed coat captured by LCM:  Seed coat collected from seeds containing a mature green embryo proper as dermined by a medial embryo section showing cotyledons that have extended fully to the chalazal pole and possessing full and visible seed coat layers showing no collapse or senescence, when examined using the LEICA LMD6000 system for microdissection.. development stage: mature green stage; tissue: seed coat captured by LCM; genotype: Ws-0	Arabidopsis mature green stage seed coat captured by LCM	development stage: mature green stage; tissue: seed coat captured by LCM; genotype: Ws-0	mature green stage	Ws-0	seed coat	P-G15165-1	P-G15165-2	GSE15165GSM378743 sample	P-G15165-4	GSE15165GSM378743 extract	total_RNA	P-G15165-3	GSE15165GSM378743 LE biotin	biotin	synthetic_RNA	Laser capture microdissected (LCM) seed coat at the mature green stage, biological replicate 1	A-AFFY-2	P-AFFY-6	GSM378743.CEL	GSM378743.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15165/E-GEOD-15165.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-15165-processed-data-1746258829.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15165/E-GEOD-15165.processed.1.zip	seed coat
GSE15165GSM378740	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis mature green stage chalazal endosperm captured by LCM:  Chalazal endosperm collected from seeds containing a mature green embryo proper as dermined by a medial embryo section showing cotyledons that have extended fully to the chalazal pole and possessing full and visible seed coat layers showing no collapse or senescence, when examined using the LEICA LMD6000 system for microdissection.. development stage: mature green stage; tissue: chalazal endosperm captured by LCM; genotype: Ws-0	Arabidopsis mature green stage chalazal endosperm captured by LCM	development stage: mature green stage; tissue: chalazal endosperm captured by LCM; genotype: Ws-0	mature green stage	Ws-0	chalazal endosperm	P-G15165-1	P-G15165-2	GSE15165GSM378740 sample	P-G15165-4	GSE15165GSM378740 extract	total_RNA	P-G15165-3	GSE15165GSM378740 LE biotin	biotin	synthetic_RNA	Laser capture microdissected (LCM) chalazal endosperm at the mature green stage, biological replicate 2	A-AFFY-2	P-AFFY-6	GSM378740.CEL	GSM378740.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15165/E-GEOD-15165.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-15165-processed-data-1746258829.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15165/E-GEOD-15165.processed.1.zip	chalazal endosperm
GSE15165GSM378734	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis mature green stage embryo proper captured by LCM:  Embryo proper collected from seeds containing a mature green embryo proper as dermined by a medial embryo section showing cotyledons that have extended fully to the chalazal pole and possessing full and visible seed coat layers showing no collapse or senescence, when examined using the LEICA LMD6000 system for microdissection.. development stage: mature green stage; tissue: embryo proper captured by LCM; genotype: Ws-0	Arabidopsis mature green stage embryo proper captured by LCM	development stage: mature green stage; tissue: embryo proper captured by LCM; genotype: Ws-0	mature green stage	Ws-0	embryo proper	P-G15165-1	P-G15165-2	GSE15165GSM378734 sample	P-G15165-4	GSE15165GSM378734 extract	total_RNA	P-G15165-3	GSE15165GSM378734 LE biotin	biotin	synthetic_RNA	Laser capture microdissected (LCM) embryo proper at the mature green stage, biological replicate 2	A-AFFY-2	P-AFFY-6	GSM378734.CEL	GSM378734.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15165/E-GEOD-15165.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-15165-processed-data-1746258829.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15165/E-GEOD-15165.processed.1.zip	embryo proper
GSE15165GSM378735	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis mature green stage micropylar endosperm captured by LCM:  Micropylar endosperm collected from seeds containing a mature green embryo proper as dermined by a medial embryo section showing cotyledons that have extended fully to the chalazal pole and possessing full and visible seed coat layers showing no collapse or senescence, when examined using the LEICA LMD6000 system for microdissection.. development stage: mature green stage; tissue: micropylar endosperm captured by LCM; genotype: Ws-0	Arabidopsis mature green stage micropylar endosperm captured by LCM	development stage: mature green stage; tissue: micropylar endosperm captured by LCM; genotype: Ws-0	mature green stage	Ws-0	micropylar endosperm	P-G15165-1	P-G15165-2	GSE15165GSM378735 sample	P-G15165-4	GSE15165GSM378735 extract	total_RNA	P-G15165-3	GSE15165GSM378735 LE biotin	biotin	synthetic_RNA	Laser capture microdissected (LCM) micropylar endosperm at the mature green stage, biological replicate 1	A-AFFY-2	P-AFFY-6	GSM378735.CEL	GSM378735.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15165/E-GEOD-15165.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-15165-processed-data-1746258829.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15165/E-GEOD-15165.processed.1.zip	micropylar endosperm
