Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[DevelopmentalStage]	Characteristics[OrganismPart]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[ORGANISM PART]
GSE12402GSM311278	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	per-globular stage	cellularized endosperm	Arabidopsis pre-globular stage cellularized endosperm captured by LCM:  cellularized endosperm collected from seeds containing pre-globular embryo propers of 2 to 8 cells as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12402-2	P-G12402-1	GSE12402GSM311278 sample	P-G12402-4	GSE12402GSM311278 extract	total_RNA	P-G12402-3	GSE12402GSM311278 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) peripheral endosperm at the pre-globular stage, biological replicate 2	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) peripheral endosperm at the pre-globular stage, biological replicate 2	GSM311278.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12402/E-GEOD-12402.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12402-processed-data-1679276275.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12402/E-GEOD-12402.processed.1.zip	cellularized endosperm
GSE12402GSM311280	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	per-globular stage	chalazal endosperm	Arabidopsis pre-globular stage chalazal endosperm captured by LCM:  Chalazal endosperm collected from seeds containing pre-globular embryo propers of 2 to 8 cells as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12402-2	P-G12402-1	GSE12402GSM311280 sample	P-G12402-4	GSE12402GSM311280 extract	total_RNA	P-G12402-3	GSE12402GSM311280 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) chalazal endosperm at the pre-globular stage, biological replicate 2	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) chalazal endosperm at the pre-globular stage, biological replicate 2	GSM311280.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12402/E-GEOD-12402.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12402-processed-data-1679276275.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12402/E-GEOD-12402.processed.1.zip	chalazal endosperm
GSE12402GSM311276	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	per-globular stage	micropylar endosperm	Arabidopsis pre-globular stage micropylar endosperm captured by LCM:  Micropylar endosperm collected from seeds containing pre-globular embryo propers of 2 to 8 cells as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12402-2	P-G12402-1	GSE12402GSM311276 sample	P-G12402-4	GSE12402GSM311276 extract	total_RNA	P-G12402-3	GSE12402GSM311276 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) micropylar endospermr at the pre-globular stage, biological replicate 2	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) micropylar endospermr at the pre-globular stage, biological replicate 2	GSM311276.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12402/E-GEOD-12402.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12402-processed-data-1679276275.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12402/E-GEOD-12402.processed.1.zip	micropylar endosperm
GSE12402GSM311282	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	per-globular stage	chalazal seed coat	Arabidopsis pre-globular stage chalazal seed coat captured by LCM:  Chalazal seed coat collected from seeds containing pre-globular embryo propers of 2 to 8 cells as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12402-2	P-G12402-1	GSE12402GSM311282 sample	P-G12402-4	GSE12402GSM311282 extract	total_RNA	P-G12402-3	GSE12402GSM311282 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) chalazal seed coat at the pre-globular stage, biological replicate 2	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) chalazal seed coat at the pre-globular stage, biological replicate 2	GSM311282.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12402/E-GEOD-12402.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12402-processed-data-1679276275.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12402/E-GEOD-12402.processed.1.zip	chalazal seed coat
GSE12402GSM311286	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	per-globular stage	whole seed	Arabidopsis pre-globular stage whole seed sections captured by LCM:  Serial sections of whole seeds collected from seeds containing pre-globular embryo propers of 2 to 8 cells as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12402-2	P-G12402-1	GSE12402GSM311286 sample	P-G12402-4	GSE12402GSM311286 extract	total_RNA	P-G12402-3	GSE12402GSM311286 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) whole seed sections at the pre-globular stage, biological replicate 2	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) whole seed sections at the pre-globular stage, biological replicate 2	GSM311286.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12402/E-GEOD-12402.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12402-processed-data-1679276275.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12402/E-GEOD-12402.processed.1.zip	whole seed
GSE12402GSM311277	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	per-globular stage	cellularized endosperm	Arabidopsis pre-globular stage cellularized endosperm captured by LCM:  cellularized endosperm collected from seeds containing pre-globular embryo propers of 2 to 8 cells as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12402-2	P-G12402-1	GSE12402GSM311277 sample	P-G12402-4	GSE12402GSM311277 extract	total_RNA	P-G12402-3	GSE12402GSM311277 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) peripheral endosperm at the pre-globular stage, biological replicate 1	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) peripheral endosperm at the pre-globular stage, biological replicate 1	GSM311277.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12402/E-GEOD-12402.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12402-processed-data-1679276275.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12402/E-GEOD-12402.processed.1.zip	cellularized endosperm
GSE12402GSM311273	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	per-globular stage	embryo proper	Arabidopsis pre-globular stage embryo proper captured by LCM:  Embryo proper collected from seeds containing pre-globular embryo propers of 2 to 8 cells as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12402-2	P-G12402-1	GSE12402GSM311273 sample	P-G12402-4	GSE12402GSM311273 extract	total_RNA	P-G12402-3	GSE12402GSM311273 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) embryo proper at the pre-globular stage, biological replicate 1	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) embryo proper at the pre-globular stage, biological replicate 1	GSM311273.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12402/E-GEOD-12402.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12402-processed-data-1679276275.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12402/E-GEOD-12402.processed.1.zip	embryo proper
GSE12402GSM311285	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	per-globular stage	whole seed	Arabidopsis pre-globular stage whole seed sections captured by LCM:  Serial sections of whole seeds collected from seeds containing pre-globular embryo propers of 2 to 8 cells as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12402-2	P-G12402-1	GSE12402GSM311285 sample	P-G12402-4	GSE12402GSM311285 extract	total_RNA	P-G12402-3	GSE12402GSM311285 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) whole seed sections at the pre-globular stage, biological replicate 1	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) whole seed sections at the pre-globular stage, biological replicate 1	GSM311285.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12402/E-GEOD-12402.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12402-processed-data-1679276275.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12402/E-GEOD-12402.processed.1.zip	whole seed
GSE12402GSM311281	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	per-globular stage	chalazal seed coat	Arabidopsis pre-globular stage chalazal seed coat captured by LCM:  Chalazal seed coat collected from seeds containing pre-globular embryo propers of 2 to 8 cells as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12402-2	P-G12402-1	GSE12402GSM311281 sample	P-G12402-4	GSE12402GSM311281 extract	total_RNA	P-G12402-3	GSE12402GSM311281 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) chalazal seed coat at the pre-globular stage, biological replicate 1	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) chalazal seed coat at the pre-globular stage, biological replicate 1	GSM311281.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12402/E-GEOD-12402.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12402-processed-data-1679276275.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12402/E-GEOD-12402.processed.1.zip	chalazal seed coat
GSE12402GSM311279	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	per-globular stage	chalazal endosperm	Arabidopsis pre-globular stage chalazal endosperm captured by LCM:  Chalazal endosperm collected from seeds containing pre-globular embryo propers of 2 to 8 cells as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12402-2	P-G12402-1	GSE12402GSM311279 sample	P-G12402-4	GSE12402GSM311279 extract	total_RNA	P-G12402-3	GSE12402GSM311279 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) chalazal endosperm at the pre-globular stage, biological replicate 1	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) chalazal endosperm at the pre-globular stage, biological replicate 1	GSM311279.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12402/E-GEOD-12402.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12402-processed-data-1679276275.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12402/E-GEOD-12402.processed.1.zip	chalazal endosperm
