Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[ecotype]	Comment[genetic variation]	Characteristics[genotype]	Characteristics[organism part]	Comment[stock code]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]
GSM477895 1	Growth chamber Levington F2 (Fine peat/with intercept an insecticide) with extra grit 4mm at 40%. 75% 20oC. Three leaves from 8 different plants of each genotype were harvested using a green safe lamp 0.5 hours before the lights came on in the morning and immediately frozen in LN2.	Sex1-3	Arabidopsis thaliana	Boyes key 3.7	Col-0	induced_mutation	sex1-3 mutation	leaf	  	P-GSE19260-2	P-GSE19260-3	GSM477895 extract 1	total RNA	P-GSE19260-4	GSM477895 LE 1	biotin	P-GSE19260-5	GSM477895	A-AFFY-2	P-GSE19260-6	P-GSE19260-7	GSM477895.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19260/E-GEOD-19260.raw.1.zip	P-GSE19260-1	GSM477895_sample_table.txt norm	GSM477895_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19260/E-GEOD-19260.processed.1.zip	sex1-3 mutation
GSM477894 1	Growth chamber Levington F2 (Fine peat/with intercept an insecticide) with extra grit 4mm at 40%. 75% 20oC. Three leaves from 8 different plants of each genotype were harvested using a green safe lamp 0.5 hours before the lights came on in the morning and immediately frozen in LN2.	Sex1-3	Arabidopsis thaliana	Boyes key 3.7	Col-0	induced_mutation	sex1-3 mutation	leaf	  	P-GSE19260-2	P-GSE19260-3	GSM477894 extract 1	total RNA	P-GSE19260-4	GSM477894 LE 1	biotin	P-GSE19260-5	GSM477894	A-AFFY-2	P-GSE19260-6	P-GSE19260-7	GSM477894.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19260/E-GEOD-19260.raw.1.zip	P-GSE19260-1	GSM477894_sample_table.txt norm	GSM477894_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19260/E-GEOD-19260.processed.1.zip	sex1-3 mutation
GSM477893 1	Growth chamber Levington F2 (Fine peat/with intercept an insecticide) with extra grit 4mm at 40%. 75% 20oC. Three leaves from 8 different plants of each genotype were harvested using a green safe lamp 0.5 hours before the lights came on in the morning and immediately frozen in LN2.	Sex1-3	Arabidopsis thaliana	Boyes key 3.7	Col-0	induced_mutation	sex1-3 mutation	leaf	  	P-GSE19260-2	P-GSE19260-3	GSM477893 extract 1	total RNA	P-GSE19260-4	GSM477893 LE 1	biotin	P-GSE19260-5	GSM477893	A-AFFY-2	P-GSE19260-6	P-GSE19260-7	GSM477893.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19260/E-GEOD-19260.raw.1.zip	P-GSE19260-1	GSM477893_sample_table.txt norm	GSM477893_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19260/E-GEOD-19260.processed.1.zip	sex1-3 mutation
GSM477892 1	Growth chamber Levington F2 (Fine peat/with intercept an insecticide) with extra grit 4mm at 40%. 75% 20oC. Three leaves from 8 different plants of each genotype were harvested using a green safe lamp 0.5 hours before the lights came on in the morning and immediately frozen in LN2.	Salk_102567	Arabidopsis thaliana	Boyes key 3.7	Col-0	  	sex4-3 mutation	leaf	N602567	P-GSE19260-2	P-GSE19260-3	GSM477892 extract 1	total RNA	P-GSE19260-4	GSM477892 LE 1	biotin	P-GSE19260-5	GSM477892	A-AFFY-2	P-GSE19260-6	P-GSE19260-7	GSM477892.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19260/E-GEOD-19260.raw.1.zip	P-GSE19260-1	GSM477892_sample_table.txt norm	GSM477892_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19260/E-GEOD-19260.processed.1.zip	sex4-3 mutation
GSM477891 1	Growth chamber Levington F2 (Fine peat/with intercept an insecticide) with extra grit 4mm at 40%. 75% 20oC. Three leaves from 8 different plants of each genotype were harvested using a green safe lamp 0.5 hours before the lights came on in the morning and immediately frozen in LN2.	Salk_102567	Arabidopsis thaliana	Boyes key 3.7	Col-0	  	sex4-3 mutation	leaf	N602567	P-GSE19260-2	P-GSE19260-3	GSM477891 extract 1	total RNA	P-GSE19260-4	GSM477891 LE 1	biotin	P-GSE19260-5	GSM477891	A-AFFY-2	P-GSE19260-6	P-GSE19260-7	GSM477891.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19260/E-GEOD-19260.raw.1.zip	P-GSE19260-1	GSM477891_sample_table.txt norm	GSM477891_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19260/E-GEOD-19260.processed.1.zip	sex4-3 mutation
GSM477890 1	Growth chamber Levington F2 (Fine peat/with intercept an insecticide) with extra grit 4mm at 40%. 75% 20oC. Three leaves from 8 different plants of each genotype were harvested using a green safe lamp 0.5 hours before the lights came on in the morning and immediately frozen in LN2.	Salk_102567	Arabidopsis thaliana	Boyes key 3.7	Col-0	  	sex4-3 mutation	leaf	N602567	P-GSE19260-2	P-GSE19260-3	GSM477890 extract 1	total RNA	P-GSE19260-4	GSM477890 LE 1	biotin	P-GSE19260-5	GSM477890	A-AFFY-2	P-GSE19260-6	P-GSE19260-7	GSM477890.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19260/E-GEOD-19260.raw.1.zip	P-GSE19260-1	GSM477890_sample_table.txt norm	GSM477890_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19260/E-GEOD-19260.processed.1.zip	sex4-3 mutation
GSM477889 1	Growth chamber Levington F2 (Fine peat/with intercept an insecticide) with extra grit 4mm at 40%. 75% 20oC. Three leaves from 8 different plants of each genotype were harvested using a green safe lamp 0.5 hours before the lights came on in the morning and immediately frozen in LN2.	Salk_053285	Arabidopsis thaliana	Boyes key 3.7	Col-0	  	ptpkis2 mutation	leaf	N553285	P-GSE19260-2	P-GSE19260-3	GSM477889 extract 1	total RNA	P-GSE19260-4	GSM477889 LE 1	biotin	P-GSE19260-5	GSM477889	A-AFFY-2	P-GSE19260-6	P-GSE19260-7	GSM477889.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19260/E-GEOD-19260.raw.1.zip	P-GSE19260-1	GSM477889_sample_table.txt norm	GSM477889_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19260/E-GEOD-19260.processed.1.zip	ptpkis2 mutation
GSM477888 1	Growth chamber Levington F2 (Fine peat/with intercept an insecticide) with extra grit 4mm at 40%. 75% 20oC. Three leaves from 8 different plants of each genotype were harvested using a green safe lamp 0.5 hours before the lights came on in the morning and immediately frozen in LN2.	Salk_053285	Arabidopsis thaliana	Boyes key 3.7	Col-0	  	ptpkis2 mutation	leaf	N553285	P-GSE19260-2	P-GSE19260-3	GSM477888 extract 1	total RNA	P-GSE19260-4	GSM477888 LE 1	biotin	P-GSE19260-5	GSM477888	A-AFFY-2	P-GSE19260-6	P-GSE19260-7	GSM477888.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19260/E-GEOD-19260.raw.1.zip	P-GSE19260-1	GSM477888_sample_table.txt norm	GSM477888_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19260/E-GEOD-19260.processed.1.zip	ptpkis2 mutation
GSM477887 1	Growth chamber Levington F2 (Fine peat/with intercept an insecticide) with extra grit 4mm at 40%. 75% 20oC. Three leaves from 8 different plants of each genotype were harvested using a green safe lamp 0.5 hours before the lights came on in the morning and immediately frozen in LN2.	Salk_053285	Arabidopsis thaliana	Boyes key 3.7	Col-0	  	ptpkis2 mutation	leaf	N553285	P-GSE19260-2	P-GSE19260-3	GSM477887 extract 1	total RNA	P-GSE19260-4	GSM477887 LE 1	biotin	P-GSE19260-5	GSM477887	A-AFFY-2	P-GSE19260-6	P-GSE19260-7	GSM477887.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19260/E-GEOD-19260.raw.1.zip	P-GSE19260-1	GSM477887_sample_table.txt norm	GSM477887_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19260/E-GEOD-19260.processed.1.zip	ptpkis2 mutation
GSM477886 1	Growth chamber Levington F2 (Fine peat/with intercept an insecticide) with extra grit 4mm at 40%. 75% 20oC. Three leaves from 8 different plants of each genotype were harvested using a green safe lamp 0.5 hours before the lights came on in the morning and immediately frozen in LN2.	Columbia0	Arabidopsis thaliana	Boyes key 3.7	Col-0	  	wild type	leaf	  	P-GSE19260-2	P-GSE19260-3	GSM477886 extract 1	total RNA	P-GSE19260-4	GSM477886 LE 1	biotin	P-GSE19260-5	GSM477886	A-AFFY-2	P-GSE19260-6	P-GSE19260-7	GSM477886.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19260/E-GEOD-19260.raw.1.zip	P-GSE19260-1	GSM477886_sample_table.txt norm	GSM477886_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19260/E-GEOD-19260.processed.1.zip	wild type
