Source Name	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [disease]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [specimen with known storage state]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [compound]	Factor Value [time]	Unit [time unit]	Factor Value [genotype]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]
GSE4733GSM106921	stamen	EFO	EFO_0001050	sterile	  	  	opr3 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen sample	P-G4733-18	P-G4733-8	GSE4733GSM106921 sample	P-G4733-13	GSE4733GSM106921 extract	total_RNA	P-G4733-14	GSE4733GSM106921 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	opr3_OPDA_0.5 hr_Rep3	A-AFFY-2	P-AFFY-6	12-oxophytodienoic acid	0.5	hour	opr3 mutant	opr3_OPDA_0.5 hr_Rep3	GSM106921.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.raw.1.zip	E-GEOD-4733-processed-data-1509932491.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.processed.1.zip
GSE4733GSM106919	stamen	EFO	EFO_0001050	sterile	  	  	opr3 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen sample	P-G4733-18	P-G4733-8	GSE4733GSM106919 sample	P-G4733-13	GSE4733GSM106919 extract	total_RNA	P-G4733-14	GSE4733GSM106919 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	opr3_OPDA_0.5 hr_Rep1	A-AFFY-2	P-AFFY-6	12-oxophytodienoic acid	0.5	hour	opr3 mutant	opr3_OPDA_0.5 hr_Rep1	GSM106919.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.raw.1.zip	E-GEOD-4733-processed-data-1509932491.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.processed.1.zip
GSE4733GSM106920	stamen	EFO	EFO_0001050	sterile	  	  	opr3 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen sample	P-G4733-18	P-G4733-8	GSE4733GSM106920 sample	P-G4733-13	GSE4733GSM106920 extract	total_RNA	P-G4733-14	GSE4733GSM106920 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	opr3_OPDA_0.5 hr_Rep2	A-AFFY-2	P-AFFY-6	12-oxophytodienoic acid	0.5	hour	opr3 mutant	opr3_OPDA_0.5 hr_Rep2	GSM106920.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.raw.1.zip	E-GEOD-4733-processed-data-1509932491.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.processed.1.zip
GSE4733GSM106923	stamen	EFO	EFO_0001050	sterile	  	  	opr3 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen sample	P-G4733-18	P-G4733-8	GSE4733GSM106923 sample	P-G4733-13	GSE4733GSM106923 extract	total_RNA	P-G4733-14	GSE4733GSM106923 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	opr3_OPDA_2 hrs_Rep2	A-AFFY-2	P-AFFY-6	12-oxophytodienoic acid	2	hour	opr3 mutant	opr3_OPDA_2 hrs_Rep2	GSM106923.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.raw.1.zip	E-GEOD-4733-processed-data-1509932491.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.processed.1.zip
GSE4733GSM106922	stamen	EFO	EFO_0001050	sterile	  	  	opr3 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen sample	P-G4733-18	P-G4733-8	GSE4733GSM106922 sample	P-G4733-13	GSE4733GSM106922 extract	total_RNA	P-G4733-14	GSE4733GSM106922 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	opr3_OPDA_2 hrs_Rep1	A-AFFY-2	P-AFFY-6	12-oxophytodienoic acid	2	hour	opr3 mutant	opr3_OPDA_2 hrs_Rep1	GSM106922.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.raw.1.zip	E-GEOD-4733-processed-data-1509932491.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.processed.1.zip
GSE4733GSM106924	stamen	EFO	EFO_0001050	sterile	  	  	opr3 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen sample	P-G4733-18	P-G4733-8	GSE4733GSM106924 sample	P-G4733-13	GSE4733GSM106924 extract	total_RNA	P-G4733-14	GSE4733GSM106924 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	opr3_OPDA_2 hrs_Rep3	A-AFFY-2	P-AFFY-6	12-oxophytodienoic acid	2	hour	opr3 mutant	opr3_OPDA_2 hrs_Rep3	GSM106924.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.raw.1.zip	E-GEOD-4733-processed-data-1509932491.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.processed.1.zip
GSE4733GSM106934	stamen	EFO	EFO_0001050	sterile	  	  	opr3 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen sample	P-G4733-18	P-G4733-8	GSE4733GSM106934 sample	P-G4733-13	GSE4733GSM106934 extract	total_RNA	P-G4733-14	GSE4733GSM106934 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	opr3_OPDA_8 hrs_Rep1	A-AFFY-2	P-AFFY-6	12-oxophytodienoic acid	8	hour	opr3 mutant	opr3_OPDA_8 hrs_Rep1	GSM106934.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.raw.1.zip	E-GEOD-4733-processed-data-1509932491.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.processed.1.zip
GSE4733GSM106966	stamen	EFO	EFO_0001050	sterile	  	  	opr3 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen sample	P-G4733-18	P-G4733-8	GSE4733GSM106966 sample	P-G4733-13	GSE4733GSM106966 extract	total_RNA	P-G4733-14	GSE4733GSM106966 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	opr3_OPDA_8 hrs_Rep3	A-AFFY-2	P-AFFY-6	12-oxophytodienoic acid	8	hour	opr3 mutant	opr3_OPDA_8 hrs_Rep3	GSM106966.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.raw.1.zip	E-GEOD-4733-processed-data-1509932491.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.processed.1.zip
GSE4733GSM106969	stamen	EFO	EFO_0001050	sterile	  	  	opr3 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen sample	P-G4733-18	P-G4733-8	GSE4733GSM106969 sample	P-G4733-13	GSE4733GSM106969 extract	total_RNA	P-G4733-14	GSE4733GSM106969 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	opr3_OPDA_22 hrs_Rep2	A-AFFY-2	P-AFFY-6	12-oxophytodienoic acid	22	hour	opr3 mutant	opr3_OPDA_22 hrs_Rep2	GSM106969.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.raw.1.zip	E-GEOD-4733-processed-data-1509932491.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.processed.1.zip
GSE4733GSM106967	stamen	EFO	EFO_0001050	sterile	  	  	opr3 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen sample	P-G4733-18	P-G4733-8	GSE4733GSM106967 sample	P-G4733-13	GSE4733GSM106967 extract	total_RNA	P-G4733-14	GSE4733GSM106967 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	opr3_OPDA_22 hrs_Rep1	A-AFFY-2	P-AFFY-6	12-oxophytodienoic acid	22	hour	opr3 mutant	opr3_OPDA_22 hrs_Rep1	GSM106967.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.raw.1.zip	E-GEOD-4733-processed-data-1509932491.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4733/E-GEOD-4733.processed.1.zip
