Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[growth condition]	FactorValue[time]	Unit[time unit]
GSM732614 1	Gene expression data	Arabidopsis roots harvested 8 hr after ammonium addition	Arabidopsis thaliana	Boyes key 5.10	Columbia-0	root	P-GSE29589-2	P-GSE29589-3	P-GSE29589-4	GSM732614 extract 1	total RNA	P-GSE29589-5	GSM732614 LE 1	biotin	P-GSE29589-6	GSM732614	A-AFFY-2	P-GSE29589-7	P-GSE29589-8	GSM732614.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29589/E-GEOD-29589.raw.1.zip	P-GSE29589-1	GSM732614_sample_table.txt norm	GSM732614_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29589/E-GEOD-29589.processed.1.zip	1 millimolar ammonium	8	hour
GSM732613 1	Gene expression data	Arabidopsis roots harvested 8 hr after ammonium addition	Arabidopsis thaliana	Boyes key 5.10	Columbia-0	root	P-GSE29589-2	P-GSE29589-3	P-GSE29589-4	GSM732613 extract 1	total RNA	P-GSE29589-5	GSM732613 LE 1	biotin	P-GSE29589-6	GSM732613	A-AFFY-2	P-GSE29589-7	P-GSE29589-8	GSM732613.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29589/E-GEOD-29589.raw.1.zip	P-GSE29589-1	GSM732613_sample_table.txt norm	GSM732613_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29589/E-GEOD-29589.processed.1.zip	1 millimolar ammonium	8	hour
GSM732612 1	Gene expression data	Arabidopsis roots harvested 8 hr after ammonium addition	Arabidopsis thaliana	Boyes key 5.10	Columbia-0	root	P-GSE29589-2	P-GSE29589-3	P-GSE29589-4	GSM732612 extract 1	total RNA	P-GSE29589-5	GSM732612 LE 1	biotin	P-GSE29589-6	GSM732612	A-AFFY-2	P-GSE29589-7	P-GSE29589-8	GSM732612.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29589/E-GEOD-29589.raw.1.zip	P-GSE29589-1	GSM732612_sample_table.txt norm	GSM732612_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29589/E-GEOD-29589.processed.1.zip	1 millimolar ammonium	8	hour
GSM732611 1	Gene expression data	Arabidopsis roots harvested 8 hr after nitrate addition	Arabidopsis thaliana	Boyes key 5.10	Columbia-0	root	P-GSE29589-2	P-GSE29589-3	P-GSE29589-4	GSM732611 extract 1	total RNA	P-GSE29589-5	GSM732611 LE 1	biotin	P-GSE29589-6	GSM732611	A-AFFY-2	P-GSE29589-7	P-GSE29589-8	GSM732611.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29589/E-GEOD-29589.raw.1.zip	P-GSE29589-1	GSM732611_sample_table.txt norm	GSM732611_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29589/E-GEOD-29589.processed.1.zip	1 millimolar nitrate	8	hour
GSM732610 1	Gene expression data	Arabidopsis roots harvested 8 hr after nitrate addition	Arabidopsis thaliana	Boyes key 5.10	Columbia-0	root	P-GSE29589-2	P-GSE29589-3	P-GSE29589-4	GSM732610 extract 1	total RNA	P-GSE29589-5	GSM732610 LE 1	biotin	P-GSE29589-6	GSM732610	A-AFFY-2	P-GSE29589-7	P-GSE29589-8	GSM732610.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29589/E-GEOD-29589.raw.1.zip	P-GSE29589-1	GSM732610_sample_table.txt norm	GSM732610_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29589/E-GEOD-29589.processed.1.zip	1 millimolar nitrate	8	hour
GSM732609 1	Gene expression data	Arabidopsis roots harvested 8 hr after nitrate addition	Arabidopsis thaliana	Boyes key 5.10	Columbia-0	root	P-GSE29589-2	P-GSE29589-3	P-GSE29589-4	GSM732609 extract 1	total RNA	P-GSE29589-5	GSM732609 LE 1	biotin	P-GSE29589-6	GSM732609	A-AFFY-2	P-GSE29589-7	P-GSE29589-8	GSM732609.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29589/E-GEOD-29589.raw.1.zip	P-GSE29589-1	GSM732609_sample_table.txt norm	GSM732609_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29589/E-GEOD-29589.processed.1.zip	1 millimolar nitrate	8	hour
GSM732608 1	Gene expression data	Arabidopsis roots harvested 1.5 hr after ammonium addition	Arabidopsis thaliana	Boyes key 5.10	Columbia-0	root	P-GSE29589-2	P-GSE29589-3	P-GSE29589-4	GSM732608 extract 1	total RNA	P-GSE29589-5	GSM732608 LE 1	biotin	P-GSE29589-6	GSM732608	A-AFFY-2	P-GSE29589-7	P-GSE29589-8	GSM732608.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29589/E-GEOD-29589.raw.1.zip	P-GSE29589-1	GSM732608_sample_table.txt norm	GSM732608_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29589/E-GEOD-29589.processed.1.zip	1 millimolar ammonium	1.5	hour
GSM732607 1	Gene expression data	Arabidopsis roots harvested 1.5 hr after ammonium addition	Arabidopsis thaliana	Boyes key 5.10	Columbia-0	root	P-GSE29589-2	P-GSE29589-3	P-GSE29589-4	GSM732607 extract 1	total RNA	P-GSE29589-5	GSM732607 LE 1	biotin	P-GSE29589-6	GSM732607	A-AFFY-2	P-GSE29589-7	P-GSE29589-8	GSM732607.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29589/E-GEOD-29589.raw.1.zip	P-GSE29589-1	GSM732607_sample_table.txt norm	GSM732607_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29589/E-GEOD-29589.processed.1.zip	1 millimolar ammonium	1.5	hour
GSM732606 1	Gene expression data	Arabidopsis roots harvested 1.5 hr after ammonium addition	Arabidopsis thaliana	Boyes key 5.10	Columbia-0	root	P-GSE29589-2	P-GSE29589-3	P-GSE29589-4	GSM732606 extract 1	total RNA	P-GSE29589-5	GSM732606 LE 1	biotin	P-GSE29589-6	GSM732606	A-AFFY-2	P-GSE29589-7	P-GSE29589-8	GSM732606.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29589/E-GEOD-29589.raw.1.zip	P-GSE29589-1	GSM732606_sample_table.txt norm	GSM732606_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29589/E-GEOD-29589.processed.1.zip	1 millimolar ammonium	1.5	hour
GSM732605 1	Gene expression data	Arabidopsis roots harvested 1.5 hr after nitrate addition	Arabidopsis thaliana	Boyes key 5.10	Columbia-0	root	P-GSE29589-2	P-GSE29589-3	P-GSE29589-4	GSM732605 extract 1	total RNA	P-GSE29589-5	GSM732605 LE 1	biotin	P-GSE29589-6	GSM732605	A-AFFY-2	P-GSE29589-7	P-GSE29589-8	GSM732605.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29589/E-GEOD-29589.raw.1.zip	P-GSE29589-1	GSM732605_sample_table.txt norm	GSM732605_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29589/E-GEOD-29589.processed.1.zip	1 millimolar nitrate	1.5	hour
GSM732604 1	Gene expression data	Arabidopsis roots harvested 1.5 hr after nitrate addition	Arabidopsis thaliana	Boyes key 5.10	Columbia-0	root	P-GSE29589-2	P-GSE29589-3	P-GSE29589-4	GSM732604 extract 1	total RNA	P-GSE29589-5	GSM732604 LE 1	biotin	P-GSE29589-6	GSM732604	A-AFFY-2	P-GSE29589-7	P-GSE29589-8	GSM732604.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29589/E-GEOD-29589.raw.1.zip	P-GSE29589-1	GSM732604_sample_table.txt norm	GSM732604_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29589/E-GEOD-29589.processed.1.zip	1 millimolar nitrate	1.5	hour
