Source Name	Material Type	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [stimulus]
GSM1091829 1	whole organism	seedling	BLM+INA_rep3	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	P-GSE44793-2	ArrayExpress	P-GSE44793-3	ArrayExpress	P-GSE44793-4	ArrayExpress	GSM1091829 extract 1	total RNA	P-GSE44793-5	ArrayExpress	GSM1091829 LE 1	biotin	P-GSE44793-6	ArrayExpress	GSM1091829	A-AFFY-2	ArrayExpress	array assay	P-GSE44793-7	ArrayExpress	GSM1091829_BLM+INA_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44793/E-GEOD-44793.raw.1.zip	P-GSE44793-1	ArrayExpress	GSM1091829_sample_table.txt norm	GSM1091829_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44793/E-GEOD-44793.processed.1.zip	bleomycin and 2, 6-dichloroisonicotinic acid
GSM1091828 1	whole organism	seedling	BLM+INA_rep2	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	P-GSE44793-2	ArrayExpress	P-GSE44793-3	ArrayExpress	P-GSE44793-4	ArrayExpress	GSM1091828 extract 1	total RNA	P-GSE44793-5	ArrayExpress	GSM1091828 LE 1	biotin	P-GSE44793-6	ArrayExpress	GSM1091828	A-AFFY-2	ArrayExpress	array assay	P-GSE44793-7	ArrayExpress	GSM1091828_BLM+INA_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44793/E-GEOD-44793.raw.1.zip	P-GSE44793-1	ArrayExpress	GSM1091828_sample_table.txt norm	GSM1091828_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44793/E-GEOD-44793.processed.1.zip	bleomycin and 2, 6-dichloroisonicotinic acid
GSM1091827 1	whole organism	seedling	BLM+INA_rep1	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	P-GSE44793-2	ArrayExpress	P-GSE44793-3	ArrayExpress	P-GSE44793-4	ArrayExpress	GSM1091827 extract 1	total RNA	P-GSE44793-5	ArrayExpress	GSM1091827 LE 1	biotin	P-GSE44793-6	ArrayExpress	GSM1091827	A-AFFY-2	ArrayExpress	array assay	P-GSE44793-7	ArrayExpress	GSM1091827_BLM+INA_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44793/E-GEOD-44793.raw.1.zip	P-GSE44793-1	ArrayExpress	GSM1091827_sample_table.txt norm	GSM1091827_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44793/E-GEOD-44793.processed.1.zip	bleomycin and 2, 6-dichloroisonicotinic acid
GSM1091826 1	whole organism	seedling	BLM_rep3	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	P-GSE44793-2	ArrayExpress	P-GSE44793-3	ArrayExpress	P-GSE44793-4	ArrayExpress	GSM1091826 extract 1	total RNA	P-GSE44793-5	ArrayExpress	GSM1091826 LE 1	biotin	P-GSE44793-6	ArrayExpress	GSM1091826	A-AFFY-2	ArrayExpress	array assay	P-GSE44793-7	ArrayExpress	GSM1091826_BLM_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44793/E-GEOD-44793.raw.1.zip	P-GSE44793-1	ArrayExpress	GSM1091826_sample_table.txt norm	GSM1091826_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44793/E-GEOD-44793.processed.1.zip	bleomycin
GSM1091825 1	whole organism	seedling	BLM_rep2	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	P-GSE44793-2	ArrayExpress	P-GSE44793-3	ArrayExpress	P-GSE44793-4	ArrayExpress	GSM1091825 extract 1	total RNA	P-GSE44793-5	ArrayExpress	GSM1091825 LE 1	biotin	P-GSE44793-6	ArrayExpress	GSM1091825	A-AFFY-2	ArrayExpress	array assay	P-GSE44793-7	ArrayExpress	GSM1091825_BLM_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44793/E-GEOD-44793.raw.1.zip	P-GSE44793-1	ArrayExpress	GSM1091825_sample_table.txt norm	GSM1091825_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44793/E-GEOD-44793.processed.1.zip	bleomycin
GSM1091824 1	whole organism	seedling	BLM_rep1	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	P-GSE44793-2	ArrayExpress	P-GSE44793-3	ArrayExpress	P-GSE44793-4	ArrayExpress	GSM1091824 extract 1	total RNA	P-GSE44793-5	ArrayExpress	GSM1091824 LE 1	biotin	P-GSE44793-6	ArrayExpress	GSM1091824	A-AFFY-2	ArrayExpress	array assay	P-GSE44793-7	ArrayExpress	GSM1091824_BLM_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44793/E-GEOD-44793.raw.1.zip	P-GSE44793-1	ArrayExpress	GSM1091824_sample_table.txt norm	GSM1091824_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44793/E-GEOD-44793.processed.1.zip	bleomycin
GSM1091823 1	whole organism	seedling	INA_rep3	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	P-GSE44793-2	ArrayExpress	P-GSE44793-3	ArrayExpress	P-GSE44793-4	ArrayExpress	GSM1091823 extract 1	total RNA	P-GSE44793-5	ArrayExpress	GSM1091823 LE 1	biotin	P-GSE44793-6	ArrayExpress	GSM1091823	A-AFFY-2	ArrayExpress	array assay	P-GSE44793-7	ArrayExpress	GSM1091823_INA_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44793/E-GEOD-44793.raw.1.zip	P-GSE44793-1	ArrayExpress	GSM1091823_sample_table.txt norm	GSM1091823_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44793/E-GEOD-44793.processed.1.zip	2, 6-dichloroisonicotinic acid
GSM1091822 1	whole organism	seedling	INA_rep2	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	P-GSE44793-2	ArrayExpress	P-GSE44793-3	ArrayExpress	P-GSE44793-4	ArrayExpress	GSM1091822 extract 1	total RNA	P-GSE44793-5	ArrayExpress	GSM1091822 LE 1	biotin	P-GSE44793-6	ArrayExpress	GSM1091822	A-AFFY-2	ArrayExpress	array assay	P-GSE44793-7	ArrayExpress	GSM1091822_INA_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44793/E-GEOD-44793.raw.1.zip	P-GSE44793-1	ArrayExpress	GSM1091822_sample_table.txt norm	GSM1091822_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44793/E-GEOD-44793.processed.1.zip	2, 6-dichloroisonicotinic acid
GSM1091821 1	whole organism	seedling	INA_rep1	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	P-GSE44793-2	ArrayExpress	P-GSE44793-3	ArrayExpress	P-GSE44793-4	ArrayExpress	GSM1091821 extract 1	total RNA	P-GSE44793-5	ArrayExpress	GSM1091821 LE 1	biotin	P-GSE44793-6	ArrayExpress	GSM1091821	A-AFFY-2	ArrayExpress	array assay	P-GSE44793-7	ArrayExpress	GSM1091821_INA_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44793/E-GEOD-44793.raw.1.zip	P-GSE44793-1	ArrayExpress	GSM1091821_sample_table.txt norm	GSM1091821_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44793/E-GEOD-44793.processed.1.zip	2, 6-dichloroisonicotinic acid
GSM1091820 1	whole organism	seedling	CK_rep3	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	P-GSE44793-2	ArrayExpress	P-GSE44793-3	ArrayExpress	P-GSE44793-4	ArrayExpress	GSM1091820 extract 1	total RNA	P-GSE44793-5	ArrayExpress	GSM1091820 LE 1	biotin	P-GSE44793-6	ArrayExpress	GSM1091820	A-AFFY-2	ArrayExpress	array assay	P-GSE44793-7	ArrayExpress	GSM1091820_CK_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44793/E-GEOD-44793.raw.1.zip	P-GSE44793-1	ArrayExpress	GSM1091820_sample_table.txt norm	GSM1091820_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44793/E-GEOD-44793.processed.1.zip	none
GSM1091819 1	whole organism	seedling	CK_rep2	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	P-GSE44793-2	ArrayExpress	P-GSE44793-3	ArrayExpress	P-GSE44793-4	ArrayExpress	GSM1091819 extract 1	total RNA	P-GSE44793-5	ArrayExpress	GSM1091819 LE 1	biotin	P-GSE44793-6	ArrayExpress	GSM1091819	A-AFFY-2	ArrayExpress	array assay	P-GSE44793-7	ArrayExpress	GSM1091819_CK_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44793/E-GEOD-44793.raw.1.zip	P-GSE44793-1	ArrayExpress	GSM1091819_sample_table.txt norm	GSM1091819_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44793/E-GEOD-44793.processed.1.zip	none
GSM1091818 1	whole organism	seedling	CK_rep1	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	P-GSE44793-2	ArrayExpress	P-GSE44793-3	ArrayExpress	P-GSE44793-4	ArrayExpress	GSM1091818 extract 1	total RNA	P-GSE44793-5	ArrayExpress	GSM1091818 LE 1	biotin	P-GSE44793-6	ArrayExpress	GSM1091818	A-AFFY-2	ArrayExpress	array assay	P-GSE44793-7	ArrayExpress	GSM1091818_CK_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44793/E-GEOD-44793.raw.1.zip	P-GSE44793-1	ArrayExpress	GSM1091818_sample_table.txt norm	GSM1091818_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44793/E-GEOD-44793.processed.1.zip	none
