Source Name	Characteristics [Age]	Unit[time unit]	Characteristics [specimen with known storage state]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Material Type	Protocol REF	Term Source REF	Assay Name	Technology Type	Array Design REF	Protocol REF	Term Source REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[compound]
col 0G_IAA_1	6	day	fresh specimen	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	P-MTAB-1049	P-MTAB-1048	P-MTAB-1050	4	total RNA	P-AFFY-2	ArrayExpress	LabeledExtract4	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Hybridization4	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	0IAA_1.CEL	0IAA_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1703/E-MEXP-1703.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	E-MEXP-1703-processed-data-1647315368.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1703/E-MEXP-1703.processed.1.zip	1 micromolar indole-3-acetic acid
col 0G_IAA_3	6	day	fresh specimen	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	P-MTAB-1049	P-MTAB-1048	P-MTAB-1050	6	total RNA	P-AFFY-2	ArrayExpress	LabeledExtract6	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Hybridization6	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	0IAA3.CEL	0IAA3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1703/E-MEXP-1703.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	E-MEXP-1703-processed-data-1647315368.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1703/E-MEXP-1703.processed.1.zip	1 micromolar indole-3-acetic acid
col 0G_IAA_2	6	day	fresh specimen	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	P-MTAB-1049	P-MTAB-1048	P-MTAB-1050	5	total RNA	P-AFFY-2	ArrayExpress	LabeledExtract5	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Hybridization5	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	0IAA_2.CEL	0IAA_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1703/E-MEXP-1703.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	E-MEXP-1703-processed-data-1647315368.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1703/E-MEXP-1703.processed.1.zip	1 micromolar indole-3-acetic acid
col 3G_2	6	day	fresh specimen	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	P-MTAB-1049	P-MTAB-1048	P-MTAB-1050	8	total RNA	P-AFFY-2	ArrayExpress	LabeledExtract8	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Hybridization8	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	3_2.CEL	3_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1703/E-MEXP-1703.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	E-MEXP-1703-processed-data-1647315368.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1703/E-MEXP-1703.processed.1.zip	3 percent glucose
col 3G_3	6	day	fresh specimen	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	P-MTAB-1049	P-MTAB-1048	P-MTAB-1050	9	total RNA	P-AFFY-2	ArrayExpress	LabeledExtract9	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Hybridization9	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	3_3.CEL	3_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1703/E-MEXP-1703.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	E-MEXP-1703-processed-data-1647315368.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1703/E-MEXP-1703.processed.1.zip	3 percent glucose
col 3G_1	6	day	fresh specimen	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	P-MTAB-1049	P-MTAB-1048	P-MTAB-1050	7	total RNA	P-AFFY-2	ArrayExpress	LabeledExtract7	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Hybridization7	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	3_1.CEL	3_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1703/E-MEXP-1703.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	E-MEXP-1703-processed-data-1647315368.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1703/E-MEXP-1703.processed.1.zip	3 percent glucose
col 3G_IAA_1	6	day	fresh specimen	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	P-MTAB-1049	P-MTAB-1048	P-MTAB-1050	10	total RNA	P-AFFY-2	ArrayExpress	LabeledExtract10	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Hybridization10	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	3IAA_1.CEL	3IAA_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1703/E-MEXP-1703.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	E-MEXP-1703-processed-data-1647315368.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1703/E-MEXP-1703.processed.1.zip	3 percent glucose and 1 micromolar indole-3-acetic acid
col 3G_IAA_3	6	day	fresh specimen	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	P-MTAB-1049	P-MTAB-1048	P-MTAB-1050	12	total RNA	P-AFFY-2	ArrayExpress	LabeledExtract12	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Hybridization12	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	3IAA_3.CEL	3IAA_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1703/E-MEXP-1703.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	E-MEXP-1703-processed-data-1647315368.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1703/E-MEXP-1703.processed.1.zip	3 percent glucose and 1 micromolar indole-3-acetic acid
col 3G_IAA_2	6	day	fresh specimen	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	P-MTAB-1049	P-MTAB-1048	P-MTAB-1050	11	total RNA	P-AFFY-2	ArrayExpress	LabeledExtract11	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Hybridization11	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	3IAA_2.CEL	3IAA_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1703/E-MEXP-1703.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	E-MEXP-1703-processed-data-1647315368.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1703/E-MEXP-1703.processed.1.zip	3 percent glucose and 1 micromolar indole-3-acetic acid
col 0G_1	6	day	fresh specimen	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	P-MTAB-1049	P-MTAB-1048	P-MTAB-1050	1	total RNA	P-AFFY-2	ArrayExpress	LabeledExtract1	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Hybridization1	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	0_1.CEL	0_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1703/E-MEXP-1703.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	E-MEXP-1703-processed-data-1647315368.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1703/E-MEXP-1703.processed.1.zip	none
