Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [organism part]	Characteristics [cell type]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [treatment]
GSM824807 1	ABI3-GR_12	Root/protoplasts, +DEX +CHX	+DEX +CHX, rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	protoplast	P-GSE33344-2	ArrayExpress	P-GSE33344-3	ArrayExpress	P-GSE33344-4	ArrayExpress	GSM824807 extract 1	total RNA	P-GSE33344-5	ArrayExpress	GSM824807 LE 1	Biotin	P-GSE33344-6	ArrayExpress	GSM824807	A-AFFY-2	ArrayExpress	array assay	P-GSE33344-7	ArrayExpress	P-GSE33344-8	ArrayExpress	GSM824807.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33344/E-GEOD-33344.raw.1.zip	P-GSE33344-1	ArrayExpress	GSM824807_sample_table.txt norm	GSM824807_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33344/E-GEOD-33344.processed.1.zip	dexamethasone and cycloheximide
GSM824806 1	ABI3-GR_11	Root/protoplasts, +DEX +CHX	+DEX +CHX, rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	protoplast	P-GSE33344-2	ArrayExpress	P-GSE33344-3	ArrayExpress	P-GSE33344-4	ArrayExpress	GSM824806 extract 1	total RNA	P-GSE33344-5	ArrayExpress	GSM824806 LE 1	Biotin	P-GSE33344-6	ArrayExpress	GSM824806	A-AFFY-2	ArrayExpress	array assay	P-GSE33344-7	ArrayExpress	P-GSE33344-8	ArrayExpress	GSM824806.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33344/E-GEOD-33344.raw.1.zip	P-GSE33344-1	ArrayExpress	GSM824806_sample_table.txt norm	GSM824806_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33344/E-GEOD-33344.processed.1.zip	dexamethasone and cycloheximide
GSM824805 1	ABI3-GR_10	Root/protoplasts, +DEX +CHX	+DEX +CHX, rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	protoplast	P-GSE33344-2	ArrayExpress	P-GSE33344-3	ArrayExpress	P-GSE33344-4	ArrayExpress	GSM824805 extract 1	total RNA	P-GSE33344-5	ArrayExpress	GSM824805 LE 1	Biotin	P-GSE33344-6	ArrayExpress	GSM824805	A-AFFY-2	ArrayExpress	array assay	P-GSE33344-7	ArrayExpress	P-GSE33344-8	ArrayExpress	GSM824805.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33344/E-GEOD-33344.raw.1.zip	P-GSE33344-1	ArrayExpress	GSM824805_sample_table.txt norm	GSM824805_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33344/E-GEOD-33344.processed.1.zip	dexamethasone and cycloheximide
GSM824804 1	ABI3-GR_9	Root/protoplasts, -DEX +CHX	-DEX +CHX, rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	protoplast	P-GSE33344-2	ArrayExpress	P-GSE33344-3	ArrayExpress	P-GSE33344-4	ArrayExpress	GSM824804 extract 1	total RNA	P-GSE33344-5	ArrayExpress	GSM824804 LE 1	Biotin	P-GSE33344-6	ArrayExpress	GSM824804	A-AFFY-2	ArrayExpress	array assay	P-GSE33344-7	ArrayExpress	P-GSE33344-8	ArrayExpress	GSM824804.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33344/E-GEOD-33344.raw.1.zip	P-GSE33344-1	ArrayExpress	GSM824804_sample_table.txt norm	GSM824804_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33344/E-GEOD-33344.processed.1.zip	cycloheximide
GSM824803 1	ABI3-GR_8	Root/protoplasts, -DEX +CHX	-DEX +CHX, rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	protoplast	P-GSE33344-2	ArrayExpress	P-GSE33344-3	ArrayExpress	P-GSE33344-4	ArrayExpress	GSM824803 extract 1	total RNA	P-GSE33344-5	ArrayExpress	GSM824803 LE 1	Biotin	P-GSE33344-6	ArrayExpress	GSM824803	A-AFFY-2	ArrayExpress	array assay	P-GSE33344-7	ArrayExpress	P-GSE33344-8	ArrayExpress	GSM824803.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33344/E-GEOD-33344.raw.1.zip	P-GSE33344-1	ArrayExpress	GSM824803_sample_table.txt norm	GSM824803_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33344/E-GEOD-33344.processed.1.zip	cycloheximide
GSM824802 1	ABI3-GR_7	Root/protoplasts, -DEX +CHX	-DEX +CHX, rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	protoplast	P-GSE33344-2	ArrayExpress	P-GSE33344-3	ArrayExpress	P-GSE33344-4	ArrayExpress	GSM824802 extract 1	total RNA	P-GSE33344-5	ArrayExpress	GSM824802 LE 1	Biotin	P-GSE33344-6	ArrayExpress	GSM824802	A-AFFY-2	ArrayExpress	array assay	P-GSE33344-7	ArrayExpress	P-GSE33344-8	ArrayExpress	GSM824802.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33344/E-GEOD-33344.raw.1.zip	P-GSE33344-1	ArrayExpress	GSM824802_sample_table.txt norm	GSM824802_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33344/E-GEOD-33344.processed.1.zip	cycloheximide
GSM824801 1	ABI3-GR_6	Root/protoplasts, +DEX -CHX	+DEX -CHX, rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	protoplast	P-GSE33344-2	ArrayExpress	P-GSE33344-3	ArrayExpress	P-GSE33344-4	ArrayExpress	GSM824801 extract 1	total RNA	P-GSE33344-5	ArrayExpress	GSM824801 LE 1	Biotin	P-GSE33344-6	ArrayExpress	GSM824801	A-AFFY-2	ArrayExpress	array assay	P-GSE33344-7	ArrayExpress	P-GSE33344-8	ArrayExpress	GSM824801.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33344/E-GEOD-33344.raw.1.zip	P-GSE33344-1	ArrayExpress	GSM824801_sample_table.txt norm	GSM824801_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33344/E-GEOD-33344.processed.1.zip	dexamethasone
GSM824800 1	ABI3-GR_5	Root/protoplasts, +DEX -CHX	+DEX -CHX, rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	protoplast	P-GSE33344-2	ArrayExpress	P-GSE33344-3	ArrayExpress	P-GSE33344-4	ArrayExpress	GSM824800 extract 1	total RNA	P-GSE33344-5	ArrayExpress	GSM824800 LE 1	Biotin	P-GSE33344-6	ArrayExpress	GSM824800	A-AFFY-2	ArrayExpress	array assay	P-GSE33344-7	ArrayExpress	P-GSE33344-8	ArrayExpress	GSM824800.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33344/E-GEOD-33344.raw.1.zip	P-GSE33344-1	ArrayExpress	GSM824800_sample_table.txt norm	GSM824800_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33344/E-GEOD-33344.processed.1.zip	dexamethasone
GSM824799 1	ABI3-GR_4	Root/protoplasts, +DEX -CHX	+DEX -CHX, rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	protoplast	P-GSE33344-2	ArrayExpress	P-GSE33344-3	ArrayExpress	P-GSE33344-4	ArrayExpress	GSM824799 extract 1	total RNA	P-GSE33344-5	ArrayExpress	GSM824799 LE 1	Biotin	P-GSE33344-6	ArrayExpress	GSM824799	A-AFFY-2	ArrayExpress	array assay	P-GSE33344-7	ArrayExpress	P-GSE33344-8	ArrayExpress	GSM824799.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33344/E-GEOD-33344.raw.1.zip	P-GSE33344-1	ArrayExpress	GSM824799_sample_table.txt norm	GSM824799_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33344/E-GEOD-33344.processed.1.zip	dexamethasone
GSM824798 1	ABI3-GR_3	Root/protoplasts, -DEX -CHX	-DEX -CHX, rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	root	protoplast	P-GSE33344-2	ArrayExpress	P-GSE33344-3	ArrayExpress	P-GSE33344-4	ArrayExpress	GSM824798 extract 1	total RNA	P-GSE33344-5	ArrayExpress	GSM824798 LE 1	Biotin	P-GSE33344-6	ArrayExpress	GSM824798	A-AFFY-2	ArrayExpress	array assay	P-GSE33344-7	ArrayExpress	P-GSE33344-8	ArrayExpress	GSM824798.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33344/E-GEOD-33344.raw.1.zip	P-GSE33344-1	ArrayExpress	GSM824798_sample_table.txt norm	GSM824798_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33344/E-GEOD-33344.processed.1.zip	control
