Source Name	Characteristics [GeneticModification]	Characteristics [Individual]	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics [Genotype]	Characteristics [BioSourceType]	Characteristics [Organism]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Sample Name	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Extract Name	Material Type	Protocol REF	Parameter Value [Label used]	Parameter Value [Amplification]	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [compound1]	Term Source REF	Term Accession Number	Factor Value [dose1]	Unit [ConcentrationUnit]	FactorValue[compound2]	Term Source REF	Term Accession Number	Factor Value [dose2]	Unit [ConcentrationUnit]	Factor Value [genotype]	Factor Value [individual]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]
LEC2_GR25_4	gene_knock_in	GR25	leaf	EFO	EFO_0000993	Wassilewskija	seedling	EFO	EFO_0001992	GR::LEC2	frozen_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-29400	P-MEXP-29399	LEC2_GR25_4	P-MEXP-29406	total RNA	none	E_LEC2_GR25_4	total_RNA	P-MEXP-29461	biotin	none	L_LEC2_GR25_4	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	LEC2_GR25_4_dexcyclo	A-AFFY-2	P-AFFY-6	cycloheximide	  	  	4	molar	dexamethasone	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:41879	4	molar	GR::LEC2	GR25	LEC2_GR25_4_dexcyclo	12_lec2_dexcyclo.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-807/E-MEXP-807.raw.1.zip
TT2_GR_3	gene_knock_in	GR	leaf	EFO	EFO_0000993	Wassilewskija	seedling	EFO	EFO_0001992	GR::tt2	frozen_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-29400	P-MEXP-29399	TT2_GR_3	P-MEXP-29406	total RNA	none	E_TT2_GR_3	total_RNA	P-MEXP-29461	biotin	none	L_TT2_GR_3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	TT2_GR_3_cyclo	A-AFFY-2	P-AFFY-6	cycloheximide	  	  	4	molar	none	  	  	  	  	GR::tt2	GR	TT2_GR_3_cyclo	    	  
TT2_GR_2	gene_knock_in	GR	leaf	EFO	EFO_0000993	Wassilewskija	seedling	EFO	EFO_0001992	GR::tt2	frozen_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-29400	P-MEXP-29399	TT2_GR_2	P-MEXP-29406	total RNA	none	E_TT2_GR_2	total_RNA	P-MEXP-29461	biotin	none	L_TT2_GR_2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	TT2_GR_2_dex	A-AFFY-2	P-AFFY-6	none	  	  	  	  	dexamethasone	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:41879	4	molar	GR::tt2	  	TT2_GR_2_dex	    	  
wild_type_2	  	  	leaf	EFO	EFO_0000993	Wassilewskija	seedling	EFO	EFO_0001992	wild type	frozen_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-29400	P-MEXP-29399	wild_type_2	P-MEXP-29406	total RNA	none	E_wild_type_2	total_RNA	P-MEXP-29461	biotin	none	L_wild_type_2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	wild_type_2_dex	A-AFFY-2	P-AFFY-6	none	  	  	  	  	dexamethasone	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:41879	4	molar	wild type	  	wild_type_2_dex	    	  
LEC2_GR31_4	gene_knock_in	GR31	leaf	EFO	EFO_0000993	Wassilewskija	seedling	EFO	EFO_0001992	GR::LEC2	frozen_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-29400	P-MEXP-29399	LEC2_GR31_4	P-MEXP-29406	total RNA	none	E_LEC2_GR31_4	total_RNA	P-MEXP-29461	biotin	none	L_LEC2_GR31_4	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	LEC2_GR31_4_dexcyclo	A-AFFY-2	P-AFFY-6	cycloheximide	  	  	4	molar	dexamethasone	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:41879	4	molar	GR::LEC2	GR31	LEC2_GR31_4_dexcyclo	16_lec2_31_dexcyclo.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-807/E-MEXP-807.raw.1.zip
wild_type_1	  	  	leaf	EFO	EFO_0000993	Wassilewskija	seedling	EFO	EFO_0001992	wild type	frozen_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-29400	P-MEXP-29399	wild_type_1	P-MEXP-29406	total RNA	none	E_wild_type_1	total_RNA	P-MEXP-29461	biotin	none	L_wild_type_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_wild_type_1	A-AFFY-2	P-AFFY-6	water	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:15377	  	  	water	  	  	  	  	wild type	  	H_wild_type_1	    	  
LEC2_GR31_3	gene_knock_in	GR31	leaf	EFO	EFO_0000993	Wassilewskija	seedling	EFO	EFO_0001992	GR::LEC2	frozen_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-29400	P-MEXP-29399	LEC2_GR31_3	P-MEXP-29406	total RNA	none	E_LEC2_GR31_3	total_RNA	P-MEXP-29461	biotin	none	L_LEC2_GR31_3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	LEC2_GR31_3_cyclo	A-AFFY-2	P-AFFY-6	cycloheximide	  	  	  	  	none	  	  	  	  	GR::LEC2	GR31	LEC2_GR31_3_cyclo	    	  
TT2_GR_1	gene_knock_in	GR	leaf	EFO	EFO_0000993	Wassilewskija	seedling	EFO	EFO_0001992	GR::tt2	frozen_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-29400	P-MEXP-29399	TT2_GR_1	P-MEXP-29406	total RNA	none	E_TT2_GR_1	total_RNA	P-MEXP-29461	biotin	none	L_TT2_GR_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	TT2_GR_1_eau	A-AFFY-2	P-AFFY-6	water	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:15377	  	  	water	  	  	  	  	GR::tt2	GR	TT2_GR_1_eau	    	  
LEC2_GR31_1	gene_knock_in	GR31	leaf	EFO	EFO_0000993	Wassilewskija	seedling	EFO	EFO_0001992	GR::LEC2	frozen_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-29400	P-MEXP-29399	LEC2_GR31_1	P-MEXP-29406	total RNA	none	E_LEC2_GR31_1	total_RNA	P-MEXP-29461	biotin	none	L_LEC2_GR31_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	LEC2_GR31_1_eau	A-AFFY-2	P-AFFY-6	water	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:15377	  	  	water	  	  	  	  	GR::LEC2	GR31	LEC2_GR31_1_eau	    	  
TT2_GR_4	gene_knock_in	GR	leaf	EFO	EFO_0000993	Wassilewskija	seedling	EFO	EFO_0001992	GR::tt2	frozen_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-29400	P-MEXP-29399	TT2_GR_4	P-MEXP-29406	total RNA	none	E_TT2_GR_4	total_RNA	P-MEXP-29461	biotin	none	L_TT2_GR_4	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	TT2_GR_4_dexcyclo	A-AFFY-2	P-AFFY-6	cycloheximide	  	  	4	molar	dexamethasone	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:41879	4	molar	GR::tt2	GR	TT2_GR_4_dexcyclo	8_ttg_dexcyclo.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-807/E-MEXP-807.raw.1.zip
