Source Name	Characteristics [Age]	Unit [TimeUnit]	Characteristics [Ecotype]	Characteristics [DevelopmentalStage]	Characteristics [BioSourceType]	Characteristics [Genotype]	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [compound]	Term Source REF	Term Accession Number	Factor Value [dose]	Unit [ConcentrationUnit]	Factor Value [genotype]	Factor Value [time]	Unit [TimeUnit]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]
brassinolide-treated brx seedlings	4	day	Sav-0	1.0 Boyes key	fresh_sample	brx	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	P-MEXP-21978	P-MEXP-21968	brassinolide-treated brx seedlings	P-MEXP-21985	BL-treated brx seedlings replicate2	total_RNA	P-MEXP-22034	L_treatedbrxseedlingsreplicate2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_BL-treated brx seedlings 2	A-AFFY-2	P-AFFY-6	brassinolide	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:28277	5	nanomolar	brx	3	hour	H_BL-treated brx seedlings 2	B3bl.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-637/E-MEXP-637.raw.1.zip
untreated brx seedlings	4	day	Sav-0	1.0 Boyes key	fresh_sample	brx	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	P-MEXP-21978	P-MEXP-21968	untreated brx seedlings	P-MEXP-21985	untreatedbrxseedlingsreplicate2	total_RNA	P-MEXP-22034	L_untreatedbrxseedlingsreplicate2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_untreated brx seedlings 2	A-AFFY-2	P-AFFY-6	none	  	  	  	  	brx	  	  	H_untreated brx seedlings 2	B4c.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-637/E-MEXP-637.raw.1.zip
auxin-treated brx seedling	4	day	Sav-0	1.0 Boyes key	fresh_sample	brx	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	P-MEXP-21978	P-MEXP-21968	auxin-treated brx seedling	P-MEXP-21985	auxin-treated brx seedling replicate1	total_RNA	P-MEXP-22034	L_auxin-treated brx seedling 1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_auxin-treated brx seedling 1	A-AFFY-2	P-AFFY-6	indole-3-acetic acid	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	1000	nanomolar	brx	1	hour	H_auxin-treated brx seedling 1	B1a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-637/E-MEXP-637.raw.1.zip
untreated brx seedlings	4	day	Sav-0	1.0 Boyes key	fresh_sample	brx	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	P-MEXP-21978	P-MEXP-21968	untreated brx seedlings	P-MEXP-21985	untreatedbrxseedlingsreplicate1	total_RNA	P-MEXP-22034	L_untreatedbrxseedlingsreplicate1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_untreated brx seedlings 1	A-AFFY-2	P-AFFY-6	none	  	  	  	  	brx	  	  	H_untreated brx seedlings 1	B3c.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-637/E-MEXP-637.raw.1.zip
brassinolide-treated brx seedlings	4	day	Sav-0	1.0 Boyes key	fresh_sample	brx	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	introgression of BRX loss-of-function allele into Sav-0	P-MEXP-21978	P-MEXP-21968	brassinolide-treated brx seedlings	P-MEXP-21985	BL-treated brx seedlings replicate1	total_RNA	P-MEXP-22034	L_treatedbrxseedlingsreplicate1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_BL-treated brx seedlings 1	A-AFFY-2	P-AFFY-6	brassinolide	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:28277	5	nanomolar	brx	3	hour	H_BL-treated brx seedlings 1	B2bl.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-637/E-MEXP-637.raw.1.zip
auxin-treated brx seedling	4	day	Sav-0	1.0 Boyes key	fresh_sample	brx	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	introgression of BRX loss-of-function allele into Sav-0	P-MEXP-21978	P-MEXP-21968	auxin-treated brx seedling	P-MEXP-21985	auxin-treated brx seedling replicate2	total_RNA	P-MEXP-22034	L_auxin-treated brx seedling 2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_auxin-treated brx seedling 2	A-AFFY-2	P-AFFY-6	indole-3-acetic acid	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	1000	nanomolar	brx	1	hour	H_auxin-treated brx seedling 2	B2a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-637/E-MEXP-637.raw.1.zip
brassinolide-treated Sav-0 seedlings	4	day	Sav-0	1.0 Boyes key	fresh_sample	wild type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	P-MEXP-21978	P-MEXP-21968	brassinolide-treated Sav-0 seedlings	P-MEXP-21985	BL-treated Sav-0 seedlings replicate1	total_RNA	P-MEXP-22034	L_treatedSav-0seedlingsreplicate1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_BL-treated Sav-0 seedlings1	A-AFFY-2	P-AFFY-6	brassinolide	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:28277	5	nanomolar	wild type	3	hour	H_BL-treated Sav-0 seedlings1	S1bl.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-637/E-MEXP-637.raw.1.zip
auxin-treated Sav-0 seedling	4	day	Sav-0	1.0 Boyes key	fresh_sample	wild type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	P-MEXP-21978	P-MEXP-21968	auxin-treated Sav-0 seedling	P-MEXP-21985	auxin-treated Sav-0 seedling replicate2	total_RNA	P-MEXP-22034	L_auxin-treated Sav-0 seedling 2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_auxin-treated Sav-0 seedling 2	A-AFFY-2	P-AFFY-6	indole-3-acetic acid	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	1000	nanomolar	wild type	1	hour	H_auxin-treated Sav-0 seedling 2	S2a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-637/E-MEXP-637.raw.1.zip
auxin-treated Sav-0 seedling	4	day	Sav-0	1.0 Boyes key	fresh_sample	wild type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	P-MEXP-21978	P-MEXP-21968	auxin-treated Sav-0 seedling	P-MEXP-21985	auxin-treated Sav-0 seedling replicate1	total_RNA	P-MEXP-22034	L_auxin-treated Sav-0 seedling1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_auxin-treated Sav-0 seedling1	A-AFFY-2	P-AFFY-6	indole-3-acetic acid	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	1000	nanomolar	wild type	1	hour	H_auxin-treated Sav-0 seedling1	S1a.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-637/E-MEXP-637.raw.1.zip
brassinolide-treated Sav-0 seedlings	4	day	Sav-0	1.0 Boyes key	fresh_sample	wild type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	P-MEXP-21978	P-MEXP-21968	brassinolide-treated Sav-0 seedlings	P-MEXP-21985	BL-treated Sav-0 seedlings replicate2	total_RNA	P-MEXP-22034	L_treatedSav-0seedlingsreplicate2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_BL-treated Sav-0 seedlings2	A-AFFY-2	P-AFFY-6	brassinolide	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:28277	5	nanomolar	wild type	3	hour	H_BL-treated Sav-0 seedlings2	S2bl.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-637/E-MEXP-637.raw.1.zip
