Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[age]	Unit[time unit]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[organism part]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [compound]	FactorValue[dose]	Unit[concentration unit]
GSM844536 1	LOB-GR_Dex-3	Arabidopsis seedlings, 9-d-o, 35S:LOB-GR, DEX	35S:LOB-GR, dexamethasone treated, biological rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	9	day 	Col-0	inducible 35S:LOB-GR line	seedling	EFO	EFO_0001992	P-GSE34209-2	P-GSE34209-3	P-GSE34209-4	GSM844536 extract 1	total RNA	P-GSE34209-5	GSM844536 LE 1	biotin	P-GSE34209-6	GSM844536	A-AFFY-2	P-GSE34209-7	P-GSE34209-8	GSM844536.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34209/E-GEOD-34209.raw.1.zip	P-GSE34209-1	GSM844536_sample_table.txt norm	GSM844536_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34209/E-GEOD-34209.processed.1.zip	inducible 35S:LOB-GR line	dexamethasone	5	micromolar
GSM844535 1	LOB-GR_Dex-2	Arabidopsis seedlings, 9-d-o, 35S:LOB-GR, DEX	35S:LOB-GR, dexamethasone treated, biological rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	9	day 	Col-0	inducible 35S:LOB-GR line	seedling	EFO	EFO_0001992	P-GSE34209-2	P-GSE34209-3	P-GSE34209-4	GSM844535 extract 1	total RNA	P-GSE34209-5	GSM844535 LE 1	biotin	P-GSE34209-6	GSM844535	A-AFFY-2	P-GSE34209-7	P-GSE34209-8	GSM844535.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34209/E-GEOD-34209.raw.1.zip	P-GSE34209-1	GSM844535_sample_table.txt norm	GSM844535_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34209/E-GEOD-34209.processed.1.zip	inducible 35S:LOB-GR line	dexamethasone	5	micromolar
GSM844534 1	LOB-GR_Dex-1	Arabidopsis seedlings, 9-d-o, 35S:LOB-GR, DEX	35S:LOB-GR, dexamethasone treated, biological rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	9	day 	Col-0	inducible 35S:LOB-GR line	seedling	EFO	EFO_0001992	P-GSE34209-2	P-GSE34209-3	P-GSE34209-4	GSM844534 extract 1	total RNA	P-GSE34209-5	GSM844534 LE 1	biotin	P-GSE34209-6	GSM844534	A-AFFY-2	P-GSE34209-7	P-GSE34209-8	GSM844534.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34209/E-GEOD-34209.raw.1.zip	P-GSE34209-1	GSM844534_sample_table.txt norm	GSM844534_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34209/E-GEOD-34209.processed.1.zip	inducible 35S:LOB-GR line	dexamethasone	5	micromolar
GSM844533 1	LOB-GR_M-3	Arabidopsis seedlings, 9-d-o, 35S:LOB-GR, mock	35S:LOB-GR, mock treated, biological rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	9	day 	Col-0	inducible 35S:LOB-GR line	seedling	EFO	EFO_0001992	P-GSE34209-2	P-GSE34209-3	P-GSE34209-4	GSM844533 extract 1	total RNA	P-GSE34209-5	GSM844533 LE 1	biotin	P-GSE34209-6	GSM844533	A-AFFY-2	P-GSE34209-7	P-GSE34209-8	GSM844533.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34209/E-GEOD-34209.raw.1.zip	P-GSE34209-1	GSM844533_sample_table.txt norm	GSM844533_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34209/E-GEOD-34209.processed.1.zip	inducible 35S:LOB-GR line	none	  	        
GSM844532 1	LOB-GR_M-2	Arabidopsis seedlings, 9-d-o, 35S:LOB-GR, mock	35S:LOB-GR, mock treated, biological rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	9	day 	Col-0	inducible 35S:LOB-GR line	seedling	EFO	EFO_0001992	P-GSE34209-2	P-GSE34209-3	P-GSE34209-4	GSM844532 extract 1	total RNA	P-GSE34209-5	GSM844532 LE 1	biotin	P-GSE34209-6	GSM844532	A-AFFY-2	P-GSE34209-7	P-GSE34209-8	GSM844532.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34209/E-GEOD-34209.raw.1.zip	P-GSE34209-1	GSM844532_sample_table.txt norm	GSM844532_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34209/E-GEOD-34209.processed.1.zip	inducible 35S:LOB-GR line	none	  	        
GSM844531 1	LOB-GR_M-1	Arabidopsis seedlings, 9-d-o, 35S:LOB-GR, mock	35S:LOB-GR, mock treated, biological rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	9	day 	Col-0	inducible 35S:LOB-GR line	seedling	EFO	EFO_0001992	P-GSE34209-2	P-GSE34209-3	P-GSE34209-4	GSM844531 extract 1	total RNA	P-GSE34209-5	GSM844531 LE 1	biotin	P-GSE34209-6	GSM844531	A-AFFY-2	P-GSE34209-7	P-GSE34209-8	GSM844531.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34209/E-GEOD-34209.raw.1.zip	P-GSE34209-1	GSM844531_sample_table.txt norm	GSM844531_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34209/E-GEOD-34209.processed.1.zip	inducible 35S:LOB-GR line	none	  	        
GSM844530 1	Col_Dex-3	Arabidopsis seedlings, 9-d-o, WT, DEX	Columbia, dexamethasone treated, biological rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	9	day 	Col-0	wild type	seedling	EFO	EFO_0001992	P-GSE34209-2	P-GSE34209-3	P-GSE34209-4	GSM844530 extract 1	total RNA	P-GSE34209-5	GSM844530 LE 1	biotin	P-GSE34209-6	GSM844530	A-AFFY-2	P-GSE34209-7	P-GSE34209-8	GSM844530.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34209/E-GEOD-34209.raw.1.zip	P-GSE34209-1	GSM844530_sample_table.txt norm	GSM844530_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34209/E-GEOD-34209.processed.1.zip	wild type	dexamethasone	5	micromolar
GSM844529 1	Col_Dex-2	Arabidopsis seedlings, 9-d-o, WT, DEX	Columbia, dexamethasone treated, biological rep 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	9	day 	Col-0	wild type	seedling	EFO	EFO_0001992	P-GSE34209-2	P-GSE34209-3	P-GSE34209-4	GSM844529 extract 1	total RNA	P-GSE34209-5	GSM844529 LE 1	biotin	P-GSE34209-6	GSM844529	A-AFFY-2	P-GSE34209-7	P-GSE34209-8	GSM844529.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34209/E-GEOD-34209.raw.1.zip	P-GSE34209-1	GSM844529_sample_table.txt norm	GSM844529_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34209/E-GEOD-34209.processed.1.zip	wild type	dexamethasone	5	micromolar
GSM844528 1	Col_Dex-1	Arabidopsis seedlings, 9-d-o, WT, DEX	Columbia, dexamethasone treated, biological rep 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	9	day 	Col-0	wild type	seedling	EFO	EFO_0001992	P-GSE34209-2	P-GSE34209-3	P-GSE34209-4	GSM844528 extract 1	total RNA	P-GSE34209-5	GSM844528 LE 1	biotin	P-GSE34209-6	GSM844528	A-AFFY-2	P-GSE34209-7	P-GSE34209-8	GSM844528.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34209/E-GEOD-34209.raw.1.zip	P-GSE34209-1	GSM844528_sample_table.txt norm	GSM844528_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34209/E-GEOD-34209.processed.1.zip	wild type	dexamethasone	5	micromolar
GSM844527 1	Col_M-3	Arabidopsis seedlings, 9-d-o, WT, mock	Columbia, mock treated, biological rep 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	9	day 	Col-0	wild type	seedling	EFO	EFO_0001992	P-GSE34209-2	P-GSE34209-3	P-GSE34209-4	GSM844527 extract 1	total RNA	P-GSE34209-5	GSM844527 LE 1	biotin	P-GSE34209-6	GSM844527	A-AFFY-2	P-GSE34209-7	P-GSE34209-8	GSM844527.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34209/E-GEOD-34209.raw.1.zip	P-GSE34209-1	GSM844527_sample_table.txt norm	GSM844527_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34209/E-GEOD-34209.processed.1.zip	wild type	none	  	        
