Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_source_name]	Comment [Sample_characteristics]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Scan Name	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE19109GSM473655	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type, untreated leaves, Gene expression data from 3-week-old wild type leaves., bot0715. ecotype: Columbia-0; genotype: wild type; tissue: leaf; age: three weeks; treatment: untreated	wild type, untreated leaves	ecotype: Columbia-0; genotype: wild type; tissue: leaf; age: three weeks; treatment: untreated	P-G19109-2	P-G19109-1	GSE19109GSM473655 sample	P-G19109-5	GSE19109GSM473655 extract	total_RNA	P-G19109-3	GSE19109GSM473655 LE biotin	biotin	synthetic_RNA	wild type, untreated, biological rep2	A-AFFY-2	wild type, untreated, biological rep2	P-G19109-4	E-GEOD-19109-processed-data-1833564644.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19109/E-GEOD-19109.processed.1.zip
GSE19109GSM473663	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	mutant, Pst-infiltrated leaves, 48h, Gene expression data from 3-week-old lth1 mutant leaves., bot0720. ecotype: Columbia-0; genotype: lht1 mutant; tissue: leaf; age: three weeks; treatment: Pseudomonas syringae pv. tomato DC3000 (Pst) infection; treatment time: 48hr	mutant, Pst-infiltrated leaves, 48h	ecotype: Columbia-0; genotype: lht1 mutant; tissue: leaf; age: three weeks; treatment: Pseudomonas syringae pv. tomato DC3000 (Pst) infection; treatment time: 48hr	P-G19109-2	P-G19109-1	GSE19109GSM473663 sample	P-G19109-5	GSE19109GSM473663 extract	total_RNA	P-G19109-3	GSE19109GSM473663 LE biotin	biotin	synthetic_RNA	mutant, Pst_48h, biological rep1	A-AFFY-2	mutant, Pst_48h, biological rep1	P-G19109-4	E-GEOD-19109-processed-data-1833564644.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19109/E-GEOD-19109.processed.1.zip
GSE19109GSM473658	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	mutant, untreated leaves, Gene expression data from 3-week-old lth1 mutant leaves., bot0717. ecotype: Columbia-0; genotype: lht1 mutant; tissue: leaf; age: three weeks; treatment: untreated	mutant, untreated leaves	ecotype: Columbia-0; genotype: lht1 mutant; tissue: leaf; age: three weeks; treatment: untreated	P-G19109-2	P-G19109-1	GSE19109GSM473658 sample	P-G19109-5	GSE19109GSM473658 extract	total_RNA	P-G19109-3	GSE19109GSM473658 LE biotin	biotin	synthetic_RNA	mutant, untreated, biological rep2	A-AFFY-2	mutant, untreated, biological rep2	P-G19109-4	E-GEOD-19109-processed-data-1833564644.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19109/E-GEOD-19109.processed.1.zip
GSE19109GSM473664	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	mutant, Pst-infiltrated leaves, 48h, Gene expression data from 3-week-old lth1 mutant leaves., bot0721. ecotype: Columbia-0; genotype: lht1 mutant; tissue: leaf; age: three weeks; treatment: Pseudomonas syringae pv. tomato DC3000 (Pst) infection; treatment time: 48hr	mutant, Pst-infiltrated leaves, 48h	ecotype: Columbia-0; genotype: lht1 mutant; tissue: leaf; age: three weeks; treatment: Pseudomonas syringae pv. tomato DC3000 (Pst) infection; treatment time: 48hr	P-G19109-2	P-G19109-1	GSE19109GSM473664 sample	P-G19109-5	GSE19109GSM473664 extract	total_RNA	P-G19109-3	GSE19109GSM473664 LE biotin	biotin	synthetic_RNA	mutant, Pst_48h, biological rep2	A-AFFY-2	mutant, Pst_48h, biological rep2	P-G19109-4	E-GEOD-19109-processed-data-1833564644.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19109/E-GEOD-19109.processed.1.zip
GSE19109GSM473662	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type, Pst-infiltrated leaves, 48h, Gene expression data from 3-week-old wild type leaves., bot0818. ecotype: Columbia-0; genotype: wild type; tissue: leaf; age: three weeks; treatment: Pseudomonas syringae pv. tomato DC3000 (Pst) infection; treatment time: 48hr	wild type, Pst-infiltrated leaves, 48h	ecotype: Columbia-0; genotype: wild type; tissue: leaf; age: three weeks; treatment: Pseudomonas syringae pv. tomato DC3000 (Pst) infection; treatment time: 48hr	P-G19109-2	P-G19109-1	GSE19109GSM473662 sample	P-G19109-5	GSE19109GSM473662 extract	total_RNA	P-G19109-3	GSE19109GSM473662 LE biotin	biotin	synthetic_RNA	wild type, Pst_48h, biological rep3	A-AFFY-2	wild type, Pst_48h, biological rep3	P-G19109-4	E-GEOD-19109-processed-data-1833564644.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19109/E-GEOD-19109.processed.1.zip
GSE19109GSM473657	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	mutant, untreated leaves, Gene expression data from 3-week-old lth1 mutant leaves., bot0716. ecotype: Columbia-0; genotype: lht1 mutant; tissue: leaf; age: three weeks; treatment: untreated	mutant, untreated leaves	ecotype: Columbia-0; genotype: lht1 mutant; tissue: leaf; age: three weeks; treatment: untreated	P-G19109-2	P-G19109-1	GSE19109GSM473657 sample	P-G19109-5	GSE19109GSM473657 extract	total_RNA	P-G19109-3	GSE19109GSM473657 LE biotin	biotin	synthetic_RNA	mutant, untreated, biological rep1	A-AFFY-2	mutant, untreated, biological rep1	P-G19109-4	E-GEOD-19109-processed-data-1833564644.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19109/E-GEOD-19109.processed.1.zip
GSE19109GSM473660	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type, Pst-infiltrated leaves, 48h, Gene expression data from 3-week-old wild type leaves., bot0718. ecotype: Columbia-0; genotype: wild type; tissue: leaf; age: three weeks; treatment: Pseudomonas syringae pv. tomato DC3000 (Pst) infection; treatment time: 48hr	wild type, Pst-infiltrated leaves, 48h	ecotype: Columbia-0; genotype: wild type; tissue: leaf; age: three weeks; treatment: Pseudomonas syringae pv. tomato DC3000 (Pst) infection; treatment time: 48hr	P-G19109-2	P-G19109-1	GSE19109GSM473660 sample	P-G19109-5	GSE19109GSM473660 extract	total_RNA	P-G19109-3	GSE19109GSM473660 LE biotin	biotin	synthetic_RNA	wild type, Pst_48h, biological rep1	A-AFFY-2	wild type, Pst_48h, biological rep1	P-G19109-4	E-GEOD-19109-processed-data-1833564644.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19109/E-GEOD-19109.processed.1.zip
GSE19109GSM473659	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	mutant, untreated leaves, Gene expression data from 3-week-old lth1 mutant leaves., bot0817. ecotype: Columbia-0; genotype: lht1 mutant; tissue: leaf; age: three weeks; treatment: untreated	mutant, untreated leaves	ecotype: Columbia-0; genotype: lht1 mutant; tissue: leaf; age: three weeks; treatment: untreated	P-G19109-2	P-G19109-1	GSE19109GSM473659 sample	P-G19109-5	GSE19109GSM473659 extract	total_RNA	P-G19109-3	GSE19109GSM473659 LE biotin	biotin	synthetic_RNA	mutant, untreated, biological rep3	A-AFFY-2	mutant, untreated, biological rep3	P-G19109-4	E-GEOD-19109-processed-data-1833564644.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19109/E-GEOD-19109.processed.1.zip
GSE19109GSM473665	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	mutant, Pst-infiltrated leaves, 48h, Gene expression data from 3-week-old lth1 mutant leaves., bot0819. ecotype: Columbia-0; genotype: lht1 mutant; tissue: leaf; age: three weeks; treatment: Pseudomonas syringae pv. tomato DC3000 (Pst) infection; treatment time: 48hr	mutant, Pst-infiltrated leaves, 48h	ecotype: Columbia-0; genotype: lht1 mutant; tissue: leaf; age: three weeks; treatment: Pseudomonas syringae pv. tomato DC3000 (Pst) infection; treatment time: 48hr	P-G19109-2	P-G19109-1	GSE19109GSM473665 sample	P-G19109-5	GSE19109GSM473665 extract	total_RNA	P-G19109-3	GSE19109GSM473665 LE biotin	biotin	synthetic_RNA	mutant, Pst_48h, biological rep3	A-AFFY-2	mutant, Pst_48h, biological rep3	P-G19109-4	E-GEOD-19109-processed-data-1833564644.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19109/E-GEOD-19109.processed.1.zip
GSE19109GSM473656	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type, untreated leaves, Gene expression data from 3-week-old wild type leaves., bot0816. ecotype: Columbia-0; genotype: wild type; tissue: leaf; age: three weeks; treatment: untreated	wild type, untreated leaves	ecotype: Columbia-0; genotype: wild type; tissue: leaf; age: three weeks; treatment: untreated	P-G19109-2	P-G19109-1	GSE19109GSM473656 sample	P-G19109-5	GSE19109GSM473656 extract	total_RNA	P-G19109-3	GSE19109GSM473656 LE biotin	biotin	synthetic_RNA	wild type, untreated, biological rep3	A-AFFY-2	wild type, untreated, biological rep3	P-G19109-4	E-GEOD-19109-processed-data-1833564644.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19109/E-GEOD-19109.processed.1.zip
