Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [ABRC seed stock id]	Characteristics [Ecotype]	Characteristics [Genotype]	Characteristics [DevelopmentalStage]	Provider	Protocol REF	Protocol REF	Parameter Value [day humidity]	Parameter Value [day temperature]	Unit [TemperatureUnit]	Parameter Value [night humidity]	Parameter Value [night temperature]	Parameter Value [light intensity]	Parameter Value [light hours]	Unit [TimeUnit]	Parameter Value [media]	Parameter Value [light source]	Sample Name	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Factor Value [stress treatment]	Term Source REF	Term Accession Number	Factor Value [genotype]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
Sail_303_D08 light and drought 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Sail_303_D08	Columbia-0	AT3G22370 - AOX1A	5 Boyes key	ABRC	P-CAGE-26587	P-CAGE-26586	55	22	degree_C	55	synthetic Oligo-nucleotide	100	16	h	540	530	Sail_303_D08 light and drought 1	P-CAGE-26588	total RNA	other[reverse transcriptase]	E_Sail_303_D08 light and drought 1	total_RNA	P-AFFY-2	L_Sail_303_D08 light and drought 1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Sail_303_D08 light and drought 1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	moderate light, water withheld	  	  	AT3G22370 - AOX1A	H_Sail_303_D08 light and drought 1	sail_MLD_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-32/E-ATMX-32.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	PivotData._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-32/E-ATMX-32.processed.1.zip
Col-0 light and drought 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS6673	Columbia-0	wild_type	5 Boyes key	ABRC	P-CAGE-26587	P-CAGE-26586	55	22	degree_C	55	synthetic Oligo-nucleotide	100	16	h	540	530	Col-0 light and drought 1	P-CAGE-26588	total RNA	other[reverse transcriptase]	E_Col-0 light and drought 1	total_RNA	P-AFFY-2	L_Col-0 light and drought 1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Col-0 light and drought 1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	moderate light, water withheld	  	  	wild_type	H_Col-0 light and drought 1	wt_MLD_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-32/E-ATMX-32.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	PivotData._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-32/E-ATMX-32.processed.1.zip
Col-0 light and drought 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS6673	Columbia-0	wild_type	5 Boyes key	ABRC	P-CAGE-26587	P-CAGE-26586	55	22	degree_C	55	synthetic Oligo-nucleotide	100	16	h	540	530	Col-0 light and drought 2	P-CAGE-26588	total RNA	other[reverse transcriptase]	E_Col-0 light and drought 2	total_RNA	P-AFFY-2	L_Col-0 light and drought 2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Col-0 light and drought 2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	moderate light, water withheld	  	  	wild_type	H_Col-0 light and drought 2	wt_MLD_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-32/E-ATMX-32.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	PivotData._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-32/E-ATMX-32.processed.1.zip
Sail_303_D08 normal 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Sail_303_D08	Columbia-0	AT3G22370 - AOX1A	5 Boyes key	ABRC	  	P-CAGE-26586	55	22	degree_C	55	synthetic Oligo-nucleotide	100	16	h	540	530	Sail_303_D08 normal 2	P-CAGE-26588	total RNA	other[reverse transcriptase]	E_Sail_303_D08 normal 2	total_RNA	P-AFFY-2	L_Sail_303_D08 normal 2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Sail_303_D08 normal 2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	normal	EFO	EFO_0000761	AT3G22370 - AOX1A	H_Sail_303_D08 normal 2	sail_normal_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-32/E-ATMX-32.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	PivotData._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-32/E-ATMX-32.processed.1.zip
Col-0 light and drought 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS6673	Columbia-0	wild_type	5 Boyes key	ABRC	P-CAGE-26587	P-CAGE-26586	55	22	degree_C	55	synthetic Oligo-nucleotide	100	16	h	540	530	Col-0 light and drought 3	P-CAGE-26588	total RNA	other[reverse transcriptase]	E_Col-0 light and drought 3	total_RNA	P-AFFY-2	L_Col-0 light and drought 3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Col-0 light and drought 3	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	moderate light, water withheld	  	  	wild_type	H_Col-0 light and drought 3	wt_MLD_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-32/E-ATMX-32.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	PivotData._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-32/E-ATMX-32.processed.1.zip
Sail_303_D08 normal 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Sail_303_D08	Columbia-0	AT3G22370 - AOX1A	5 Boyes key	ABRC	  	P-CAGE-26586	55	22	degree_C	55	synthetic Oligo-nucleotide	100	16	h	540	530	Sail_303_D08 normal 1	P-CAGE-26588	total RNA	other[reverse transcriptase]	E_Sail_303_D08 normal 1	total_RNA	P-AFFY-2	L_Sail_303_D08 normal 1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Sail_303_D08 normal 1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	normal	EFO	EFO_0000761	AT3G22370 - AOX1A	H_Sail_303_D08 normal 1	sail_normal_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-32/E-ATMX-32.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	PivotData._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-32/E-ATMX-32.processed.1.zip
Sail_303_D08 light and drought 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Sail_303_D08	Columbia-0	AT3G22370 - AOX1A	5 Boyes key	ABRC	P-CAGE-26587	P-CAGE-26586	55	22	degree_C	55	synthetic Oligo-nucleotide	100	16	h	540	530	Sail_303_D08 light and drought 2	P-CAGE-26588	total RNA	other[reverse transcriptase]	E_Sail_303_D08 light and drought 2	total_RNA	P-AFFY-2	L_Sail_303_D08 light and drought 2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Sail_303_D08 light and drought 2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	moderate light, water withheld	  	  	AT3G22370 - AOX1A	H_Sail_303_D08 light and drought 2	sail_MLD_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-32/E-ATMX-32.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	PivotData._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-32/E-ATMX-32.processed.1.zip
Salk_084897 normal 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Salk_084897	Columbia-0	AT3G22370 - AOX1A	5 Boyes key	ABRC	  	P-CAGE-26586	55	22	degree_C	55	synthetic Oligo-nucleotide	100	16	h	540	530	Salk_084897 normal 1	P-CAGE-26588	total RNA	other[reverse transcriptase]	E_Salk_084897 normal 1	total_RNA	P-AFFY-2	L_Salk_084897 normal 1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Salk_084897 normal 1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	normal	EFO	EFO_0000761	AT3G22370 - AOX1A	H_Salk_084897 normal 1	salk_normal_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-32/E-ATMX-32.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	PivotData._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-32/E-ATMX-32.processed.1.zip
Col-0 normal 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS6673	Columbia-0	wild_type	5 Boyes key	ABRC	  	P-CAGE-26586	55	22	degree_C	55	synthetic Oligo-nucleotide	100	16	h	540	530	Col-0 normal 1	P-CAGE-26588	total RNA	other[reverse transcriptase]	E_Col-0 normal 1	total_RNA	P-AFFY-2	L_Col-0 normal 1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Col-0 normal 1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	normal	EFO	EFO_0000761	wild_type	H_Col-0 normal 1	wt_normal_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-32/E-ATMX-32.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	PivotData._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-32/E-ATMX-32.processed.1.zip
Col-0 normal 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS6673	Columbia-0	wild_type	5 Boyes key	ABRC	  	P-CAGE-26586	55	22	degree_C	55	synthetic Oligo-nucleotide	100	16	h	540	530	Col-0 normal 2	P-CAGE-26588	total RNA	other[reverse transcriptase]	E_Col-0 normal 2	total_RNA	P-AFFY-2	L_Col-0 normal 2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Col-0 normal 2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	normal	EFO	EFO_0000761	wild_type	H_Col-0 normal 2	wt_normal_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-32/E-ATMX-32.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	PivotData._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-32/E-ATMX-32.processed.1.zip
