Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [temperature]	Unit [temperature unit]
GSM1071700 1	Arabidopsis mutant sid2-1 grown at 22???C in soil under a 12 h photoperiod for approx 23 d followed by 3 weeks at 4???C under a 12 h photoperiod	Arabidopsis mutant sid2-1 grown at 22???C followed by 3 weeks at 4???C	sid2-1 3 week cold, biological rep3	Col-0	EFO	EFO_0005148	mutant sid2-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43819-2	ArrayExpress	P-GSE43819-3	ArrayExpress	P-GSE43819-4	ArrayExpress	GSM1071700 extract 1	total RNA	P-GSE43819-5	ArrayExpress	GSM1071700 LE 1	biotin	P-GSE43819-6	ArrayExpress	GSM1071700	A-AFFY-2	ArrayExpress	array assay	P-GSE43819-7	ArrayExpress	GSM1071700_sid2_3wkcold_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43819/E-GEOD-43819.raw.1.zip	P-GSE43819-1	ArrayExpress	GSM1071700_sample_table.txt norm	GSM1071700_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43819/E-GEOD-43819.processed.1.zip	mutant sid2-1	4	degree celsius
GSM1071699 1	Arabidopsis mutant sid2-1 grown at 22???C in soil under a 12 h photoperiod for approx 23 d followed by 3 weeks at 4???C under a 12 h photoperiod	Arabidopsis mutant sid2-1 grown at 22???C followed by 3 weeks at 4???C	sid2-1 3 week cold, biological rep2	Col-0	EFO	EFO_0005148	mutant sid2-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43819-2	ArrayExpress	P-GSE43819-3	ArrayExpress	P-GSE43819-4	ArrayExpress	GSM1071699 extract 1	total RNA	P-GSE43819-5	ArrayExpress	GSM1071699 LE 1	biotin	P-GSE43819-6	ArrayExpress	GSM1071699	A-AFFY-2	ArrayExpress	array assay	P-GSE43819-7	ArrayExpress	GSM1071699_sid2_3wkcold_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43819/E-GEOD-43819.raw.1.zip	P-GSE43819-1	ArrayExpress	GSM1071699_sample_table.txt norm	GSM1071699_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43819/E-GEOD-43819.processed.1.zip	mutant sid2-1	4	degree celsius
GSM1071698 1	Arabidopsis mutant sid2-1 grown at 22???C in soil under a 12 h photoperiod for approx 23 d followed by 3 weeks at 4???C under a 12 h photoperiod	Arabidopsis mutant sid2-1 grown at 22???C followed by 3 weeks at 4???C	sid2-1 3 week cold, biological rep1	Col-0	EFO	EFO_0005148	mutant sid2-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43819-2	ArrayExpress	P-GSE43819-3	ArrayExpress	P-GSE43819-4	ArrayExpress	GSM1071698 extract 1	total RNA	P-GSE43819-5	ArrayExpress	GSM1071698 LE 1	biotin	P-GSE43819-6	ArrayExpress	GSM1071698	A-AFFY-2	ArrayExpress	array assay	P-GSE43819-7	ArrayExpress	GSM1071698_sid2_3wkcold_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43819/E-GEOD-43819.raw.1.zip	P-GSE43819-1	ArrayExpress	GSM1071698_sample_table.txt norm	GSM1071698_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43819/E-GEOD-43819.processed.1.zip	mutant sid2-1	4	degree celsius
GSM1071697 1	Arabidopsis WT Col-0 grown at 22???C in soil under a 12 h photoperiod for approx 23 d followed by 3 weeks at 4???C under a 12 h photoperiod	Arabidopsis Col-0 grown at 22???C followed by 3 weeks at 4???C	WT 3 week cold, biological rep3	Col-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43819-2	ArrayExpress	P-GSE43819-3	ArrayExpress	P-GSE43819-4	ArrayExpress	GSM1071697 extract 1	total RNA	P-GSE43819-5	ArrayExpress	GSM1071697 LE 1	biotin	P-GSE43819-6	ArrayExpress	GSM1071697	A-AFFY-2	ArrayExpress	array assay	P-GSE43819-7	ArrayExpress	GSM1071697_wt_3wkcold_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43819/E-GEOD-43819.raw.1.zip	P-GSE43819-1	ArrayExpress	GSM1071697_sample_table.txt norm	GSM1071697_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43819/E-GEOD-43819.processed.1.zip	wild type	4	degree celsius
GSM1071696 1	Arabidopsis WT Col-0 grown at 22???C in soil under a 12 h photoperiod for approx 23 d followed by 3 weeks at 4???C under a 12 h photoperiod	Arabidopsis Col-0 grown at 22???C followed by 3 weeks at 4???C	WT 3 week cold, biological rep2	Col-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43819-2	ArrayExpress	P-GSE43819-3	ArrayExpress	P-GSE43819-4	ArrayExpress	GSM1071696 extract 1	total RNA	P-GSE43819-5	ArrayExpress	GSM1071696 LE 1	biotin	P-GSE43819-6	ArrayExpress	GSM1071696	A-AFFY-2	ArrayExpress	array assay	P-GSE43819-7	ArrayExpress	GSM1071696_wt_3wkcold_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43819/E-GEOD-43819.raw.1.zip	P-GSE43819-1	ArrayExpress	GSM1071696_sample_table.txt norm	GSM1071696_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43819/E-GEOD-43819.processed.1.zip	wild type	4	degree celsius
GSM1071695 1	Arabidopsis WT Col-0 grown at 22???C in soil under a 12 h photoperiod for approx 23 d followed by 3 weeks at 4???C under a 12 h photoperiod	Arabidopsis Col-0 grown at 22???C followed by 3 weeks at 4???C	WT 3 week cold, biological rep1	Col-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43819-2	ArrayExpress	P-GSE43819-3	ArrayExpress	P-GSE43819-4	ArrayExpress	GSM1071695 extract 1	total RNA	P-GSE43819-5	ArrayExpress	GSM1071695 LE 1	biotin	P-GSE43819-6	ArrayExpress	GSM1071695	A-AFFY-2	ArrayExpress	array assay	P-GSE43819-7	ArrayExpress	GSM1071695_wt_3wkcold_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43819/E-GEOD-43819.raw.1.zip	P-GSE43819-1	ArrayExpress	GSM1071695_sample_table.txt norm	GSM1071695_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43819/E-GEOD-43819.processed.1.zip	wild type	4	degree celsius
GSM1071694 1	Arabidopsis mutant sid2-1 grown at 22???C in soil under a 12 h photoperiod for approx 23 d	Arabidopsis mutant sid2-1 grown at 22???C	sid2-1 warm, biological rep3	Col-0	EFO	EFO_0005148	mutant sid2-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43819-2	ArrayExpress	P-GSE43819-3	ArrayExpress	P-GSE43819-4	ArrayExpress	GSM1071694 extract 1	total RNA	P-GSE43819-5	ArrayExpress	GSM1071694 LE 1	biotin	P-GSE43819-6	ArrayExpress	GSM1071694	A-AFFY-2	ArrayExpress	array assay	P-GSE43819-7	ArrayExpress	GSM1071694_sid2_warm_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43819/E-GEOD-43819.raw.1.zip	P-GSE43819-1	ArrayExpress	GSM1071694_sample_table.txt norm	GSM1071694_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43819/E-GEOD-43819.processed.1.zip	mutant sid2-1	22	degree celsius
GSM1071693 1	Arabidopsis mutant sid2-1 grown at 22???C in soil under a 12 h photoperiod for approx 23 d	Arabidopsis mutant sid2-1 grown at 22???C	sid2-1 warm, biological rep2	Col-0	EFO	EFO_0005148	mutant sid2-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43819-2	ArrayExpress	P-GSE43819-3	ArrayExpress	P-GSE43819-4	ArrayExpress	GSM1071693 extract 1	total RNA	P-GSE43819-5	ArrayExpress	GSM1071693 LE 1	biotin	P-GSE43819-6	ArrayExpress	GSM1071693	A-AFFY-2	ArrayExpress	array assay	P-GSE43819-7	ArrayExpress	GSM1071693_sid2_warm_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43819/E-GEOD-43819.raw.1.zip	P-GSE43819-1	ArrayExpress	GSM1071693_sample_table.txt norm	GSM1071693_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43819/E-GEOD-43819.processed.1.zip	mutant sid2-1	22	degree celsius
GSM1071692 1	Arabidopsis mutant sid2-1 grown at 22???C in soil under a 12 h photoperiod for approx 23 d	Arabidopsis mutant sid2-1 grown at 22???C	sid2-1 warm, biological rep1	Col-0	EFO	EFO_0005148	mutant sid2-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43819-2	ArrayExpress	P-GSE43819-3	ArrayExpress	P-GSE43819-4	ArrayExpress	GSM1071692 extract 1	total RNA	P-GSE43819-5	ArrayExpress	GSM1071692 LE 1	biotin	P-GSE43819-6	ArrayExpress	GSM1071692	A-AFFY-2	ArrayExpress	array assay	P-GSE43819-7	ArrayExpress	GSM1071692_sid2_warm_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43819/E-GEOD-43819.raw.1.zip	P-GSE43819-1	ArrayExpress	GSM1071692_sample_table.txt norm	GSM1071692_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43819/E-GEOD-43819.processed.1.zip	mutant sid2-1	22	degree celsius
GSM1071691 1	Arabidopsis WT Col-0 grown at 22???C in soil under a 12 h photoperiod for approx 23 d	Arabidopsis Col-0 grown at 22???C	WT warm, biological rep3 [2]	Col-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43819-2	ArrayExpress	P-GSE43819-3	ArrayExpress	P-GSE43819-4	ArrayExpress	GSM1071691 extract 1	total RNA	P-GSE43819-5	ArrayExpress	GSM1071691 LE 1	biotin	P-GSE43819-6	ArrayExpress	GSM1071691	A-AFFY-2	ArrayExpress	array assay	P-GSE43819-7	ArrayExpress	GSM1071691_2_wt_warm_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43819/E-GEOD-43819.raw.1.zip	P-GSE43819-1	ArrayExpress	GSM1071691_sample_table.txt norm	GSM1071691_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43819/E-GEOD-43819.processed.1.zip	wild type	22	degree celsius
