Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Comment[stock code]	Characteristics[genotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[temperature]	Unit[temperature unit]	FactorValue[genotype]
GSM477872 1	"Seeds were suspended in water and individually pipetted onto the soil surface. Trays were stratified at 4C in the dark for 5 days. Commercial Soil: 3 parts Levington's F2 soil, 1 part sand. Growth room 16C 50%"	"phyB-1, 16C"	Arabidopsis thaliana	N6211	phyB mutant	aerial parts	P-GSE19258-2	P-GSE19258-3	GSM477872 extract 1	total RNA	P-GSE19258-4	GSM477872 LE 1	biotin	P-GSE19258-5	GSM477872	A-AFFY-2	P-GSE19258-6	P-GSE19258-7	GSM477872.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19258/E-GEOD-19258.raw.1.zip	P-GSE19258-1	GSM477872_sample_table.txt norm	GSM477872_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19258/E-GEOD-19258.processed.1.zip	16	degree celsius	phyB mutant
GSM477871 1	"Seeds were suspended in water and individually pipetted onto the soil surface. Trays were stratified at 4C in the dark for 5 days. Commercial Soil: 3 parts Levington's F2 soil, 1 part sand. Growth room 16C 50%"	"phyB-1, 16C"	Arabidopsis thaliana	N6211	phyB mutant	aerial parts	P-GSE19258-2	P-GSE19258-3	GSM477871 extract 1	total RNA	P-GSE19258-4	GSM477871 LE 1	biotin	P-GSE19258-5	GSM477871	A-AFFY-2	P-GSE19258-6	P-GSE19258-7	GSM477871.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19258/E-GEOD-19258.raw.1.zip	P-GSE19258-1	GSM477871_sample_table.txt norm	GSM477871_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19258/E-GEOD-19258.processed.1.zip	16	degree celsius	phyB mutant
GSM477870 1	"Seeds were suspended in water and individually pipetted onto the soil surface. Trays were stratified at 4C in the dark for 5 days. Commercial Soil: 3 parts Levington's F2 soil, 1 part sand. Growth room 16C 50%"	"Ler, 16C"	Arabidopsis thaliana	NW20	Ler	aerial parts	P-GSE19258-2	P-GSE19258-3	GSM477870 extract 1	total RNA	P-GSE19258-4	GSM477870 LE 1	biotin	P-GSE19258-5	GSM477870	A-AFFY-2	P-GSE19258-6	P-GSE19258-7	GSM477870.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19258/E-GEOD-19258.raw.1.zip	P-GSE19258-1	GSM477870_sample_table.txt norm	GSM477870_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19258/E-GEOD-19258.processed.1.zip	16	degree celsius	wild type
GSM477869 1	"Seeds were suspended in water and individually pipetted onto the soil surface. Trays were stratified at 4C in the dark for 5 days. Commercial Soil: 3 parts Levington's F2 soil, 1 part sand. Growth room 16C 50%"	"Ler, 16C"	Arabidopsis thaliana	NW20	Ler	aerial parts	P-GSE19258-2	P-GSE19258-3	GSM477869 extract 1	total RNA	P-GSE19258-4	GSM477869 LE 1	biotin	P-GSE19258-5	GSM477869	A-AFFY-2	P-GSE19258-6	P-GSE19258-7	GSM477869.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19258/E-GEOD-19258.raw.1.zip	P-GSE19258-1	GSM477869_sample_table.txt norm	GSM477869_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19258/E-GEOD-19258.processed.1.zip	16	degree celsius	wild type
GSM477868 1	"Seeds were suspended in water and individually pipetted onto the soil surface. Trays were stratified at 4C in the dark for 5 days. Commercial Soil: 3 parts Levington's F2 soil, 1 part sand. Growth room 16C 50%"	"phyB-1, 22C"	Arabidopsis thaliana	N6211	phyB mutant	aerial parts	P-GSE19258-2	P-GSE19258-3	GSM477868 extract 1	total RNA	P-GSE19258-4	GSM477868 LE 1	biotin	P-GSE19258-5	GSM477868	A-AFFY-2	P-GSE19258-6	P-GSE19258-7	GSM477868.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19258/E-GEOD-19258.raw.1.zip	P-GSE19258-1	GSM477868_sample_table.txt norm	GSM477868_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19258/E-GEOD-19258.processed.1.zip	22	degree celsius	phyB mutant
GSM477867 1	"Seeds were suspended in water and individually pipetted onto the soil surface. Trays were stratified at 4C in the dark for 5 days. Commercial Soil: 3 parts Levington's F2 soil, 1 part sand. Growth room 16C 50%"	"phyB-1, 22C"	Arabidopsis thaliana	N6211	phyB mutant	aerial parts	P-GSE19258-2	P-GSE19258-3	GSM477867 extract 1	total RNA	P-GSE19258-4	GSM477867 LE 1	biotin	P-GSE19258-5	GSM477867	A-AFFY-2	P-GSE19258-6	P-GSE19258-7	GSM477867.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19258/E-GEOD-19258.raw.1.zip	P-GSE19258-1	GSM477867_sample_table.txt norm	GSM477867_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19258/E-GEOD-19258.processed.1.zip	22	degree celsius	phyB mutant
GSM477866 1	"Seeds were suspended in water and individually pipetted onto the soil surface. Trays were stratified at 4C in the dark for 5 days. Commercial Soil: 3 parts Levington's F2 soil, 1 part sand. Growth room 16C 50%"	"Ler, 22C"	Arabidopsis thaliana	NW20	Ler	aerial parts	P-GSE19258-2	P-GSE19258-3	GSM477866 extract 1	total RNA	P-GSE19258-4	GSM477866 LE 1	biotin	P-GSE19258-5	GSM477866	A-AFFY-2	P-GSE19258-6	P-GSE19258-7	GSM477866.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19258/E-GEOD-19258.raw.1.zip	P-GSE19258-1	GSM477866_sample_table.txt norm	GSM477866_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19258/E-GEOD-19258.processed.1.zip	22	degree celsius	wild type
GSM477865 1	"Seeds were suspended in water and individually pipetted onto the soil surface. Trays were stratified at 4C in the dark for 5 days. Commercial Soil: 3 parts Levington's F2 soil, 1 part sand. Growth room 16C 50%"	"Ler, 22C"	Arabidopsis thaliana	NW20	Ler	aerial parts	P-GSE19258-2	P-GSE19258-3	GSM477865 extract 1	total RNA	P-GSE19258-4	GSM477865 LE 1	biotin	P-GSE19258-5	GSM477865	A-AFFY-2	P-GSE19258-6	P-GSE19258-7	GSM477865.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19258/E-GEOD-19258.raw.1.zip	P-GSE19258-1	GSM477865_sample_table.txt norm	GSM477865_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19258/E-GEOD-19258.processed.1.zip	22	degree celsius	wild type
GSM477864 1	"Seeds were suspended in water and individually pipetted onto the soil surface. Trays were stratified at 4C in the dark for 5 days. Commercial Soil: 3 parts Levington's F2 soil, 1 part sand. Growth room 16C 50%"	"phyB-1, 16C"	Arabidopsis thaliana	N6211	phyB mutant	aerial parts	P-GSE19258-2	P-GSE19258-3	GSM477864 extract 1	total RNA	P-GSE19258-4	GSM477864 LE 1	biotin	P-GSE19258-5	GSM477864	A-AFFY-2	P-GSE19258-6	P-GSE19258-7	GSM477864.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19258/E-GEOD-19258.raw.1.zip	P-GSE19258-1	GSM477864_sample_table.txt norm	GSM477864_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19258/E-GEOD-19258.processed.1.zip	16	degree celsius	phyB mutant
GSM477863 1	"Seeds were suspended in water and individually pipetted onto the soil surface. Trays were stratified at 4C in the dark for 5 days. Commercial Soil: 3 parts Levington's F2 soil, 1 part sand. Growth room 16C 50%"	"phyB-1, 16C"	Arabidopsis thaliana	N6211	phyB mutant	aerial parts	P-GSE19258-2	P-GSE19258-3	GSM477863 extract 1	total RNA	P-GSE19258-4	GSM477863 LE 1	biotin	P-GSE19258-5	GSM477863	A-AFFY-2	P-GSE19258-6	P-GSE19258-7	GSM477863.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19258/E-GEOD-19258.raw.1.zip	P-GSE19258-1	GSM477863_sample_table.txt norm	GSM477863_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19258/E-GEOD-19258.processed.1.zip	16	degree celsius	phyB mutant
