Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Characteristics[genotype]	Characteristics[genetic modification]	Provider	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [growth condition]
GSM692488 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5	week	rosette leaf 	catalase2 mutant	gene knock out	Institute de Biologie de Plantes, Universite de Paris sud, Guillaume Queval	Sample was harvested 7h into the light period to ensure identical exposure to light at time of sampling	cat2, grown for five weeks at high CO2 concentration (3000 ppm) in short day regime (8h light/16h dark)	cat2-hCO2-Rep3	P-GSE27985-3	P-GSE27985-12	P-GSE27985-4	GSM692488 extract 1	total RNA	P-GSE27985-5	GSM692488 LE 1	biotin	P-GSE27985-6	GSM692488	A-AFFY-2	P-GSE27985-7	P-GSE27985-8	GSM692488.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.raw.1.zip	P-GSE27985-1	GSM692488_sample_table.txt norm	GSM692488_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.processed.1.zip	catalase2 mutant	grown at high CO2 concentration in short day length regime
GSM692485 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5	week	rosette leaf 	catalase2 mutant	gene knock out	Institute de Biologie de Plantes, Universite de Paris sud, Guillaume Queval	Sample was harvested 7h into the light period to ensure identical exposure to light at time of sampling	cat2, grown for five weeks at high CO2 concentration (3000 ppm) in short day regime (8h light/16h dark)	cat2-hCO2-Rep2	P-GSE27985-3	P-GSE27985-12	P-GSE27985-4	GSM692485 extract 1	total RNA	P-GSE27985-5	GSM692485 LE 1	biotin	P-GSE27985-6	GSM692485	A-AFFY-2	P-GSE27985-7	P-GSE27985-8	GSM692485.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.raw.1.zip	P-GSE27985-1	GSM692485_sample_table.txt norm	GSM692485_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.processed.1.zip	catalase2 mutant	grown at high CO2 concentration in short day length regime
GSM692481 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5	week	rosette leaf 	catalase2 mutant	gene knock out	Institute de Biologie de Plantes, Universite de Paris sud, Guillaume Queval	Sample was harvested 7h into the light period to ensure identical exposure to light at time of sampling	cat2, grown for five weeks at high CO2 concentration (3000 ppm) in short day regime (8h light/16h dark)	cat2-hCO2-Rep1	P-GSE27985-3	P-GSE27985-12	P-GSE27985-4	GSM692481 extract 1	total RNA	P-GSE27985-5	GSM692481 LE 1	biotin	P-GSE27985-6	GSM692481	A-AFFY-2	P-GSE27985-7	P-GSE27985-8	GSM692481.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.raw.1.zip	P-GSE27985-1	GSM692481_sample_table.txt norm	GSM692481_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.processed.1.zip	catalase2 mutant	grown at high CO2 concentration in short day length regime
GSM692477 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5	week	rosette leaf 	catalase2 mutant	gene knock out	Institute de Biologie de Plantes, Universite de Paris sud, Guillaume Queval	Sample was harvested 7h into the light period to ensure identical exposure to light at time of sampling	cat2, transferred to air (400 ppm) for 2 days in long day regime (16h light/8h dark)	cat2-LD2-Rep3	P-GSE27985-3	P-GSE27985-10	P-GSE27985-4	GSM692477 extract 1	total RNA	P-GSE27985-5	GSM692477 LE 1	biotin	P-GSE27985-6	GSM692477	A-AFFY-2	P-GSE27985-7	P-GSE27985-8	GSM692477.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.raw.1.zip	P-GSE27985-1	GSM692477_sample_table.txt norm	GSM692477_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.processed.1.zip	catalase2 mutant	transferred to air for 2 days in long day length regime 
GSM692471 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5	week	rosette leaf 	catalase2 mutant	gene knock out	Institute de Biologie de Plantes, Universite de Paris sud, Guillaume Queval	Sample was harvested 7h into the light period to ensure identical exposure to light at time of sampling	cat2, transferred to air (400 ppm) for 2 days in long day regime (16h light/8h dark)	cat2-LD2-Rep2	P-GSE27985-3	P-GSE27985-10	P-GSE27985-4	GSM692471 extract 1	total RNA	P-GSE27985-5	GSM692471 LE 1	biotin	P-GSE27985-6	GSM692471	A-AFFY-2	P-GSE27985-7	P-GSE27985-8	GSM692471.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.raw.1.zip	P-GSE27985-1	GSM692471_sample_table.txt norm	GSM692471_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.processed.1.zip	catalase2 mutant	transferred to air for 2 days in long day length regime 
GSM692465 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5	week	rosette leaf 	catalase2 mutant	gene knock out	Institute de Biologie de Plantes, Universite de Paris sud, Guillaume Queval	Sample was harvested 7h into the light period to ensure identical exposure to light at time of sampling	cat2, transferred to air (400 ppm) for 2 days in long day regime (16h light/8h dark)	cat2-LD2-Rep1	P-GSE27985-3	P-GSE27985-10	P-GSE27985-4	GSM692465 extract 1	total RNA	P-GSE27985-5	GSM692465 LE 1	biotin	P-GSE27985-6	GSM692465	A-AFFY-2	P-GSE27985-7	P-GSE27985-8	GSM692465.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.raw.1.zip	P-GSE27985-1	GSM692465_sample_table.txt norm	GSM692465_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.processed.1.zip	catalase2 mutant	transferred to air for 2 days in long day length regime 
GSM692473 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5	week	rosette leaf 	catalase2 mutant	gene knock out	Institute de Biologie de Plantes, Universite de Paris sud, Guillaume Queval	Sample was harvested 7h into the light period to ensure identical exposure to light at time of sampling	cat2, transferred to air (400 ppm) for 2 days in short day regime (8h light/16h dark)	cat2-SD2-Rep3	P-GSE27985-3	P-GSE27985-2	P-GSE27985-4	GSM692473 extract 1	total RNA	P-GSE27985-5	GSM692473 LE 1	biotin	P-GSE27985-6	GSM692473	A-AFFY-2	P-GSE27985-7	P-GSE27985-8	GSM692473.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.raw.1.zip	P-GSE27985-1	GSM692473_sample_table.txt norm	GSM692473_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.processed.1.zip	catalase2 mutant	transferred to air for 2 days in short day length regime 
GSM692467 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5	week	rosette leaf 	catalase2 mutant	gene knock out	Institute de Biologie de Plantes, Universite de Paris sud, Guillaume Queval	Sample was harvested 7h into the light period to ensure identical exposure to light at time of sampling	cat2, transferred to air (400 ppm) for 2 days in short day regime (8h light/16h dark)	cat2-SD2-Rep2	P-GSE27985-3	P-GSE27985-2	P-GSE27985-4	GSM692467 extract 1	total RNA	P-GSE27985-5	GSM692467 LE 1	biotin	P-GSE27985-6	GSM692467	A-AFFY-2	P-GSE27985-7	P-GSE27985-8	GSM692467.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.raw.1.zip	P-GSE27985-1	GSM692467_sample_table.txt norm	GSM692467_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.processed.1.zip	catalase2 mutant	transferred to air for 2 days in short day length regime 
GSM692461 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5	week	rosette leaf 	catalase2 mutant	gene knock out	Institute de Biologie de Plantes, Universite de Paris sud, Guillaume Queval	Sample was harvested 7h into the light period to ensure identical exposure to light at time of sampling	cat2, transferred to air (400 ppm) for 2 days in short day regime (8h light/16h dark)	cat2-SD2-Rep1	P-GSE27985-3	P-GSE27985-2	P-GSE27985-4	GSM692461 extract 1	total RNA	P-GSE27985-5	GSM692461 LE 1	biotin	P-GSE27985-6	GSM692461	A-AFFY-2	P-GSE27985-7	P-GSE27985-8	GSM692461.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.raw.1.zip	P-GSE27985-1	GSM692461_sample_table.txt norm	GSM692461_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.processed.1.zip	catalase2 mutant	transferred to air for 2 days in short day length regime 
GSM692486 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	5	week	rosette leaf 	catalase2 mutant	gene knock out	Institute de Biologie de Plantes, Universite de Paris sud, Guillaume Queval	Sample was harvested 7h into the light period to ensure identical exposure to light at time of sampling	cat2, transferred to air (400 ppm) for 4 days in long day regime (16h light/8h dark)	cat2-LD4-Rep3	P-GSE27985-3	P-GSE27985-11	P-GSE27985-4	GSM692486 extract 1	total RNA	P-GSE27985-5	GSM692486 LE 1	biotin	P-GSE27985-6	GSM692486	A-AFFY-2	P-GSE27985-7	P-GSE27985-8	GSM692486.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.raw.1.zip	P-GSE27985-1	GSM692486_sample_table.txt norm	GSM692486_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27985/E-GEOD-27985.processed.1.zip	catalase2 mutant	transferred to air for 4 days in long day length regime 
