Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Characteristics [Genotype]	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Factor Value [Genotype]	Factor Value [OrganismPart]	Term Source REF	Term Accession Number	Scan Name	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE3011GSM65923	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	rdr6-15	rosette leaf	EFO	EFO_0001984	rdr6-15 leaf	GSE3011GSM65923 sample	GSE3011GSM65923 extract	total_RNA	GSE3011GSM65923 LE.biotin	biotin	synthetic_RNA	CD4R6D1_L-7	A-AFFY-2	rdr6-15	rosette leaf	EFO	EFO_0001984	CD4R6D1_L-7	E-GEOD-3011-processed-data-1442081152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3011/E-GEOD-3011.processed.1.zip
GSE3011GSM65933	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	dcl4-2	inflorescence	EFO	EFO_0001029	dcl4-2 inflorescence	GSE3011GSM65933 sample	GSE3011GSM65933 extract	total_RNA	GSE3011GSM65933 LE.biotin	biotin	synthetic_RNA	CD4R6D1_I-17	A-AFFY-2	dcl4-2	inflorescence	EFO	EFO_0001029	CD4R6D1_I-17	E-GEOD-3011-processed-data-1442081152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3011/E-GEOD-3011.processed.1.zip
GSE3011GSM65921	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	dcl4-2	rosette leaf	EFO	EFO_0001984	dcl4-2 leaf	GSE3011GSM65921 sample	GSE3011GSM65921 extract	total_RNA	GSE3011GSM65921 LE.biotin	biotin	synthetic_RNA	CD4R6D1_L-5	A-AFFY-2	dcl4-2	rosette leaf	EFO	EFO_0001984	CD4R6D1_L-5	E-GEOD-3011-processed-data-1442081152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3011/E-GEOD-3011.processed.1.zip
GSE3011GSM65941	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	dcl1-7	inflorescence	EFO	EFO_0001029	dcl1-7 inflorescence	GSE3011GSM65941 sample	GSE3011GSM65941 extract	total_RNA	GSE3011GSM65941 LE.biotin	biotin	synthetic_RNA	CD4R6D1_I-25	A-AFFY-2	dcl1-7	inflorescence	EFO	EFO_0001029	CD4R6D1_I-25	E-GEOD-3011-processed-data-1442081152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3011/E-GEOD-3011.processed.1.zip
GSE3011GSM65927	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	dcl1-7	rosette leaf	EFO	EFO_0001984	dcl1-7 leaf	GSE3011GSM65927 sample	GSE3011GSM65927 extract	total_RNA	GSE3011GSM65927 LE.biotin	biotin	synthetic_RNA	CD4R6D1_L-11	A-AFFY-2	dcl1-7	rosette leaf	EFO	EFO_0001984	CD4R6D1_L-11	E-GEOD-3011-processed-data-1442081152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3011/E-GEOD-3011.processed.1.zip
GSE3011GSM65922	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	dcl4-2	rosette leaf	EFO	EFO_0001984	dcl4-2 leaf	GSE3011GSM65922 sample	GSE3011GSM65922 extract	total_RNA	GSE3011GSM65922 LE.biotin	biotin	synthetic_RNA	CD4R6D1_L-6	A-AFFY-2	dcl4-2	rosette leaf	EFO	EFO_0001984	CD4R6D1_L-6	E-GEOD-3011-processed-data-1442081152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3011/E-GEOD-3011.processed.1.zip
GSE3011GSM65919	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	Col-0 control for dcl1-7, dcl4-2, and rdr6-15 leaf samples	GSE3011GSM65919 sample	GSE3011GSM65919 extract	total_RNA	GSE3011GSM65919 LE.biotin	biotin	synthetic_RNA	CD4R6D1_L-3	A-AFFY-2	wild_type	rosette leaf	EFO	EFO_0001984	CD4R6D1_L-3	E-GEOD-3011-processed-data-1442081152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3011/E-GEOD-3011.processed.1.zip
GSE3011GSM65942	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	dcl1-7	inflorescence	EFO	EFO_0001029	dcl1-7 inflorescence	GSE3011GSM65942 sample	GSE3011GSM65942 extract	total_RNA	GSE3011GSM65942 LE.biotin	biotin	synthetic_RNA	CD4R6D1_I-26	A-AFFY-2	dcl1-7	inflorescence	EFO	EFO_0001029	CD4R6D1_I-26	E-GEOD-3011-processed-data-1442081152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3011/E-GEOD-3011.processed.1.zip
GSE3011GSM65931	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild_type	inflorescence	EFO	EFO_0001029	Col-0 control for dcl4-2, and rdr6-15 inflorescence samples	GSE3011GSM65931 sample	GSE3011GSM65931 extract	total_RNA	GSE3011GSM65931 LE.biotin	biotin	synthetic_RNA	CD4R6D1_I-15	A-AFFY-2	wild_type	inflorescence	EFO	EFO_0001029	CD4R6D1_I-15	E-GEOD-3011-processed-data-1442081152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3011/E-GEOD-3011.processed.1.zip
GSE3011GSM65940	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild_type	inflorescence	EFO	EFO_0001029	Col-0 control for dcl1-7 inflorescence samples	GSE3011GSM65940 sample	GSE3011GSM65940 extract	total_RNA	GSE3011GSM65940 LE.biotin	biotin	synthetic_RNA	CD4R6D1_I-24	A-AFFY-2	wild_type	inflorescence	EFO	EFO_0001029	CD4R6D1_I-24	E-GEOD-3011-processed-data-1442081152.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3011/E-GEOD-3011.processed.1.zip
