Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Characteristics [subjected to]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENOTYPE]
GSM1083620 1	CDO1 H3	35S:PCO1 hypoxia	35S:PCO1 hypoxia 3	4 wks	35S:PCO1 transgenic (overexpression of Plant Cysteine Oxidase (PCO1))	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole rosette	4h hypoxia (5% O2 v/v in air)	P-GSE44344-3	ArrayExpress	P-GSE44344-8	ArrayExpress	P-GSE44344-4	ArrayExpress	GSM1083620 extract 1	total RNA	P-GSE44344-5	ArrayExpress	GSM1083620 LE 1	biotin	P-GSE44344-6	ArrayExpress	GSM1083620	A-AFFY-2	ArrayExpress	array assay	P-GSE44344-7	ArrayExpress	GSM1083620_35SPCO1_H3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44344/E-GEOD-44344.raw.1.zip	P-GSE44344-1	ArrayExpress	GSM1083620_sample_table.txt norm	GSM1083620_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44344/E-GEOD-44344.processed.1.zip	35S:PCO1 transgenic (overexpression of Plant Cysteine Oxidase (PCO1))
GSM1083619 1	CDO1 H2	35S:PCO1 hypoxia	35S:PCO1 hypoxia 2	4 wks	35S:PCO1 transgenic (overexpression of Plant Cysteine Oxidase (PCO1))	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole rosette	4h hypoxia (5% O2 v/v in air)	P-GSE44344-3	ArrayExpress	P-GSE44344-8	ArrayExpress	P-GSE44344-4	ArrayExpress	GSM1083619 extract 1	total RNA	P-GSE44344-5	ArrayExpress	GSM1083619 LE 1	biotin	P-GSE44344-6	ArrayExpress	GSM1083619	A-AFFY-2	ArrayExpress	array assay	P-GSE44344-7	ArrayExpress	GSM1083619_35SPCO1_H2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44344/E-GEOD-44344.raw.1.zip	P-GSE44344-1	ArrayExpress	GSM1083619_sample_table.txt norm	GSM1083619_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44344/E-GEOD-44344.processed.1.zip	35S:PCO1 transgenic (overexpression of Plant Cysteine Oxidase (PCO1))
GSM1083618 1	CDO1 H1	35S:PCO1 hypoxia	35S:PCO1 hypoxia 1	4 wks	35S:PCO1 transgenic (overexpression of Plant Cysteine Oxidase (PCO1))	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole rosette	4h hypoxia (5% O2 v/v in air)	P-GSE44344-3	ArrayExpress	P-GSE44344-8	ArrayExpress	P-GSE44344-4	ArrayExpress	GSM1083618 extract 1	total RNA	P-GSE44344-5	ArrayExpress	GSM1083618 LE 1	biotin	P-GSE44344-6	ArrayExpress	GSM1083618	A-AFFY-2	ArrayExpress	array assay	P-GSE44344-7	ArrayExpress	GSM1083618_35SPCO1_H1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44344/E-GEOD-44344.raw.1.zip	P-GSE44344-1	ArrayExpress	GSM1083618_sample_table.txt norm	GSM1083618_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44344/E-GEOD-44344.processed.1.zip	35S:PCO1 transgenic (overexpression of Plant Cysteine Oxidase (PCO1))
GSM1083617 1	WT H3	wild type hypoxia	wild type hypoxia 3	4 wks	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole rosette	4h hypoxia (5% O2 v/v in air)	P-GSE44344-3	ArrayExpress	P-GSE44344-8	ArrayExpress	P-GSE44344-4	ArrayExpress	GSM1083617 extract 1	total RNA	P-GSE44344-5	ArrayExpress	GSM1083617 LE 1	biotin	P-GSE44344-6	ArrayExpress	GSM1083617	A-AFFY-2	ArrayExpress	array assay	P-GSE44344-7	ArrayExpress	GSM1083617_WT_H3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44344/E-GEOD-44344.raw.1.zip	P-GSE44344-1	ArrayExpress	GSM1083617_sample_table.txt norm	GSM1083617_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44344/E-GEOD-44344.processed.1.zip	wild type
GSM1083616 1	WT H2	wild type hypoxia	wild type hypoxia 2	4 wks	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole rosette	4h hypoxia (5% O2 v/v in air)	P-GSE44344-3	ArrayExpress	P-GSE44344-8	ArrayExpress	P-GSE44344-4	ArrayExpress	GSM1083616 extract 1	total RNA	P-GSE44344-5	ArrayExpress	GSM1083616 LE 1	biotin	P-GSE44344-6	ArrayExpress	GSM1083616	A-AFFY-2	ArrayExpress	array assay	P-GSE44344-7	ArrayExpress	GSM1083616_WT_H2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44344/E-GEOD-44344.raw.1.zip	P-GSE44344-1	ArrayExpress	GSM1083616_sample_table.txt norm	GSM1083616_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44344/E-GEOD-44344.processed.1.zip	wild type
GSM1083615 1	WT H1	wild type hypoxia	wild type hypoxia 1	4 wks	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole rosette	4h hypoxia (5% O2 v/v in air)	P-GSE44344-3	ArrayExpress	P-GSE44344-8	ArrayExpress	P-GSE44344-4	ArrayExpress	GSM1083615 extract 1	total RNA	P-GSE44344-5	ArrayExpress	GSM1083615 LE 1	biotin	P-GSE44344-6	ArrayExpress	GSM1083615	A-AFFY-2	ArrayExpress	array assay	P-GSE44344-7	ArrayExpress	GSM1083615_WT_H1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44344/E-GEOD-44344.raw.1.zip	P-GSE44344-1	ArrayExpress	GSM1083615_sample_table.txt norm	GSM1083615_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44344/E-GEOD-44344.processed.1.zip	wild type
GSM1083614 1	PCO1 N3	35S:CDO1 normoxia	35S:CDO1 normoxia 3	4 wks	35S:PCO1 transgenic (overexpression of Plant Cysteine Oxidase (PCO1))	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole rosette	  	P-GSE44344-3	ArrayExpress	P-GSE44344-2	ArrayExpress	P-GSE44344-4	ArrayExpress	GSM1083614 extract 1	total RNA	P-GSE44344-5	ArrayExpress	GSM1083614 LE 1	biotin	P-GSE44344-6	ArrayExpress	GSM1083614	A-AFFY-2	ArrayExpress	array assay	P-GSE44344-7	ArrayExpress	GSM1083614_35SPCO1_N3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44344/E-GEOD-44344.raw.1.zip	P-GSE44344-1	ArrayExpress	GSM1083614_sample_table.txt norm	GSM1083614_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44344/E-GEOD-44344.processed.1.zip	35S:PCO1 transgenic (overexpression of Plant Cysteine Oxidase (PCO1))
GSM1083613 1	PCO1 N2	35S:CDO1 normoxia	35S:CDO1 normoxia 2	4 wks	35S:PCO1 transgenic (overexpression of Plant Cysteine Oxidase (PCO1))	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole rosette	  	P-GSE44344-3	ArrayExpress	P-GSE44344-2	ArrayExpress	P-GSE44344-4	ArrayExpress	GSM1083613 extract 1	total RNA	P-GSE44344-5	ArrayExpress	GSM1083613 LE 1	biotin	P-GSE44344-6	ArrayExpress	GSM1083613	A-AFFY-2	ArrayExpress	array assay	P-GSE44344-7	ArrayExpress	GSM1083613_35SPCO1_N2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44344/E-GEOD-44344.raw.1.zip	P-GSE44344-1	ArrayExpress	GSM1083613_sample_table.txt norm	GSM1083613_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44344/E-GEOD-44344.processed.1.zip	35S:PCO1 transgenic (overexpression of Plant Cysteine Oxidase (PCO1))
GSM1083612 1	PCO1 N1	35S:CDO1 normoxia	35S:CDO1 normoxia 1	4 wks	35S:PCO1 transgenic (overexpression of Plant Cysteine Oxidase (PCO1))	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole rosette	  	P-GSE44344-3	ArrayExpress	P-GSE44344-2	ArrayExpress	P-GSE44344-4	ArrayExpress	GSM1083612 extract 1	total RNA	P-GSE44344-5	ArrayExpress	GSM1083612 LE 1	biotin	P-GSE44344-6	ArrayExpress	GSM1083612	A-AFFY-2	ArrayExpress	array assay	P-GSE44344-7	ArrayExpress	GSM1083612_35SPCO1_N1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44344/E-GEOD-44344.raw.1.zip	P-GSE44344-1	ArrayExpress	GSM1083612_sample_table.txt norm	GSM1083612_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44344/E-GEOD-44344.processed.1.zip	35S:PCO1 transgenic (overexpression of Plant Cysteine Oxidase (PCO1))
GSM1083611 1	WT N3	wild type normoxia	wild type normoxia 3	4 wks	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole rosette	  	P-GSE44344-3	ArrayExpress	P-GSE44344-2	ArrayExpress	P-GSE44344-4	ArrayExpress	GSM1083611 extract 1	total RNA	P-GSE44344-5	ArrayExpress	GSM1083611 LE 1	biotin	P-GSE44344-6	ArrayExpress	GSM1083611	A-AFFY-2	ArrayExpress	array assay	P-GSE44344-7	ArrayExpress	GSM1083611_WT_N3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44344/E-GEOD-44344.raw.1.zip	P-GSE44344-1	ArrayExpress	GSM1083611_sample_table.txt norm	GSM1083611_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-44344/E-GEOD-44344.processed.1.zip	wild type
