Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [ecotype]	Characteristics [genotype]	Characteristics [growth media]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ecotype]	FactorValue [genotype]	FactorValue [organism part]
GSM1466730 1	Gene expression data from meristematic cells under standard conditions for 5 days Affy one-cycle labeling protocol	CO2 sorted cells	ATH1 cortex marker meristematic zone WT biological replicate 3	Seedling roots, 5 days after germination	: Columbia	WT	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	cortex	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466730 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466730 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466730	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466730_At_CO2_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466730_sample_table.txt norm	GSM1466730_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: Columbia	WT	cortex
GSM1466729 1	Gene expression data from meristematic cells under standard conditions for 5 days Affy one-cycle labeling protocol	CO2 sorted cells	ATH1 cortex marker meristematic zone WT biological replicate 2	Seedling roots, 5 days after germination	: Columbia	WT	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	cortex	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466729 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466729 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466729	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466729_At_CO2_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466729_sample_table.txt norm	GSM1466729_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: Columbia	WT	cortex
GSM1466728 1	Gene expression data from meristematic cells under standard conditions for 5 days Affy one-cycle labeling protocol	CO2 sorted cells	ATH1 cortex marker meristematic zone WT biological replicate 1	Seedling roots, 5 days after germination	: Columbia	WT	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	cortex	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466728 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466728 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466728	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466728_At_CO2_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466728_sample_table.txt norm	GSM1466728_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: Columbia	WT	cortex
GSM1466727 1	Gene expression data from meristematic cells under standard conditions for 5 days Affy one-cycle labeling protocol	Meristematic region dissection	ATH1 meristematic zone BLJ biological replicate 3	Seedling roots, 5 days after germination	: Columbia	BLJ	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	meristematic zone	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466727 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466727 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466727	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466727_At_J0571_bljM_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466727_sample_table.txt norm	GSM1466727_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: Columbia	BLJ	meristematic zone
GSM1466726 1	Gene expression data from meristematic cells under standard conditions for 5 days Affy one-cycle labeling protocol	Meristematic region dissection	ATH1 meristematic zone BLJ biological replicate 2	Seedling roots, 5 days after germination	: Columbia	BLJ	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	meristematic zone	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466726 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466726 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466726	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466726_At_J0571_bljM_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466726_sample_table.txt norm	GSM1466726_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: Columbia	BLJ	meristematic zone
GSM1466725 1	Gene expression data from meristematic cells under standard conditions for 5 days Affy one-cycle labeling protocol	Meristematic region dissection	ATH1 meristematic zone BLJ biological replicate 1	Seedling roots, 5 days after germination	: Columbia	BLJ	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	meristematic zone	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466725 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466725 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466725	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466725_At_J0571_bljM_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466725_sample_table.txt norm	GSM1466725_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: Columbia	BLJ	meristematic zone
GSM1466724 1	Gene expression data from meristematic cells under standard conditions for 5 days Affy one-cycle labeling protocol	Meristematic region dissection	ATH1 meristematic zone WT biological replicate 2	Seedling roots, 5 days after germination	: Columbia	WT	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	meristematic zone	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466724 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466724 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466724	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466724_At_WT_M_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466724_sample_table.txt norm	GSM1466724_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: Columbia	WT	meristematic zone
GSM1466723 1	Gene expression data from meristematic cells under standard conditions for 5 days Affy one-cycle labeling protocol	Meristematic region dissection	ATH1 meristematic zone WT biological replicate 1	Seedling roots, 5 days after germination	: Columbia	WT	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	meristematic zone	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466723 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466723 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466723	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466723_At_WT_M_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466723_sample_table.txt norm	GSM1466723_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: Columbia	WT	meristematic zone
GSM1466722 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy one-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker SHR UAS driving IME biological replicate 3	Seedling roots, 5 days after germination	: C24	SHR UAS driving IME	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466722 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466722 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466722	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466722_At_J0571_shr_2_IME_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466722_sample_table.txt norm	GSM1466722_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	SHR UAS driving IME	ground tissue
GSM1466721 1	Gene expression data from J0571 sorted cells under standard conditions for 5 days Affy one-cycle labeling protocol	J0571 sorted cells	ATH1 ground tissue marker SHR UAS driving IME biological replicate 2	Seedling roots, 5 days after germination	: C24	SHR UAS driving IME	: Standard media for 5 days	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ground tissue	P-GSE60157-2	ArrayExpress	P-GSE60157-3	ArrayExpress	P-GSE60157-4	ArrayExpress	GSM1466721 extract 1	total RNA	P-GSE60157-5	ArrayExpress	GSM1466721 LE 1	biotin	P-GSE60157-6	ArrayExpress	GSM1466721	A-AFFY-2	ArrayExpress	array assay	P-GSE60157-7	ArrayExpress	GSM1466721_At_J0571_shr_2_IME_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.raw.1.zip	P-GSE60157-1	ArrayExpress	GSM1466721_sample_table.txt norm	GSM1466721_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-60157/E-GEOD-60157.processed.1.zip	: C24	SHR UAS driving IME	ground tissue
