Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [BioSourceProvider]	Comment [Sample_source_name]	Comment [Sample_description]	Comment [Sample_characteristics]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Scan Name	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSM347113 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	M.R. Roberts, Lancaster University, UK	Arabidopsis rosette, no treatment, 60 min in light	Arabidopsis rosette_Light Control_Rep2	Arabidopsis thaliana, ecotype Columbia (Col-0). Age = 4 weeks. Developmental stage = mid rosette growth. Tissue = rosette.	P-GSE13803-3	P-GSE13803-2	P-GSE13803-4	GSM347113 extract 1	total_RNA	P-GSE13803-5	GSM347113 LE 1	biotin	unknown	P-GSE13803-6	GSM347113	A-AFFY-2	GSM347113	P-GSE13803-1	E-GEOD-13803-processed-data-2485772959.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13803/E-GEOD-13803.processed.1.zip
GSM347114 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	M.R. Roberts, Lancaster University, UK	Arabidopsis rosette, wounded leaves, 60 min in light	Arabidopsis rosette_Light Wounded_Rep2	Arabidopsis thaliana, ecotype Columbia (Col-0). Age = 4 weeks. Developmental stage = mid rosette growth. Tissue = rosette.	P-GSE13803-3	P-GSE13803-11	P-GSE13803-4	GSM347114 extract 1	total_RNA	P-GSE13803-5	GSM347114 LE 1	biotin	unknown	P-GSE13803-6	GSM347114	A-AFFY-2	GSM347114	P-GSE13803-1	E-GEOD-13803-processed-data-2485772959.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13803/E-GEOD-13803.processed.1.zip
GSM347118 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	M.R. Roberts, Lancaster University, UK	Arabidopsis rosette, wounded leaves, 60 min in light	Arabidopsis rosette_Light Wounded_Rep3	Arabidopsis thaliana, ecotype Columbia (Col-0). Age = 4 weeks. Developmental stage = mid rosette growth. Tissue = rosette.	P-GSE13803-3	P-GSE13803-11	P-GSE13803-4	GSM347118 extract 1	total_RNA	P-GSE13803-5	GSM347118 LE 1	biotin	unknown	P-GSE13803-6	GSM347118	A-AFFY-2	GSM347118	P-GSE13803-1	E-GEOD-13803-processed-data-2485772959.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13803/E-GEOD-13803.processed.1.zip
GSM347119 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	M.R. Roberts, Lancaster University, UK	Arabidopsis rosette, unwounded leaves, 60 min in dark	Arabidopsis rosette_Dark Control_Rep3	Arabidopsis thaliana, ecotype Columbia (Col-0). Age = 4 weeks. Developmental stage = mid rosette growth. Tissue = rosette.	P-GSE13803-3	P-GSE13803-10	P-GSE13803-4	GSM347119 extract 1	total_RNA	P-GSE13803-5	GSM347119 LE 1	biotin	unknown	P-GSE13803-6	GSM347119	A-AFFY-2	GSM347119	P-GSE13803-1	E-GEOD-13803-processed-data-2485772959.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13803/E-GEOD-13803.processed.1.zip
GSM347110 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	M.R. Roberts, Lancaster University, UK	Arabidopsis rosette, wounded leaves, 60 min in dark	Arabidopsis rosette_Dark Wounded_Rep1	Arabidopsis thaliana, ecotype Columbia (Col-0). Age = 4 weeks. Developmental stage = mid rosette growth. Tissue = rosette.	P-GSE13803-3	P-GSE13803-9	P-GSE13803-4	GSM347110 extract 1	total_RNA	P-GSE13803-5	GSM347110 LE 1	biotin	unknown	P-GSE13803-6	GSM347110	A-AFFY-2	GSM347110	P-GSE13803-1	E-GEOD-13803-processed-data-2485772959.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13803/E-GEOD-13803.processed.1.zip
GSM347111 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	M.R. Roberts, Lancaster University, UK	Arabidopsis rosette, unwounded leaves, 60 min in dark	Arabidopsis rosette_Dark Control_Rep1	Arabidopsis thaliana, ecotype Columbia (Col-0). Age = 4 weeks. Developmental stage = mid rosette growth. Tissue = rosette.	P-GSE13803-3	P-GSE13803-10	P-GSE13803-4	GSM347111 extract 1	total_RNA	P-GSE13803-5	GSM347111 LE 1	biotin	unknown	P-GSE13803-6	GSM347111	A-AFFY-2	GSM347111	P-GSE13803-1	E-GEOD-13803-processed-data-2485772959.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13803/E-GEOD-13803.processed.1.zip
GSM347120 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	M.R. Roberts, Lancaster University, UK	Arabidopsis rosette, wounded leaves, 60 min in dark	Arabidopsis rosette_Dark Wounded_Rep3	Arabidopsis thaliana, ecotype Columbia (Col-0). Age = 4 weeks. Developmental stage = mid rosette growth. Tissue = rosette.	P-GSE13803-3	P-GSE13803-9	P-GSE13803-4	GSM347120 extract 1	total_RNA	P-GSE13803-5	GSM347120 LE 1	biotin	unknown	P-GSE13803-6	GSM347120	A-AFFY-2	GSM347120	P-GSE13803-1	E-GEOD-13803-processed-data-2485772959.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13803/E-GEOD-13803.processed.1.zip
GSM347109 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	M.R. Roberts, Lancaster University, UK	Arabidopsis rosette, no treatment, 60 min in light	Arabidopsis rosette_Light Control_Rep1	Arabidopsis thaliana, ecotype Columbia (Col-0). Age = 4 weeks. Developmental stage = mid rosette growth. Tissue = rosette.	P-GSE13803-3	P-GSE13803-2	P-GSE13803-4	GSM347109 extract 1	total_RNA	P-GSE13803-5	GSM347109 LE 1	biotin	unknown	P-GSE13803-6	GSM347109	A-AFFY-2	GSM347109	P-GSE13803-1	E-GEOD-13803-processed-data-2485772959.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13803/E-GEOD-13803.processed.1.zip
GSM347115 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	M.R. Roberts, Lancaster University, UK	Arabidopsis rosette, unwounded leaves, 60 min in dark	Arabidopsis rosette_Dark Control_Rep2	Arabidopsis thaliana, ecotype Columbia (Col-0). Age = 4 weeks. Developmental stage = mid rosette growth. Tissue = rosette.	P-GSE13803-3	P-GSE13803-10	P-GSE13803-4	GSM347115 extract 1	total_RNA	P-GSE13803-5	GSM347115 LE 1	biotin	unknown	P-GSE13803-6	GSM347115	A-AFFY-2	GSM347115	P-GSE13803-1	E-GEOD-13803-processed-data-2485772959.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13803/E-GEOD-13803.processed.1.zip
GSM347112 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	M.R. Roberts, Lancaster University, UK	Arabidopsis rosette, wounded leaves, 60 min in light	Arabidopsis rosette_Light Wounded_Rep1	Arabidopsis thaliana, ecotype Columbia (Col-0). Age = 4 weeks. Developmental stage = mid rosette growth. Tissue = rosette.	P-GSE13803-3	P-GSE13803-11	P-GSE13803-4	GSM347112 extract 1	total_RNA	P-GSE13803-5	GSM347112 LE 1	biotin	unknown	P-GSE13803-6	GSM347112	A-AFFY-2	GSM347112	P-GSE13803-1	E-GEOD-13803-processed-data-2485772959.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13803/E-GEOD-13803.processed.1.zip
