Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Protocol REF	Sample Name	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [compound]	Term Source REF	Term Accession Number	Factor Value [time]	Unit [TimeUnit]
DMSO - 0.5 h - 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	P-CAGE-25383	DMSO - 0.5 h - 2	P-CAGE-25384	total RNA	none	E_DMSO - 0.5 h - 2	total_RNA	P-AFFY-2	L_DMSO - 0.5 h - 2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_DMSO - 0.5 h - 2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_DMSO - 0.5 h - 2	hyb2444.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-13/E-ATMX-13.raw.1.zip	P-CAGE-25473	Goossens-Athaliana_cells-Jasmonate-rma._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-13/E-ATMX-13.processed.1.zip	DMSO	  	  	0.5	hour
DMSO - 2 h	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	P-CAGE-25383	DMSO - 2 h	P-CAGE-25384	total RNA	none	E_DMSO - 2 h	total_RNA	P-AFFY-2	L_DMSO - 2 h	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_DMSO - 2 h	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_DMSO - 2 h	hyb2437.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-13/E-ATMX-13.raw.1.zip	P-CAGE-25473	Goossens-Athaliana_cells-Jasmonate-rma._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-13/E-ATMX-13.processed.1.zip	DMSO	  	  	2	hour
MeJA - 6 h - 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	P-CAGE-25383	MeJA - 6 h - 2	P-CAGE-25384	total RNA	none	E_MeJA - 6 h - 2	total_RNA	P-AFFY-2	L_MeJA - 6 h - 2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_MeJA - 6 h - 2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_MeJA - 6 h - 2	hyb2443.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-13/E-ATMX-13.raw.1.zip	P-CAGE-25473	Goossens-Athaliana_cells-Jasmonate-rma._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-13/E-ATMX-13.processed.1.zip	methyl jasmonate	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:15929	6	hour
MeJA - 0 h	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	P-CAGE-25383	MeJA - 0 h	P-CAGE-25384	total RNA	none	E_MeJA - 0 h	total_RNA	P-AFFY-2	L_MeJA - 0 h	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_MeJA - 0 h	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_MeJA - 0 h	hyb2432.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-13/E-ATMX-13.raw.1.zip	P-CAGE-25473	Goossens-Athaliana_cells-Jasmonate-rma._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-13/E-ATMX-13.processed.1.zip	methyl jasmonate	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:15929	0	hour
MeJA - 2 h - 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	P-CAGE-25383	MeJA - 2 h - 2	P-CAGE-25384	total RNA	none	E_MeJA - 2 h - 2	total_RNA	P-AFFY-2	L_MeJA - 2 h - 2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_MeJA - 2 h - 2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_MeJA - 2 h - 2	hyb2442.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-13/E-ATMX-13.raw.1.zip	P-CAGE-25473	Goossens-Athaliana_cells-Jasmonate-rma._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-13/E-ATMX-13.processed.1.zip	methyl jasmonate	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:15929	2	hour
MeJA - 0 h - 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	P-CAGE-25383	MeJA - 0 h - 2	P-CAGE-25384	total RNA	none	E_MeJA - 0 h - 2	total_RNA	P-AFFY-2	L_MeJA - 0 h - 2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_MeJA - 0 h - 2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_MeJA - 0 h - 2	hyb2440.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-13/E-ATMX-13.raw.1.zip	P-CAGE-25473	Goossens-Athaliana_cells-Jasmonate-rma._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-13/E-ATMX-13.processed.1.zip	methyl jasmonate	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:15929	0	hour
MeJA - 0.5 h - 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	P-CAGE-25383	MeJA - 0.5 h - 2	P-CAGE-25384	total RNA	none	E_MeJA - 0.5 h - 2	total_RNA	P-AFFY-2	L_MeJA - 0.5 h - 2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_MeJA - 0.5 h - 2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_MeJA - 0.5 h - 2	hyb2441.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-13/E-ATMX-13.raw.1.zip	P-CAGE-25473	Goossens-Athaliana_cells-Jasmonate-rma._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-13/E-ATMX-13.processed.1.zip	methyl jasmonate	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:15929	0.5	hour
DMSO - 6 h	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	P-CAGE-25383	DMSO - 6 h	P-CAGE-25384	total RNA	none	E_DMSO - 6 h	total_RNA	P-AFFY-2	L_DMSO - 6 h	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_DMSO - 6 h	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_DMSO - 6 h	hyb2438.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-13/E-ATMX-13.raw.1.zip	P-CAGE-25473	Goossens-Athaliana_cells-Jasmonate-rma._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-13/E-ATMX-13.processed.1.zip	DMSO	  	  	6	hour
MeJA - 2 h	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	P-CAGE-25383	MeJA - 2 h	P-CAGE-25384	total RNA	none	E_MeJA - 2 h	total_RNA	P-AFFY-2	L_MeJA - 2 h	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_MeJA - 2 h	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_MeJA - 2 h	hyb2434.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-13/E-ATMX-13.raw.1.zip	P-CAGE-25473	Goossens-Athaliana_cells-Jasmonate-rma._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-13/E-ATMX-13.processed.1.zip	methyl jasmonate	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:15929	2	hour
MeJA - 0.5 h	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	P-CAGE-25383	MeJA - 0.5 h	P-CAGE-25384	total RNA	none	E_MeJA - 0.5 h	total_RNA	P-AFFY-2	L_MeJA - 0.5 h	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_MeJA - 0.5 h	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_MeJA - 0.5 h	hyb2433.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-13/E-ATMX-13.raw.1.zip	P-CAGE-25473	Goossens-Athaliana_cells-Jasmonate-rma._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-13/E-ATMX-13.processed.1.zip	methyl jasmonate	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:15929	0.5	hour
