Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [cell culture]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [sugar species]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [SUGAR SPECIES]	Term Source REF	Term Accession Number
GSM1388058 1	Xyl3	Xyl-grown cell culture_ 1h 1mM Xyl	xyl-grown cell culture- 1h 1mM Xyl_3	xyl-grown cell culture	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	control (Xyl)	  	  	P-GSE57751-2	ArrayExpress	P-GSE57751-3	ArrayExpress	P-GSE57751-4	ArrayExpress	GSM1388058 extract 1	total RNA	P-GSE57751-5	ArrayExpress	GSM1388058 LE 1	biotin	P-GSE57751-6	ArrayExpress	GSM1388058	A-AFFY-2	ArrayExpress	array assay	P-GSE57751-7	ArrayExpress	GSM1388058_20120810_III_Xyl.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57751/E-GEOD-57751.raw.1.zip	P-GSE57751-1	ArrayExpress	GSM1388058_sample_table.txt norm	GSM1388058_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57751/E-GEOD-57751.processed.1.zip	control (Xyl)	  	        
GSM1388057 1	Suc3	Xyl-grown cell culture_ 1h 1mM Suc	xyl-grown cell culture- 1h 1mM Suc_3	xyl-grown cell culture	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Suc	  	  	P-GSE57751-2	ArrayExpress	P-GSE57751-3	ArrayExpress	P-GSE57751-4	ArrayExpress	GSM1388057 extract 1	total RNA	P-GSE57751-5	ArrayExpress	GSM1388057 LE 1	biotin	P-GSE57751-6	ArrayExpress	GSM1388057	A-AFFY-2	ArrayExpress	array assay	P-GSE57751-7	ArrayExpress	GSM1388057_20120810_III_Suc.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57751/E-GEOD-57751.raw.1.zip	P-GSE57751-1	ArrayExpress	GSM1388057_sample_table.txt norm	GSM1388057_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57751/E-GEOD-57751.processed.1.zip	Suc	  	        
GSM1388056 1	Glc3	Xyl-grown cell culture_ 1h 1mM Glc	xyl-grown cell culture- 1h 1mM Glc_3	xyl-grown cell culture	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Glc	EFO	http://purl.obolibrary.org/obo/CHEBI_17234	P-GSE57751-2	ArrayExpress	P-GSE57751-3	ArrayExpress	P-GSE57751-4	ArrayExpress	GSM1388056 extract 1	total RNA	P-GSE57751-5	ArrayExpress	GSM1388056 LE 1	biotin	P-GSE57751-6	ArrayExpress	GSM1388056	A-AFFY-2	ArrayExpress	array assay	P-GSE57751-7	ArrayExpress	GSM1388056_20120810_III_Glc.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57751/E-GEOD-57751.raw.1.zip	P-GSE57751-1	ArrayExpress	GSM1388056_sample_table.txt norm	GSM1388056_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57751/E-GEOD-57751.processed.1.zip	Glc	EFO	http://purl.obolibrary.org/obo/CHEBI_17234
GSM1388055 1	Fru3	Xyl-grown cell culture_ 1h 1mM Fru	xyl-grown cell culture- 1h 1mM Fru_3	xyl-grown cell culture	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Fru	  	  	P-GSE57751-2	ArrayExpress	P-GSE57751-3	ArrayExpress	P-GSE57751-4	ArrayExpress	GSM1388055 extract 1	total RNA	P-GSE57751-5	ArrayExpress	GSM1388055 LE 1	biotin	P-GSE57751-6	ArrayExpress	GSM1388055	A-AFFY-2	ArrayExpress	array assay	P-GSE57751-7	ArrayExpress	GSM1388055_20120810_III_Fru.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57751/E-GEOD-57751.raw.1.zip	P-GSE57751-1	ArrayExpress	GSM1388055_sample_table.txt norm	GSM1388055_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57751/E-GEOD-57751.processed.1.zip	Fru	  	        
GSM1388054 1	Xyl2	Xyl-grown cell culture_ 1h 1mM Xyl	xyl-grown cell culture- 1h 1mM Xyl_2	xyl-grown cell culture	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	control (Xyl)	  	  	P-GSE57751-2	ArrayExpress	P-GSE57751-3	ArrayExpress	P-GSE57751-4	ArrayExpress	GSM1388054 extract 1	total RNA	P-GSE57751-5	ArrayExpress	GSM1388054 LE 1	biotin	P-GSE57751-6	ArrayExpress	GSM1388054	A-AFFY-2	ArrayExpress	array assay	P-GSE57751-7	ArrayExpress	GSM1388054_20120810_II_Xyl.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57751/E-GEOD-57751.raw.1.zip	P-GSE57751-1	ArrayExpress	GSM1388054_sample_table.txt norm	GSM1388054_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57751/E-GEOD-57751.processed.1.zip	control (Xyl)	  	        
GSM1388053 1	Suc2	Xyl-grown cell culture_ 1h 1mM Suc	xyl-grown cell culture- 1h 1mM Suc_2	xyl-grown cell culture	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Suc	  	  	P-GSE57751-2	ArrayExpress	P-GSE57751-3	ArrayExpress	P-GSE57751-4	ArrayExpress	GSM1388053 extract 1	total RNA	P-GSE57751-5	ArrayExpress	GSM1388053 LE 1	biotin	P-GSE57751-6	ArrayExpress	GSM1388053	A-AFFY-2	ArrayExpress	array assay	P-GSE57751-7	ArrayExpress	GSM1388053_20120810_II_Suc.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57751/E-GEOD-57751.raw.1.zip	P-GSE57751-1	ArrayExpress	GSM1388053_sample_table.txt norm	GSM1388053_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57751/E-GEOD-57751.processed.1.zip	Suc	  	        
GSM1388052 1	Glc2	Xyl-grown cell culture_ 1h 1mM Glc	xyl-grown cell culture- 1h 1mM Glc_2	xyl-grown cell culture	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Glc	EFO	http://purl.obolibrary.org/obo/CHEBI_17234	P-GSE57751-2	ArrayExpress	P-GSE57751-3	ArrayExpress	P-GSE57751-4	ArrayExpress	GSM1388052 extract 1	total RNA	P-GSE57751-5	ArrayExpress	GSM1388052 LE 1	biotin	P-GSE57751-6	ArrayExpress	GSM1388052	A-AFFY-2	ArrayExpress	array assay	P-GSE57751-7	ArrayExpress	GSM1388052_20120810_II_Glc.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57751/E-GEOD-57751.raw.1.zip	P-GSE57751-1	ArrayExpress	GSM1388052_sample_table.txt norm	GSM1388052_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57751/E-GEOD-57751.processed.1.zip	Glc	EFO	http://purl.obolibrary.org/obo/CHEBI_17234
GSM1388051 1	Fru2	Xyl-grown cell culture_ 1h 1mM Fru	xyl-grown cell culture- 1h 1mM Fru_2	xyl-grown cell culture	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Fru	  	  	P-GSE57751-2	ArrayExpress	P-GSE57751-3	ArrayExpress	P-GSE57751-4	ArrayExpress	GSM1388051 extract 1	total RNA	P-GSE57751-5	ArrayExpress	GSM1388051 LE 1	biotin	P-GSE57751-6	ArrayExpress	GSM1388051	A-AFFY-2	ArrayExpress	array assay	P-GSE57751-7	ArrayExpress	GSM1388051_20120810_II_Fru.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57751/E-GEOD-57751.raw.1.zip	P-GSE57751-1	ArrayExpress	GSM1388051_sample_table.txt norm	GSM1388051_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57751/E-GEOD-57751.processed.1.zip	Fru	  	        
GSM1388050 1	Xyl1	Xyl-grown cell culture_ 1h 1mM Xyl	xyl-grown cell culture- 1h 1mM Xyl_1	xyl-grown cell culture	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	control (Xyl)	  	  	P-GSE57751-2	ArrayExpress	P-GSE57751-3	ArrayExpress	P-GSE57751-4	ArrayExpress	GSM1388050 extract 1	total RNA	P-GSE57751-5	ArrayExpress	GSM1388050 LE 1	biotin	P-GSE57751-6	ArrayExpress	GSM1388050	A-AFFY-2	ArrayExpress	array assay	P-GSE57751-7	ArrayExpress	GSM1388050_20120810_I_Xyl.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57751/E-GEOD-57751.raw.1.zip	P-GSE57751-1	ArrayExpress	GSM1388050_sample_table.txt norm	GSM1388050_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57751/E-GEOD-57751.processed.1.zip	control (Xyl)	  	        
GSM1388049 1	Suc1	Xyl-grown cell culture_ 1h 1mM Suc	xyl-grown cell culture- 1h 1mM Suc_1	xyl-grown cell culture	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Suc	  	  	P-GSE57751-2	ArrayExpress	P-GSE57751-3	ArrayExpress	P-GSE57751-4	ArrayExpress	GSM1388049 extract 1	total RNA	P-GSE57751-5	ArrayExpress	GSM1388049 LE 1	biotin	P-GSE57751-6	ArrayExpress	GSM1388049	A-AFFY-2	ArrayExpress	array assay	P-GSE57751-7	ArrayExpress	GSM1388049_20120810_I_Suc.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57751/E-GEOD-57751.raw.1.zip	P-GSE57751-1	ArrayExpress	GSM1388049_sample_table.txt norm	GSM1388049_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57751/E-GEOD-57751.processed.1.zip	Suc	  	        
