Source Name	Characteristics [Organism]	Characteristics[DevelopmentalStage]	Characteristics[OrganismPart]	Description	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GROWTH CONDITION]	FactorValue[ORGANISM]	FactorValue[ORGANISM PART]
GSE5738GSM133839	Arabidopsis lyrata subsp. petraea	10-16 rosette leaves	root	petraea:  location: Growth Room Atmosphere: Normal Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 10-16 rosette leaves; Tissue: whole root system	  	GSE5738GSM133839 sample	GSE5738GSM133839 extract	total_RNA	GSE5738GSM133839 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_1-13_Petraea-control-roots(PRO)_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Newbury_1-13_Petraea-control-roots(PRO)_Rep1_ATH1	GSM133839.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.raw.1.zip	E-GEOD-5738-processed-data-1628754717.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.processed.1.zip	control	Arabidopsis lyrata subsp. petraea	root
GSE5738GSM133854	Arabidopsis halleri	10-16 rosette leaves	rosette leaves	halleri:  location: Growth Room Atmosphere: Normal Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 10-16 rosette leaves; Tissue: Rosette leaves	P-G5738-1	GSE5738GSM133854 sample	GSE5738GSM133854 extract	total_RNA	GSE5738GSM133854 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_1-12_Halleri-highZn-leaves(HLH)_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Newbury_1-12_Halleri-highZn-leaves(HLH)_Rep3_ATH1	GSM133854.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.raw.1.zip	E-GEOD-5738-processed-data-1628754717.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.processed.1.zip	25 uM zinc	Arabidopsis halleri	rosette leaves
GSE5738GSM133848	Arabidopsis lyrata subsp. petraea	10-16 rosette leaves	root	petraea:  location: Growth Room Atmosphere: Normal Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 10-16 rosette leaves; Tissue: whole root system	  	GSE5738GSM133848 sample	GSE5738GSM133848 extract	total_RNA	GSE5738GSM133848 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_1-14_Petraea-control-roots(PRO)_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Newbury_1-14_Petraea-control-roots(PRO)_Rep2_ATH1	GSM133848.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.raw.1.zip	E-GEOD-5738-processed-data-1628754717.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.processed.1.zip	control	Arabidopsis lyrata subsp. petraea	root
GSE5738GSM133851	Arabidopsis lyrata subsp. petraea	10-16 rosette leaves	rosette leaves	petraea:  location: Growth Room Atmosphere: Normal Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 10-16 rosette leaves; Tissue: Rosette leaves	P-G5738-1	GSE5738GSM133851 sample	GSE5738GSM133851 extract	total_RNA	GSE5738GSM133851 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_1-23_Petraea-highZn-leaves(PLH)_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Newbury_1-23_Petraea-highZn-leaves(PLH)_Rep2_ATH1	GSM133851.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.raw.1.zip	E-GEOD-5738-processed-data-1628754717.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.processed.1.zip	25 uM zinc	Arabidopsis lyrata subsp. petraea	rosette leaves
GSE5738GSM133850	Arabidopsis lyrata subsp. petraea	10-16 rosette leaves	rosette leaves	petraea:  location: Growth Room Atmosphere: Normal Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 10-16 rosette leaves; Tissue: Rosette leaves	  	GSE5738GSM133850 sample	GSE5738GSM133850 extract	total_RNA	GSE5738GSM133850 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_1-20_Petraea-control-leaves(PLO)_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Newbury_1-20_Petraea-control-leaves(PLO)_Rep2_ATH1	GSM133850.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.raw.1.zip	E-GEOD-5738-processed-data-1628754717.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.processed.1.zip	control	Arabidopsis lyrata subsp. petraea	rosette leaves
GSE5738GSM133835	Arabidopsis halleri	10-16 rosette leaves	root	halleri:  location: Growth Room Atmosphere: Normal Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 10-16 rosette leaves; Tissue: whole root system	  	GSE5738GSM133835 sample	GSE5738GSM133835 extract	total_RNA	GSE5738GSM133835 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_1-3_Halleri-control-roots(HRO)_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Newbury_1-3_Halleri-control-roots(HRO)_Rep1_ATH1	GSM133835.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.raw.1.zip	E-GEOD-5738-processed-data-1628754717.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.processed.1.zip	control	Arabidopsis halleri	root
GSE5738GSM133836	Arabidopsis halleri	10-16 rosette leaves	root	halleri:  location: Growth Room Atmosphere: Normal Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 10-16 rosette leaves; Tissue: whole root system	P-G5738-1	GSE5738GSM133836 sample	GSE5738GSM133836 extract	total_RNA	GSE5738GSM133836 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_1-4_Halleri-highZn-roots(HRH)_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Newbury_1-4_Halleri-highZn-roots(HRH)_Rep1_ATH1	GSM133836.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.raw.1.zip	E-GEOD-5738-processed-data-1628754717.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.processed.1.zip	25 uM zinc	Arabidopsis halleri	root
GSE5738GSM133849	Arabidopsis lyrata subsp. petraea	10-16 rosette leaves	root	petraea:  location: Growth Room Atmosphere: Normal Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 10-16 rosette leaves; Tissue: whole root system	P-G5738-1	GSE5738GSM133849 sample	GSE5738GSM133849 extract	total_RNA	GSE5738GSM133849 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_1-17_Petraea-highZn-roots(PRH)_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Newbury_1-17_Petraea-highZn-roots(PRH)_Rep2_ATH1	GSM133849.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.raw.1.zip	E-GEOD-5738-processed-data-1628754717.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.processed.1.zip	25 uM zinc	Arabidopsis lyrata subsp. petraea	root
GSE5738GSM133840	Arabidopsis lyrata subsp. petraea	10-16 rosette leaves	root	petraea:  location: Growth Room Atmosphere: Normal Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 10-16 rosette leaves; Tissue: whole root system	P-G5738-1	GSE5738GSM133840 sample	GSE5738GSM133840 extract	total_RNA	GSE5738GSM133840 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_1-16_Petraea-highZn-roots(PRH)_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Newbury_1-16_Petraea-highZn-roots(PRH)_Rep1_ATH1	GSM133840.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.raw.1.zip	E-GEOD-5738-processed-data-1628754717.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.processed.1.zip	25 uM zinc	Arabidopsis lyrata subsp. petraea	root
GSE5738GSM133841	Arabidopsis lyrata subsp. petraea	10-16 rosette leaves	root	petraea:  location: Growth Room Atmosphere: Normal Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 10-16 rosette leaves; Tissue: whole root system	P-G5738-1	GSE5738GSM133841 sample	GSE5738GSM133841 extract	total_RNA	GSE5738GSM133841 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_1-18_Petraea-highZn-roots(PRH)_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Newbury_1-18_Petraea-highZn-roots(PRH)_Rep3_ATH1	GSM133841.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.raw.1.zip	E-GEOD-5738-processed-data-1628754717.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5738/E-GEOD-5738.processed.1.zip	25 uM zinc	Arabidopsis lyrata subsp. petraea	root
