Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Characteristics[genotype]	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]	FactorValue[growth condition]
GSE630GSM9586	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	seedling	7	day	arf19-1	"Light grown liquid cultured seedlings (7-day old):  Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ÂµM IAA (IAA treated) or EtOH (control) for 2 h at 24 Â°C. Line: arf19-1 (ecotype Columbia) Treatment: IAA treated Replicate 1."	GSE630GSM9586 sample	GSE630GSM9586 extract	total_RNA	GSE630GSM9586 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	arf19-1_+IAA_1	A-AFFY-2	P-AFFY-6	arf19-1_+IAA_1	GSM9586.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.raw.1.zip	E-GEOD-630-processed-data-1628964653.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.processed.1.zip	arf19-1	indole-3-acetic acid
GSE630GSM9587	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	seedling	7	day	arf19-1	"Light grown liquid cultured seedlings (7-day old):  Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ÂµM IAA (IAA treated) or EtOH (control) for 2 h at 24 Â°C. Line: arf19-1 (ecotype Columbia) Treatment: IAA treated Replicate 2."	GSE630GSM9587 sample	GSE630GSM9587 extract	total_RNA	GSE630GSM9587 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	arf19-1_+IAA_2	A-AFFY-2	P-AFFY-6	arf19-1_+IAA_2	GSM9587.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.raw.1.zip	E-GEOD-630-processed-data-1628964653.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.processed.1.zip	arf19-1	indole-3-acetic acid
GSE630GSM9588	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	seedling	7	day	arf19-1	"Light grown liquid cultured seedlings (7-day old):  Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ÂµM IAA (IAA treated) or EtOH (control) for 2 h at 24 Â°C. Line: arf19-1 (ecotype Columbia) Treatment: IAA treated Replicate 3."	GSE630GSM9588 sample	GSE630GSM9588 extract	total_RNA	GSE630GSM9588 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	arf19-1_+IAA_3	A-AFFY-2	P-AFFY-6	arf19-1_+IAA_3	GSM9588.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.raw.1.zip	E-GEOD-630-processed-data-1628964653.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.processed.1.zip	arf19-1	indole-3-acetic acid
GSE630GSM9583	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	seedling	7	day	arf19-1	"Light grown liquid cultured seedlings (7-day old):  Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ÂµM IAA (IAA treated) or EtOH (control) for 2 h at 24 Â°C. Line: arf19-1 (ecotype Columbia) Treatment: Control Replicate 1."	GSE630GSM9583 sample	GSE630GSM9583 extract	total_RNA	GSE630GSM9583 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	arf19-1_control_1	A-AFFY-2	P-AFFY-6	arf19-1_control_1	GSM9583.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.raw.1.zip	E-GEOD-630-processed-data-1628964653.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.processed.1.zip	arf19-1	none
GSE630GSM9584	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	seedling	7	day	arf19-1	"Light grown liquid cultured seedlings (7-day old):  Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ÂµM IAA (IAA treated) or EtOH (control) for 2 h at 24 Â°C. Line: arf19-1 (ecotype Columbia) Treatment: Control Replicate 2."	GSE630GSM9584 sample	GSE630GSM9584 extract	total_RNA	GSE630GSM9584 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	arf19-1_control_2	A-AFFY-2	P-AFFY-6	arf19-1_control_2	GSM9584.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.raw.1.zip	E-GEOD-630-processed-data-1628964653.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.processed.1.zip	arf19-1	none
GSE630GSM9585	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	seedling	7	day	arf19-1	"Light grown liquid cultured seedlings (7-day old):  Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ÂµM IAA (IAA treated) or EtOH (control) for 2 h at 24 Â°C. Line: arf19-1 (ecotype Columbia) Treatment: Control Replicate 3."	GSE630GSM9585 sample	GSE630GSM9585 extract	total_RNA	GSE630GSM9585 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	arf19-1_control_3	A-AFFY-2	P-AFFY-6	arf19-1_control_3	GSM9585.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.raw.1.zip	E-GEOD-630-processed-data-1628964653.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.processed.1.zip	arf19-1	none
GSE630GSM9634	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	seedling	7	day	arf2-6	"Light grown liquid cultured seedlings (7-day old):  Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ÂµM IAA (IAA treated) or EtOH (control) for 2 h at 24 Â°C.   Line: arf2-6 (ecotype Columbia) Treatment: IAA treated."	GSE630GSM9634 sample	GSE630GSM9634 extract	total_RNA	GSE630GSM9634 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	arf2-6_+IAA_3	A-AFFY-2	P-AFFY-6	arf2-6_+IAA_3	GSM9634.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.raw.1.zip	E-GEOD-630-processed-data-1628964653.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.processed.1.zip	arf2-6	indole-3-acetic acid
GSE630GSM9630	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	seedling	7	day	arf2-6	"Light grown liquid cultured seedlings (7-day old):  Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ÂµM IAA (IAA treated) or EtOH (control) for 2 h at 24 Â°C.   Line: arf2-6 (ecotype Columbia) Treatment: IAA treated Replicate 1."	GSE630GSM9630 sample	GSE630GSM9630 extract	total_RNA	GSE630GSM9630 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	arf2-6_+IAA_1	A-AFFY-2	P-AFFY-6	arf2-6_+IAA_1	GSM9630.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.raw.1.zip	E-GEOD-630-processed-data-1628964653.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.processed.1.zip	arf2-6	indole-3-acetic acid
GSE630GSM9632	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	seedling	7	day	arf2-6	"Light grown liquid cultured seedlings (7-day old):  Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ÂµM IAA (IAA treated) or EtOH (control) for 2 h at 24 Â°C.   Line: arf2-6 (ecotype Columbia) Treatment: IAA treated."	GSE630GSM9632 sample	GSE630GSM9632 extract	total_RNA	GSE630GSM9632 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	arf2-6_+IAA_2	A-AFFY-2	P-AFFY-6	arf2-6_+IAA_2	GSM9632.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.raw.1.zip	E-GEOD-630-processed-data-1628964653.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.processed.1.zip	arf2-6	indole-3-acetic acid
GSE630GSM9629	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	seedling	7	day	arf2-6	"Light grown liquid cultured seedlings (7-day old):  Surface-sterile seeds were germinated in liquid Murashige and Skoog medium containing 1.5% sucrose and cultured in a 16 h light/ 8 h dark cycle with gentle shaking. After 7 days culture period, seedlings were treated with 5ÂµM IAA (IAA treated) or EtOH (control) for 2 h at 24 Â°C.   Line: arf2-6 (ecotype Columbia) Treatment: Control Replicate 1."	GSE630GSM9629 sample	GSE630GSM9629 extract	total_RNA	GSE630GSM9629 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	arf2-6_control_1	A-AFFY-2	P-AFFY-6	arf2-6_control_1	GSM9629.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.raw.1.zip	E-GEOD-630-processed-data-1628964653.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-630/E-GEOD-630.processed.1.zip	arf2-6	none
