Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[age]	Characteristics[genotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [growth condition]
GSM870368 1	"Ws wild-type seedlings, treated with 5 mM KNO3 for 2 hours. Roots were cut and total RNA was extracted using TriZol."	"Ws roots, treated with 5 mM KNO3 for 2 hours"	Ws_root_2h_KNO3_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15-day old seedling	wild type	root	P-GSE35544-3	P-GSE35544-2	P-GSE35544-4	GSM870368 extract 1	total RNA	P-GSE35544-5	GSM870368 LE 1	biotin	P-GSE35544-6	GSM870368	A-AFFY-2	  	P-GSE35544-7	P-GSE35544-8	GSM870368.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35544/E-GEOD-35544.raw.1.zip	P-GSE35544-1	GSM870368_sample_table.txt norm	GSM870368_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35544/E-GEOD-35544.processed.1.zip	wild type	"potassium nitrate, 5 millimolar"
GSM870367 1	"Ws wild-type seedlings, treated with 5 mM KNO3 for 2 hours. Roots were cut and total RNA was extracted using TriZol."	"Ws roots, treated with 5 mM KNO3 for 2 hours"	Ws_root_2h_KNO3_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15-day old seedling	wild type	root	P-GSE35544-3	P-GSE35544-2	P-GSE35544-4	GSM870367 extract 1	total RNA	P-GSE35544-5	GSM870367 LE 1	biotin	P-GSE35544-6	GSM870367	A-AFFY-2	  	P-GSE35544-7	P-GSE35544-8	GSM870367.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35544/E-GEOD-35544.raw.1.zip	P-GSE35544-1	GSM870367_sample_table.txt norm	GSM870367_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35544/E-GEOD-35544.processed.1.zip	wild type	"potassium nitrate, 5 millimolar"
GSM870366 1	"Ws wild-type seedlings, treated with 5 mM KNO3 for 2 hours. Roots were cut and total RNA was extracted using TriZol."	"Ws roots, treated with 5 mM KNO3 for 2 hours"	Ws_root_2h_KNO3_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15-day old seedling	wild type	root	P-GSE35544-3	P-GSE35544-2	P-GSE35544-4	GSM870366 extract 1	total RNA	P-GSE35544-5	GSM870366 LE 1	biotin	P-GSE35544-6	GSM870366	A-AFFY-2	  	P-GSE35544-7	P-GSE35544-8	GSM870366.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35544/E-GEOD-35544.raw.1.zip	P-GSE35544-1	GSM870366_sample_table.txt norm	GSM870366_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35544/E-GEOD-35544.processed.1.zip	wild type	"potassium nitrate, 5 millimolar"
GSM870365 1	"Ws wild-type seedlings, treated with 5 mM KCl for 2 hours. Roots were cut and total RNA was extracted using TriZol."	"Ws roots, treated with 5 mM KCl for 2 hours"	Ws_root_2h_KCl_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15-day old seedling	wild type	root	P-GSE35544-3	P-GSE35544-2	P-GSE35544-4	GSM870365 extract 1	total RNA	P-GSE35544-5	GSM870365 LE 1	biotin	P-GSE35544-6	GSM870365	A-AFFY-2	  	P-GSE35544-7	P-GSE35544-8	GSM870365.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35544/E-GEOD-35544.raw.1.zip	P-GSE35544-1	GSM870365_sample_table.txt norm	GSM870365_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35544/E-GEOD-35544.processed.1.zip	wild type	"potassium chloride, 5 millimolar"
GSM870364 1	"Ws wild-type seedlings, treated with 5 mM KCl for 2 hours. Roots were cut and total RNA was extracted using TriZol."	"Ws roots, treated with 5 mM KCl for 2 hours"	Ws_root_2h_KCl_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15-day old seedling	wild type	root	P-GSE35544-3	P-GSE35544-2	P-GSE35544-4	GSM870364 extract 1	total RNA	P-GSE35544-5	GSM870364 LE 1	biotin	P-GSE35544-6	GSM870364	A-AFFY-2	  	P-GSE35544-7	P-GSE35544-8	GSM870364.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35544/E-GEOD-35544.raw.1.zip	P-GSE35544-1	GSM870364_sample_table.txt norm	GSM870364_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35544/E-GEOD-35544.processed.1.zip	wild type	"potassium chloride, 5 millimolar"
GSM870363 1	"Ws wild-type seedlings, treated with 5 mM KCl for 2 hours. Roots were cut and total RNA was extracted using TriZol."	"Ws roots, treated with 5 mM KCl for 2 hours"	Ws_root_2h_KCl_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15-day old seedling	wild type	root	P-GSE35544-3	P-GSE35544-2	P-GSE35544-4	GSM870363 extract 1	total RNA	P-GSE35544-5	GSM870363 LE 1	biotin	P-GSE35544-6	GSM870363	A-AFFY-2	  	P-GSE35544-7	P-GSE35544-8	GSM870363.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35544/E-GEOD-35544.raw.1.zip	P-GSE35544-1	GSM870363_sample_table.txt norm	GSM870363_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35544/E-GEOD-35544.processed.1.zip	wild type	"potassium chloride, 5 millimolar"
GSM870362 1	"Auxin receptor AFB3 mutant seedlings (afb3-1), treated with 5 mM KNO3 for 2 hours. Roots were cut and total RNA was extracted using TriZol."	"afb3-1 roots, treated with 5 mM KNO3 for 2 hours"	afb3-1_root_2h_KNO3_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15-day old seedling	afb3-1 mutant	root	P-GSE35544-3	P-GSE35544-2	P-GSE35544-4	GSM870362 extract 1	total RNA	P-GSE35544-5	GSM870362 LE 1	biotin	P-GSE35544-6	GSM870362	A-AFFY-2	  	P-GSE35544-7	P-GSE35544-8	GSM870362.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35544/E-GEOD-35544.raw.1.zip	P-GSE35544-1	GSM870362_sample_table.txt norm	GSM870362_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35544/E-GEOD-35544.processed.1.zip	afb3-1 mutant	"potassium nitrate, 5 millimolar"
GSM870361 1	"Auxin receptor AFB3 mutant seedlings (afb3-1), treated with 5 mM KNO3 for 2 hours. Roots were cut and total RNA was extracted using TriZol."	"afb3-1 roots, treated with 5 mM KNO3 for 2 hours"	afb3-1_root_2h_KNO3_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15-day old seedling	afb3-1 mutant	root	P-GSE35544-3	P-GSE35544-2	P-GSE35544-4	GSM870361 extract 1	total RNA	P-GSE35544-5	GSM870361 LE 1	biotin	P-GSE35544-6	GSM870361	A-AFFY-2	  	P-GSE35544-7	P-GSE35544-8	GSM870361.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35544/E-GEOD-35544.raw.1.zip	P-GSE35544-1	GSM870361_sample_table.txt norm	GSM870361_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35544/E-GEOD-35544.processed.1.zip	afb3-1 mutant	"potassium nitrate, 5 millimolar"
GSM870360 1	"Auxin receptor AFB3 mutant seedlings (afb3-1), treated with 5 mM KNO3 for 2 hours. Roots were cut and total RNA was extracted using TriZol."	"afb3-1 roots, treated with 5 mM KNO3 for 2 hours"	afb3-1_root_2h_KNO3_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15-day old seedling	afb3-1 mutant	root	P-GSE35544-3	P-GSE35544-2	P-GSE35544-4	GSM870360 extract 1	total RNA	P-GSE35544-5	GSM870360 LE 1	biotin	P-GSE35544-6	GSM870360	A-AFFY-2	  	P-GSE35544-7	P-GSE35544-8	GSM870360.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35544/E-GEOD-35544.raw.1.zip	P-GSE35544-1	GSM870360_sample_table.txt norm	GSM870360_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35544/E-GEOD-35544.processed.1.zip	afb3-1 mutant	"potassium nitrate, 5 millimolar"
GSM870359 1	"Auxin receptor AFB3 mutant seedlings (afb3-1), treated with 5 mM KCl for 2 hours. Roots were cut and total RNA was extracted using TriZol."	"afb3-1 roots, treated with 5 mM KCl for 2 hours"	afb3-1_root_2h_KCl_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15-day old seedling	afb3-1 mutant	root	P-GSE35544-3	P-GSE35544-2	P-GSE35544-4	GSM870359 extract 1	total RNA	P-GSE35544-5	GSM870359 LE 1	biotin	P-GSE35544-6	GSM870359	A-AFFY-2	  	P-GSE35544-7	P-GSE35544-8	GSM870359.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35544/E-GEOD-35544.raw.1.zip	P-GSE35544-1	GSM870359_sample_table.txt norm	GSM870359_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-35544/E-GEOD-35544.processed.1.zip	afb3-1 mutant	"potassium chloride, 5 millimolar"
