Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Characteristics[developmental stage]	Comment[stock code]	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [growth condition]	FactorValue[treatment time]	Unit[time unit]
GSM469810 1	Two days at 4C, 1 min 70% EtOH, 5 min 50% bleach, 0.5% Tween-20. Rinse with water 3 times. Seeds were germinated in tubes filled with 0.7% agarose, tubes, tubes were transferred to hydroponic cultures after germination.The hydroponic cultures were not kept sterile. The media used is a basic nutrient solution as previously described (Somerville and Ogren, 1982) but at half strength [2.5 mM KNO3, 1.25 mM KH2PO4 (pH5.6), 1 mM MgSO4, 1 mM Ca(NO3)2, 25 microM Fe-EDTA and the reported micronutrient mix at 1x concentration. 23 ðC average, 23 ðC day, 23 ðC night not controlled % average, not controlled % day, not controlled % night	Col-0 (Columbia)	Arabidopsis thaliana	Boyes key 3.90	N1092	Col-0	root	P-GSE18982-2	GSM469810 extract 1	total RNA	P-GSE18982-3	GSM469810 LE 1	biotin	P-GSE18982-4	GSM469810	A-AFFY-2	P-GSE18982-5	P-GSE18982-6	GSM469810.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18982/E-GEOD-18982.raw.1.zip	P-GSE18982-1	GSM469810_sample_table.txt norm	GSM469810_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18982/E-GEOD-18982.processed.1.zip	pH 6	8	hour
GSM469809 1	Two days at 4C, 1 min 70% EtOH, 5 min 50% bleach, 0.5% Tween-20. Rinse with water 3 times. Seeds were germinated in tubes filled with 0.7% agarose, tubes, tubes were transferred to hydroponic cultures after germination.The hydroponic cultures were not kept sterile. The media used is a basic nutrient solution as previously described (Somerville and Ogren, 1982) but at half strength [2.5 mM KNO3, 1.25 mM KH2PO4 (pH5.6), 1 mM MgSO4, 1 mM Ca(NO3)2, 25 microM Fe-EDTA and the reported micronutrient mix at 1x concentration. 23 ðC average, 23 ðC day, 23 ðC night not controlled % average, not controlled % day, not controlled % night	Col-0 (Columbia)	Arabidopsis thaliana	Boyes key 3.90	N1092	Col-0	root	P-GSE18982-2	GSM469809 extract 1	total RNA	P-GSE18982-3	GSM469809 LE 1	biotin	P-GSE18982-4	GSM469809	A-AFFY-2	P-GSE18982-5	P-GSE18982-6	GSM469809.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18982/E-GEOD-18982.raw.1.zip	P-GSE18982-1	GSM469809_sample_table.txt norm	GSM469809_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18982/E-GEOD-18982.processed.1.zip	pH 6	8	hour
GSM469808 1	Two days at 4C, 1 min 70% EtOH, 5 min 50% bleach, 0.5% Tween-20. Rinse with water 3 times. Seeds were germinated in tubes filled with 0.7% agarose, tubes, tubes were transferred to hydroponic cultures after germination.The hydroponic cultures were not kept sterile. The media used is a basic nutrient solution as previously described (Somerville and Ogren, 1982) but at half strength [2.5 mM KNO3, 1.25 mM KH2PO4 (pH5.6), 1 mM MgSO4, 1 mM Ca(NO3)2, 25 microM Fe-EDTA and the reported micronutrient mix at 1x concentration. 23 ðC average, 23 ðC day, 23 ðC night not controlled % average, not controlled % day, not controlled % night	Col-0 (Columbia)	Arabidopsis thaliana	Boyes key 3.90	N1092	Col-0	root	P-GSE18982-2	GSM469808 extract 1	total RNA	P-GSE18982-3	GSM469808 LE 1	biotin	P-GSE18982-4	GSM469808	A-AFFY-2	P-GSE18982-5	P-GSE18982-6	GSM469808.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18982/E-GEOD-18982.raw.1.zip	P-GSE18982-1	GSM469808_sample_table.txt norm	GSM469808_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18982/E-GEOD-18982.processed.1.zip	pH 6	8	hour
GSM469807 1	Two days at 4C, 1 min 70% EtOH, 5 min 50% bleach, 0.5% Tween-20. Rinse with water 3 times. Seeds were germinated in tubes filled with 0.7% agarose, tubes, tubes were transferred to hydroponic cultures after germination.The hydroponic cultures were not kept sterile. The media used is a basic nutrient solution as previously described (Somerville and Ogren, 1982) but at half strength [2.5 mM KNO3, 1.25 mM KH2PO4 (pH5.6), 1 mM MgSO4, 1 mM Ca(NO3)2, 25 microM Fe-EDTA and the reported micronutrient mix at 1x concentration. 23 ðC average, 23 ðC day, 23 ðC night not controlled % average, not controlled % day, not controlled % night	Col-0 (Columbia)	Arabidopsis thaliana	Boyes key 3.90	N1092	Col-0	root	P-GSE18982-2	GSM469807 extract 1	total RNA	P-GSE18982-3	GSM469807 LE 1	biotin	P-GSE18982-4	GSM469807	A-AFFY-2	P-GSE18982-5	P-GSE18982-6	GSM469807.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18982/E-GEOD-18982.raw.1.zip	P-GSE18982-1	GSM469807_sample_table.txt norm	GSM469807_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18982/E-GEOD-18982.processed.1.zip	pH 4.5	8	hour
GSM469806 1	Two days at 4C, 1 min 70% EtOH, 5 min 50% bleach, 0.5% Tween-20. Rinse with water 3 times. Seeds were germinated in tubes filled with 0.7% agarose, tubes, tubes were transferred to hydroponic cultures after germination.The hydroponic cultures were not kept sterile. The media used is a basic nutrient solution as previously described (Somerville and Ogren, 1982) but at half strength [2.5 mM KNO3, 1.25 mM KH2PO4 (pH5.6), 1 mM MgSO4, 1 mM Ca(NO3)2, 25 microM Fe-EDTA and the reported micronutrient mix at 1x concentration. 23 ðC average, 23 ðC day, 23 ðC night not controlled % average, not controlled % day, not controlled % night	Col-0 (Columbia)	Arabidopsis thaliana	Boyes key 3.90	N1092	Col-0	root	P-GSE18982-2	GSM469806 extract 1	total RNA	P-GSE18982-3	GSM469806 LE 1	biotin	P-GSE18982-4	GSM469806	A-AFFY-2	P-GSE18982-5	P-GSE18982-6	GSM469806.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18982/E-GEOD-18982.raw.1.zip	P-GSE18982-1	GSM469806_sample_table.txt norm	GSM469806_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18982/E-GEOD-18982.processed.1.zip	pH 4.5	8	hour
GSM469805 1	Two days at 4C, 1 min 70% EtOH, 5 min 50% bleach, 0.5% Tween-20. Rinse with water 3 times. Seeds were germinated in tubes filled with 0.7% agarose, tubes, tubes were transferred to hydroponic cultures after germination.The hydroponic cultures were not kept sterile. The media used is a basic nutrient solution as previously described (Somerville and Ogren, 1982) but at half strength [2.5 mM KNO3, 1.25 mM KH2PO4 (pH5.6), 1 mM MgSO4, 1 mM Ca(NO3)2, 25 microM Fe-EDTA and the reported micronutrient mix at 1x concentration. 23 ðC average, 23 ðC day, 23 ðC night not controlled % average, not controlled % day, not controlled % night	Col-0 (Columbia)	Arabidopsis thaliana	Boyes key 3.90	N1092	Col-0	root	P-GSE18982-2	GSM469805 extract 1	total RNA	P-GSE18982-3	GSM469805 LE 1	biotin	P-GSE18982-4	GSM469805	A-AFFY-2	P-GSE18982-5	P-GSE18982-6	GSM469805.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18982/E-GEOD-18982.raw.1.zip	P-GSE18982-1	GSM469805_sample_table.txt norm	GSM469805_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18982/E-GEOD-18982.processed.1.zip	pH 4.5	8	hour
GSM469804 1	Two days at 4C, 1 min 70% EtOH, 5 min 50% bleach, 0.5% Tween-20. Rinse with water 3 times. Seeds were germinated in tubes filled with 0.7% agarose, tubes, tubes were transferred to hydroponic cultures after germination.The hydroponic cultures were not kept sterile. The media used is a basic nutrient solution as previously described (Somerville and Ogren, 1982) but at half strength [2.5 mM KNO3, 1.25 mM KH2PO4 (pH5.6), 1 mM MgSO4, 1 mM Ca(NO3)2, 25 microM Fe-EDTA and the reported micronutrient mix at 1x concentration. 23 ðC average, 23 ðC day, 23 ðC night not controlled % average, not controlled % day, not controlled % night	Col-0 (Columbia)	Arabidopsis thaliana	Boyes key 3.90	N1092	Col-0	root	P-GSE18982-2	GSM469804 extract 1	total RNA	P-GSE18982-3	GSM469804 LE 1	biotin	P-GSE18982-4	GSM469804	A-AFFY-2	P-GSE18982-5	P-GSE18982-6	GSM469804.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18982/E-GEOD-18982.raw.1.zip	P-GSE18982-1	GSM469804_sample_table.txt norm	GSM469804_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18982/E-GEOD-18982.processed.1.zip	pH 6	1	hour
GSM469803 1	Two days at 4C, 1 min 70% EtOH, 5 min 50% bleach, 0.5% Tween-20. Rinse with water 3 times. Seeds were germinated in tubes filled with 0.7% agarose, tubes, tubes were transferred to hydroponic cultures after germination.The hydroponic cultures were not kept sterile. The media used is a basic nutrient solution as previously described (Somerville and Ogren, 1982) but at half strength [2.5 mM KNO3, 1.25 mM KH2PO4 (pH5.6), 1 mM MgSO4, 1 mM Ca(NO3)2, 25 microM Fe-EDTA and the reported micronutrient mix at 1x concentration. 23 ðC average, 23 ðC day, 23 ðC night not controlled % average, not controlled % day, not controlled % night	Col-0 (Columbia)	Arabidopsis thaliana	Boyes key 3.90	N1092	Col-0	root	P-GSE18982-2	GSM469803 extract 1	total RNA	P-GSE18982-3	GSM469803 LE 1	biotin	P-GSE18982-4	GSM469803	A-AFFY-2	P-GSE18982-5	P-GSE18982-6	GSM469803.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18982/E-GEOD-18982.raw.1.zip	P-GSE18982-1	GSM469803_sample_table.txt norm	GSM469803_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18982/E-GEOD-18982.processed.1.zip	pH 6	1	hour
GSM469802 1	Two days at 4C, 1 min 70% EtOH, 5 min 50% bleach, 0.5% Tween-20. Rinse with water 3 times. Seeds were germinated in tubes filled with 0.7% agarose, tubes, tubes were transferred to hydroponic cultures after germination.The hydroponic cultures were not kept sterile. The media used is a basic nutrient solution as previously described (Somerville and Ogren, 1982) but at half strength [2.5 mM KNO3, 1.25 mM KH2PO4 (pH5.6), 1 mM MgSO4, 1 mM Ca(NO3)2, 25 microM Fe-EDTA and the reported micronutrient mix at 1x concentration. 23 ðC average, 23 ðC day, 23 ðC night not controlled % average, not controlled % day, not controlled % night	Col-0 (Columbia)	Arabidopsis thaliana	Boyes key 3.90	N1092	Col-0	root	P-GSE18982-2	GSM469802 extract 1	total RNA	P-GSE18982-3	GSM469802 LE 1	biotin	P-GSE18982-4	GSM469802	A-AFFY-2	P-GSE18982-5	P-GSE18982-6	GSM469802.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18982/E-GEOD-18982.raw.1.zip	P-GSE18982-1	GSM469802_sample_table.txt norm	GSM469802_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18982/E-GEOD-18982.processed.1.zip	pH 6	1	hour
GSM469801 1	Two days at 4C, 1 min 70% EtOH, 5 min 50% bleach, 0.5% Tween-20. Rinse with water 3 times. Seeds were germinated in tubes filled with 0.7% agarose, tubes, tubes were transferred to hydroponic cultures after germination.The hydroponic cultures were not kept sterile. The media used is a basic nutrient solution as previously described (Somerville and Ogren, 1982) but at half strength [2.5 mM KNO3, 1.25 mM KH2PO4 (pH5.6), 1 mM MgSO4, 1 mM Ca(NO3)2, 25 microM Fe-EDTA and the reported micronutrient mix at 1x concentration. 23 ðC average, 23 ðC day, 23 ðC night not controlled % average, not controlled % day, not controlled % night	Col-0 (Columbia)	Arabidopsis thaliana	Boyes key 3.90	N1092	Col-0	root	P-GSE18982-2	GSM469801 extract 1	total RNA	P-GSE18982-3	GSM469801 LE 1	biotin	P-GSE18982-4	GSM469801	A-AFFY-2	P-GSE18982-5	P-GSE18982-6	GSM469801.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18982/E-GEOD-18982.raw.1.zip	P-GSE18982-1	GSM469801_sample_table.txt norm	GSM469801_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18982/E-GEOD-18982.processed.1.zip	pH 4.5	1	hour
